Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,OGC,39.0,40.25,39.0,40.25,4.55,12000,481000,752000,6547000.0,38711000.0,40.25,,,,,12000.0,,
1/6/2015,OGC,40.0,40.75,40.0,40.25,0.0,17800,717000,1268000,3148000.0,39231000.0,40.25,,,,,14900.0,,
1/7/2015,OGC,40.5,40.5,40.5,40.5,0.62,6300,255000,1484000,2588000.0,39313000.0,40.333333333333336,,,,,12033.333333333334,,
1/8/2015,OGC,40.5,41.0,40.5,40.75,0.62,5500,223000,1695000,2529000.0,31566000.0,40.4375,,,,,10400.0,,
1/9/2015,OGC,40.75,40.75,39.75,40.25,-1.23,8800,354000,2030000,2783000.0,25480000.0,40.4,,,,,10080.0,,
1/12/2015,OGC,40.5,40.5,40.25,40.25,0.0,1900,76000,1625000,2732000.0,22588000.0,40.4,,,,,8060.0,,
1/13/2015,OGC,40.25,40.5,40.25,40.25,0.0,21000,846000,1754000,3439000.0,21978000.0,40.4,,,,,8700.0,,
1/14/2015,OGC,40.75,42.0,40.75,42.0,4.35,7300,303000,1802000,3584000.0,21199000.0,40.7,,,,,8900.0,,
1/15/2015,OGC,41.25,45.0,41.25,44.5,5.95,222100,9662000,11241000,13188000.0,25046000.0,41.45,,,,,52220.0,,
1/16/2015,OGC,45.0,46.25,44.5,45.5,2.25,69639,3172000,14059000,16159000.0,27372000.0,42.5,,,,,64387.8,,
1/19/2015,OGC,46.0,46.0,44.75,45.0,-1.1,11100,503000,14486000,16623000.0,26918000.0,43.45,,,,,66227.8,,
1/20/2015,OGC,44.25,44.25,43.75,44.0,-2.22,7700,338000,13978000,16949000.0,26634000.0,44.2,41.958333333333336,,,,63567.8,,
1/21/2015,OGC,43.25,44.5,43.25,43.75,-0.57,2100,92000,13767000,17022000.0,26011000.0,44.55,42.25,,,,62527.8,,
1/22/2015,OGC,44.0,44.5,44.0,44.25,1.14,4800,212000,4317000,16753000.0,25954000.0,44.5,42.583333333333336,,,,19067.8,50.0,50.0
1/23/2015,OGC,44.5,44.5,44.25,44.5,0.56,4300,191000,1336000,16227000.0,26045000.0,44.3,42.916666666666664,,,,6000.0,50.0,50.0
1/26/2015,OGC,44.25,45.0,44.0,44.5,0.0,10800,479000,1312000,16451000.0,26387000.0,44.2,43.229166666666664,,,,5940.0,50.0,50.0
1/27/2015,OGC,44.25,44.75,43.25,43.25,-2.81,5702,249000,1223000,16477000.0,26463000.0,44.05,43.479166666666664,,,,5540.4,42.857142857142854,48.214285714285715
1/28/2015,OGC,43.5,44.0,43.0,43.5,0.58,15800,683000,1814000,16806000.0,26819000.0,44.0,43.75,,,,8280.4,42.857142857142854,47.142857142857146
1/29/2015,OGC,43.75,46.25,43.75,45.75,5.17,28701,1305000,2907000,18035000.0,27758000.0,44.3,44.208333333333336,,,,13060.6,50.0,47.142857142857146
1/30/2015,OGC,46.0,46.5,45.25,46.25,1.09,9300,431000,3147000,17620000.0,28032000.0,44.65,44.5625,,,,14060.6,57.14285714285714,48.57142857142857
2/2/2015,OGC,46.25,46.25,45.5,45.5,-1.62,1200,55000,2723000,17372000.0,26866000.0,44.85,44.645833333333336,,,,12140.6,57.14285714285714,50.0
2/3/2015,OGC,45.25,46.0,44.25,45.75,0.55,5400,247000,2721000,7957000.0,26940000.0,45.35,44.666666666666664,,,,12080.2,57.14285714285714,52.857142857142854
