Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/12/2015,OHTL,760.0,806.0,760.0,806.0,-2.66,100,78000,78000,120000.0,787000.0,806.0,,,,,100.0,,,78000.0,0.0
1/13/2015,OHTL,800.0,800.0,800.0,800.0,-0.74,150,120000,198000,240000.0,907000.0,803.0,,,,,125.0,,,99000.0,0.0
1/15/2015,OHTL,808.0,808.0,808.0,808.0,1.0,1450,1172000,1370000,1371000.0,2078000.0,804.6666666666665,,,,,566.6666666666666,,,456666.66666666674,0.0
1/28/2015,OHTL,,,,,0.0,1,1000,1000,1371000.0,1586000.0,804.6666666666665,,,,,425.25,,,342750.0,0.0
1/29/2015,OHTL,840.0,840.0,840.0,840.0,3.96,50,42000,43000,1335000.0,1620000.0,813.5,,,,,350.2,,,282600.0,0.0
1/30/2015,OHTL,840.0,840.0,840.0,840.0,0.0,1150,966000,1009000,2181000.0,2586000.0,822.0,,,,,560.2,,,460200.0,0.0
2/2/2015,OHTL,850.0,850.0,850.0,850.0,1.19,1000,850000,1859000,3031000.0,3436000.0,834.5,,,,,730.2,,,606200.0,0.0
2/3/2015,OHTL,944.0,944.0,900.0,900.0,5.88,100,92000,1951000,1951000.0,3528000.0,857.5,,,,,460.2,,,390200.0,0.0
2/5/2015,OHTL,,,,,0.0,3,3000,1911000,1954000.0,3530000.0,857.5,,,,,460.6,,,390600.0,0.0
2/6/2015,OHTL,,,,,0.0,11,9000,954000,1963000.0,3539000.0,863.3333333333335,,,,,452.8,,,384000.0,0.0
2/18/2015,OHTL,840.0,840.0,840.0,840.0,-6.67,50,42000,42000,996000.0,3376000.0,863.3333333333335,,,,,232.8,,,199200.0,0.0
2/19/2015,OHTL,,,,,0.0,1,1000,43000,147000.0,3376000.0,870.0,835.5,,,,33.0,,,29400.0,0.0
2/24/2015,OHTL,938.0,938.0,938.0,938.0,11.67,500,469000,512000,521000.0,3845000.0,889.0,852.0,,,,113.0,,,104800.0,0.0
2/25/2015,OHTL,950.0,950.0,950.0,950.0,1.28,50,48000,518000,560000.0,3893000.0,909.3333333333336,870.75,,,,122.4,42.857142857142854,42.857142857142854,113800.0,0.0
