Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,PB,42.0,42.0,40.75,40.75,-2.98,23423,962000,4436000,20392000.0,37897000.0,40.75,,,,,23423.0,,,962000.0,0.0
1/6/2015,PB,41.0,41.5,41.0,41.0,0.61,6300,260000,3186000,19438000.0,36440000.0,40.875,,,,,14861.5,,,611000.0,0.0
1/7/2015,PB,41.0,41.25,40.75,41.25,0.61,10700,436000,2825000,19131000.0,36351000.0,41.0,,,,,13474.333333333336,,,552666.6666666665,0.0
1/8/2015,PB,41.25,41.75,40.75,40.75,-1.21,23601,966000,3516000,16463000.0,35241000.0,40.9375,,,,,16006.0,,,656000.0,0.0
1/9/2015,PB,40.75,41.0,40.5,40.75,0.0,52900,2159000,4783000,15437000.0,35917000.0,40.9,,,,,23384.8,,,956600.0,0.0
1/12/2015,PB,40.75,41.25,40.75,41.25,1.23,1500,61000,3882000,14956000.0,34964000.0,41.0,,,,,19000.2,,,776400.0,0.0
1/13/2015,PB,41.25,41.25,40.5,40.75,-1.21,94700,3873000,7495000,16525000.0,38036000.0,40.95,,,,,36680.2,,,1499000.0,0.0
1/14/2015,PB,40.75,41.0,40.25,41.0,0.61,20900,846000,7905000,16671000.0,38352000.0,40.9,,,,,38720.2,,,1581000.0,0.0
1/15/2015,PB,41.0,41.0,41.0,41.0,0.0,5500,226000,7165000,13263000.0,37314000.0,40.95,,,,,35100.0,,,1433000.0,0.0
1/16/2015,PB,41.5,41.5,40.5,41.0,0.0,21600,877000,5883000,12630000.0,37343000.0,41.0,,,,,28840.0,,,1176600.0,0.0
1/19/2015,PB,41.0,41.5,40.25,41.0,0.0,40100,1630000,7452000,13463000.0,38071000.0,40.95,,,,,36560.0,,,1490400.0,0.0
1/20/2015,PB,40.75,43.0,40.75,42.5,3.66,41500,1736000,5315000,14924000.0,38960000.0,41.3,41.083333333333336,,,,25920.0,,,1063000.0,0.0
