Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,PDI,16.3,16.4,16.2,16.3,0.62,679900,11035000,24801000,124793000.0,530019000.0,16.3,,,,,679900.0,,
1/6/2015,PDI,16.1,16.8,16.1,16.7,2.45,349546,5718000,25543000,106471000.0,493184000.0,16.5,,,,,514723.0,,
1/7/2015,PDI,16.7,17.2,16.7,16.9,1.2,514200,8724000,31465000,91597000.0,487979000.0,16.633333333333333,,,,,514548.6666666667,,
1/8/2015,PDI,17.1,17.3,17.0,17.0,0.59,768101,13174000,42083000,89594000.0,489104000.0,16.725,,,,,577936.75,,
1/9/2015,PDI,17.0,17.4,17.0,17.1,0.59,674544,11623000,50274000,91392000.0,450358000.0,16.8,,,,,597258.2,,
1/12/2015,PDI,17.0,17.3,17.0,17.3,1.17,159800,2736000,41975000,87034000.0,428066000.0,16.999999999999996,,,,,493238.2,,
1/13/2015,PDI,17.3,17.4,17.1,17.4,0.58,226300,3905000,40162000,79046000.0,419070000.0,17.139999999999997,,,,,468589.0,,
1/14/2015,PDI,17.4,17.7,17.1,17.3,-0.57,623300,10836000,42274000,84436000.0,415658000.0,17.220000000000002,,,,,490409.0,,
1/15/2015,PDI,17.4,18.2,17.4,17.8,2.89,1660600,29670000,58770000,111187000.0,436075000.0,17.380000000000003,,,,,668908.8,,
1/16/2015,PDI,18.0,18.0,17.6,17.7,-0.56,544100,9694000,56841000,115905000.0,388545000.0,17.5,,,,,642820.0,,
1/19/2015,PDI,17.7,17.9,17.6,17.7,0.0,169800,3009000,57114000,116112000.0,380185000.0,17.580000000000002,,,,,644820.0,,
1/20/2015,PDI,17.8,17.8,17.6,17.6,-0.56,244305,4332000,57541000,117888000.0,372662000.0,17.619999999999997,17.23333333333333,,,,648421.0,,
1/21/2015,PDI,17.7,17.7,17.4,17.7,0.57,370100,6489000,53194000,120945000.0,375170000.0,17.700000000000003,17.349999999999994,,,,597781.0,,
1/22/2015,PDI,17.6,17.8,17.5,17.7,0.0,401060,7084000,30608000,116994000.0,376315000.0,17.68,17.433333333333326,,,,345873.0,64.28571428571428,64.28571428571428
1/23/2015,PDI,17.8,18.1,17.8,17.9,1.13,1015300,18225000,39139000,129501000.0,391953000.0,17.72,17.516666666666666,,,,440113.0,64.28571428571428,64.28571428571428
1/26/2015,PDI,18.0,18.3,18.0,18.3,2.23,653600,11868000,47998000,132645000.0,386666000.0,17.84,17.625,,,,536873.0,64.28571428571428,64.28571428571428
1/27/2015,PDI,18.5,18.7,18.4,18.5,1.09,929082,17216000,60882000,136687000.0,399075000.0,18.02,17.741666666666667,,,,673828.4,64.28571428571428,64.28571428571428
1/28/2015,PDI,18.5,18.5,17.8,17.9,-3.24,1547430,27976000,82369000,153040000.0,416526000.0,18.059999999999995,17.791666666666668,,,,909294.4,57.14285714285714,62.85714285714285
1/29/2015,PDI,17.8,17.9,17.6,17.6,-1.68,728700,12899000,88184000,163203000.0,401695000.0,18.04,17.808333333333334,,,,974822.4,50.0,60.0
1/30/2015,PDI,17.6,17.9,17.6,17.9,1.7,169001,3013000,72972000,162311000.0,396721000.0,18.04,17.858333333333338,,,,805562.6,50.0,57.14285714285713
2/2/2015,PDI,17.9,18.1,17.6,17.9,0.0,208200,3724000,64828000,155199000.0,352454000.0,17.96,17.86666666666667,,,,716482.6,42.857142857142854,52.857142857142854
2/3/2015,PDI,18.0,18.3,18.0,18.2,1.68,355900,6476000,54088000,132005000.0,343184000.0,17.9,17.90833333333333,,,,601846.2,50.0,50.0
2/4/2015,PDI,18.7,18.9,18.2,18.5,1.65,1559800,28877000,54989000,151188000.0,348021000.0,18.02,17.974999999999998,,,,604320.2,50.0,48.57142857142857
2/5/2015,PDI,18.5,18.5,18.2,18.3,-1.08,336901,6181000,48271000,154360000.0,330604000.0,18.16,18.033333333333335,,,,525960.4,50.0,48.57142857142857
2/6/2015,PDI,18.3,18.4,18.2,18.4,0.55,257812,4721000,49979000,154749000.0,320148000.0,18.259999999999998,18.091666666666665,,,,543722.6,57.14285714285714,50.0
2/9/2015,PDI,18.4,18.6,18.4,18.4,0.0,544900,10086000,56341000,158346000.0,320409000.0,18.360000000000003,18.150000000000002,17.692307692307686,0.44373219373219897,0.44373219373219897,611062.6,57.14285714285714,52.857142857142854
2/10/2015,PDI,18.5,18.6,18.4,18.5,0.54,486901,9017000,58882000,160279000.0,322332000.0,18.419999999999998,18.200000000000003,17.77692307692307,0.41566951566952426,0.4297008547008616,637262.8,57.14285714285714,54.28571428571429
2/11/2015,PDI,18.6,20.0,18.2,19.7,6.49,8894049,172266000,202271000,314320000.0,482705000.0,18.66,18.316666666666666,17.89230769230769,0.5032763532763553,0.45422602089269287,2104112.6,64.28571428571428,57.14285714285713
2/12/2015,PDI,20.1,22.8,20.0,21.4,8.63,51059595,1105099000,1301189000,1407551000.0,1582358000.0,19.28,18.558333333333334,18.06538461538461,0.683119658119665,0.5114494301994359,12248651.4,64.28571428571428,60.0
2/13/2015,PDI,22.1,22.8,20.8,20.8,-2.8,14405151,311639000,1608107000,1701974000.0,1891078000.0,19.759999999999998,18.8,18.211538461538456,0.704415954415957,0.5500427350427401,15078119.2,57.14285714285714,60.0
2/16/2015,PDI,21.0,21.6,20.8,21.2,1.92,4088211,87008000,1685029000,1761006000.0,1973110000.0,20.32,19.099999999999998,18.369230769230764,0.8441595441595453,0.6301282051282093,15786781.4,57.14285714285714,60.0
2/17/2015,PDI,20.9,21.2,19.8,20.2,-4.72,2718710,55761000,1731773000,1803868000.0,2026069000.0,20.66,19.291666666666664,18.48076923076923,0.823290598290594,0.7116524216524234,16233143.2,57.14285714285714,60.0
2/18/2015,PDI,19.9,20.1,19.7,19.9,-1.49,1774100,35293000,1594800000,1836148000.0,2058806000.0,20.7,19.458333333333332,18.576923076923073,0.8513532763532758,0.7812678062678075,14809153.4,57.14285714285714,58.57142857142857
2/19/2015,PDI,20.0,20.4,19.6,19.8,-0.5,2718800,54674000,544375000,1887098000.0,2110048000.0,20.38,19.591666666666665,18.67307692307692,0.8671652421652425,0.8180769230769229,5140994.4,50.0,55.71428571428571
2/20/2015,PDI,19.9,20.0,19.6,19.6,-1.01,1721210,34195000,266931000,1914817000.0,2133208000.0,20.139999999999997,19.683333333333334,18.74230769230769,0.8646723646723622,0.850128205128204,2604206.2,50.0,54.28571428571429
2/23/2015,PDI,19.3,19.3,18.1,18.2,-7.14,3199410,59410000,239333000,1945350000.0,2186900000.0,19.54,19.675,18.761538461538457,0.7281339031339087,0.8269230769230766,2426446.0,42.857142857142854,51.42857142857142
2/24/2015,PDI,18.4,18.6,18.2,18.6,2.2,861100,15863000,199435000,1955032000.0,2194039000.0,19.22,19.691666666666666,18.796153846153846,0.7420940170940185,0.8106837606837616,2054924.0,42.857142857142854,48.57142857142857
2/25/2015,PDI,18.4,18.6,17.9,18.1,-2.69,1022900,18546000,182688000,1968857000.0,2199411000.0,18.860000000000003,19.666666666666668,18.815384615384616,0.6632478632478644,0.7730626780626793,1904684.0,42.857142857142854,45.714285714285715
2/26/2015,PDI,17.8,18.2,17.3,17.7,-2.21,2621600,46511000,174525000,2005282000.0,2234299000.0,18.44,19.599999999999998,18.815384615384616,0.5749287749287753,0.7146153846153858,1885244.0,35.71428571428572,42.85714285714286
2/27/2015,PDI,17.7,17.9,17.4,17.7,0.0,534452,9433000,149763000,2005698000.0,2240996000.0,18.06,19.43333333333333,18.815384615384616,0.43390313390313295,0.62846153846154,1647892.4,35.71428571428572,40.0
