Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,PERM,2.28,2.32,2.26,2.28,0.88,1000000,2287000,28256000,297262000.0,1265897000.0,2.28,,,,,1000000.0,,
1/6/2015,PERM,2.24,2.28,2.2,2.26,-0.88,2035300,4571000,25497000,267165000.0,1183307000.0,2.2699999999999996,,,,,1517650.0,,
1/7/2015,PERM,2.28,2.56,2.28,2.46,8.85,26425400,65090000,86940000,315552000.0,1132077000.0,2.333333333333333,,,,,9820233.333333334,,
1/8/2015,PERM,2.5,2.78,2.46,2.7,9.76,55945600,148060000,225014000,451079000.0,1212596000.0,2.425,,,,,21351575.0,,
1/9/2015,PERM,2.7,2.72,2.54,2.58,-4.44,18683700,49208000,269216000,472060000.0,1235531000.0,2.456,,,,,20818000.0,,
1/12/2015,PERM,2.58,2.8,2.54,2.8,8.53,60159400,164427000,431356000,620557000.0,1365964000.0,2.56,,,,,32649880.0,,
1/13/2015,PERM,2.8,2.94,2.76,2.78,-0.71,67343600,192460000,619245000,777048000.0,1522939000.0,2.6639999999999997,,,,,45711540.0,,
1/14/2015,PERM,2.8,2.86,2.7,2.7,-2.88,13009800,36085000,590240000,707370000.0,1537542000.0,2.7119999999999997,,,,,43028420.0,,
1/15/2015,PERM,2.72,2.78,2.7,2.7,0.0,5943900,16236000,458416000,704393000.0,1401348000.0,2.7119999999999997,,,,,33028080.0,,
1/16/2015,PERM,2.68,2.76,2.66,2.68,-0.74,7024500,19024000,428232000,716087000.0,1372627000.0,2.732,,,,,30696240.0,,
1/19/2015,PERM,2.72,2.74,2.66,2.66,-0.75,5244300,14145000,277950000,726585000.0,1366339000.0,2.7039999999999997,,,,,19713220.0,,
1/20/2015,PERM,2.68,2.76,2.66,2.7,1.5,7443600,20160000,105650000,736759000.0,1366398000.0,2.688,2.608333333333333,,,,7733220.0,,
1/21/2015,PERM,2.74,2.92,2.74,2.84,5.19,51673100,147358000,216923000,879111000.0,1475698000.0,2.716,2.655,,,,15465880.0,,
1/22/2015,PERM,2.88,2.92,2.72,2.74,-3.52,32727900,92866000,293553000,969690000.0,1554841000.0,2.7239999999999998,2.695,,,,20822680.0,42.857142857142854,42.857142857142854
1/23/2015,PERM,2.76,2.8,2.7,2.7,-1.46,10547900,28910000,303439000,994029000.0,1571128000.0,2.728,2.715,,,,21527360.0,35.71428571428572,39.28571428571429
1/26/2015,PERM,2.74,2.8,2.72,2.76,2.22,11965101,33071000,322365000,962010000.0,1592820000.0,2.748,2.72,,,,22871520.2,42.857142857142854,40.47619047619048
1/27/2015,PERM,2.78,2.78,2.7,2.72,-1.45,7116202,19431000,321636000,833381000.0,1598145000.0,2.7520000000000002,2.731666666666667,,,,22806040.6,35.71428571428572,39.28571428571429
1/28/2015,PERM,2.7,2.76,2.66,2.7,-0.74,8658900,23436000,197714000,807609000.0,1494106000.0,2.724,2.723333333333333,,,,14203200.6,28.57142857142857,37.142857142857146
1/29/2015,PERM,2.7,2.86,2.68,2.74,1.48,17607000,49011000,153859000,692193000.0,1490722000.0,2.7239999999999998,2.72,,,,11179020.6,35.71428571428572,35.71428571428572
1/30/2015,PERM,2.76,2.84,2.74,2.74,0.0,15859033,44130000,169079000,543863000.0,1515374000.0,2.732,2.723333333333333,,,,12241247.2,28.57142857142857,34.28571428571429
2/2/2015,PERM,2.76,2.8,2.74,2.76,0.73,8727200,24210000,160218000,531988000.0,1502337000.0,2.732,2.728333333333333,,,,11593667.0,35.71428571428572,32.85714285714286
2/3/2015,PERM,2.78,3.02,2.78,3.02,9.42,115662100,340967000,481754000,856719000.0,1830118000.0,2.792,2.7566666666666664,,,,33302846.6,42.857142857142854,34.28571428571429
2/4/2015,PERM,3.04,3.08,2.82,2.82,-6.62,56815601,169170000,627488000,1006865000.0,1964620000.0,2.816,2.7699999999999996,,,,42934186.8,42.857142857142854,37.142857142857146
2/5/2015,PERM,2.86,2.9,2.78,2.78,-1.42,13410800,37845000,616322000,1030565000.0,1985762000.0,2.824,2.776666666666667,,,,42094946.8,42.857142857142854,38.57142857142857
2/6/2015,PERM,2.82,2.84,2.78,2.8,0.72,9528300,26763000,598955000,1037168000.0,1999992000.0,2.836,2.7733333333333334,,,,40828800.2,50.0,42.85714285714286
2/9/2015,PERM,2.8,2.86,2.76,2.78,-0.71,12061700,33908000,608653000,923718000.0,2005673000.0,2.8399999999999994,2.776666666666667,2.7,0.07125356125356141,0.07125356125356141,41495700.2,42.857142857142854,44.285714285714285
2/10/2015,PERM,2.78,2.94,2.76,2.86,2.88,33313000,96122000,363808000,926974000.0,2085865000.0,2.8079999999999994,2.7900000000000005,2.7223076923076928,0.06826210826210799,0.0697578347578347,25025880.2,42.857142857142854,44.28571428571429
2/11/2015,PERM,3.02,3.04,2.88,2.88,0.7,51690870,154013000,348651000,1052077000.0,2203909000.0,2.8199999999999994,2.8000000000000003,2.7461538461538457,0.05623931623931666,0.0652516619183287,24000934.0,50.0,45.714285714285715
