Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,PF-W3,0.54,0.54,0.53,0.53,0.0,23900,13000,363000,5311000.0,41548000.0,0.53,,,,,23900.0,,
1/6/2015,PF-W3,0.53,0.55,0.52,0.54,1.89,451100,241000,417000,3935000.0,40723000.0,0.535,,,,,237500.0,,
1/7/2015,PF-W3,0.54,0.56,0.54,0.55,1.85,727000,398000,699000,3986000.0,39853000.0,0.54,,,,,400666.6666666667,,
1/8/2015,PF-W3,0.56,0.57,0.56,0.57,3.64,218400,123000,817000,3432000.0,38219000.0,0.5475,,,,,355100.0,,
1/9/2015,PF-W3,0.56,0.6,0.56,0.57,0.0,3249646,1915000,2690000,4423000.0,39624000.0,0.5519999999999999,,,,,934009.2,,
1/12/2015,PF-W3,0.58,0.6,0.57,0.57,0.0,209100,121000,2798000,4091000.0,38731000.0,0.5599999999999999,,,,,971049.2,,
1/13/2015,PF-W3,0.58,0.59,0.58,0.58,1.75,580000,338000,2895000,4402000.0,37660000.0,0.568,,,,,996829.2,,
1/14/2015,PF-W3,0.58,0.59,0.57,0.58,0.0,323100,187000,2684000,3867000.0,30984000.0,0.5740000000000001,,,,,916049.2,,
1/15/2015,PF-W3,0.58,0.58,0.57,0.57,-1.72,425100,245000,2806000,3931000.0,28138000.0,0.574,,,,,957389.2,,
1/16/2015,PF-W3,0.57,0.57,0.56,0.56,-1.75,360500,205000,1096000,3949000.0,27633000.0,0.572,,,,,379560.0,,
1/19/2015,PF-W3,0.57,0.57,0.56,0.56,0.0,314003,178000,1153000,4011000.0,27070000.0,0.5700000000000001,,,,,400540.6,,
1/20/2015,PF-W3,0.57,0.65,0.57,0.64,14.29,6621200,4105000,4920000,8111000.0,27721000.0,0.5820000000000001,0.5683333333333332,,,,1608780.6,,
1/21/2015,PF-W3,0.63,0.64,0.58,0.58,-9.38,1489400,899000,5632000,8968000.0,27425000.0,0.5820000000000001,0.5725,,,,1842040.6,,
1/22/2015,PF-W3,0.59,0.61,0.58,0.6,3.45,973700,582000,5969000,9537000.0,26753000.0,0.5880000000000001,0.5774999999999999,,,,1951760.6,42.857142857142854,42.857142857142854
1/23/2015,PF-W3,0.59,0.59,0.56,0.56,-6.67,1276700,735000,6499000,10031000.0,26270000.0,0.5880000000000001,0.5783333333333333,,,,2135000.6,42.857142857142854,42.857142857142854
1/26/2015,PF-W3,0.57,0.58,0.55,0.56,0.0,327200,183000,6504000,9816000.0,25053000.0,0.588,0.5775,,,,2137640.0,35.71428571428572,40.476190476190474
1/27/2015,PF-W3,0.56,0.59,0.56,0.57,1.79,1020200,587000,2986000,10280000.0,25258000.0,0.574,0.5775,,,,1017440.0,35.71428571428572,39.28571428571429
1/28/2015,PF-W3,0.59,0.59,0.56,0.56,-1.75,288800,164000,2251000,8529000.0,21022000.0,0.5700000000000001,0.5766666666666668,,,,777320.0,28.57142857142857,37.142857142857146
1/29/2015,PF-W3,0.57,0.58,0.56,0.56,0.0,394300,226000,1895000,8634000.0,18502000.0,0.562,0.5750000000000002,,,,661440.0,28.57142857142857,34.28571428571429
1/30/2015,PF-W3,0.57,0.57,0.55,0.57,1.79,1240000,702000,1862000,8998000.0,18835000.0,0.564,0.5741666666666668,,,,654100.0,35.71428571428572,32.85714285714286
2/2/2015,PF-W3,0.56,0.56,0.55,0.56,-1.75,456000,254000,1933000,9065000.0,17945000.0,0.564,0.5733333333333336,,,,679860.0,28.57142857142857,31.428571428571434
2/3/2015,PF-W3,0.57,0.57,0.56,0.57,1.79,250000,141000,1487000,8961000.0,17840000.0,0.564,0.5741666666666668,,,,525820.0,35.71428571428572,31.428571428571434
2/4/2015,PF-W3,0.57,0.57,0.55,0.56,-1.75,775300,435000,1758000,9191000.0,16658000.0,0.564,0.5741666666666668,,,,623120.0,35.71428571428572,32.85714285714286
2/5/2015,PF-W3,0.56,0.57,0.56,0.56,0.0,340400,193000,1725000,9206000.0,16504000.0,0.564,0.5675,,,,612340.0,35.71428571428572,34.28571428571429
2/6/2015,PF-W3,0.57,0.57,0.55,0.56,0.0,372800,210000,1233000,5311000.0,16037000.0,0.562,0.5658333333333334,,,,438900.0,35.71428571428572,34.28571428571429
2/9/2015,PF-W3,0.55,0.56,0.53,0.54,-3.57,925100,505000,1484000,4917000.0,15618000.0,0.558,0.5608333333333334,0.5665384615384617,-0.006944444444444531,-0.006944444444444531,532720.0,28.57142857142857,34.28571428571429
2/10/2015,PF-W3,0.54,0.58,0.54,0.55,1.85,3919300,2190000,3533000,6525000.0,17355000.0,0.554,0.56,0.5673076923076924,-0.0075641025641026705,-0.007254273504273601,1266580.0,35.71428571428572,34.28571428571429
2/11/2015,PF-W3,0.57,0.58,0.49,0.53,-3.64,5229200,2885000,5983000,8675000.0,20213000.0,0.548,0.5575,0.5669230769230771,-0.01091880341880358,-0.008475783475783594,2157360.0,28.57142857142857,32.857142857142854
2/12/2015,PF-W3,0.54,0.56,0.53,0.56,5.66,2658701,1461000,7251000,9953000.0,20952000.0,0.548,0.5566666666666666,0.5673076923076924,-0.009586894586894656,-0.00875356125356136,2621020.2,35.71428571428572,32.85714285714286
2/13/2015,PF-W3,0.57,0.57,0.53,0.54,-3.57,1909900,1046000,8087000,10412000.0,21817000.0,0.544,0.555,0.5661538461538462,-0.011524216524216646,-0.009307692307692416,2928440.2,35.71428571428572,32.85714285714286
2/16/2015,PF-W3,0.53,0.54,0.49,0.5,-7.41,1995400,1016000,8598000,11264000.0,22646000.0,0.536,0.55,0.5634615384615386,-0.016452991452991395,-0.01120940170940179,3142500.2,28.57142857142857,32.857142857142854
2/17/2015,PF-W3,0.51,0.51,0.47,0.47,-6.0,793200,382000,6790000,11420000.0,22912000.0,0.5199999999999999,0.5416666666666666,0.5596153846153848,-0.02233618233618262,-0.014163817663817779,2517280.2,28.57142857142857,31.428571428571434
2/18/2015,PF-W3,0.48,0.49,0.45,0.47,0.0,2510201,1178000,5083000,11896000.0,24085000.0,0.508,0.5341666666666666,0.5553846153846156,-0.024764957264957532,-0.01693304843304857,1973480.4,28.57142857142857,31.428571428571434
2/19/2015,PF-W3,0.48,0.48,0.47,0.48,2.13,102600,49000,3671000,11691000.0,24092000.0,0.492,0.5266666666666667,0.5515384615384618,-0.026752136752136835,-0.020366096866097007,1462260.2,28.57142857142857,30.0
