Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
11/11/2016,PHOL-W1,0.97,1.48,0.87,1.06,0.0,38987796,43479600,43479600,43479600.0,43479600.0,1.06,,,,,38987796.0,,
11/14/2016,PHOL-W1,1.07,1.19,1.0,1.0,-5.66,10622205,11681680,55161280,55161280.0,55161280.0,1.03,,,,,24805000.5,,
11/15/2016,PHOL-W1,1.02,1.07,1.0,1.01,1.0,3359606,3444220,58605500,58605500.0,58605500.0,1.0233333333333334,,,,,17656535.666666668,,
11/16/2016,PHOL-W1,1.04,1.11,1.02,1.03,1.98,4332654,4572000,63177500,63177500.0,63177500.0,1.0250000000000001,,,,,14325565.25,,
11/18/2016,PHOL-W1,1.02,1.02,0.92,0.94,-5.05,2348678,2286230,65463730,65463730.0,65463730.0,1.0080000000000002,,,,,11930187.8,,
11/21/2016,PHOL-W1,0.94,0.95,0.87,0.88,-6.38,1232782,1101370,23085500,66565100.0,66565100.0,0.9720000000000001,,,,,4379185.0,,
11/22/2016,PHOL-W1,0.91,0.93,0.87,0.88,0.0,1115600,994230,12398050,67559330.0,67559330.0,0.9480000000000001,,,,,2477864.0,,
11/23/2016,PHOL-W1,0.89,0.98,0.88,0.9,2.27,7648640,7074800,16028630,74634130.0,74634130.0,0.9259999999999999,,,,,3335670.8,,
11/24/2016,PHOL-W1,0.93,0.94,0.88,0.88,-2.22,2142770,1946510,13403140,76580640.0,76580640.0,0.8959999999999999,,,,,2897694.0,,
11/25/2016,PHOL-W1,0.9,0.9,0.88,0.88,0.0,2194524,1938190,13055100,78518830.0,78518830.0,0.884,,,,,2866863.2,,
11/28/2016,PHOL-W1,0.9,0.9,0.87,0.87,-1.14,413569,364370,12318100,78883200.0,78883200.0,0.882,,,,,2703020.6,,
11/29/2016,PHOL-W1,0.87,0.87,0.84,0.85,-2.3,755221,647150,11971020,79530350.0,79530350.0,0.876,0.9316666666666668,,,,2630944.8,,
11/30/2016,PHOL-W1,0.85,0.85,0.8,0.81,-4.71,428661,352170,5248390,79882520.0,79882520.0,0.858,0.9108333333333333,,,,1186949.0,,
12/1/2016,PHOL-W1,0.82,0.9,0.8,0.8,-1.23,3655191,3109950,6411830,39512870.0,82992470.0,0.842,0.8941666666666667,,,,1489433.2,21.42857142857143,21.42857142857143
12/2/2016,PHOL-W1,0.81,0.82,0.77,0.77,-3.75,594269,470010,4943650,28301200.0,83462480.0,0.82,0.8741666666666666,,,,1169382.2,21.42857142857143,21.42857142857143
12/6/2016,PHOL-W1,0.77,0.79,0.75,0.76,-1.3,291700,222170,4801450,25079150.0,83684650.0,0.798,0.8516666666666666,,,,1145008.4,21.42857142857143,21.42857142857143
12/7/2016,PHOL-W1,0.76,0.78,0.74,0.76,0.0,460000,348690,4502990,20855840.0,84033340.0,0.7799999999999999,0.8366666666666666,,,,1085964.2,14.285714285714292,19.642857142857146
12/8/2016,PHOL-W1,0.75,0.78,0.74,0.74,-2.63,715300,545830,4696650,19115440.0,84579170.0,0.766,0.8250000000000001,,,,1143292.0,7.142857142857139,17.142857142857146
12/9/2016,PHOL-W1,0.77,0.89,0.75,0.79,6.76,10415051,8701970,10288670,26716040.0,93281140.0,0.764,0.8174999999999999,,,,2495264.0,14.285714285714292,15.714285714285717
12/13/2016,PHOL-W1,0.8,0.85,0.78,0.83,5.06,6588500,5458660,15277320,31180470.0,98739800.0,0.776,0.8116666666666666,,,,3694110.2,21.42857142857143,15.714285714285717
12/14/2016,PHOL-W1,0.85,0.91,0.85,0.87,4.82,8621200,7517680,22572830,31623350.0,106257480.0,0.798,0.8108333333333334,,,,5360010.2,28.57142857142857,17.142857142857146
12/15/2016,PHOL-W1,0.87,0.93,0.86,0.86,-1.15,9626939,8576350,30800490,38253190.0,114833830.0,0.818,0.8091666666666666,,,,7193398.0,21.42857142857143,18.571428571428573
