Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
6/5/2017,PIMO-W1,1.36,1.46,1.22,1.22,0.0,20913885,28104890,28104890,28104890.0,28104890.0,1.22,,,,,20913885.0,,
6/6/2017,PIMO-W1,1.25,1.35,1.24,1.25,2.46,6831860,8785260,36890150,36890150.0,36890150.0,1.2349999999999999,,,,,13872872.5,,
6/7/2017,PIMO-W1,1.26,1.28,1.22,1.23,-1.6,2716611,3396390,40286540,40286540.0,40286540.0,1.2333333333333332,,,,,10154118.666666666,,
6/8/2017,PIMO-W1,1.24,1.24,1.18,1.19,-3.25,1721878,2071210,42357750,42357750.0,42357750.0,1.2225,,,,,8046058.5,,
6/9/2017,PIMO-W1,1.19,1.22,1.17,1.17,-1.68,653002,775390,43133140,43133140.0,43133140.0,1.212,,,,,6567447.2,,
6/12/2017,PIMO-W1,1.17,1.26,1.17,1.23,5.13,2628780,3235500,18263750,46368640.0,46368640.0,1.214,,,,,2910426.2,,
6/13/2017,PIMO-W1,1.29,1.47,1.28,1.32,7.32,32807060,45142790,54621280,91511430.0,91511430.0,1.2280000000000002,,,,,8105466.2,,
6/14/2017,PIMO-W1,1.32,1.32,1.26,1.28,-3.03,3346965,4306550,55531440,95817980.0,95817980.0,1.238,,,,,8231537.0,,
6/15/2017,PIMO-W1,1.27,1.31,1.24,1.26,-1.56,1266600,1607450,55067680,97425430.0,97425430.0,1.252,,,,,8140481.4,,
6/16/2017,PIMO-W1,1.26,1.34,1.26,1.28,1.59,3991440,5182030,59474320,102607460.0,102607460.0,1.274,,,,,8808169.0,,
6/19/2017,PIMO-W1,1.28,1.29,1.25,1.27,-0.78,882900,1120320,57359140,103727780.0,103727780.0,1.282,,,,,8458993.0,,
6/20/2017,PIMO-W1,1.27,1.28,1.25,1.26,-0.79,317658,400850,12617200,104128630.0,104128630.0,1.27,1.2466666666666664,,,,1961112.6,,
6/21/2017,PIMO-W1,1.27,1.28,1.25,1.26,0.0,1046700,1322650,9633300,105451280.0,105451280.0,1.266,1.2499999999999998,,,,1501059.6,,
6/22/2017,PIMO-W1,1.25,1.32,1.24,1.26,0.0,4180600,5366800,13392650,82713190.0,110818080.0,1.2659999999999998,1.2508333333333332,,,,2083859.6,28.57142857142857,28.57142857142857
6/23/2017,PIMO-W1,1.27,1.27,1.24,1.25,-0.79,431140,540500,8751120,74468430.0,111358580.0,1.26,1.2525,,,,1371799.6,28.57142857142857,28.57142857142857
