Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
8/13/2015,PIMO,3.4,3.56,2.02,2.5,92.31,824041711,2349721000,2349721000,2349721000.0,2349721000.0,2.5,,,,,824041711.0,,,2349721000.0,0.0
8/14/2015,PIMO,2.38,2.42,2.2,2.26,-9.6,220638502,508792000,2858513000,2858513000.0,2858513000.0,2.38,,,,,522340106.5,,,1429256500.0,0.0
8/17/2015,PIMO,2.2,2.2,2.02,2.02,-10.62,81074808,171069000,3029582000,3029582000.0,3029582000.0,2.26,,,,,375251673.6666667,,,1009860666.6666666,0.0
8/18/2015,PIMO,1.92,2.1,1.89,1.92,-4.95,95505900,189378000,3218960000,3218960000.0,3218960000.0,2.175,,,,,305315230.25,,,804740000.0,0.0
8/19/2015,PIMO,1.96,2.18,1.96,2.04,6.25,154466961,321685000,3540645000,3540645000.0,3540645000.0,2.148,,,,,275145576.4,,,708129000.0,0.0
8/20/2015,PIMO,2.12,2.14,2.0,2.04,0.0,51549055,107406000,1298330000,3648051000.0,3648051000.0,2.056,,,,,120647045.2,,,259666000.0,0.0
8/21/2015,PIMO,2.02,2.08,1.99,2.0,-1.96,29589120,59936000,849474000,3707987000.0,3707987000.0,2.004,,,,,82437168.8,,,169894800.0,0.0
8/24/2015,PIMO,1.96,1.98,1.68,1.68,-16.0,27442604,51311000,729716000,3759298000.0,3759298000.0,1.936,,,,,71710728.0,,,145943200.0,0.0
8/25/2015,PIMO,1.76,2.02,1.65,1.99,18.45,159358139,298842000,839180000,4058140000.0,4058140000.0,1.95,,,,,84481175.8,,,167836000.0,0.0
8/26/2015,PIMO,1.95,2.06,1.85,1.85,-7.04,81244391,159779000,677274000,4217919000.0,4217919000.0,1.912,,,,,69836661.8,,,135454800.0,0.0
8/27/2015,PIMO,1.9,1.98,1.87,1.89,2.16,36107002,69243000,639111000,4287162000.0,4287162000.0,1.882,,,,,66748251.2,,,127822200.0,0.0
8/28/2015,PIMO,1.92,2.0,1.86,1.86,-1.59,46620600,90294000,669469000,4377456000.0,4377456000.0,1.854,2.0041666666666664,,,,70154547.2,,,133893800.0,0.0
8/31/2015,PIMO,1.87,1.92,1.83,1.86,0.0,15806501,29669000,647827000,4407125000.0,4407125000.0,1.89,1.9508333333333328,,,,67827326.6,,,129565400.0,0.0
9/1/2015,PIMO,1.88,2.04,1.85,1.89,1.61,107156051,209087000,558072000,2266491000.0,4616212000.0,1.8700000000000003,1.92,,,,57386909.0,35.714285714285715,35.714285714285715,111614400.0,0.0
9/2/2015,PIMO,1.91,1.95,1.88,1.93,2.12,23091500,44281000,442574000,1801980000.0,4660493000.0,1.886,1.9125,,,,45756330.8,35.714285714285715,35.714285714285715,88514800.0,0.0
9/3/2015,PIMO,1.95,2.02,1.91,1.93,0.0,52436910,103595000,476926000,1734506000.0,4764088000.0,1.8940000000000001,1.913333333333333,,,,49022312.4,35.714285714285715,35.714285714285715,95385200.0,0.0
9/4/2015,PIMO,1.95,1.95,1.89,1.89,-2.07,15070770,28819000,415451000,1573947000.0,4792907000.0,1.9,1.9008333333333327,,,,42712346.4,35.714285714285715,35.714285714285715,83090200.0,0.0
9/7/2015,PIMO,1.9,1.96,1.89,1.93,2.12,19113000,36790000,422572000,1289052000.0,4829697000.0,1.9140000000000001,1.8916666666666664,,,,43373646.2,42.857142857142854,37.142857142857146,84514400.0,0.0
9/8/2015,PIMO,1.94,1.96,1.91,1.94,0.52,15194000,29455000,242940000,1211101000.0,4859152000.0,1.924,1.8866666666666667,,,,24981236.0,42.857142857142854,38.571428571428584,48588000.0,0.0
9/9/2015,PIMO,1.97,2.1,1.94,2.1,8.25,81367906,164040000,362699000,1315205000.0,5023192000.0,1.9580000000000002,1.9216666666666669,,,,36636517.2,50.0,41.42857142857143,72539800.0,0.0
9/10/2015,PIMO,2.04,2.16,2.02,2.08,-0.95,69536900,144123000,403227000,1408017000.0,5167315000.0,1.988,1.9291666666666671,,,,40056515.2,50.0,44.28571428571429,80645400.0,0.0
9/11/2015,PIMO,2.12,2.26,2.08,2.1,0.96,102115401,222254000,596662000,1331429000.0,5389569000.0,2.03,1.9500000000000004,,,,57465441.4,57.14285714285714,48.57142857142857,119332400.0,0.0
9/14/2015,PIMO,2.1,2.18,2.02,2.02,-3.81,44224800,92807000,652679000,1264457000.0,5482376000.0,2.048,1.9608333333333337,,,,62487801.4,50.0,50.0,130535800.0,0.0
9/15/2015,PIMO,2.04,2.1,1.94,1.95,-3.47,30889700,62175000,685399000,1257389000.0,5544551000.0,2.05,1.968333333333333,,,,65626941.4,50.0,51.42857142857142,137079800.0,0.0
9/16/2015,PIMO,1.97,1.99,1.94,1.97,1.03,11661900,22928000,544287000,1190023000.0,5567479000.0,2.024,1.9775,,,,51685740.2,50.0,51.42857142857142,108857400.0,0.0
9/17/2015,PIMO,1.98,2.02,1.95,1.96,-0.51,21059410,41750000,441914000,1202104000.0,5609229000.0,2.0,1.9833333333333327,1.984615384615385,-0.0030484330484332745,-0.0030484330484332745,41990242.2,50.0,51.42857142857142,88382800.0,0.0
9/18/2015,PIMO,1.97,2.02,1.95,1.95,-0.51,19007900,37597000,257257000,1030614000.0,5646826000.0,1.97,1.985,1.9634615384615384,0.017150997150996883,0.007051282051281805,25368742.0,50.0,50.0,51451400.0,0.0
9/21/2015,PIMO,1.96,2.02,1.95,2.0,2.56,40856402,81437000,245887000,1067770000.0,5728263000.0,1.966,1.9908333333333328,1.9534615384615388,0.03533475783475737,0.016479107312440327,24695062.4,50.0,50.0,49177400.0,0.0
9/22/2015,PIMO,2.02,2.04,1.94,1.94,-3.0,15907200,31557000,215269000,995732000.0,5759820000.0,1.964,1.995,1.950384615384616,0.036923076923076836,0.021590099715099453,21698562.4,42.857142857142854,48.57142857142857,43053800.0,0.0
9/23/2015,PIMO,1.95,1.99,1.94,1.96,1.03,13577800,26612000,218953000,993525000.0,5786432000.0,1.962,1.9975000000000005,1.9519230769230769,0.03920940170940157,0.02511396011395988,22081742.4,50.0,48.57142857142857,43790600.0,0.0
9/24/2015,PIMO,1.96,1.97,1.86,1.86,-5.1,12850900,24559000,201762000,981294000.0,5810991000.0,1.942,1.9908333333333328,1.9450000000000005,0.0320014245014244,0.032123931623931415,20440040.4,50.0,48.57142857142857,40352400.0,0.0
9/25/2015,PIMO,1.89,1.93,1.84,1.86,0.0,14783200,27843000,192008000,979682000.0,5838834000.0,1.9240000000000002,1.9708333333333328,1.938076923076924,0.021488603988603527,0.032991452991452744,19595100.4,42.857142857142854,47.14285714285714,38401600.0,0.0
9/28/2015,PIMO,1.86,1.86,1.76,1.76,-5.38,9287100,16789000,127360000,832431000.0,5855623000.0,1.876,1.9441666666666664,1.9288461538461537,-0.0005056980056981075,0.025823361823361646,13281240.0,35.714285714285715,44.28571428571429,25472000.0,0.0
9/29/2015,PIMO,1.74,1.82,1.72,1.8,2.27,14685900,26178000,121981000,714486000.0,5881801000.0,1.848,1.919166666666667,1.9334615384615383,-0.022742165242165102,0.013890313390313259,13036980.0,35.714285714285715,42.85714285714286,24396200.0,0.0
9/30/2015,PIMO,1.82,1.85,1.78,1.78,-1.11,11647200,21115000,116484000,513347000.0,3553195000.0,1.812,1.899166666666667,1.925384615384616,-0.03378205128205125,-0.0007079772079773061,12650860.0,35.714285714285715,40.00000000000001,23296800.0,0.0
10/1/2015,PIMO,1.79,1.83,1.77,1.79,0.56,8050500,14484000,106409000,435024000.0,3058887000.0,1.798,1.8858333333333333,1.9230769230769231,-0.04212962962962963,-0.015534188034188113,11690780.0,35.714285714285715,37.142857142857146,21281800.0,0.0
10/2/2015,PIMO,1.8,1.81,1.78,1.78,-0.56,3599100,6445000,85011000,379294000.0,2894263000.0,1.7819999999999998,1.87,1.9188461538461536,-0.052407407407407465,-0.03031339031339032,9453960.0,35.714285714285715,35.714285714285715,17002200.0,0.0
10/5/2015,PIMO,1.8,1.88,1.79,1.88,5.62,22281600,41075000,109297000,397441000.0,2745960000.0,1.8060000000000005,1.8633333333333333,1.9196153846153845,-0.05078347578347575,-0.040368945868945835,12052860.0,42.857142857142854,37.142857142857146,21859400.0,0.0
10/6/2015,PIMO,1.92,1.93,1.86,1.87,-0.53,23365900,44359000,127478000,400050000.0,2468634000.0,1.8200000000000005,1.856666666666667,1.92,-0.05757834757834712,-0.04733618233618224,13788860.0,35.714285714285715,37.142857142857146,25495600.0,0.0
10/7/2015,PIMO,1.9,1.91,1.86,1.87,0.0,15109900,28573000,134936000,391026000.0,2389801000.0,1.8380000000000003,1.8458333333333328,1.9192307692307689,-0.0660327635327631,-0.05378632478632461,14481400.0,35.714285714285715,37.142857142857146,26987200.0,0.0
10/8/2015,PIMO,1.88,1.89,1.86,1.86,-0.53,6212300,11642000,132094000,321231000.0,2341507000.0,1.8519999999999999,1.8391666666666664,1.9165384615384613,-0.06997863247863223,-0.059356125356125125,14113760.0,35.714285714285715,37.142857142857146,26418800.0,0.0
10/9/2015,PIMO,1.87,1.88,1.85,1.86,0.0,4167100,7767000,133416000,297441000.0,2297963000.0,1.868,1.830833333333333,1.9138461538461533,-0.07453703703703662,-0.06378205128205097,14227360.0,28.57142857142857,35.714285714285715,26683200.0,0.0
10/12/2015,PIMO,1.86,1.87,1.84,1.84,-1.08,3354401,6210000,98551000,277039000.0,2005331000.0,1.86,1.8291666666666664,1.9119230769230768,-0.07576210826210872,-0.06877777777777756,10441920.2,28.57142857142857,32.857142857142854,19710200.0,0.0
10/13/2015,PIMO,1.84,1.84,1.81,1.82,-1.09,3264300,5957000,60149000,258437000.0,1851509000.0,1.85,1.8258333333333328,1.907692307692308,-0.07626068376068362,-0.07251424501424486,6421600.2,21.42857142857143,30.0,12029800.0,0.0
10/14/2015,PIMO,1.83,1.86,1.82,1.82,0.0,5380400,9882000,41458000,240476000.0,1792148000.0,1.8400000000000003,1.830833333333333,1.903076923076924,-0.06775641025641033,-0.0728589743589743,4475700.2,21.42857142857143,27.142857142857146,8291600.0,2.0
10/15/2015,PIMO,1.84,1.85,1.81,1.82,0.0,4960000,9077000,38893000,232764000.0,1710931000.0,1.832,1.8325,1.8923076923076925,-0.05637464387464375,-0.0701381766381766,4225240.2,21.42857142857143,24.285714285714285,7778600.0,2.0
10/16/2015,PIMO,1.83,1.86,1.82,1.83,0.55,5348300,9833000,40959000,216419000.0,1691095000.0,1.826,1.836666666666667,1.882692307692308,-0.043148148148147936,-0.06386039886039888,4461480.2,28.57142857142857,24.285714285714285,8191800.0,2.0
