Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
2/17/2015,PLANB,5.0,5.25,4.4,4.78,139.0,1397014385,6891692000,6891692000,6891692000.0,6891692000.0,4.78,,,,,1397014385.0,,
2/18/2015,PLANB,4.84,4.96,4.46,4.54,-5.02,415959234,1967115000,8858807000,8858807000.0,8858807000.0,4.66,,,,,906486809.5,,
2/19/2015,PLANB,4.62,4.76,4.48,4.62,1.76,224863330,1039005000,9897812000,9897812000.0,9897812000.0,4.646666666666667,,,,,679278983.0,,
2/20/2015,PLANB,4.68,4.82,4.66,4.74,2.6,241706748,1147852000,11045664000,11045664000.0,11045664000.0,4.67,,,,,569885924.25,,
2/23/2015,PLANB,4.8,4.8,4.46,4.46,-5.91,106190818,487818000,11533482000,11533482000.0,11533482000.0,4.628,,,,,477146903.0,,
2/24/2015,PLANB,4.48,4.64,4.3,4.64,4.04,106720726,477335000,5119125000,12010817000.0,12010817000.0,4.6,,,,,219088171.2,,
2/25/2015,PLANB,4.74,4.74,4.56,4.58,-1.29,79392916,369543000,3521553000,12380360000.0,12380360000.0,4.608,,,,,151774907.6,,
2/26/2015,PLANB,4.62,4.64,4.36,4.46,-2.62,54404471,243945000,2726493000,12624305000.0,12624305000.0,4.5760000000000005,,,,,117683135.8,,
2/27/2015,PLANB,4.5,4.58,4.44,4.48,0.45,35267531,158667000,1737308000,12782972000.0,12782972000.0,4.524,,,,,76395292.4,,
3/2/2015,PLANB,4.38,4.42,4.32,4.34,-3.12,17295970,75556000,1325046000,12858528000.0,12858528000.0,4.5,,,,,58616322.8,,
3/3/2015,PLANB,4.34,4.34,4.0,4.08,-5.99,26020701,107436000,955147000,12965964000.0,12965964000.0,4.388,,,,,42476317.8,,
3/5/2015,PLANB,4.06,4.08,3.92,3.92,-3.92,16019622,63872000,649476000,13029836000.0,13029836000.0,4.256,4.47,,,,29801659.0,,
3/6/2015,PLANB,3.94,4.26,3.94,4.26,8.67,19442800,80553000,486084000,13110389000.0,13110389000.0,4.215999999999999,4.426666666666667,,,,22809324.8,,
3/9/2015,PLANB,4.2,4.3,4.14,4.3,0.94,9250377,39007000,366424000,6257704000.0,13149396000.0,4.180000000000001,4.406666666666666,,,,17605894.0,50.0,50.0
3/10/2015,PLANB,4.32,4.38,4.18,4.36,1.4,10359887,44624000,335492000,4335213000.0,13194020000.0,4.183999999999999,4.385,,,,16218677.4,50.0,50.0
3/11/2015,PLANB,4.3,4.36,4.26,4.34,-0.46,5909300,25505000,253561000,3321713000.0,13219525000.0,4.236,4.351666666666667,,,,12196397.2,50.0,50.0
3/12/2015,PLANB,4.32,4.32,4.2,4.3,-0.92,5352200,22820000,212509000,2196681000.0,13242345000.0,4.311999999999999,4.338333333333332,,,,10062912.8,42.857142857142854,48.214285714285715
3/13/2015,PLANB,4.28,4.28,4.12,4.26,-0.93,12910700,54135000,186091000,1762998000.0,13296480000.0,4.312,4.306666666666666,,,,8756492.8,35.71428571428572,45.714285714285715
3/16/2015,PLANB,4.2,4.2,4.06,4.08,-4.23,7046309,28910000,175994000,1314573000.0,13325390000.0,4.267999999999999,4.265,,,,8315679.2,35.71428571428572,42.85714285714286
3/17/2015,PLANB,4.04,4.16,3.94,4.16,1.96,9780203,39554000,170924000,984584000.0,13364944000.0,4.228,4.239999999999999,,,,8199742.4,35.71428571428572,40.00000000000001
3/18/2015,PLANB,4.14,4.2,4.08,4.14,-0.48,8608810,35673000,181092000,776312000.0,13400617000.0,4.188,4.211666666666666,,,,8739644.4,35.71428571428572,37.14285714285715
3/19/2015,PLANB,4.18,4.26,4.14,4.2,1.45,10999407,46072000,204344000,663717000.0,13446689000.0,4.168,4.2,,,,9869085.8,42.857142857142854,37.14285714285715
3/20/2015,PLANB,4.18,4.2,4.06,4.2,0.0,4815452,19996000,170205000,608157000.0,13466685000.0,4.156,4.210000000000001,,,,8250036.2,35.71428571428572,37.14285714285715
3/23/2015,PLANB,4.22,4.42,4.22,4.36,3.81,40414400,175589000,316884000,676310000.0,13642274000.0,4.212,4.246666666666667,,,,14923654.4,42.857142857142854,38.57142857142858
3/24/2015,PLANB,4.38,4.52,4.28,4.42,1.38,58463400,258512000,535842000,870950000.0,13900786000.0,4.264,4.260000000000001,,,,24660293.8,50.0,41.42857142857143
