Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
9/13/2017,PLANET,2.88,2.88,2.8,2.8,-0.71,101000,287890,287890,287890.0,287890.0,2.8,,,,,101000.0,,
9/14/2017,PLANET,2.88,2.88,2.8,2.8,0.0,11600,33010,320900,320900.0,320900.0,2.8,,,,,56300.0,,
9/15/2017,PLANET,2.8,2.84,2.76,2.84,1.43,230300,648120,969020,969020.0,969020.0,2.813333333333333,,,,,114300.0,,
9/18/2017,PLANET,2.86,2.86,2.84,2.86,0.7,103500,295100,1264120,1264120.0,1264120.0,2.8249999999999997,,,,,111600.0,,
9/19/2017,PLANET,2.84,2.92,2.84,2.92,2.1,320500,930520,2194640,2194640.0,2194640.0,2.844,,,,,153380.0,,
9/20/2017,PLANET,2.92,2.98,2.92,2.96,1.37,280400,828670,2735420,3023310.0,3023310.0,2.876,,,,,189260.0,,
9/21/2017,PLANET,2.96,2.96,2.92,2.92,-1.35,116200,342030,3044440,3365340.0,3365340.0,2.8999999999999995,,,,,210180.0,,
9/22/2017,PLANET,2.94,2.94,2.9,2.92,0.0,206700,604150,3000470,3969490.0,3969490.0,2.9159999999999995,,,,,205460.0,,
9/25/2017,PLANET,2.9,2.92,2.9,2.92,0.0,6800,19720,2725090,3989210.0,3989210.0,2.928,,,,,186120.0,,
9/26/2017,PLANET,2.88,2.9,2.88,2.9,-0.68,12500,36000,1830570,4025210.0,4025210.0,2.9240000000000004,,,,,124520.0,,
9/27/2017,PLANET,2.9,2.92,2.9,2.92,0.69,5500,16050,1017950,4041260.0,4041260.0,2.916,,,,,69540.0,,
9/28/2017,PLANET,2.9,2.92,2.86,2.92,0.0,6900,19780,695700,4061040.0,4061040.0,2.916,2.8900000000000006,,,,47680.0,,
9/29/2017,PLANET,2.94,3.0,2.92,2.92,0.0,526100,1565230,1656780,5626270.0,5626270.0,2.916,2.9000000000000004,,,,111560.0,,
10/2/2017,PLANET,2.92,2.94,2.9,2.94,0.68,55100,161230,1798290,5499610.0,5787500.0,2.92,2.9116666666666666,,,,121220.0,42.857142857142854,42.857142857142854
10/3/2017,PLANET,2.94,2.94,2.84,2.94,0.0,142800,415090,2177380,5881690.0,6202590.0,2.928,2.92,,,,147280.0,42.857142857142854,42.857142857142854
10/4/2017,PLANET,2.94,2.94,2.9,2.92,-0.68,57500,167900,2329230,5401470.0,6370490.0,2.928,2.9250000000000007,,,,157680.0,42.857142857142854,42.857142857142854
10/5/2017,PLANET,2.88,2.94,2.86,2.94,0.68,44000,126780,2436230,5233150.0,6497270.0,2.9319999999999995,2.926666666666667,,,,165100.0,42.857142857142854,42.857142857142854
10/6/2017,PLANET,2.88,2.94,2.88,2.88,-2.04,121602,352050,1223050,4654680.0,6849320.0,2.9240000000000004,2.9200000000000004,,,,84200.4,35.71428571428572,41.42857142857143
10/9/2017,PLANET,2.86,2.86,2.78,2.84,-1.39,105100,296760,1358580,4122770.0,7146080.0,2.904,2.913333333333334,,,,94200.4,28.57142857142857,38.57142857142857
10/10/2017,PLANET,2.82,2.88,2.8,2.88,1.41,108700,304670,1248160,4085410.0,7450750.0,2.8919999999999995,2.9100000000000006,,,,87380.4,28.57142857142857,35.71428571428571
10/11/2017,PLANET,2.86,2.88,2.8,2.86,-0.69,165200,466670,1546930,3947930.0,7917420.0,2.88,2.905,,,,108920.4,28.57142857142857,32.857142857142854
10/12/2017,PLANET,2.86,2.88,2.86,2.88,0.7,49400,141800,1561950,4070010.0,8059220.0,2.868,2.903333333333333,,,,110000.4,35.71428571428572,31.428571428571434
10/16/2017,PLANET,2.86,2.9,2.84,2.9,0.69,34200,97410,1307310,4131420.0,8156630.0,2.8720000000000003,2.901666666666666,,,,92520.0,42.857142857142854,32.857142857142854
10/17/2017,PLANET,2.84,2.88,2.84,2.86,-1.38,55700,158690,1169240,4274060.0,8315320.0,2.8760000000000003,2.8966666666666665,,,,82640.0,42.857142857142854,35.714285714285715
10/18/2017,PLANET,2.84,2.84,2.84,2.84,-0.7,1000,2840,867410,4257120.0,8318160.0,2.868,2.8899999999999992,,,,61100.0,35.71428571428572,37.142857142857146
10/19/2017,PLANET,2.82,2.82,2.8,2.8,-1.41,42900,120780,521520,2812670.0,8438940.0,2.8559999999999994,2.8783333333333325,2.887692307692308,-0.014914529914530572,-0.014914529914530572,36640.0,35.71428571428572,38.57142857142858
10/20/2017,PLANET,2.8,2.82,2.8,2.82,0.71,7200,20160,399880,2671600.0,8459100.0,2.844,2.8683333333333327,2.888461538461539,-0.022492877492878094,-0.018703703703704333,28200.0,42.857142857142854,40.00000000000001
10/24/2017,PLANET,2.82,2.84,2.82,2.84,0.71,4500,12720,315190,2269230.0,8471820.0,2.832,2.8616666666666664,2.8899999999999997,-0.02796296296296319,-0.021790123456790617,22260.0,42.857142857142854,40.00000000000001
10/25/2017,PLANET,2.78,2.86,2.78,2.86,0.7,119400,333270,489770,2434600.0,8805090.0,2.832,2.855,2.8907692307692305,-0.03272079772079772,-0.024522792022792395,35000.0,50.0,41.42857142857143
10/27/2017,PLANET,2.8,2.86,2.8,2.86,0.0,11700,32850,519780,2340670.0,8837940.0,2.8359999999999994,2.8533333333333335,2.8907692307692305,-0.03413105413105422,-0.02644444444444476,37140.0,50.0,44.28571428571429
10/31/2017,PLANET,2.8,2.84,2.8,2.84,-0.7,2300,6480,385320,1698340.0,8844420.0,2.844,2.853333333333333,2.8876923076923076,-0.032877492877493086,-0.03003703703703726,29020.0,42.857142857142854,45.714285714285715
11/1/2017,PLANET,2.8,2.86,2.76,2.86,0.7,97500,271280,643880,1664950.0,9115700.0,2.8519999999999994,2.8516666666666666,2.883846153846154,-0.029131054131054768,-0.031364672364672594,47080.0,50.0,47.142857142857146
11/2/2017,PLANET,2.78,2.86,2.78,2.86,0.0,9100,25420,336030,1223700.0,9141120.0,2.8559999999999994,2.8516666666666666,2.8815384615384616,-0.026994301994302194,-0.0311709401709404,48000.0,50.0,48.57142857142857
11/3/2017,PLANET,2.86,2.86,2.86,2.86,0.0,1700,4860,308040,1086760.0,8858090.0,2.8559999999999994,2.8499999999999996,2.879230769230769,-0.02626780626780656,-0.029880341880342165,24460.0,42.857142857142854,47.142857142857146
11/6/2017,PLANET,2.8,2.8,2.8,2.8,-2.1,25500,71400,379440,1060750.0,8896480.0,2.844,2.8416666666666663,2.8746153846153844,-0.03383190883190812,-0.029820512820512946,27220.0,42.857142857142854,45.714285714285715
11/7/2017,PLANET,2.8,2.8,2.8,2.8,0.0,25200,70560,443520,972620.0,8318920.0,2.836,2.8366666666666664,2.87076923076923,-0.034501424501423905,-0.03014529914529911,31800.0,35.71428571428572,44.28571428571429
11/8/2017,PLANET,2.8,2.86,2.8,2.86,2.14,26000,72860,245100,1042640.0,8096680.0,2.836,2.838333333333333,2.868461538461538,-0.026168091168091046,-0.029552706552706365,17500.0,35.71428571428572,41.42857142857143
11/9/2017,PLANET,2.86,2.86,2.8,2.8,-2.1,64300,180640,400320,1102500.0,7346800.0,2.8240000000000003,2.838333333333333,2.8638461538461533,-0.026680911680911024,-0.02949002849002813,28540.0,35.71428571428572,38.57142857142858
11/10/2017,PLANET,2.8,2.84,2.76,2.84,1.43,53600,149430,544890,1231770.0,6667560.0,2.8199999999999994,2.84,2.86076923076923,-0.01923076923076872,-0.028082621082620562,38920.0,42.857142857142854,38.57142857142858
11/13/2017,PLANET,2.8,2.8,2.76,2.76,-2.82,21700,60070,533560,1279120.0,6385600.0,2.8120000000000003,2.8333333333333335,2.8538461538461535,-0.024843304843304548,-0.026284900284899847,38160.0,42.857142857142854,38.57142857142858
11/14/2017,PLANET,2.76,2.78,2.76,2.78,0.72,20400,56330,519330,1002180.0,5837780.0,2.808,2.8266666666666667,2.8476923076923075,-0.023190883190883138,-0.024022792022791693,37200.0,42.857142857142854,40.00000000000001
11/16/2017,PLANET,2.78,2.82,2.78,2.78,0.0,43300,120890,567360,1090220.0,5938950.0,2.7919999999999994,2.8200000000000003,2.842307692307692,-0.023846153846153406,-0.023558404558404168,40660.0,35.71428571428572,40.00000000000001
11/20/2017,PLANET,2.72,2.78,2.7,2.78,-0.71,35600,96260,333550,1180000.0,5983160.0,2.7879999999999994,2.815,2.836153846153846,-0.022378917378917507,-0.022698005698005463,34920.0,28.57142857142857,38.57142857142857
11/21/2017,PLANET,2.74,2.86,2.68,2.82,1.44,173700,486140,759620,1394860.0,6449520.0,2.784,2.811666666666667,2.833846153846153,-0.01987179487179347,-0.022826210826210412,58940.0,35.71428571428572,37.142857142857146
11/22/2017,PLANET,2.8,2.8,2.76,2.8,-0.71,35700,99010,802300,1468450.0,4983300.0,2.7920000000000003,2.8066666666666666,2.8323076923076913,-0.024273504273502944,-0.022712250712250092,61740.0,35.71428571428572,35.71428571428572
11/23/2017,PLANET,2.78,2.78,2.76,2.76,-1.43,11600,32020,713430,1495610.0,4854090.0,2.788,2.798333333333334,2.827692307692307,-0.030242165242164276,-0.02412250712250632,59980.0,28.57142857142857,32.857142857142854
