Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
6/27/2016,PPS-W1,0.55,0.59,0.48,0.48,0.0,85792602,46587030,46587030,46587030.0,46587030.0,0.48,,,,,85792602.0,,,46587030.0,0.0
6/28/2016,PPS-W1,0.5,0.52,0.46,0.49,2.08,58814911,29104690,75691720,75691720.0,75691720.0,0.485,,,,,72303756.5,,,37845860.0,0.0
6/29/2016,PPS-W1,0.51,0.55,0.49,0.49,0.0,65258479,33681990,109373710,109373710.0,109373710.0,0.4866666666666666,,,,,69955330.66666667,,,36457903.333333336,0.0
6/30/2016,PPS-W1,0.5,0.5,0.48,0.48,-2.04,13128295,6417990,115791700,115791700.0,115791700.0,0.485,,,,,55748571.75,,,28947925.0,0.0
7/4/2016,PPS-W1,0.48,0.49,0.47,0.48,0.0,8565784,4069370,119861070,119861070.0,119861070.0,0.484,,,,,46312014.2,,,23972214.0,0.0
7/5/2016,PPS-W1,0.48,0.51,0.47,0.48,0.0,11621800,5708780,78982820,125569850.0,125569850.0,0.484,,,,,31477853.8,,,15796564.0,0.0
7/6/2016,PPS-W1,0.48,0.49,0.48,0.48,0.0,5824799,2812840,52690970,128382690.0,128382690.0,0.48200000000000004,,,,,20879831.4,,,10538194.0,0.0
7/7/2016,PPS-W1,0.49,0.5,0.48,0.48,0.0,10064122,4940570,23949550,133323260.0,133323260.0,0.48,,,,,9840960.0,,,4789910.0,0.0
7/8/2016,PPS-W1,0.49,0.49,0.48,0.48,0.0,5762125,2770880,20302440,136094140.0,136094140.0,0.48,,,,,8367726.0,,,4060488.0,0.0
7/11/2016,PPS-W1,0.49,0.49,0.48,0.48,0.0,6486682,3116230,19349300,139210370.0,139210370.0,0.48,,,,,7951905.6,,,3869860.0,0.0
7/12/2016,PPS-W1,0.48,0.5,0.48,0.48,0.0,16972220,8324750,21965270,147535120.0,147535120.0,0.48,,,,,9021989.6,,,4393054.0,0.0
7/13/2016,PPS-W1,0.48,0.49,0.48,0.49,2.08,5720089,2748190,21900620,150283310.0,150283310.0,0.48200000000000004,0.4825000000000001,,,,9001047.6,,,4380124.0,0.0
7/14/2016,PPS-W1,0.48,0.49,0.48,0.49,0.0,3364662,1634700,18594750,151918010.0,151918010.0,0.484,0.4833333333333334,,,,7661155.6,,,3718950.0,0.0
7/15/2016,PPS-W1,0.49,0.49,0.48,0.48,-2.04,1877400,911150,16735020,106242130.0,152829160.0,0.484,0.4825000000000001,,,,6884210.6,14.285714285714292,14.285714285714292,3347004.0,0.0
7/20/2016,PPS-W1,0.48,0.49,0.48,0.49,2.08,3193341,1551110,15169900,78688550.0,154380270.0,0.4859999999999999,0.4825000000000001,,,,6225542.4,21.42857142857143,17.857142857142858,3033980.0,0.0
