Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,PRINC,4.18,4.56,4.18,4.38,4.78,8229500,36216000,70082000,150401000.0,1380227000.0,4.38,,,,,8229500.0,,,36216000.0,0.0
1/6/2015,PRINC,4.36,4.5,4.26,4.5,2.74,4020300,17699000,83927000,147107000.0,1382648000.0,4.44,,,,,6124900.0,,,26957500.0,0.0
1/7/2015,PRINC,4.58,4.7,4.54,4.6,2.22,12103000,56104000,137370000,193413000.0,1430031000.0,4.493333333333333,,,,,8117600.0,,,36673000.0,0.0
1/8/2015,PRINC,4.62,4.82,4.56,4.72,2.61,16368100,77511000,200452000,257700000.0,1499350000.0,4.55,,,,,10180225.0,,,46882500.0,0.0
1/9/2015,PRINC,4.78,5.0,4.64,4.92,4.24,29694500,144834000,332364000,396002000.0,1414474000.0,4.624,,,,,14083080.0,,,66472800.0,0.0
1/12/2015,PRINC,4.98,5.15,4.86,4.86,-1.22,27828200,139515000,435663000,517336000.0,1036697000.0,4.7200000000000015,,,,,18002820.0,,,87132600.0,0.0
1/13/2015,PRINC,4.8,4.82,4.6,4.64,-4.53,11656110,54688000,472652000,568763000.0,1003879000.0,4.748,,,,,19529982.0,,,94530400.0,0.0
1/14/2015,PRINC,4.62,4.78,4.58,4.62,-0.43,5075700,23791000,440339000,586960000.0,884744000.0,4.752000000000002,,,,,18124522.0,,,88067800.0,0.0
1/15/2015,PRINC,4.64,4.98,4.64,4.88,5.63,12812200,62073000,424901000,646297000.0,880552000.0,4.784000000000002,,,,,17413342.0,,,84980200.0,0.0
1/16/2015,PRINC,4.88,4.98,4.8,4.84,-0.82,5575500,27315000,307382000,669758000.0,873380000.0,4.768,,,,,12589542.0,,,61476400.0,0.0
1/19/2015,PRINC,4.86,4.94,4.78,4.86,0.41,9370700,45696000,213563000,712793000.0,902178000.0,4.768,,,,,8898042.0,,,42712600.0,0.0
1/20/2015,PRINC,5.0,5.35,4.78,4.84,-0.41,100028232,513315000,672190000,1211679000.0,1399254000.0,4.808,4.721666666666667,,,,26572466.4,,,134438000.0,0.0
1/21/2015,PRINC,4.78,4.8,4.54,4.54,-6.2,29848300,138890000,787289000,1337647000.0,1530612000.0,4.792,4.735,,,,31526986.4,,,157457800.0,0.0
1/22/2015,PRINC,4.48,4.7,4.38,4.54,0.0,14496301,65569000,790785000,1367000000.0,1589825000.0,4.723999999999998,4.738333333333333,,,,31863806.6,50.0,50.0,158157000.0,0.0
1/23/2015,PRINC,4.54,4.62,4.4,4.44,-2.2,9481300,42653000,806123000,1391954000.0,1620571000.0,4.644,4.7250000000000005,,,,32644966.6,42.857142857142854,46.42857142857143,161224600.0,0.0
1/26/2015,PRINC,4.4,4.44,4.36,4.4,-0.9,2199300,9656000,770083000,1345506000.0,1621354000.0,4.552,4.698333333333333,,,,31210686.6,35.714285714285715,42.85714285714286,154016600.0,0.0
1/27/2015,PRINC,4.38,4.52,4.38,4.44,0.91,2479002,10959000,267727000,1278954000.0,1629559000.0,4.472,4.658333333333332,,,,11700840.6,35.714285714285715,41.071428571428584,53545400.0,0.0
1/28/2015,PRINC,4.4,4.76,4.4,4.76,7.21,7907500,36726000,165563000,1170846000.0,1657071000.0,4.516,4.65,,,,7312680.6,35.714285714285715,40.00000000000001,33112600.0,0.0
1/29/2015,PRINC,4.64,4.8,4.6,4.8,0.84,5825800,27422000,127416000,1058753000.0,1664018000.0,4.5680000000000005,4.663333333333332,,,,5578580.4,35.714285714285715,37.142857142857146,25483200.0,0.0
1/30/2015,PRINC,4.88,4.92,4.76,4.76,-0.83,6291600,30523000,115286000,1034588000.0,1690092000.0,4.632,4.674999999999999,,,,4940640.4,35.714285714285715,35.714285714285715,23057200.0,0.0
2/2/2015,PRINC,4.76,4.9,4.74,4.84,1.68,2898600,13973000,119603000,1024770000.0,1692201000.0,4.72,4.671666666666666,,,,5080500.4,42.857142857142854,37.142857142857146,23920600.0,0.0
