Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
9/14/2017,PRM,10.8,11.4,10.2,11.4,42.5,831244088,9001938970,9001938970,9001938970.0,9001938970.0,11.4,,,,,831244088.0,,,9001938970.0,0.0
9/15/2017,PRM,11.5,11.7,10.8,10.9,-4.39,332172484,3744585540,12746524510,12746524510.0,12746524510.0,11.15,,,,,581708286.0,,,6373262255.0,0.0
9/18/2017,PRM,11.0,11.3,10.3,10.3,-5.5,166327654,1787807900,14534332410,14534332410.0,14534332410.0,10.866666666666667,,,,,443248075.3333333,,,4844777470.0,0.0
9/19/2017,PRM,10.4,11.0,10.3,10.6,2.91,139493138,1483940360,16018272770,16018272770.0,16018272770.0,10.8,,,,,367309341.0,,,4004568192.5,0.0
9/20/2017,PRM,10.6,10.8,10.4,10.6,0.0,66340237,704977410,16723250180,16723250180.0,16723250180.0,10.760000000000002,,,,,307115520.2,,,3344650036.0,0.0
9/21/2017,PRM,10.7,10.9,10.6,10.6,0.0,61308374,656950180,8378261390,17380200360.0,17380200360.0,10.6,,,,,153128377.4,,,1675652278.0,0.0
9/22/2017,PRM,10.6,11.2,10.5,11.2,5.66,134736207,1472975180,6106651030,18853175540.0,18853175540.0,10.66,,,,,113641122.0,,,1221330206.0,0.0
9/25/2017,PRM,11.3,11.7,11.2,11.3,0.89,187622105,2151034650,6469877780,21004210190.0,21004210190.0,10.86,,,,,117900012.2,,,1293975556.0,0.0
9/26/2017,PRM,11.3,11.3,10.9,11.0,-2.65,98134333,1088000770,6073938190,22092210960.0,22092210960.0,10.94,,,,,109628251.2,,,1214787638.0,0.0
9/27/2017,PRM,11.1,11.2,10.9,11.0,0.0,55785871,616870660,5985831440,22709081620.0,22709081620.0,11.02,,,,,107517378.0,,,1197166288.0,0.0
9/28/2017,PRM,11.0,11.2,10.7,10.8,-1.82,49896456,547349900,5876231160,23256431520.0,23256431520.0,11.06,,,,,105234994.4,,,1175246232.0,0.0
9/29/2017,PRM,10.8,11.0,10.7,10.8,0.0,31005003,335049140,4738305120,23591480660.0,23591480660.0,10.98,10.875,,,,84488753.6,,,947661024.0,0.0
10/2/2017,PRM,10.9,11.1,10.8,10.9,0.93,23879154,260943720,2848214190,23852424380.0,23852424380.0,10.9,10.833333333333336,,,,51740163.4,,,569642838.0,0.0
10/3/2017,PRM,10.9,11.1,10.8,10.9,0.0,37603502,413965550,2174178970,15264450960.0,24266389930.0,10.88,10.833333333333336,,,,39633997.2,35.714285714285715,35.714285714285715,434835794.0,0.0
10/4/2017,PRM,11.0,11.0,10.7,10.7,-1.83,28524031,308774770,1866083080,11828640190.0,24575164700.0,10.82,10.866666666666667,,,,34181629.2,28.57142857142857,32.142857142857146,373216616.0,0.0
10/5/2017,PRM,10.8,11.5,10.8,11.3,5.61,150815834,1698665340,3017398520,11739497630.0,26273830040.0,10.919999999999998,10.925000000000002,,,,54365504.8,35.714285714285715,33.333333333333336,603479704.0,0.0
10/6/2017,PRM,11.5,11.8,11.3,11.3,0.0,200664561,2317453420,4999802800,12573010690.0,28591283460.0,11.02,10.983333333333334,,,,88297416.4,35.714285714285715,33.92857142857143,999960560.0,0.0
10/9/2017,PRM,11.4,11.5,11.1,11.2,-0.88,38262868,432236940,5171096020,12300270220.0,29023520400.0,11.080000000000002,11.033333333333333,,,,91174159.2,28.57142857142857,32.857142857142854,1034219204.0,0.0
10/10/2017,PRM,11.2,12.0,11.2,12.0,7.14,162842567,1914859530,6671990000,13558179570.0,30938379930.0,11.3,11.1,,,,116221972.2,35.714285714285715,32.85714285714286,1334398000.0,0.0
10/11/2017,PRM,12.2,12.2,11.8,12.0,0.0,94785433,1136655480,7499870710,13221859870.0,32075035410.0,11.56,11.158333333333333,,,,129474252.6,35.714285714285715,34.285714285714285,1499974142.0,0.0
10/12/2017,PRM,12.1,12.9,12.1,12.6,5.0,132813351,1659765740,7460971110,12730590960.0,33734801150.0,11.82,11.291666666666664,,,,125873756.0,35.714285714285715,34.285714285714285,1492194222.0,0.0
10/16/2017,PRM,12.7,13.2,12.5,13.2,4.76,94302400,1217780870,6361298560,12860371060.0,34952582020.0,12.2,11.475,,,,104601323.8,35.714285714285715,34.285714285714285,1272259712.0,0.0
10/17/2017,PRM,13.3,13.5,12.9,13.1,-0.76,113494430,1501267760,7430329380,13744768160.0,36453849780.0,12.58,11.666666666666664,,,,119647636.2,35.714285714285715,35.714285714285715,1486065876.0,0.0
10/18/2017,PRM,13.2,13.5,13.0,13.2,0.76,64996922,858425010,6373894860,14055843270.0,37312274790.0,12.82,11.866666666666665,,,,100078507.2,42.857142857142854,37.142857142857146,1274778972.0,0.0
10/19/2017,PRM,13.1,13.3,12.7,12.7,-3.79,89888167,1158737820,6395977200,14879531950.0,38471012610.0,12.96,12.016666666666666,,,,99099054.0,42.857142857142854,38.571428571428584,1279195440.0,0.0
10/20/2017,PRM,12.7,13.3,12.7,13.3,4.72,62894970,819185760,5555397220,15437773990.0,39290198370.0,13.1,12.216666666666667,11.496153846153845,0.7535612535612533,0.7535612535612533,85115377.8,50.0,41.42857142857143,1111079444.0,0.0
10/24/2017,PRM,12.7,13.3,12.7,13.3,4.72,62894970,819185760,5156802110,15842994200.0,40109384130.0,13.12,12.433333333333335,11.569230769230769,0.8692307692307697,0.8113960113960115,78833891.8,50.0,44.28571428571429,1031360422.0,0.0
10/25/2017,PRM,13.9,13.9,13.6,13.8,0.73,60596753,833336120,4488870470,16367555550.0,40942720250.0,13.26,12.641666666666667,11.680769230769231,0.982122507122506,0.868304843304843,68254356.4,57.14285714285714,48.57142857142857,897774094.0,0.0
10/27/2017,PRM,13.9,14.1,13.7,13.7,-0.72,65316832,909069310,4539514770,15577959520.0,41851789560.0,13.36,12.841666666666667,11.81153846153846,1.022293447293448,0.9068019943019944,68318338.4,57.14285714285714,51.42857142857142,907902954.0,0.0
10/30/2017,PRM,13.8,13.8,13.3,13.5,-1.46,66072245,892803510,4273580460,14153309610.0,42744593070.0,13.52,13.033333333333333,11.923076923076925,1.0652421652421626,0.9384900284900279,63555154.0,50.0,52.85714285714285,854716092.0,0.0
10/31/2017,PRM,13.4,13.8,13.4,13.4,-0.74,45446338,616192430,4070587130,14337265100.0,43360785500.0,13.54,13.15,12.030769230769227,1.0562678062678064,0.9990313390313386,60065427.6,50.0,52.85714285714285,814117426.0,0.0
11/1/2017,PRM,13.5,13.8,13.4,13.5,0.75,52777938,716057610,3967458980,13138463180.0,44076843110.0,13.580000000000002,13.275,12.14230769230769,1.0667378917378922,1.038532763532763,58042021.2,57.14285714285714,54.28571428571429,793491796.0,0.0
11/2/2017,PRM,13.6,13.8,13.3,13.3,-1.48,40457173,547068070,3681190930,12548875770.0,44623911180.0,13.48,13.333333333333336,12.22307692307692,1.0253561253561276,1.0471794871794873,54014105.2,50.0,52.85714285714285,736238186.0,0.0
11/3/2017,PRM,13.4,13.4,12.6,12.6,-5.26,96154341,1236663560,4008785180,12125773590.0,45860574740.0,13.26,13.283333333333333,12.273076923076921,0.8809116809116819,1.0189031339031345,60181607.0,50.0,51.42857142857142,801757036.0,0.0
11/6/2017,PRM,12.6,13.0,12.4,12.9,2.38,47453103,607212910,3723194580,11515205630.0,37465848680.0,13.14,13.266666666666667,12.346153846153848,0.8230769230769237,0.9704700854700864,56457778.6,50.0,51.42857142857142,744638916.0,0.0
11/7/2017,PRM,13.0,13.1,12.4,12.5,-3.1,54538955,690736600,3797738750,10704674470.0,34411999740.0,12.96,13.208333333333336,12.403846153846152,0.6883903133903146,0.896894586894588,58276302.0,42.857142857142854,50.0,759547750.0,0.0
11/8/2017,PRM,12.6,13.0,12.5,12.8,2.4,36771548,467915100,3549596240,10314164560.0,33092106940.0,12.82,13.216666666666667,12.480769230769232,0.6481481481481506,0.8131766381766397,55075024.0,50.0,48.57142857142857,709919248.0,0.0
11/9/2017,PRM,12.9,13.1,12.7,13.0,1.56,36783525,476616750,3479144920,9632043490.0,32084783330.0,12.76,13.191666666666668,12.565384615384614,0.564601139601141,0.7210256410256424,54340294.4,50.0,48.57142857142857,695828984.0,0.0
11/10/2017,PRM,13.0,13.0,12.5,12.5,-3.85,31994510,406627410,2649108770,9219485140.0,31786433330.0,12.74,13.125,12.626923076923076,0.4113247863247853,0.6271082621082631,41508328.2,50.0,48.57142857142857,529821754.0,0.0
11/13/2017,PRM,12.3,12.5,12.0,12.0,-4.0,36575100,445166450,2487062310,8845465830.0,31574649600.0,12.56,12.975,12.669230769230769,0.20534188034187828,0.5035612535612539,39332727.6,42.857142857142854,47.14285714285714,497412462.0,0.0
11/14/2017,PRM,11.7,12.2,11.6,12.1,0.83,47069050,561556390,2357882100,8573686100.0,30663230810.0,12.48,12.841666666666667,12.723076923076926,0.05064102564102413,0.3760113960113959,37838746.6,42.857142857142854,47.14285714285714,471576420.0,0.0
11/16/2017,PRM,12.5,12.7,12.3,12.3,-0.81,30208243,377491650,2267458650,8042108440.0,28889687810.0,12.38,12.741666666666667,12.761538461538464,-0.05363247863248155,0.23565527065526945,36526085.6,35.714285714285715,44.28571428571429,453491730.0,0.0
11/17/2017,PRM,12.4,12.6,12.4,12.5,1.63,20804815,260387290,2051229190,7409692220.0,28062074330.0,12.28,12.666666666666664,12.80769230769231,-0.14387464387464632,0.09396011396011196,33330343.6,42.857142857142854,42.85714285714286,410245838.0,0.0
11/20/2017,PRM,12.6,12.6,12.3,12.4,-0.8,11089301,137820060,1782421840,6931319850.0,27583023730.0,12.260000000000002,12.575,12.853846153846153,-0.27215099715099456,-0.042735042735044006,29149301.8,42.857142857142854,41.42857142857143,356484368.0,0.0
11/21/2017,PRM,12.4,12.5,12.0,12.2,-1.61,25057200,307820660,1645076050,6523082900.0,27343494490.0,12.3,12.483333333333333,12.86153846153846,-0.37279202279202295,-0.15836182336182425,26845721.8,42.857142857142854,41.42857142857143,329015210.0,0.0
11/22/2017,PRM,12.2,12.6,12.1,12.3,0.82,35236101,434588740,1518108400,6410603570.0,27443034090.0,12.34,12.458333333333336,12.873076923076924,-0.3966524216524192,-0.2478205128205129,24479132.0,42.857142857142854,41.42857142857143,303621680.0,0.0
11/23/2017,PRM,12.3,12.3,11.6,11.6,-5.69,47420280,563598700,1704215450,5737538710.0,27745689070.0,12.2,12.35,12.834615384615386,-0.5085470085470103,-0.3388034188034187,27921539.4,42.857142857142854,42.857142857142854,340843090.0,0.0
11/24/2017,PRM,11.7,11.9,11.5,11.5,-0.86,25743610,300240570,1744068730,5430566370.0,27631964090.0,12.000000000000002,12.266666666666667,12.769230769230768,-0.5264957264957246,-0.4153276353276344,28909298.4,42.857142857142854,42.857142857142854,348813746.0,0.0
11/27/2017,PRM,11.6,11.6,10.9,11.0,-4.35,30355583,339763030,1946011700,5079592800.0,27662952350.0,11.72,12.116666666666667,12.68846153846154,-0.6185185185185205,-0.4846011396011395,32762554.8,35.714285714285715,41.42857142857143,389202340.0,0.0
11/28/2017,PRM,11.1,11.3,11.0,11.1,0.91,28310344,315580760,1953771800,4927258460.0,26279867770.0,11.5,11.958333333333336,12.60769230769231,-0.6697293447293458,-0.543988603988604,33413183.6,42.857142857142854,41.42857142857143,390754360.0,0.0
11/29/2017,PRM,11.2,11.7,11.1,11.5,3.6,43994531,502280370,2021463430,4952922080.0,24464694720.0,11.34,11.875,12.561538461538465,-0.6655982905982913,-0.5977777777777785,35164869.6,42.857142857142854,41.42857142857143,404292686.0,0.0
11/30/2017,PRM,11.4,11.5,11.1,11.2,-2.61,21019880,235745840,1693610570,4782040510.0,24268203620.0,11.26,11.808333333333332,12.480769230769234,-0.6711538461538495,-0.6302991452991463,29884789.6,35.714285714285715,40.00000000000001,338722114.0,0.0
12/1/2017,PRM,11.2,11.4,11.2,11.2,0.0,14076600,158605620,1551975620,4495479680.0,22511949710.0,11.2,11.733333333333333,12.4,-0.659829059829061,-0.6569658119658136,27551387.6,35.714285714285715,38.571428571428584,310395124.0,0.0
12/4/2017,PRM,11.3,11.3,9.8,9.95,-11.16,90511703,947670530,2159883120,4881593820.0,22322964760.0,10.99,11.5375,12.251923076923076,-0.7881410256410266,-0.6908903133903148,39582611.6,35.714285714285715,38.571428571428584,431976624.0,0.0
12/6/2017,PRM,9.95,10.2,9.85,10.1,1.51,46330795,465125680,2309428040,4969227850.0,21128324700.0,10.79,11.3375,12.113461538461538,-0.8172008547008538,-0.7203846153846165,43186701.8,35.714285714285715,37.142857142857146,461885608.0,0.0
12/7/2017,PRM,10.1,10.2,10.0,10.0,-0.99,10648900,107029700,1914177370,4815870260.0,20017573530.0,10.489999999999998,11.1375,11.978846153846153,-0.8697649572649553,-0.7612179487179492,36517575.6,35.714285714285715,35.714285714285715,382835474.0,0.0
12/8/2017,PRM,10.1,10.6,10.0,10.2,2.0,46169283,476250510,2154682040,5154300710.0,18992556280.0,10.29,10.970833333333333,11.855769230769232,-0.8808760683760681,-0.803162393162393,41547456.2,35.714285714285715,35.714285714285715,430936408.0,0.0
12/12/2017,PRM,10.2,10.3,9.6,9.6,-5.88,43987000,433505610,2429582030,5279985660.0,18567636880.0,9.97,10.745833333333335,11.705769230769231,-0.9802350427350408,-0.8672435897435892,47529536.2,35.714285714285715,35.714285714285715,485916406.0,0.0
12/13/2017,PRM,9.7,10.2,9.65,10.1,5.21,29148398,291493040,1773404540,5136889960.0,17700392100.0,10.0,10.620833333333332,11.582692307692303,-0.932158119658121,-0.8960470085470078,35256875.2,42.857142857142854,37.142857142857146,354680908.0,0.0
12/14/2017,PRM,10.1,10.2,10.0,10.0,-0.99,4537907,45721950,1354000810,4619013210.0,16926928290.0,9.98,10.495833333333332,11.482692307692304,-0.9533119658119666,-0.9232692307692304,26898297.6,35.714285714285715,37.142857142857146,270800162.0,0.0
12/15/2017,PRM,9.95,10.2,9.95,10.0,0.0,6423174,64577180,1311548290,4383349820.0,16172319710.0,9.98,10.4125,11.371153846153845,-0.9205484330484328,-0.933425925925926,26053152.4,35.714285714285715,37.142857142857146,262309658.0,0.0
12/18/2017,PRM,10.1,10.4,10.0,10.3,3.0,9259870,94873220,930171000,4138460010.0,15433856810.0,10.0,10.345833333333333,11.286538461538461,-0.8746794871794883,-0.9321866096866099,18671269.8,42.857142857142854,38.571428571428584,186034200.0,0.0
12/19/2017,PRM,10.3,10.4,10.0,10.1,-1.94,9457920,96366320,593031710,3919245570.0,14621153820.0,10.1,10.229166666666664,11.182692307692303,-0.8931980056980056,-0.9147792022792028,11765453.8,42.857142857142854,40.00000000000001,118606342.0,0.0
12/20/2017,PRM,10.1,10.4,9.9,9.95,-1.49,20958400,210917240,512455910,3627882440.0,13939267550.0,10.07,10.125,11.065384615384614,-0.8846866096866091,-0.9052849002849004,10127454.2,35.714285714285715,38.571428571428584,102491182.0,0.0
12/21/2017,PRM,10.0,10.1,10.0,10.0,0.5,4535700,45395530,512129490,3437532130.0,13368470650.0,10.07,10.025,10.969230769230766,-0.8762820512820486,-0.8898789173789169,10127012.8,35.714285714285715,38.571428571428584,102425898.0,0.0
12/22/2017,PRM,10.0,10.0,9.9,9.95,-0.5,3582800,35714270,483266580,3314640780.0,12688127310.0,10.06,10.025,10.890384615384617,-0.8072649572649553,-0.8672222222222213,9558938.0,35.714285714285715,38.571428571428584,96653316.0,0.0
12/25/2017,PRM,10.1,10.1,9.95,10.0,0.5,6319600,63200920,451594280,2430171170.0,12204260160.0,10.0,10.016666666666667,10.80961538461538,-0.7355413105413059,-0.8393945868945849,8970884.0,42.857142857142854,38.571428571428584,90318856.0,0.0
12/26/2017,PRM,10.1,10.3,10.0,10.1,1.0,13287000,134412910,489640870,2099458400.0,11102009510.0,10.0,10.025,10.724999999999998,-0.6421652421652411,-0.789188034188032,9736700.0,50.0,40.00000000000001,97928174.0,0.0
12/27/2017,PRM,10.1,10.2,10.0,10.0,-0.99,5386930,54297270,333020900,2046725970.0,10549093870.0,10.01,10.008333333333333,10.628846153846156,-0.5752136752136767,-0.7272934472934456,6622406.0,42.857142857142854,41.42857142857143,66604180.0,0.0
12/28/2017,PRM,10.0,10.1,9.9,10.0,0.0,8422719,84051640,371677010,1654527100.0,9942408910.0,10.01,10.041666666666666,10.536538461538461,-0.4615384615384599,-0.6443447293447278,7399809.8,42.857142857142854,42.85714285714286,74335402.0,0.0
12/29/2017,PRM,10.0,10.2,9.95,10.2,2.0,5510800,55806420,391769160,1276827910.0,9530300230.0,10.06,10.05,10.459615384615383,-0.3673076923076923,-0.5563532763532753,7785409.8,42.857142857142854,44.28571428571429,78353832.0,0.0
1/3/2018,PRM,10.2,10.2,9.95,10.0,-1.96,15326301,153388390,481956630,1138723260.0,9207071870.0,10.06,10.05,10.371153846153844,-0.3013532763532769,-0.4695156695156694,9586750.0,42.857142857142854,44.28571428571429,96391326.0,0.0
1/4/2018,PRM,10.1,10.8,10.0,10.7,7.0,96748862,1016250000,1363793720,2109251310.0,9816694460.0,10.18,10.108333333333333,10.336538461538463,-0.1641025641025653,-0.37390313390313423,26279122.4,42.857142857142854,42.857142857142854,272758744.0,0.0
1/5/2018,PRM,10.9,11.0,10.7,10.9,1.87,20839939,226489490,1535985940,2271163620.0,9598017500.0,10.36,10.158333333333333,10.313461538461537,-0.08447293447293269,-0.2757549857549854,29369724.2,50.0,44.28571428571429,307197188.0,0.0
1/8/2018,PRM,11.0,11.6,11.0,11.2,2.75,49792538,563585860,2015520160,2739876260.0,9600046970.0,10.6,10.250000000000002,10.321153846153843,0.009900284900290046,-0.18146723646723545,37643688.0,57.14285714285714,47.14285714285714,403104032.0,0.0
1/9/2018,PRM,11.3,11.4,11.0,11.1,-0.89,31632918,353024210,2312737950,2996534150.0,9575579530.0,10.78,10.345833333333333,10.321153846153843,0.08301282051282223,-0.09140313390313252,42868111.6,50.0,48.57142857142857,462547590.0,0.0
1/10/2018,PRM,11.2,11.4,11.1,11.2,0.9,22627925,253217100,2412566660,3038834010.0,9568409340.0,11.02,10.445833333333336,10.30961538461538,0.18628917378918075,0.006125356125359005,44328436.4,57.14285714285714,51.42857142857142,482513332.0,0.0
1/12/2018,PRM,11.2,11.4,11.1,11.2,0.9,10779000,121106560,1517423220,3114545040.0,9551695840.0,11.12,10.55,10.309615384615384,0.2744301994302045,0.09383190883191296,27134464.0,64.28571428571428,55.71428571428571,303484644.0,0.0
1/15/2018,PRM,11.2,11.2,10.5,10.6,-5.36,38677220,413939010,1704872740,3492769780.0,9657814190.0,11.06,10.6,10.286538461538461,0.29024216524216584,0.16877492877493264,30701920.2,57.14285714285714,57.14285714285713,340974548.0,0.0
1/16/2018,PRM,10.5,10.8,10.4,10.4,-1.89,13728817,144690820,1285977700,3574259680.0,9367916270.0,10.9,10.625,10.30384615384615,0.27941595441595624,0.22267806267806592,23489176.0,57.14285714285714,57.14285714285713,257195540.0,0.0
1/17/2018,PRM,10.3,10.7,10.3,10.4,0.0,9411710,98467300,1031420790,3538314070.0,8902784870.0,10.76,10.658333333333333,10.315384615384612,0.2969373219373228,0.265462962962966,19044934.4,50.0,57.14285714285713,206284158.0,0.0
1/18/2018,PRM,10.5,10.7,10.4,10.5,0.96,10895805,115161160,893364850,3599177960.0,8717705460.0,10.62,10.7,10.334615384615383,0.32236467236467625,0.2926780626780651,16698510.4,50.0,55.71428571428571,178672970.0,0.0
1/19/2018,PRM,10.5,10.6,10.3,10.4,-0.95,7433500,77526360,849784650,3592652680.0,8455468790.0,10.46,10.716666666666667,10.342307692307688,0.32136752136752555,0.30206552706552936,16029410.4,50.0,52.85714285714285,169956930.0,0.0
1/22/2018,PRM,10.4,10.6,10.4,10.4,0.0,4635365,48536160,484381800,3585382420.0,8188424190.0,10.42,10.75,10.37307692307692,0.3210826210826223,0.3082336182336206,9221039.4,50.0,51.42857142857142,96876360.0,0.0
