Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
7/7/2015,PSL-W1,5.0,5.0,3.02,3.06,0.0,11373507,45330000,45330000,45330000.0,45330000.0,3.06,,,,,11373507.0,,
7/8/2015,PSL-W1,3.12,3.34,2.88,3.0,-1.96,4381110,13659000,58989000,58989000.0,58989000.0,3.0300000000000002,,,,,7877308.5,,
7/9/2015,PSL-W1,3.1,3.7,3.02,3.5,16.67,15677293,54501000,113490000,113490000.0,113490000.0,3.186666666666667,,,,,10477303.333333334,,
7/10/2015,PSL-W1,3.78,3.96,3.5,3.58,2.29,9638221,35750000,149240000,149240000.0,149240000.0,3.285,,,,,10267532.75,,
7/13/2015,PSL-W1,3.62,3.64,3.32,3.4,-5.03,4028771,13931000,163171000,163171000.0,163171000.0,3.308,,,,,9019780.4,,
7/14/2015,PSL-W1,3.48,4.16,3.48,3.88,14.12,23909875,93665000,211506000,256836000.0,256836000.0,3.472,,,,,11527054.0,,
7/15/2015,PSL-W1,3.82,3.84,3.5,3.5,-9.79,5185812,19094000,216941000,275930000.0,275930000.0,3.572,,,,,11687994.4,,
7/16/2015,PSL-W1,3.62,3.84,3.54,3.6,2.86,7509570,27652000,190092000,303582000.0,303582000.0,3.592,,,,,10054449.8,,
7/17/2015,PSL-W1,3.7,4.0,3.68,3.76,4.44,15406567,59107000,213449000,362689000.0,362689000.0,3.628,,,,,11208119.0,,
7/20/2015,PSL-W1,3.84,4.04,3.72,3.74,-0.53,13425983,52083000,251601000,414772000.0,414772000.0,3.696,,,,,13087561.4,,
7/21/2015,PSL-W1,3.76,3.8,3.4,3.44,-8.02,4776104,17088000,175024000,431860000.0,431860000.0,3.6079999999999997,,,,,9260807.2,,
7/22/2015,PSL-W1,3.44,3.76,3.44,3.76,9.3,4759586,17275000,173205000,449135000.0,449135000.0,3.6599999999999993,3.518333333333333,,,,9175562.0,,
7/23/2015,PSL-W1,3.76,3.96,3.46,3.48,-7.45,8899650,32792000,178345000,481927000.0,481927000.0,3.636,3.553333333333333,,,,9453578.0,,
7/24/2015,PSL-W1,3.46,3.62,3.4,3.4,-2.3,2830843,9926000,129164000,446523000.0,491853000.0,3.564,3.586666666666666,,,,6938433.2,42.857142857142854,42.857142857142854
7/27/2015,PSL-W1,3.4,3.42,3.24,3.26,-4.12,771971,2547000,79628000,435411000.0,494400000.0,3.468,3.5666666666666664,,,,4407630.8,42.857142857142854,42.857142857142854
7/28/2015,PSL-W1,3.28,3.3,3.16,3.22,-1.23,523254,1683000,64223000,382593000.0,496083000.0,3.4240000000000004,3.5366666666666666,,,,3557060.8,42.857142857142854,42.857142857142854
7/29/2015,PSL-W1,3.26,3.38,3.2,3.24,0.62,1521979,4997000,51945000,351840000.0,501080000.0,3.3200000000000003,3.5233333333333334,,,,2909539.4,42.857142857142854,42.857142857142854
7/31/2015,PSL-W1,3.3,3.34,3.24,3.3,1.85,787792,2598000,21751000,340507000.0,503678000.0,3.2840000000000003,3.4749999999999996,,,,1287167.8,42.857142857142854,42.857142857142854
8/3/2015,PSL-W1,3.32,3.56,3.32,3.44,4.24,3781370,13015000,24840000,259857000.0,516693000.0,3.2920000000000003,3.4699999999999993,,,,1477273.2,50.0,44.285714285714285
8/4/2015,PSL-W1,3.32,3.32,3.22,3.24,-5.81,2564625,8397000,30690000,249160000.0,525090000.0,3.2880000000000003,3.4399999999999995,,,,1835804.0,42.857142857142854,44.285714285714285
8/5/2015,PSL-W1,3.32,3.34,3.24,3.26,0.62,641848,2111000,31118000,223619000.0,527201000.0,3.2960000000000003,3.3983333333333334,,,,1859522.8,50.0,45.714285714285715
8/6/2015,PSL-W1,3.3,3.34,3.2,3.2,-1.84,496942,1620000,27741000,166132000.0,528821000.0,3.2880000000000003,3.3533333333333335,,,,1654515.4,42.857142857142854,45.714285714285715
8/7/2015,PSL-W1,3.2,3.26,3.2,3.24,1.25,174619,564000,25707000,114613000.0,529385000.0,3.2760000000000007,3.3366666666666673,,,,1531880.8,42.857142857142854,45.714285714285715
8/10/2015,PSL-W1,3.2,3.4,3.2,3.24,0.0,1321516,4330000,17022000,101855000.0,533715000.0,3.2359999999999998,3.2933333333333343,,,,1039910.0,42.857142857142854,44.28571428571429
8/11/2015,PSL-W1,3.3,3.3,3.14,3.14,-3.09,197352,629000,9254000,85209000.0,534344000.0,3.2159999999999997,3.265,,,,566455.4,42.857142857142854,44.28571428571429
8/13/2015,PSL-W1,3.04,3.04,2.9,2.94,-6.37,464199,1377000,8520000,53794000.0,535721000.0,3.152,3.2266666666666666,3.377692307692307,-0.1627065527065521,-0.1627065527065521,530925.6,35.71428571428572,41.42857142857143
