Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,PSL,13.7,13.8,13.5,13.6,0.0,1307730,17803000,120413000,601904000.0,1232827000.0,13.6,,,,,1307730.0,,
1/6/2015,PSL,13.6,13.6,13.3,13.4,-1.47,2248200,30145000,122927000,563130000.0,1214517000.0,13.5,,,,,1777965.0,,
1/7/2015,PSL,13.5,13.5,13.3,13.4,0.0,1598308,21444000,133633000,513964000.0,1221646000.0,13.466666666666667,,,,,1718079.3333333333,,
1/8/2015,PSL,13.6,14.0,13.5,13.7,2.24,6631801,91060000,195472000,500118000.0,1291144000.0,13.524999999999999,,,,,2946509.75,,
1/9/2015,PSL,13.9,14.8,13.9,14.6,6.57,3940535,56307000,216759000,478903000.0,1340139000.0,13.739999999999998,,,,,3145314.8,,
1/12/2015,PSL,14.8,15.2,14.6,14.9,2.05,2926620,43717000,242673000,473616000.0,1358974000.0,14.0,,,,,3469092.8,,
1/13/2015,PSL,15.1,15.5,15.0,15.3,2.68,4964400,75986000,288514000,535179000.0,1414325000.0,14.38,,,,,4012332.8,,
1/14/2015,PSL,15.6,15.8,15.1,15.2,-0.65,3649301,56417000,323487000,526155000.0,1466073000.0,14.74,,,,,4422531.4,,
1/15/2015,PSL,15.3,15.3,14.9,15.0,-1.32,1696900,25566000,257993000,521055000.0,1481356000.0,15.0,,,,,3435551.2,,
1/16/2015,PSL,14.9,15.1,14.4,14.7,-2.0,2542800,37361000,239047000,530785000.0,1494355000.0,15.020000000000001,,,,,3156004.2,,
1/19/2015,PSL,14.6,14.7,14.4,14.5,-1.36,965701,14078000,209408000,534125000.0,1490538000.0,14.940000000000001,,,,,2763820.4,,
1/20/2015,PSL,14.5,14.6,14.1,14.6,0.69,848039,12238000,145660000,517142000.0,1487994000.0,14.8,14.408333333333331,,,,1940548.2,,
1/21/2015,PSL,14.8,14.9,14.5,14.5,-0.68,610500,8940000,98183000,491062000.0,1455332000.0,14.660000000000002,14.483333333333333,,,,1332788.0,,
1/22/2015,PSL,14.8,14.8,14.6,14.8,2.07,779700,11467000,84084000,484726000.0,1424044000.0,14.62,14.600000000000001,,,,1149348.0,42.857142857142854,42.857142857142854
1/23/2015,PSL,14.8,14.9,14.4,14.6,-1.35,1330900,19460000,66183000,474041000.0,1400225000.0,14.6,14.700000000000001,,,,906968.0,42.857142857142854,42.857142857142854
1/26/2015,PSL,14.6,14.7,14.3,14.3,-2.05,942615,13539000,65644000,466136000.0,1381558000.0,14.560000000000002,14.750000000000002,,,,902350.8,42.857142857142854,42.857142857142854
1/27/2015,PSL,14.2,14.4,14.1,14.2,-0.7,2373876,33790000,87196000,408866000.0,1394080000.0,14.48,14.716666666666667,,,,1207518.2,42.857142857142854,42.857142857142854
1/28/2015,PSL,14.1,14.3,13.9,14.0,-1.41,2142312,30119000,108375000,382678000.0,1380046000.0,14.38,14.641666666666666,,,,1513880.6,35.71428571428572,41.42857142857143
1/29/2015,PSL,13.9,14.0,13.6,13.7,-2.14,3322100,45936000,142844000,384897000.0,1389843000.0,14.16,14.508333333333331,,,,2022360.6,28.57142857142857,38.57142857142857
1/30/2015,PSL,13.6,14.0,13.6,14.0,2.19,1230020,16911000,140295000,325822000.0,1335908000.0,14.040000000000001,14.408333333333331,,,,2002184.6,28.57142857142857,35.71428571428571
2/2/2015,PSL,13.9,14.0,13.8,13.9,-0.71,1375832,19124000,145880000,288529000.0,1295066000.0,13.959999999999999,14.316666666666665,,,,2088828.0,21.42857142857143,31.428571428571434
2/3/2015,PSL,13.9,14.0,13.7,14.0,0.72,740200,10270000,122360000,273233000.0,1275779000.0,13.919999999999998,14.258333333333333,,,,1762092.8,28.57142857142857,28.571428571428573
2/4/2015,PSL,14.1,14.4,13.9,14.0,0.0,3728800,52882000,145123000,288754000.0,1259742000.0,13.919999999999998,14.216666666666669,,,,2079390.4,28.57142857142857,27.142857142857146
2/5/2015,PSL,14.0,14.1,13.7,13.9,-0.71,1730201,23944000,123131000,298620000.0,1213076000.0,13.959999999999999,14.158333333333333,,,,1761010.6,28.57142857142857,27.142857142857146
2/6/2015,PSL,14.1,14.1,13.8,13.9,0.0,1278500,17810000,124030000,304192000.0,1125980000.0,13.940000000000001,14.108333333333334,,,,1770706.6,28.57142857142857,27.142857142857146
2/9/2015,PSL,13.8,14.0,13.5,13.6,-2.16,2974602,40639000,145545000,335891000.0,1089097000.0,13.879999999999999,14.008333333333333,14.242307692307689,-0.24921652421652318,-0.24921652421652318,2090460.6,21.42857142857143,27.142857142857146
2/10/2015,PSL,13.5,13.8,13.5,13.8,1.47,2660200,36376000,171651000,360800000.0,1076469000.0,13.84,13.941666666666668,14.249999999999998,-0.2967948717948694,-0.2730056980056963,2474460.6,28.57142857142857,27.142857142857146
