Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,PT,12.3,13.2,12.3,13.2,8.2,10156003,130854000,458426000,3356281000.0,4093278000.0,13.2,,,,,10156003.0,,,130854000.0,0.0
1/6/2015,PT,13.0,17.0,13.0,16.5,25.0,83153760,1252914000,1636520000,4472238000.0,5343218000.0,14.85,,,,,46654881.5,,,691884000.0,0.0
1/7/2015,PT,16.6,17.5,15.4,15.7,-4.85,52450639,865435000,2440987000,5288409000.0,6207671000.0,15.133333333333333,,,,,48586800.66666666,,,749734333.3333334,0.0
1/8/2015,PT,16.0,16.1,14.9,16.0,1.91,23269501,360615000,2696505000,5168697000.0,6549419000.0,15.35,,,,,42257475.75,,,652454500.0,0.0
1/9/2015,PT,15.9,17.6,15.7,16.1,0.62,83597287,1393356000,4003174000,6020942000.0,7940717000.0,15.5,,,,,50525438.0,,,800634800.0,0.0
1/12/2015,PT,16.1,16.3,15.4,15.4,-4.35,25019500,393313000,4265633000,5695308000.0,8333852000.0,15.940000000000005,,,,,53498137.4,,,853126600.0,0.0
1/13/2015,PT,15.9,16.9,15.8,15.9,3.25,46894200,767138000,3779857000,5820984000.0,9077839000.0,15.82,,,,,46246225.4,,,755971400.0,0.0
1/14/2015,PT,16.0,16.3,15.3,15.4,-3.14,14740340,233584000,3148006000,5843219000.0,9305981000.0,15.76,,,,,38704165.6,,,629601200.0,0.0
1/15/2015,PT,15.5,16.0,15.4,15.8,2.6,9067001,142697000,2930088000,5867478000.0,9447432000.0,15.72,,,,,35863665.6,,,586017600.0,0.0
1/16/2015,PT,15.7,16.1,15.4,15.5,-1.9,7597200,120130000,1656862000,5912788000.0,9560859000.0,15.6,,,,,20663648.2,,,331372400.0,0.0
1/19/2015,PT,15.7,16.1,15.6,15.8,1.94,6685510,105971000,1369520000,5957791000.0,9664977000.0,15.68,,,,,16996850.2,,,273904000.0,0.0
1/20/2015,PT,15.9,16.1,15.3,15.4,-2.53,6836304,106556000,708938000,5959250000.0,9770660000.0,15.580000000000002,15.558333333333335,,,,8985271.0,,,141787600.0,0.0
1/21/2015,PT,15.6,15.8,15.2,15.3,-0.65,5370200,82866000,558220000,5955429000.0,9852074000.0,15.56,15.733333333333334,,,,7111243.0,,,111644000.0,0.0
1/22/2015,PT,15.4,15.8,14.4,14.5,-5.23,11164800,169083000,584606000,5993658000.0,10019434000.0,15.3,15.566666666666668,,,,7530802.8,50.0,50.0,116921200.0,0.0
1/23/2015,PT,14.6,14.7,13.6,13.7,-5.52,5460600,77364000,541840000,4818108000.0,10095985000.0,14.94,15.4,,,,7103482.8,42.857142857142854,46.42857142857143,108368000.0,0.0
1/26/2015,PT,13.7,14.0,12.2,12.5,-8.76,8610910,111296000,547165000,4063969000.0,10207143000.0,14.28,15.108333333333333,,,,7488562.8,35.714285714285715,42.85714285714286,109433000.0,0.0
1/27/2015,PT,12.7,14.0,12.6,13.4,7.2,14606005,196483000,637092000,3899837000.0,10403417000.0,13.88,14.883333333333333,,,,9042503.0,42.857142857142854,42.85714285714286,127418400.0,0.0
1/28/2015,PT,13.7,14.4,13.6,14.1,5.22,12302100,172775000,727001000,2679256000.0,10574861000.0,13.64,14.775,,,,10428883.0,42.857142857142854,42.85714285714286,145400200.0,0.0
