Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,PTL,9.8,10.0,9.8,9.85,1.55,120000,1184000,4175000,21710000.0,68211000.0,9.85,,,,,120000.0,,
1/6/2015,PTL,9.75,9.85,9.7,9.8,-0.51,187200,1828000,4687000,17013000.0,66754000.0,9.825,,,,,153600.0,,
1/7/2015,PTL,9.75,9.9,9.75,9.75,-0.51,137800,1350000,5731000,14423000.0,64868000.0,9.799999999999999,,,,,148333.33333333334,,
1/8/2015,PTL,9.9,9.95,9.8,9.8,0.51,149901,1475000,6873000,14735000.0,65455000.0,9.8,,,,,148725.25,,
1/9/2015,PTL,10.5,11.4,10.5,10.9,11.22,1526301,16820000,22657000,29756000.0,80384000.0,10.02,,,,,424240.4,,
1/12/2015,PTL,11.2,11.2,10.8,11.2,2.75,717300,7923000,29396000,36536000.0,85899000.0,10.290000000000001,,,,,543700.4,,
1/13/2015,PTL,11.0,11.1,10.9,11.1,-0.89,264500,2918000,30486000,38684000.0,86882000.0,10.55,,,,,559160.4,,
1/14/2015,PTL,11.1,11.1,10.9,11.0,-0.9,514400,5684000,34820000,43549000.0,90956000.0,10.8,,,,,634480.4,,
1/15/2015,PTL,11.2,11.2,11.0,11.1,0.91,73100,810000,34155000,42983000.0,88325000.0,11.06,,,,,619120.2,,
1/16/2015,PTL,11.0,11.2,10.9,11.2,0.9,152000,1688000,19023000,43355000.0,86858000.0,11.12,,,,,344260.0,,
1/19/2015,PTL,11.1,11.4,10.9,11.1,-0.89,248300,2785000,13885000,45834000.0,83990000.0,11.100000000000001,,,,,250460.0,,
1/20/2015,PTL,11.2,11.3,10.9,10.9,-1.8,123300,1357000,12324000,46858000.0,83862000.0,11.059999999999999,10.641666666666666,,,,222220.0,,
1/21/2015,PTL,10.9,11.0,10.8,10.9,0.0,159200,1738000,8378000,47560000.0,83149000.0,11.04,10.729166666666666,,,,151180.0,,
1/22/2015,PTL,11.2,11.3,11.0,11.0,0.92,310500,3448000,11016000,49824000.0,85072000.0,11.02,10.829166666666667,,,,198660.0,50.0,50.0
1/23/2015,PTL,11.2,11.2,10.8,11.0,0.0,377600,4132000,13460000,52128000.0,88031000.0,10.98,10.933333333333332,,,,243780.0,42.857142857142854,46.42857142857143
1/26/2015,PTL,11.1,11.1,10.5,10.6,-3.64,344400,3695000,14370000,54473000.0,90265000.0,10.879999999999999,11.0,,,,263000.0,42.857142857142854,45.23809523809524
1/27/2015,PTL,10.7,10.9,10.5,10.6,0.0,295200,3129000,16142000,56127000.0,92426000.0,10.82,10.975,,,,297380.0,42.857142857142854,44.642857142857146
1/28/2015,PTL,10.7,10.7,10.4,10.5,-0.94,232502,2445000,16849000,41752000.0,94155000.0,10.74,10.916666666666666,,,,312040.4,35.71428571428572,42.85714285714286
1/29/2015,PTL,10.4,10.6,10.4,10.5,0.0,38100,398000,13799000,34227000.0,92489000.0,10.64,10.866666666666665,,,,257560.4,28.57142857142857,38.57142857142857
1/30/2015,PTL,10.5,11.0,10.4,10.6,0.95,906600,9761000,19428000,41070000.0,100057000.0,10.56,10.83333333333333,,,,363360.4,28.57142857142857,35.71428571428571
2/2/2015,PTL,10.8,10.8,10.5,10.7,0.94,107500,1147000,16880000,36533000.0,97032000.0,10.580000000000002,10.799999999999997,,,,315980.4,35.71428571428572,34.28571428571429
2/3/2015,PTL,10.8,10.9,10.6,10.8,0.93,218701,2354000,16105000,38077000.0,98595000.0,10.62,10.766666666666666,,,,300680.6,42.857142857142854,34.28571428571429
2/4/2015,PTL,10.9,10.9,10.6,10.6,-1.85,127700,1364000,15024000,37753000.0,93434000.0,10.64,10.725,,,,279720.2,35.71428571428572,34.28571428571429
2/5/2015,PTL,10.6,10.8,10.4,10.5,-0.94,234600,2473000,17099000,37441000.0,91967000.0,10.639999999999999,10.691666666666665,,,,319020.2,28.57142857142857,34.28571428571429
2/6/2015,PTL,10.5,10.6,10.5,10.6,0.95,255401,2692000,10030000,38776000.0,93496000.0,10.64,10.666666666666666,,,,188780.4,35.71428571428572,35.71428571428572
2/9/2015,PTL,10.6,10.6,10.3,10.3,-2.83,552201,5745000,14628000,42783000.0,97442000.0,10.559999999999999,10.608333333333333,10.649999999999999,-0.06317663817663899,-0.06317663817663899,277720.6,35.71428571428572,35.71428571428572
2/10/2015,PTL,10.2,10.8,10.2,10.5,1.94,872100,9187000,21461000,48522000.0,105486000.0,10.5,10.566666666666665,10.675,-0.10562678062678366,-0.08440170940171132,408400.4,42.857142857142854,35.714285714285715
2/11/2015,PTL,10.5,10.7,10.3,10.7,1.9,669801,7082000,27179000,51472000.0,111798000.0,10.520000000000001,10.575,10.709615384615384,-0.11467236467236575,-0.09449192782526279,516820.6,42.857142857142854,37.142857142857146
2/12/2015,PTL,10.7,10.7,10.5,10.5,-1.87,191200,2022000,26728000,49799000.0,113001000.0,10.52,10.566666666666665,10.738461538461538,-0.164387464387465,-0.11196581196581334,508140.6,42.857142857142854,40.00000000000001
2/13/2015,PTL,10.7,10.7,10.6,10.6,0.95,295406,3140000,27176000,49810000.0,114765000.0,10.52,10.575,10.76923076923077,-0.17784900284900473,-0.12514245014245162,516141.6,50.0,42.85714285714286
2/16/2015,PTL,10.7,11.2,10.7,10.7,0.94,982500,10712000,32143000,58077000.0,124161000.0,10.6,10.591666666666667,10.761538461538462,-0.14864672364672593,-0.14223646723646902,602201.4,57.14285714285714,47.14285714285714
2/17/2015,PTL,10.9,10.9,10.3,10.3,-3.74,719700,7582000,30538000,65261000.0,131437000.0,10.559999999999999,10.566666666666666,10.726923076923075,-0.16965811965811817,-0.1550427350427359,571721.4,57.14285714285714,50.0
2/18/2015,PTL,10.5,10.6,10.2,10.5,1.94,415800,4298000,27754000,59798000.0,135402000.0,10.52,10.549999999999999,10.703846153846152,-0.1464387464387471,-0.16139601139601217,520921.2,64.28571428571428,54.28571428571429
2/19/2015,PTL,10.6,10.9,10.6,10.8,2.86,313501,3376000,29108000,62027000.0,137742000.0,10.579999999999998,10.549999999999999,10.696153846153845,-0.11538461538461675,-0.15159544159544253,545381.4,64.28571428571428,58.57142857142857
2/20/2015,PTL,10.9,10.9,10.6,10.6,-1.85,204000,2184000,28152000,61857000.0,138742000.0,10.58,10.549999999999999,10.676923076923076,-0.11353276353276343,-0.13873219373219428,527100.2,57.14285714285714,60.0
2/23/2015,PTL,10.8,10.8,10.6,10.6,0.0,270700,2900000,20340000,63393000.0,139814000.0,10.56,10.558333333333332,10.653846153846153,-0.08511396011396144,-0.12602564102564137,384740.2,50.0,58.57142857142857
2/24/2015,PTL,10.6,10.8,10.6,10.7,0.94,120100,1275000,14033000,62195000.0,139739000.0,10.64,10.566666666666665,10.638461538461538,-0.055840455840456826,-0.1032621082621091,264820.2,57.14285714285714,58.57142857142857
2/25/2015,PTL,10.8,10.8,10.5,10.6,-0.93,359700,3823000,13558000,63326000.0,142087000.0,10.66,10.591666666666665,10.626923076923077,-0.03198005698005879,-0.08037037037037145,253600.2,57.14285714285714,57.14285714285713
2/26/2015,PTL,10.7,10.7,10.3,10.3,-2.83,672600,7018000,17200000,64599000.0,132285000.0,10.559999999999999,10.574999999999998,10.603846153846153,-0.048646723646726286,-0.06702279202279335,325420.0,50.0,54.28571428571429
2/27/2015,PTL,10.4,10.4,10.2,10.3,0.0,279600,2895000,17911000,58307000.0,127257000.0,10.5,10.541666666666666,10.576923076923075,-0.051923076923076295,-0.05470085470085593,340540.0,50.0,52.857142857142854
3/2/2015,PTL,10.3,10.3,10.1,10.3,0.0,309100,3144000,18155000,54369000.0,127483000.0,10.440000000000001,10.524999999999999,10.549999999999999,-0.04109686609686669,-0.04589743589743698,348220.0,42.857142857142854,51.42857142857142
3/3/2015,PTL,10.2,10.3,10.0,10.0,-2.91,355400,3580000,20460000,55927000.0,125379000.0,10.3,10.475,10.526923076923076,-0.08596866096866052,-0.05192307692307772,395280.0,35.71428571428572,47.142857142857146
3/5/2015,PTL,10.1,10.1,9.9,9.95,-0.5,310300,3098000,19735000,55885000.0,127667000.0,10.170000000000002,10.4125,10.501923076923077,-0.11969373219373303,-0.06946581196581256,385400.0,35.71428571428572,42.85714285714286
3/6/2015,PTL,10.0,10.3,10.0,10.0,0.5,231000,2338000,15055000,47511000.0,128317000.0,10.11,10.387500000000001,10.482692307692307,-0.11905270655270606,-0.08354700854700851,297080.0,35.71428571428572,40.00000000000001
3/9/2015,PTL,10.1,10.1,9.95,9.95,-0.5,178300,1779000,13939000,41708000.0,127311000.0,10.040000000000001,10.341666666666667,10.461538461538462,-0.14223646723646866,-0.10160968660968699,276820.0,28.57142857142857,35.71428571428572
3/10/2015,PTL,9.95,10.1,9.95,9.95,0.0,134600,1343000,12138000,38753000.0,127297000.0,9.969999999999999,10.270833333333334,10.436538461538463,-0.17902421652421907,-0.12919515669515746,241920.0,28.57142857142857,32.857142857142854
3/11/2015,PTL,10.0,10.1,9.85,10.0,0.5,389100,3882000,12440000,39259000.0,129441000.0,9.969999999999999,10.220833333333333,10.409615384615384,-0.19241452991452768,-0.1504843304843309,248660.0,28.57142857142857,31.428571428571434
3/12/2015,PTL,10.0,10.1,9.8,9.95,-0.5,194700,1931000,11273000,39006000.0,127924000.0,9.969999999999999,10.166666666666668,10.376923076923076,-0.21196581196580944,-0.16893874643874618,225540.0,21.42857142857143,28.571428571428573
3/13/2015,PTL,9.9,10.1,9.85,9.9,-0.5,176800,1758000,10693000,37864000.0,125550000.0,9.95,10.100000000000001,10.349999999999998,-0.2474358974358939,-0.19461538461538375,214700.0,21.42857142857143,25.71428571428571
3/16/2015,PTL,9.8,9.85,9.75,9.75,-1.52,396201,3878000,12792000,40467000.0,125733000.0,9.91,10.029166666666669,10.321153846153845,-0.2926282051282012,-0.22469373219373026,258280.2,21.42857142857143,24.285714285714285
3/17/2015,PTL,9.75,10.1,9.65,9.7,-0.51,271001,2650000,14099000,39294000.0,125254000.0,9.86,9.979166666666668,10.286538461538461,-0.30687321937321776,-0.25026353276352997,285560.4,14.285714285714292,21.42857142857143
3/18/2015,PTL,9.75,9.95,9.75,9.75,0.52,93300,916000,11133000,33192000.0,123725000.0,9.809999999999999,9.933333333333335,10.265384615384615,-0.32207977207976946,-0.27619658119657836,226400.4,21.42857142857143,20.000000000000004
3/19/2015,PTL,9.85,10.3,9.8,10.1,3.59,1190300,12076000,21278000,42373000.0,135403000.0,9.84,9.916666666666666,10.25,-0.29401709401709475,-0.2926068376068354,425520.4,28.57142857142857,21.42857142857143
3/20/2015,PTL,10.3,10.3,9.95,10.2,0.99,228600,2314000,21834000,41543000.0,127956000.0,9.9,9.933333333333334,10.230769230769228,-0.25413105413105086,-0.29394586894586683,435880.4,35.71428571428572,24.28571428571429
3/23/2015,PTL,10.2,10.2,10.0,10.0,-1.96,324300,3261000,21217000,41224000.0,130070000.0,9.95,9.9375,10.211538461538456,-0.2487535612535563,-0.2851709401709378,421500.2,35.71428571428572,27.142857142857146
3/24/2015,PTL,10.0,10.1,9.9,9.95,-0.5,256500,2562000,21129000,40688000.0,130278000.0,10.0,9.933333333333332,10.186538461538458,-0.23311965811965685,-0.27042022792022563,418600.0,35.71428571428572,31.428571428571434
3/25/2015,PTL,9.95,9.95,9.9,9.95,0.0,64800,644000,20857000,38994000.0,129558000.0,10.040000000000001,9.933333333333334,10.157692307692304,-0.206410256410253,-0.24728632478632234,412900.0,35.71428571428572,34.28571428571429
3/26/2015,PTL,9.95,10.0,9.9,10.0,0.5,69700,696000,9477000,37911000.0,127781000.0,10.02,9.9375,10.146153846153844,-0.18821225071224745,-0.2261253561253529,188780.0,35.71428571428572,35.71428571428572
3/27/2015,PTL,9.9,10.0,9.9,10.0,0.0,146700,1456000,8619000,38024000.0,126545000.0,9.98,9.9375,10.126923076923076,-0.1704059829059812,-0.20938034188033897,172400.0,35.71428571428572,35.71428571428572
3/30/2015,PTL,10.0,10.0,9.8,9.85,-1.5,512600,5043000,10401000,39185000.0,125843000.0,9.95,9.929166666666665,10.090384615384615,-0.1555911680911688,-0.19074786324786147,210060.0,35.71428571428572,35.71428571428572
4/1/2015,PTL,9.75,9.9,9.75,9.9,2.06,305900,2993000,10832000,40247000.0,119649000.0,9.94,9.929166666666667,10.063461538461535,-0.12667378917378613,-0.1694586894586873,219940.0,35.71428571428572,35.71428571428572
4/2/2015,PTL,9.9,9.95,9.85,9.95,0.51,203800,2022000,12210000,40511000.0,114589000.0,9.940000000000001,9.945833333333335,10.038461538461537,-0.08543447293447137,-0.145263532763531,247740.0,42.857142857142854,37.14285714285715
4/3/2015,PTL,9.9,10.0,9.9,10.0,0.5,118100,1179000,12693000,37812000.0,113746000.0,9.940000000000001,9.970833333333333,10.01153846153846,-0.03536324786324663,-0.11469373219373083,257420.0,50.0,40.00000000000001
4/7/2015,PTL,10.0,10.1,9.9,10.0,0.0,370400,3690000,14927000,38852000.0,114296000.0,9.940000000000001,9.991666666666667,9.988461538461536,0.00363247863248084,-0.07988603988603842,302160.0,50.0,42.85714285714286
4/8/2015,PTL,10.0,10.0,9.95,9.95,-0.5,182600,1825000,11709000,39761000.0,105409000.0,9.959999999999999,9.979166666666666,9.974999999999998,0.00153133903133984,-0.04846153846153669,236160.0,50.0,45.714285714285715
4/9/2015,PTL,10.0,10.0,9.9,9.95,0.0,206101,2057000,10773000,29742000.0,99884000.0,9.969999999999999,9.958333333333334,9.96153846153846,-0.0036324786324772873,-0.023853276353274923,216200.2,42.857142857142854,47.142857142857146
4/10/2015,PTL,10.0,10.1,9.95,10.0,0.5,193300,1935000,10686000,29363000.0,97521000.0,9.98,9.958333333333334,9.949999999999998,0.011039886039888813,-0.004558404558402884,214100.2,42.857142857142854,47.142857142857146
4/16/2015,PTL,10.1,10.2,10.0,10.0,0.0,259700,2626000,12133000,28728000.0,96771000.0,9.98,9.9625,9.949999999999998,0.014565527065530048,0.005427350427352451,242420.2,35.71428571428572,44.28571428571429
4/17/2015,PTL,10.0,10.2,10.0,10.1,1.0,296400,2981000,11424000,29147000.0,97568000.0,10.0,9.975,9.95576923076923,0.02777777777777679,0.01025641025641164,227620.2,42.857142857142854,42.85714285714286
4/20/2015,PTL,10.1,10.1,9.95,9.95,-1.49,131100,1314000,10913000,29817000.0,95982000.0,10.0,9.970833333333333,9.953846153846152,0.014066951566952923,0.012763532763534258,217320.2,42.857142857142854,41.42857142857143
4/21/2015,PTL,9.95,10.1,9.95,10.0,0.5,82000,820000,9676000,29941000.0,95527000.0,10.01,9.970833333333333,9.955769230769228,0.01627492877493175,0.016745014245016066,192500.0,50.0,42.85714285714286
4/22/2015,PTL,10.1,10.2,10.0,10.2,2.0,196300,1984000,9725000,30469000.0,93688000.0,10.05,10.0,9.965384615384615,0.048005698005699315,0.024138176638178167,193100.0,50.0,44.28571428571429
4/23/2015,PTL,10.2,10.2,9.95,9.95,-2.45,532300,5334000,12433000,30760000.0,92004000.0,10.040000000000001,10.004166666666666,9.963461538461537,0.03336894586894701,0.02789886039886156,247620.0,50.0,47.142857142857146
4/24/2015,PTL,9.95,10.0,9.95,10.0,0.5,129600,1294000,10746000,29061000.0,90403000.0,10.02,10.008333333333335,9.965384615384611,0.03910256410256885,0.03016381766381997,214260.0,57.14285714285714,50.0
4/27/2015,PTL,10.0,10.0,9.85,9.95,-0.5,281800,2800000,12232000,29839000.0,90059000.0,10.02,10.004166666666668,9.967307692307688,0.029807692307695532,0.03331196581196849,244400.0,50.0,51.42857142857142
4/28/2015,PTL,9.9,9.95,9.85,9.9,-0.5,170400,1681000,13093000,30341000.0,88160000.0,9.999999999999998,9.995833333333335,9.97307692307692,0.013425925925931281,0.0327421652421684,262080.0,42.857142857142854,50.0
4/29/2015,PTL,9.85,11.2,9.85,10.6,7.07,4428038,47058000,58167000,73709000.0,132120000.0,10.08,10.05,10.007692307692306,0.08304843304843601,0.03975071225071573,1108427.6,42.857142857142854,48.57142857142857
4/30/2015,PTL,10.6,10.6,10.3,10.5,-0.94,484500,5062000,57895000,76946000.0,134844000.0,10.190000000000001,10.095833333333333,10.03653846153846,0.08714387464387485,0.0505056980057013,1098867.6,42.857142857142854,47.142857142857146
5/6/2015,PTL,10.5,10.5,10.2,10.5,0.0,330900,3450000,60051000,78339000.0,136515000.0,10.290000000000001,10.137500000000001,10.051923076923073,0.10815527065527242,0.06431623931624202,1139127.6,42.857142857142854,44.28571428571429
5/7/2015,PTL,10.5,10.6,9.95,9.95,-5.24,1004700,10271000,67522000,86675000.0,145443000.0,10.290000000000001,10.133333333333335,10.042307692307691,0.06965811965812208,0.07228632478632732,1283707.6,42.857142857142854,42.857142857142854
5/8/2015,PTL,9.95,10.1,9.95,10.0,0.5,141301,1413000,67254000,85462000.0,142974000.0,10.309999999999999,10.125,10.04230769230769,0.06659544159544417,0.0829202279202299,1277887.8,42.857142857142854,42.857142857142854
5/11/2015,PTL,10.1,10.1,9.9,9.95,-0.5,241000,2404000,22600000,84885000.0,143447000.0,10.180000000000001,10.125,10.042307692307691,0.06260683760683783,0.07883190883191027,440480.2,42.857142857142854,42.857142857142854
5/12/2015,PTL,9.95,9.95,9.65,9.65,-3.02,706000,6921000,24459000,90492000.0,148610000.0,10.01,10.095833333333333,10.030769230769229,0.024679487179488646,0.06633903133903303,484780.2,35.71428571428572,41.42857142857143
5/13/2015,PTL,9.6,9.8,9.6,9.7,0.52,277200,2685000,23694000,92357000.0,147417000.0,9.85,10.054166666666669,10.019230769230766,0.004095441595445948,0.045527065527067735,474040.2,42.857142857142854,41.42857142857143
5/14/2015,PTL,9.75,9.85,9.65,9.85,1.55,141900,1383000,14806000,91756000.0,146150000.0,9.83,10.045833333333334,10.013461538461538,0.014351851851852615,0.034465811965813845,301480.2,42.857142857142854,41.42857142857143
5/15/2015,PTL,9.8,9.95,9.75,9.95,1.02,255200,2501000,15894000,88923000.0,147735000.0,9.819999999999999,10.041666666666668,10.01730769230769,0.01524216524216726,0.02419515669515846,324260.0,42.857142857142854,41.42857142857143
5/18/2015,PTL,9.95,10.0,9.8,9.9,-0.5,64200,636000,14126000,88265000.0,136295000.0,9.81,10.037500000000001,10.01730769230769,0.007727920227923235,0.013219373219375542,288900.0,42.857142857142854,41.42857142857143
5/19/2015,PTL,9.9,9.95,9.9,9.95,0.51,95700,949000,8154000,86414000.0,134930000.0,9.87,10.041666666666668,10.017307692307693,0.015242165242165484,0.011331908831910908,166840.0,42.857142857142854,42.857142857142854
5/20/2015,PTL,9.95,9.95,9.75,9.85,-1.01,146100,1442000,6911000,86175000.0,133111000.0,9.899999999999999,9.979166666666666,10.01153846153846,-0.04027777777777786,0.0024572649572661477,140620.0,42.857142857142854,42.857142857142854
5/21/2015,PTL,9.9,9.95,9.85,9.9,0.51,162200,1605000,7133000,40722000.0,132154000.0,9.91,9.929166666666667,10.007692307692306,-0.07503561253560953,-0.015420227920226282,144680.0,50.0,44.285714285714285
5/22/2015,PTL,9.9,10.0,9.9,9.95,0.51,138300,1375000,6007000,37035000.0,132885000.0,9.91,9.883333333333335,10.007692307692308,-0.10982905982905855,-0.040434472934471444,121300.0,50.0,45.71428571428571
5/25/2015,PTL,10.0,10.0,9.85,9.9,-0.5,129500,1284000,6655000,34869000.0,133473000.0,9.909999999999998,9.879166666666668,10.005769230769229,-0.11556267806267329,-0.06509259259259075,134360.0,50.0,47.142857142857146
5/26/2015,PTL,9.9,9.9,9.8,9.85,-0.51,115800,1142000,6848000,25740000.0,133159000.0,9.89,9.866666666666665,9.999999999999998,-0.12478632478632434,-0.09309829059828871,138380.0,50.0,48.57142857142857
5/27/2015,PTL,9.85,9.85,9.8,9.8,-0.51,107300,1053000,6459000,25380000.0,129169000.0,9.88,9.854166666666666,9.99230769230769,-0.13222934472934433,-0.11148860398860201,130620.0,50.0,50.0
5/28/2015,PTL,9.85,9.9,9.8,9.9,1.02,227200,2240000,7094000,25216000.0,128416000.0,9.879999999999999,9.875,9.984615384615383,-0.09950142450142252,-0.1163817663817646,143620.0,50.0,50.0
5/29/2015,PTL,10.5,10.9,10.4,10.5,6.06,6707600,71312000,77031000,89607000.0,197706000.0,9.99,9.941666666666666,10.00576923076923,-0.01481481481481417,-0.09737891737891573,1457480.0,57.14285714285714,51.42857142857142
6/2/2015,PTL,10.4,10.4,10.1,10.1,-3.81,1389214,14220000,89967000,101142000.0,210747000.0,10.03,9.9625,10.009615384615385,-0.032656695156696,-0.08079772079772027,1709422.8,57.14285714285714,52.857142857142854
