Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,PTT,330.0,331.0,313.0,315.0,-2.78,6685498,2143630000,5569961000,35372465000.0,87349016000.0,315.0,,,,,6685498.0,,
1/6/2015,PTT,310.0,323.0,306.0,323.0,2.54,8194710,2563561000,7283937000,30279013000.0,88802769000.0,319.0,,,,,7440104.0,,
1/7/2015,PTT,322.0,335.0,319.0,334.0,3.41,6377138,2091634000,8475487000,25856252000.0,88588285000.0,324.0,,,,,7085782.0,,
1/8/2015,PTT,346.0,349.0,340.0,340.0,1.8,10392170,3588631000,11299851000,23397805000.0,90338223000.0,328.0,,,,,7912379.0,,
1/9/2015,PTT,342.0,342.0,335.0,338.0,-0.59,6394847,2166117000,12553573000,22467095000.0,90994368000.0,330.0,,,,,7608872.6,,
1/12/2015,PTT,335.0,337.0,333.0,333.0,-1.48,4349420,1457436000,11867379000,20999200000.0,90627087000.0,333.6,,,,,7141657.0,,
1/13/2015,PTT,327.0,330.0,325.0,328.0,-1.5,4941804,1620707000,10924525000,20869389000.0,91180104000.0,334.6,,,,,6491075.8,,
1/14/2015,PTT,327.0,333.0,321.0,322.0,-1.83,6666386,2170981000,11003872000,21707521000.0,91930204000.0,332.2,,,,,6548925.4,,
1/15/2015,PTT,326.0,327.0,315.0,319.0,-0.93,9346062,3009782000,10425023000,24238810000.0,93734137000.0,328.0,,,,,6339703.8,,
1/16/2015,PTT,317.0,325.0,317.0,322.0,0.94,4547884,1460373000,9719279000,24849598000.0,93761759000.0,324.8,,,,,5970311.2,,
1/19/2015,PTT,325.0,334.0,325.0,333.0,3.42,5228216,1724365000,9986208000,25673879000.0,89376247000.0,324.8,,,,,6146070.4,,
1/20/2015,PTT,332.0,335.0,330.0,335.0,0.6,3315709,1104157000,9469658000,26013769000.0,89020351000.0,326.2,328.5,,,,5820851.4,,
1/21/2015,PTT,334.0,334.0,326.0,330.0,-1.49,5479294,1805295000,9103972000,26906669000.0,89494707000.0,327.8,329.75,,,,5583433.0,,
1/22/2015,PTT,335.0,342.0,333.0,341.0,3.33,6077971,2053631000,8147821000,26816670000.0,89040766000.0,332.2,331.25,,,,4929814.8,50.0,50.0
1/23/2015,PTT,342.0,348.0,341.0,348.0,2.05,7572257,2615842000,9303290000,26868951000.0,87037331000.0,337.4,332.4166666666667,,,,5534689.4,57.14285714285714,53.57142857142857
1/26/2015,PTT,347.0,351.0,345.0,345.0,-0.86,4697644,1635011000,9213936000,26412328000.0,85980912000.0,339.8,332.8333333333333,,,,5428575.0,50.0,52.38095238095238
1/27/2015,PTT,346.0,350.0,345.0,350.0,1.45,3251917,1134117000,9243896000,23957814000.0,84557180000.0,342.8,333.8333333333333,,,,5415816.6,50.0,51.785714285714285
