Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,QH,3.66,3.68,3.58,3.6,-1.64,10158679,36707000,724289000,2112857000.0,4492001000.0,3.6,,,,,10158679.0,,,36707000.0,0.0
1/6/2015,QH,3.5,3.52,3.38,3.42,-5.0,67946428,233629000,818871000,2150048000.0,4448183000.0,3.51,,,,,39052553.5,,,135168000.0,0.0
1/7/2015,QH,3.44,3.52,3.42,3.46,1.17,57864285,200510000,843491000,2226215000.0,4544560000.0,3.4933333333333336,,,,,45323130.66666666,,,156948666.66666666,0.0
1/8/2015,QH,3.5,3.6,3.48,3.56,2.89,46022837,162633000,904766000,2164086000.0,4644092000.0,3.51,,,,,45498057.25,,,158369750.0,0.0
1/9/2015,QH,3.6,3.6,3.52,3.52,-1.12,38028911,135158000,768637000,2029207000.0,4736755000.0,3.5120000000000005,,,,,44004228.0,,,153727400.0,0.0
1/12/2015,QH,3.56,3.72,3.52,3.7,5.11,60607641,220821000,952751000,2059356000.0,4910841000.0,3.532,,,,,54094020.4,,,190550200.0,0.0
1/13/2015,QH,3.7,3.74,3.62,3.72,0.54,43610831,160159000,879281000,2123074000.0,5019148000.0,3.592,,,,,49226901.0,,,175856200.0,0.0
1/14/2015,QH,3.74,3.82,3.72,3.78,1.61,54841474,206734000,885505000,2203961000.0,5154214000.0,3.656,,,,,48622338.8,,,177101000.0,0.0
1/15/2015,QH,3.78,3.84,3.76,3.78,0.0,58850631,223994000,946866000,2267927000.0,5209117000.0,3.7,,,,,51187897.6,,,189373200.0,0.0
1/16/2015,QH,3.72,3.82,3.72,3.78,0.0,23489571,88571000,900279000,2217451000.0,5174093000.0,3.752,,,,,48280029.6,,,180055800.0,0.0
1/19/2015,QH,3.8,3.82,3.78,3.8,0.53,13527299,51335000,730793000,2092896000.0,5085803000.0,3.772,,,,,38863961.2,,,146158600.0,0.0
1/20/2015,QH,3.8,3.82,3.74,3.76,-1.05,7467866,28223000,598857000,2019761000.0,5060952000.0,3.78,3.6566666666666654,,,,31635368.2,,,119771400.0,0.0
1/21/2015,QH,3.76,3.8,3.74,3.76,0.0,7195871,27134000,419257000,1775608000.0,4925887000.0,3.776,3.67,,,,22106247.6,,,83851400.0,0.0
1/22/2015,QH,3.76,3.8,3.76,3.8,1.06,14335799,54251000,249514000,1793152000.0,4899640000.0,3.78,3.701666666666666,,,,13203281.2,50.0,50.0,49902800.0,0.0
1/23/2015,QH,3.84,3.9,3.78,3.84,1.05,53906854,207079000,368022000,1766602000.0,5074921000.0,3.792,3.733333333333333,,,,19286737.8,57.14285714285714,53.57142857142857,73604400.0,0.0
1/26/2015,QH,3.86,4.02,3.82,4.02,4.69,106411843,420344000,737031000,1986436000.0,5312927000.0,3.836,3.771666666666666,,,,37863646.6,64.28571428571428,57.14285714285714,147406200.0,0.0
1/27/2015,QH,4.04,4.06,3.96,3.96,-1.49,68500918,274991000,983799000,2098794000.0,5517844000.0,3.876,3.808333333333333,,,,50070257.0,57.14285714285714,57.14285714285714,196759800.0,0.0
1/28/2015,QH,4.0,4.02,3.92,3.96,0.0,37432543,148860000,1105525000,2112496000.0,5615370000.0,3.9160000000000004,3.83,,,,56117591.4,50.0,55.71428571428571,221105000.0,0.0
1/29/2015,QH,4.0,4.04,3.92,3.94,-0.51,40317320,160506000,1211780000,2052181000.0,5592981000.0,3.944,3.8483333333333327,,,,61313895.6,50.0,55.71428571428571,242356000.0,0.0
1/30/2015,QH,3.98,3.98,3.9,3.92,-0.51,22104568,86704000,1091405000,1978726000.0,5590578000.0,3.96,3.86,,,,54953438.4,42.857142857142854,52.85714285714285,218281000.0,0.0
2/2/2015,QH,3.9,3.98,3.82,3.96,1.02,23257216,90596000,761657000,1862588000.0,5533307000.0,3.948,3.875,,,,38322513.0,42.857142857142854,48.57142857142857,152331400.0,0.0
2/3/2015,QH,3.98,3.98,3.92,3.94,-0.51,17734456,70190000,556856000,1708784000.0,5365279000.0,3.944,3.8883333333333336,,,,28169220.6,35.714285714285715,44.28571428571429,111371200.0,0.0
2/4/2015,QH,3.98,4.02,3.9,3.9,-1.02,50782575,201419000,609415000,1821632000.0,5370260000.0,3.932,3.8966666666666665,,,,30839227.0,35.714285714285715,41.42857142857143,121883000.0,0.0
2/5/2015,QH,3.94,4.0,3.9,3.98,2.05,22963064,90920000,539829000,1861217000.0,5336837000.0,3.94,3.915,,,,27368375.8,42.857142857142854,40.00000000000001,107965800.0,0.0
2/6/2015,QH,4.0,4.0,3.96,4.0,0.5,27521783,109853000,562978000,1942847000.0,5221928000.0,3.9560000000000004,3.935,,,,28451818.8,42.857142857142854,40.00000000000001,112595600.0,0.0
2/9/2015,QH,4.02,4.08,3.98,4.06,1.5,58862005,237619000,710001000,2153332000.0,5189510000.0,3.976,3.956666666666667,3.804615384615384,0.14903133903134025,0.14903133903134025,35572776.6,50.0,41.42857142857143,142000200.0,0.0
2/10/2015,QH,4.06,4.2,4.02,4.14,1.97,172975457,712318000,1352129000,2811399000.0,5711156000.0,4.016,3.981666666666667,3.825384615384615,0.1573361823361834,0.15318376068376185,66620976.8,57.14285714285714,45.714285714285715,270425800.0,0.0
2/11/2015,QH,4.16,4.16,4.08,4.14,0.0,52285411,215581000,1366291000,2819901000.0,5830296000.0,4.064,3.9916666666666663,3.8530769230769226,0.14015669515669593,0.1488414055080732,66921544.0,50.0,48.57142857142857,273258200.0,0.0
2/12/2015,QH,4.14,4.22,4.14,4.18,0.97,95435207,399875000,1675246000,2799432000.0,6104324000.0,4.104,4.010000000000002,3.880769230769231,0.13321937321937316,0.1449358974358982,81415972.6,50.0,50.0,335049200.0,0.0
2/13/2015,QH,4.18,4.22,4.14,4.18,0.0,45500956,190250000,1755643000,2714691000.0,6134546000.0,4.14,4.028333333333333,3.904615384615385,0.1266524216524214,0.14127920227920282,85011807.2,42.857142857142854,50.0,351128600.0,0.0
2/16/2015,QH,4.18,4.18,4.1,4.1,-1.91,25337705,104558000,1622582000,2670389000.0,6100057000.0,4.1480000000000015,4.041666666666667,3.9269230769230776,0.1108974358974355,0.1336524216524219,78306947.2,42.857142857142854,48.57142857142857,324516400.0,0.0
2/17/2015,QH,4.14,4.16,4.04,4.04,-1.46,30468668,124774000,1035038000,2634657000.0,6048941000.0,4.128,4.051666666666667,3.94,0.10246438746438713,0.12267806267806262,49805589.4,42.857142857142854,45.714285714285715,207007600.0,0.0
2/18/2015,QH,4.04,4.1,4.0,4.08,0.99,24992932,101421000,920878000,2649374000.0,6049004000.0,4.1160000000000005,4.0616666666666665,3.9538461538461545,0.10129629629629557,0.11490598290598256,44347093.6,50.0,45.714285714285715,184175600.0,0.0
2/19/2015,QH,4.1,4.18,4.1,4.18,2.45,29978280,124076000,645079000,2682854000.0,5901793000.0,4.1160000000000005,4.081666666666666,3.96923076923077,0.1119515669515665,0.11065242165242124,31255708.2,57.14285714285714,47.14285714285714,129015800.0,0.0
2/20/2015,QH,4.18,4.2,4.14,4.14,-0.96,21150590,88141000,542970000,2700805000.0,5953227000.0,4.1080000000000005,4.101666666666667,3.983076923076924,0.11286324786324675,0.10789458689458628,26385635.0,50.0,48.57142857142857,108594000.0,0.0
2/23/2015,QH,4.16,4.18,4.14,4.16,0.48,11210101,46592000,485004000,2545978000.0,5766190000.0,4.12,4.116666666666666,3.997692307692308,0.11361823361823298,0.10843874643874578,23560114.2,57.14285714285714,51.42857142857142,97000800.0,0.0
2/24/2015,QH,4.18,4.2,4.14,4.2,0.96,29871378,124838000,485068000,2579896000.0,5690518000.0,4.151999999999999,4.133333333333333,4.013076923076923,0.11666666666666625,0.1112792022792016,23440656.2,64.28571428571428,55.71428571428571,97013600.0,0.0
2/25/2015,QH,4.2,4.2,4.1,4.18,-0.48,23849012,98731000,482378000,2568774000.0,5626616000.0,4.172,4.1433333333333335,4.02923076923077,0.10857549857549742,0.11273504273504198,23211872.2,57.14285714285714,57.14285714285713,96475600.0,0.0
