Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,QHOP,3.82,3.82,3.82,3.82,0.0,10000,38000,1275000,1669000.0,7971000.0,3.82,,,,,10000.0,,
1/7/2015,QHOP,3.84,3.84,3.84,3.84,0.52,1500,6000,387000,1387000.0,7861000.0,3.83,,,,,5750.0,,
1/8/2015,QHOP,3.86,3.88,3.86,3.88,1.04,19500,76000,196000,1455000.0,7558000.0,3.8466666666666662,,,,,10333.333333333334,,
1/9/2015,QHOP,3.88,3.88,3.8,3.8,-2.06,22600,87000,207000,1478000.0,7614000.0,3.835,,,,,13400.0,,
1/12/2015,QHOP,3.82,3.86,3.82,3.86,1.58,7400,28000,197000,1506000.0,7531000.0,3.84,,,,,12200.0,,
1/13/2015,QHOP,3.84,3.88,3.84,3.88,0.52,9700,37000,234000,1516000.0,7466000.0,3.8519999999999994,,,,,12140.0,,
1/14/2015,QHOP,3.88,3.88,3.84,3.86,-0.52,65300,252000,480000,1761000.0,7469000.0,3.8559999999999994,,,,,24900.0,,
1/15/2015,QHOP,3.86,3.86,3.86,3.86,0.0,11100,43000,447000,1804000.0,7137000.0,3.8519999999999994,,,,,23220.0,,
1/16/2015,QHOP,3.86,3.86,3.86,3.86,0.0,10000,39000,399000,1810000.0,6946000.0,3.864,,,,,20700.0,,
1/19/2015,QHOP,3.86,3.88,3.86,3.88,0.52,20000,77000,448000,1026000.0,6810000.0,3.868,,,,,23220.0,,
1/20/2015,QHOP,4.06,4.06,4.0,4.0,3.09,51800,209000,620000,968000.0,6483000.0,3.8920000000000003,,,,,31640.0,,
1/21/2015,QHOP,4.0,4.04,4.0,4.02,0.5,10500,42000,410000,934000.0,6182000.0,3.9239999999999995,3.8800000000000003,,,,20680.0,,
1/22/2015,QHOP,4.0,4.0,4.0,4.0,-0.5,8100,32000,399000,928000.0,5915000.0,3.9519999999999995,3.8949999999999996,,,,20080.0,,
1/23/2015,QHOP,4.0,4.08,4.0,4.08,2.0,2500,10000,370000,938000.0,5763000.0,3.9959999999999996,3.914999999999999,,,,18580.0,57.14285714285714,57.14285714285714
1/26/2015,QHOP,4.08,4.08,4.08,4.08,0.0,34900,142000,435000,1074000.0,5712000.0,4.036,3.931666666666666,,,,21560.0,57.14285714285714,57.14285714285714
1/27/2015,QHOP,4.08,4.14,4.08,4.14,1.47,41800,172000,398000,1170000.0,4843000.0,4.064,3.9599999999999995,,,,19560.0,57.14285714285714,57.14285714285714
1/28/2015,QHOP,4.1,4.16,4.1,4.16,0.48,8900,37000,393000,1120000.0,4635000.0,4.0920000000000005,3.9849999999999994,,,,19240.0,57.14285714285714,57.14285714285714
1/29/2015,QHOP,4.14,4.14,4.12,4.12,-0.96,20000,83000,444000,1175000.0,4589000.0,4.1160000000000005,4.005,,,,21620.0,57.14285714285714,57.14285714285713
1/30/2015,QHOP,4.1,4.12,4.06,4.06,-1.46,81500,333000,767000,1471000.0,4567000.0,4.112,4.0216666666666665,,,,37420.0,50.0,55.71428571428571
2/2/2015,QHOP,4.08,4.08,4.04,4.04,-0.49,75600,307000,932000,1526000.0,4089000.0,4.104,4.036666666666666,,,,45560.0,42.857142857142854,52.857142857142854
2/3/2015,QHOP,4.04,4.14,4.02,4.12,1.98,74500,302000,1062000,1785000.0,3983000.0,4.1,4.058333333333333,,,,52100.0,50.0,51.42857142857142
2/4/2015,QHOP,4.06,4.12,4.04,4.04,-1.94,54100,219000,1244000,1965000.0,4022000.0,4.076,4.071666666666666,,,,61140.0,50.0,50.0
2/6/2015,QHOP,4.06,4.06,4.04,4.04,0.0,47900,194000,1022000,1873000.0,4100000.0,4.06,4.075,,,,66720.0,50.0,48.57142857142857
2/9/2015,QHOP,4.06,4.06,4.04,4.04,0.0,80400,325000,1040000,2156000.0,4361000.0,4.055999999999999,4.076666666666666,,,,66500.0,42.857142857142854,47.142857142857146
2/10/2015,QHOP,4.04,4.08,4.04,4.08,0.99,65100,263000,1001000,2387000.0,4624000.0,4.064,4.083333333333333,,,,64400.0,42.857142857142854,47.142857142857146
2/11/2015,QHOP,4.06,4.08,4.04,4.04,-0.98,102300,414000,1196000,2791000.0,5011000.0,4.048,4.079999999999999,3.984615384615386,0.0851282051282034,0.0851282051282034,69960.0,35.71428571428572,44.28571428571429
