Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,RCI-W1,1.45,1.57,1.45,1.57,6.8,104250,153000,489000,9107000.0,75079000.0,1.57,,,,,104250.0,,
1/6/2015,RCI-W1,1.47,1.54,1.44,1.54,-1.91,149100,223000,623000,6947000.0,60205000.0,1.5550000000000002,,,,,126675.0,,
1/7/2015,RCI-W1,1.58,1.58,1.55,1.55,0.65,180200,281000,846000,6609000.0,52450000.0,1.5533333333333335,,,,,144516.66666666666,,
1/8/2015,RCI-W1,1.63,1.63,1.55,1.57,1.29,214500,339000,1084000,6609000.0,50468000.0,1.5575,,,,,162012.5,,
1/9/2015,RCI-W1,1.59,1.64,1.57,1.57,0.0,664000,1064000,2060000,6772000.0,47250000.0,1.56,,,,,262410.0,,
1/12/2015,RCI-W1,1.56,1.61,1.53,1.61,2.55,160100,252000,2159000,4037000.0,44854000.0,1.568,,,,,273580.0,,
1/13/2015,RCI-W1,1.55,1.6,1.54,1.6,-0.62,86700,136000,2072000,3371000.0,43049000.0,1.58,,,,,261100.0,,
1/14/2015,RCI-W1,1.6,1.61,1.56,1.56,-2.5,346000,550000,2341000,3500000.0,41525000.0,1.582,,,,,294260.0,,
1/15/2015,RCI-W1,1.6,1.6,1.56,1.6,2.56,208400,327000,2329000,3661000.0,41231000.0,1.5879999999999999,,,,,293040.0,,
1/16/2015,RCI-W1,1.56,1.59,1.56,1.59,-0.62,163000,257000,1522000,3829000.0,40393000.0,1.5919999999999999,,,,,192840.0,,
1/19/2015,RCI-W1,1.61,1.7,1.61,1.66,4.4,1688300,2833000,4103000,6604000.0,42026000.0,1.6019999999999999,,,,,498480.0,,
1/20/2015,RCI-W1,1.67,1.69,1.57,1.61,-3.01,408100,658000,4625000,7161000.0,41866000.0,1.6039999999999999,1.5858333333333332,,,,562760.0,,
1/21/2015,RCI-W1,1.62,1.63,1.6,1.6,-0.62,63000,101000,4176000,7174000.0,40422000.0,1.612,1.5883333333333336,,,,506160.0,,
1/22/2015,RCI-W1,1.62,1.65,1.6,1.65,3.12,245400,400000,4249000,7421000.0,39961000.0,1.6220000000000003,1.5975,,,,513560.0,50.0,50.0
1/23/2015,RCI-W1,1.65,1.71,1.61,1.61,-2.42,752300,1265000,5257000,8463000.0,40423000.0,1.626,1.6024999999999998,,,,631420.0,42.857142857142854,46.42857142857143
1/26/2015,RCI-W1,1.62,1.8,1.62,1.8,11.8,3351250,5893000,8317000,14075000.0,44958000.0,1.654,1.6216666666666664,,,,964010.0,50.0,47.61904761904762
1/27/2015,RCI-W1,1.85,1.95,1.85,1.88,4.44,4290550,8146000,15805000,21882000.0,52180000.0,1.7079999999999997,1.6475,,,,1740500.0,50.0,48.214285714285715
1/28/2015,RCI-W1,1.97,2.06,1.88,2.06,9.57,8492300,17048000,32752000,37866000.0,68388000.0,1.8,1.6849999999999996,,,,3426360.0,50.0,48.57142857142857
1/29/2015,RCI-W1,2.12,2.38,2.06,2.14,3.88,16107650,36040000,68392000,73654000.0,93912000.0,1.8980000000000001,1.7299999999999998,,,,6598810.0,57.14285714285714,50.0
1/30/2015,RCI-W1,2.16,2.2,1.9,1.92,-10.28,4324500,8857000,75984000,82375000.0,99326000.0,1.9600000000000002,1.7599999999999998,,,,7313250.0,50.0,51.42857142857142
2/2/2015,RCI-W1,1.87,2.02,1.86,1.87,-2.6,3763850,7293000,77384000,89118000.0,103740000.0,1.9740000000000002,1.7825000000000004,,,,7395770.0,50.0,51.42857142857142
2/3/2015,RCI-W1,1.96,2.28,1.96,2.2,17.65,8148200,17455000,86693000,106246000.0,118525000.0,2.0380000000000003,1.8333333333333333,,,,8167300.0,57.14285714285714,52.857142857142854
2/4/2015,RCI-W1,2.28,2.36,2.02,2.04,-7.27,6201200,13639000,83284000,119628000.0,129781000.0,2.0340000000000003,1.865,,,,7709080.0,50.0,52.857142857142854
2/5/2015,RCI-W1,2.02,2.1,1.97,1.99,-2.45,1325800,2672000,49916000,119467000.0,131834000.0,2.0040000000000004,1.8966666666666665,,,,4752710.0,50.0,51.42857142857142
2/6/2015,RCI-W1,2.0,2.2,2.0,2.14,7.54,2241950,4740000,45799000,123549000.0,136235000.0,2.048,1.9416666666666664,,,,4336200.0,50.0,51.42857142857142
2/9/2015,RCI-W1,2.16,2.36,2.16,2.3,7.48,10528099,24125000,62631000,147573000.0,159459000.0,2.1340000000000003,1.9958333333333333,1.7780769230769229,0.22589031339031362,0.22589031339031362,5689049.8,57.14285714285714,52.857142857142854
2/10/2015,RCI-W1,2.38,2.52,2.12,2.12,-7.83,18464100,43060000,88236000,190233000.0,199532000.0,2.118,2.0383333333333336,1.799230769230769,0.22790598290598307,0.22689814814814835,7752229.8,57.14285714285714,52.857142857142854
2/11/2015,RCI-W1,2.08,2.18,1.9,1.96,-7.55,6156150,12643000,87240000,201611000.0,211373000.0,2.1020000000000003,2.0516666666666667,1.8153846153846152,0.21146723646723697,0.2217545109211779,7743219.8,50.0,52.857142857142854
2/12/2015,RCI-W1,1.98,2.04,1.97,1.98,1.02,1244300,2482000,87050000,198200000.0,213434000.0,2.1,2.06,1.8319230769230765,0.20480056980057015,0.21751602564102596,7726919.8,57.14285714285714,54.28571428571429
2/13/2015,RCI-W1,2.0,2.0,1.91,1.94,-2.02,456800,889000,83199000,190943000.0,214157000.0,2.0599999999999996,2.0500000000000003,1.8461538461538456,0.17997150997151068,0.2100071225071229,7369889.8,50.0,54.28571428571429
2/16/2015,RCI-W1,1.91,1.95,1.79,1.85,-4.64,551400,1035000,60109000,174930000.0,215103000.0,1.97,2.025833333333334,1.8569230769230767,0.14237179487179552,0.19330341880341928,5374550.0,42.857142857142854,51.42857142857142
