Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,RML-W3,0.3,0.31,0.29,0.3,3.45,1198100,359000,3641000,37426000.0,555556000.0,0.3,,,,,1198100.0,,
1/6/2015,RML-W3,0.29,0.3,0.29,0.29,-3.33,2366200,692000,2759000,22195000.0,546424000.0,0.295,,,,,1782150.0,,
1/7/2015,RML-W3,0.3,0.33,0.3,0.31,6.9,13723824,4288000,6258000,21849000.0,545093000.0,0.3,,,,,5762708.0,,
1/8/2015,RML-W3,0.32,0.32,0.31,0.32,3.23,5136900,1622000,7493000,20876000.0,531816000.0,0.305,,,,,5606256.0,,
1/9/2015,RML-W3,0.34,0.36,0.33,0.34,6.25,14854075,5155000,12116000,22724000.0,533191000.0,0.312,,,,,7455819.8,,
1/12/2015,RML-W3,0.34,0.36,0.33,0.35,2.94,20410641,7089000,18846000,26678000.0,350536000.0,0.32199999999999995,,,,,11298328.0,,
1/13/2015,RML-W3,0.35,0.35,0.33,0.34,-2.86,8006500,2729000,20883000,28810000.0,264520000.0,0.33199999999999996,,,,,12426388.0,,
1/14/2015,RML-W3,0.35,0.35,0.33,0.33,-2.94,7533900,2553000,19148000,28379000.0,241976000.0,0.336,,,,,11188403.2,,
1/15/2015,RML-W3,0.33,0.34,0.32,0.32,-3.03,6077200,2003000,19529000,29772000.0,231905000.0,0.336,,,,,11376463.2,,
1/16/2015,RML-W3,0.32,0.33,0.32,0.33,3.12,2065630,665000,15039000,28863000.0,215254000.0,0.334,,,,,8818774.2,,
1/19/2015,RML-W3,0.32,0.33,0.32,0.32,-3.03,4211003,1361000,9311000,29435000.0,165215000.0,0.328,,,,,5578846.6,,
1/20/2015,RML-W3,0.32,0.35,0.32,0.33,3.12,22780600,7538000,14120000,36586000.0,141137000.0,0.326,0.3233333333333333,,,,8533666.6,,
1/21/2015,RML-W3,0.34,0.34,0.3,0.3,-9.09,37430852,11746000,23313000,47800000.0,143579000.0,0.32,0.3233333333333333,,,,14513057.0,,
1/22/2015,RML-W3,0.3,0.31,0.29,0.3,0.0,11566518,3498000,24808000,50939000.0,141516000.0,0.316,0.32416666666666666,,,,15610920.6,50.0,50.0
1/23/2015,RML-W3,0.3,0.3,0.29,0.3,0.0,9583669,2874000,27017000,53121000.0,140481000.0,0.31,0.3233333333333333,,,,17114528.4,42.857142857142854,46.42857142857143
1/26/2015,RML-W3,0.3,0.3,0.27,0.27,-10.0,18624500,5195000,30851000,54028000.0,137990000.0,0.3,0.31916666666666665,,,,19997227.8,42.857142857142854,45.23809523809524
1/27/2015,RML-W3,0.28,0.28,0.27,0.27,0.0,7384121,1999000,25312000,54405000.0,136881000.0,0.288,0.3133333333333333,,,,16917932.0,35.71428571428572,42.85714285714286
1/28/2015,RML-W3,0.27,0.28,0.26,0.27,0.0,3518000,950000,14516000,50200000.0,132964000.0,0.28200000000000003,0.30666666666666664,,,,10135361.6,28.57142857142857,40.0
1/29/2015,RML-W3,0.27,0.28,0.26,0.26,-3.7,10681718,2874000,13892000,45985000.0,118613000.0,0.274,0.3,,,,9958401.6,21.42857142857143,34.28571428571429
1/30/2015,RML-W3,0.27,0.29,0.27,0.27,3.85,6672300,1856000,12874000,45112000.0,114668000.0,0.268,0.29500000000000004,,,,9376127.8,21.42857142857143,30.0
2/2/2015,RML-W3,0.27,0.27,0.25,0.26,-3.7,7657500,1998000,9677000,44557000.0,111119000.0,0.266,0.29000000000000004,,,,7182727.8,21.42857142857143,25.714285714285715
2/3/2015,RML-W3,0.26,0.26,0.21,0.21,-19.23,32449543,7541000,15219000,50095000.0,113652000.0,0.254,0.28,,,,12195812.2,21.42857142857143,22.857142857142858
2/4/2015,RML-W3,0.19,0.2,0.1,0.13,-38.1,145420889,19891000,34160000,69321000.0,117620000.0,0.22599999999999998,0.26416666666666666,,,,40576390.0,21.42857142857143,21.42857142857143
2/5/2015,RML-W3,0.13,0.13,0.1,0.11,-15.38,32628842,3726000,35012000,71686000.0,116712000.0,0.196,0.24583333333333332,,,,44965814.8,14.285714285714292,20.000000000000004
2/6/2015,RML-W3,0.13,0.15,0.1,0.15,36.36,103559725,12826000,45982000,76974000.0,126943000.0,0.172,0.2333333333333333,,,,64343299.8,21.42857142857143,20.000000000000004
2/9/2015,RML-W3,0.15,0.19,0.15,0.15,0.0,46195875,7555000,51539000,72783000.0,131191000.0,0.15,0.22083333333333333,0.27423076923076917,-0.055092592592592554,-0.055092592592592554,72050974.8,14.285714285714292,18.571428571428577
2/10/2015,RML-W3,0.16,0.16,0.14,0.15,0.0,19480100,2960000,46958000,72245000.0,131016000.0,0.138,0.2083333333333333,0.2684615384615384,-0.060327635327635354,-0.057710113960113954,69457086.2,14.285714285714292,17.142857142857146
2/11/2015,RML-W3,0.15,0.18,0.15,0.16,6.67,41308677,6857000,33924000,76228000.0,137276000.0,0.14400000000000002,0.1991666666666667,0.2634615384615384,-0.06265669515669506,-0.059358974358974324,48634643.8,21.42857142857143,17.142857142857146
