Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,ROBINS,45.5,45.5,44.5,44.5,-1.11,748122,33521000,254974000,1257698000.0,3952693000.0,44.5,,,,,748122.0,,,33521000.0,0.0
1/6/2015,ROBINS,44.25,45.0,44.0,44.75,0.56,743200,33090000,221393000,990557000.0,3780525000.0,44.625,,,,,745661.0,,,33305500.0,0.0
1/7/2015,ROBINS,44.5,46.25,44.5,46.0,2.79,600602,27455000,205850000,927878000.0,3648380000.0,45.08333333333334,,,,,697308.0,,,31355333.33333333,0.0
1/8/2015,ROBINS,46.25,47.25,46.25,46.75,1.63,1883513,88313000,244539000,960633000.0,3664061000.0,45.5,,,,,993859.25,,,45594750.0,0.0
1/9/2015,ROBINS,47.0,47.0,45.75,46.5,-0.53,338502,15697000,198076000,860635000.0,3630385000.0,45.7,,,,,862787.8,,,39615200.0,0.0
1/12/2015,ROBINS,47.0,47.25,46.75,47.0,1.08,1418405,66684000,231239000,858628000.0,3521433000.0,46.2,,,,,996844.4,,,46247800.0,0.0
1/13/2015,ROBINS,46.5,47.0,46.25,47.0,0.0,1120166,52501000,250650000,873538000.0,3409465000.0,46.65,,,,,1072237.6,,,50130000.0,0.0
1/14/2015,ROBINS,47.0,47.5,46.5,47.0,0.0,936416,44126000,267321000,744188000.0,3264592000.0,46.85,,,,,1139400.4,,,53464200.0,0.0
1/15/2015,ROBINS,47.5,48.75,47.0,48.0,2.13,1790350,85978000,264986000,668818000.0,3111878000.0,47.1,,,,,1120767.8,,,52997200.0,0.0
1/16/2015,ROBINS,48.25,48.25,47.0,47.0,-2.08,435821,20621000,269910000,622768000.0,2976626000.0,47.2,,,,,1140231.6,,,53982000.0,0.0
1/19/2015,ROBINS,47.75,47.75,45.5,45.75,-2.66,1037022,47846000,251072000,627616000.0,2959030000.0,46.95,,,,,1063955.0,,,50214400.0,0.0
1/20/2015,ROBINS,45.75,46.25,45.5,45.75,0.0,387334,17708000,216279000,595700000.0,2906449000.0,46.7,46.33333333333334,,,,917388.6,,,43255800.0,0.0
1/21/2015,ROBINS,45.5,46.0,45.0,45.75,0.0,730600,33082000,205235000,566622000.0,2858024000.0,46.45,46.4375,,,,876225.4,,,41047000.0,0.0
1/22/2015,ROBINS,46.0,46.5,45.5,46.5,1.64,1009300,46222000,165479000,579323000.0,2826498000.0,46.15,46.58333333333334,,,,720015.4,42.857142857142854,42.857142857142854,33095800.0,0.0
1/23/2015,ROBINS,46.75,47.0,45.75,46.0,-1.08,1151876,53136000,197994000,599369000.0,2819575000.0,45.95,46.58333333333334,,,,863226.4,42.857142857142854,42.857142857142854,39598800.0,0.0
1/26/2015,ROBINS,46.0,46.5,44.75,44.75,-2.72,1827258,82575000,232723000,654489000.0,2847302000.0,45.75,46.41666666666666,,,,1021273.6,35.714285714285715,40.476190476190474,46544600.0,0.0
1/27/2015,ROBINS,44.5,45.25,44.5,44.75,0.0,734649,33015000,248030000,599191000.0,2839279000.0,45.55,46.27083333333334,,,,1090736.6,28.57142857142857,37.5,49606000.0,0.0
1/28/2015,ROBINS,45.0,45.5,44.5,44.75,0.0,698102,31364000,246312000,614858000.0,2784777000.0,45.35,46.08333333333334,,,,1084237.0,21.42857142857143,34.285714285714285,49262400.0,0.0
1/29/2015,ROBINS,44.75,45.25,44.5,44.75,0.0,1379003,61998000,262088000,610172000.0,2742532000.0,45.0,45.89583333333334,,,,1158177.6,21.42857142857143,30.0,52417600.0,0.0
1/30/2015,ROBINS,45.0,45.5,44.5,44.75,0.0,1001200,44936000,253888000,602607000.0,2560919000.0,44.75,45.70833333333334,,,,1128042.4,14.285714285714292,24.28571428571429,50777600.0,0.0
2/2/2015,ROBINS,44.5,45.25,44.5,45.0,0.56,592423,26569000,197882000,585050000.0,2374174000.0,44.8,45.45833333333334,,,,881075.4,21.42857142857143,21.42857142857143,39576400.0,0.0
2/3/2015,ROBINS,45.25,46.0,45.0,46.0,2.22,934506,42529000,207396000,541601000.0,2213143000.0,45.05,45.375,,,,921046.8,28.57142857142857,21.42857142857143,41479200.0,0.0
2/4/2015,ROBINS,46.25,46.5,45.75,45.75,-0.54,1723830,79334000,255366000,600314000.0,1992246000.0,45.25,45.375,,,,1126192.4,21.42857142857143,21.42857142857143,51073200.0,0.0
2/5/2015,ROBINS,45.75,46.0,45.0,45.75,0.0,942401,42786000,236154000,595254000.0,1944898000.0,45.45,45.375,,,,1038872.0,21.42857142857143,21.42857142857143,47230800.0,0.0
2/6/2015,ROBINS,45.5,45.75,45.25,45.5,-0.55,740501,33789000,225007000,611335000.0,1923129000.0,45.6,45.35416666666666,,,,986732.2,21.42857142857143,22.857142857142854,45001400.0,0.0
2/9/2015,ROBINS,45.0,46.0,45.0,45.5,0.0,910795,41659000,240097000,619912000.0,1849093000.0,45.7,45.27083333333334,45.82692307692307,-0.4966168091168086,-0.4966168091168086,1050406.6,21.42857142857143,22.857142857142854,48019400.0,0.0
2/10/2015,ROBINS,45.25,45.75,45.0,45.75,0.55,803701,36511000,234079000,610201000.0,1816913000.0,45.65,45.25,45.875,-0.5388176638176603,-0.5177172364672344,1024245.6,28.57142857142857,22.857142857142854,46815800.0,0.0
2/11/2015,ROBINS,45.75,46.0,45.0,46.0,0.55,877900,39990000,194735000,597055000.0,1819312000.0,45.7,45.35416666666666,45.92307692307693,-0.4752492877492784,-0.5035612535612491,855059.6,28.57142857142857,24.285714285714285,38947000.0,2.0
2/12/2015,ROBINS,46.0,46.0,45.0,45.75,-0.54,832051,37882000,189831000,552362000.0,1683718000.0,45.7,45.4375,45.91346153846154,-0.4157763532763497,-0.4816150284900242,832989.6,28.57142857142857,25.71428571428571,37966200.0,0.0
2/13/2015,ROBINS,45.75,45.75,45.0,45.0,-1.64,577980,26135000,182177000,545482000.0,1548505000.0,45.6,45.45833333333334,45.84615384615386,-0.3956552706552756,-0.4644230769230745,800485.4,28.57142857142857,27.142857142857146,36435400.0,0.0
2/16/2015,ROBINS,45.0,45.5,45.0,45.0,0.0,578427,26147000,166665000,540265000.0,1507981000.0,45.5,45.47916666666666,45.78846153846154,-0.32460826210827065,-0.4300213675213669,734011.8,28.57142857142857,28.57142857142857,33333000.0,0.0
2/17/2015,ROBINS,45.0,45.25,44.5,44.5,-1.11,679611,30515000,160669000,508782000.0,1495498000.0,45.25,45.45833333333334,45.69230769230769,-0.2930911680911663,-0.3808760683760681,709193.8,28.57142857142857,28.57142857142857,32133800.0,0.0
2/18/2015,ROBINS,44.5,45.5,44.5,45.5,2.25,352555,15955000,136634000,479801000.0,1461829000.0,45.15,45.5,45.634615384615394,-0.12464387464387985,-0.3107549857549884,604124.8,35.714285714285715,30.0,27326800.0,0.0
2/19/2015,ROBINS,45.5,45.5,44.5,44.75,-1.65,362100,16241000,114993000,469473000.0,1415910000.0,44.95,45.39583333333334,45.54807692307693,-0.1924857549857464,-0.2660968660968678,510134.6,35.714285714285715,31.428571428571434,22998600.0,0.0
2/20/2015,ROBINS,44.75,45.0,44.75,45.0,0.56,609429,27291000,116149000,454235000.0,1409680000.0,44.95,45.33333333333334,45.43269230769231,-0.1185897435897445,-0.21068376068376155,516424.4,35.714285714285715,32.85714285714286,23229800.0,2.0
