Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,RPC,1.11,1.13,1.11,1.11,0.0,3978200,4433000,44789000,393762000.0,705492000.0,1.11,,,,,3978200.0,,
1/6/2015,RPC,1.11,1.12,1.09,1.1,-0.9,7147700,7871000,35994000,309862000.0,696474000.0,1.105,,,,,5562950.0,,
1/7/2015,RPC,1.1,1.14,1.1,1.12,1.82,7253600,8134000,26873000,287253000.0,678677000.0,1.11,,,,,6126500.0,,
1/8/2015,RPC,1.14,1.18,1.13,1.15,2.68,23581101,27278000,51354000,298345000.0,697559000.0,1.12,,,,,10490150.25,,
1/9/2015,RPC,1.16,1.17,1.13,1.13,-1.74,13000160,14951000,62667000,239912000.0,706844000.0,1.122,,,,,10992152.2,,
1/12/2015,RPC,1.13,1.15,1.12,1.12,-0.88,8176000,9254000,67488000,226944000.0,708209000.0,1.124,,,,,11831712.2,,
1/13/2015,RPC,1.12,1.19,1.12,1.14,1.79,28172250,32626000,92243000,219856000.0,692214000.0,1.132,,,,,16036622.2,,
1/14/2015,RPC,1.17,1.38,1.17,1.32,15.79,668365703,876476000,960585000,1039586000.0,1555654000.0,1.1720000000000002,,,,,148259042.8,,
1/15/2015,RPC,1.22,1.28,1.18,1.2,-9.09,73238600,89029000,1022336000,1110408000.0,1629758000.0,1.182,,,,,158190542.6,,
1/16/2015,RPC,1.19,1.2,1.16,1.19,-0.83,16580900,19566000,1026951000,1113308000.0,1640904000.0,1.1940000000000002,,,,,158906690.6,,
1/19/2015,RPC,1.2,1.23,1.18,1.2,0.84,18356357,22117000,1039814000,1118170000.0,1653714000.0,1.21,,,,,160942762.0,,
1/20/2015,RPC,1.21,1.23,1.18,1.18,-1.67,18448420,22211000,1029399000,1137584000.0,1661625000.0,1.218,1.163333333333333,,,,158997996.0,,
1/21/2015,RPC,1.19,1.19,1.17,1.18,0.0,8866600,10446000,163369000,1144392000.0,1663891000.0,1.19,1.1691666666666665,,,,27098175.4,,
1/22/2015,RPC,1.18,1.18,1.16,1.17,-0.85,8338454,9749000,84089000,1149708000.0,1666396000.0,1.1839999999999997,1.1749999999999998,,,,14118146.2,35.71428571428572,35.71428571428572
1/23/2015,RPC,1.17,1.19,1.15,1.16,-0.85,11365701,13201000,77724000,1155038000.0,1666566000.0,1.178,1.1783333333333332,,,,13075106.4,35.71428571428572,35.71428571428572
1/26/2015,RPC,1.16,1.16,1.12,1.14,-1.72,15116900,17178000,72785000,1164082000.0,1678028000.0,1.166,1.1775,,,,12427215.0,35.71428571428572,35.71428571428572
1/27/2015,RPC,1.14,1.15,1.13,1.13,-0.88,6773002,7672000,58246000,1144476000.0,1681641000.0,1.156,1.1775000000000002,,,,10092131.4,28.57142857142857,33.92857142857143
1/28/2015,RPC,1.14,1.18,1.13,1.17,3.54,11795401,13656000,61456000,1143181000.0,1687246000.0,1.154,1.1816666666666669,,,,10677891.6,28.57142857142857,32.857142857142854
1/29/2015,RPC,1.17,1.19,1.15,1.16,-0.85,5251700,6113000,57820000,1140040000.0,1677632000.0,1.152,1.1833333333333333,,,,10060540.8,28.57142857142857,31.428571428571434
1/30/2015,RPC,1.17,1.17,1.15,1.17,0.86,4060200,4707000,49326000,1112121000.0,1652750000.0,1.154,1.1708333333333334,,,,8599440.6,35.71428571428572,31.428571428571434
2/2/2015,RPC,1.16,1.23,1.15,1.22,4.27,15441301,18505000,50653000,254150000.0,1634399000.0,1.17,1.1724999999999999,,,,8664320.8,35.71428571428572,31.428571428571434
2/3/2015,RPC,1.23,1.23,1.19,1.21,-0.82,6247401,7554000,50535000,172675000.0,1632056000.0,1.186,1.1741666666666666,,,,8559200.6,28.57142857142857,31.428571428571434
2/4/2015,RPC,1.21,1.21,1.19,1.21,0.0,10336200,12372000,49251000,165481000.0,1552657000.0,1.194,1.175,,,,8267360.4,28.57142857142857,31.428571428571434
2/5/2015,RPC,1.21,1.25,1.18,1.2,-0.83,43701700,53598000,96736000,196962000.0,1575512000.0,1.202,1.1766666666666667,,,,15957360.4,28.57142857142857,31.428571428571434
2/6/2015,RPC,1.21,1.23,1.19,1.2,0.0,16830589,20273000,112302000,195024000.0,1579599000.0,1.208,1.1783333333333335,,,,18511438.2,21.42857142857143,28.571428571428573
2/9/2015,RPC,1.2,1.22,1.17,1.17,-2.5,10280504,12254000,106051000,196832000.0,1518469000.0,1.198,1.1783333333333332,1.171153846153846,0.005982905982905962,0.005982905982905962,17479278.8,21.42857142857143,25.71428571428571
2/10/2015,RPC,1.18,1.19,1.16,1.17,0.0,11555400,13538000,112035000,200621000.0,1509785000.0,1.19,1.1791666666666665,1.1734615384615383,0.0045512820512818575,0.0052670940170939096,18540878.6,21.42857142857143,24.285714285714285
2/11/2015,RPC,1.17,1.24,1.16,1.21,3.42,58337375,70715000,170378000,258135000.0,1540786000.0,1.19,1.1849999999999998,1.1776923076923076,0.008760683760683508,0.0064316239316237755,28141113.6,28.57142857142857,24.285714285714285
2/12/2015,RPC,1.23,1.23,1.19,1.2,-0.83,32299250,39311000,156091000,280268000.0,1523351000.0,1.19,1.1908333333333332,1.1807692307692308,0.010049857549857544,0.007336182336182218,25860623.6,28.57142857142857,24.285714285714285
2/13/2015,RPC,1.22,1.29,1.21,1.27,5.83,130052355,164074000,299892000,436670000.0,1669218000.0,1.204,1.1991666666666665,1.1853846153846155,0.018411680911680994,0.009551282051281973,48504976.8,35.71428571428572,27.142857142857146
2/16/2015,RPC,1.28,1.33,1.25,1.27,0.0,125225100,162262000,449900000,585276000.0,1814814000.0,1.2239999999999998,1.208333333333333,1.190769230769231,0.02118233618233578,0.012591168091167938,71493896.0,35.71428571428572,30.0
2/17/2015,RPC,1.26,1.26,1.18,1.18,-7.09,82316834,100180000,536542000,679343000.0,1897739000.0,1.226,1.2091666666666665,1.1930769230769231,0.012571225071224879,0.01419515669515654,85646182.8,28.57142857142857,31.428571428571434
2/18/2015,RPC,1.19,1.35,1.19,1.3,10.17,250985357,324336000,790163000,998972000.0,2219278000.0,1.244,1.2158333333333333,1.1992307692307693,0.02208689458689439,0.016860398860398716,124175779.2,35.71428571428572,32.85714285714286
2/19/2015,RPC,1.33,1.49,1.3,1.34,3.08,681832301,949072000,1699924000,1929539000.0,3164712000.0,1.2719999999999998,1.2266666666666666,1.2,0.033732193732193716,0.021596866096865952,254082389.4,35.71428571428572,34.28571428571429
2/20/2015,RPC,1.37,1.39,1.28,1.31,-2.24,93773593,125855000,1661705000,2047840000.0,3286134000.0,1.28,1.235,1.204230769230769,0.03447293447293487,0.024809116809116728,246826637.0,28.57142857142857,32.857142857142854
2/23/2015,RPC,1.28,1.28,1.23,1.25,-4.58,34608001,43507000,1542950000,2078975000.0,3321770000.0,1.2760000000000002,1.2391666666666667,1.2065384615384613,0.03107549857549885,0.02678774928774934,228703217.2,28.57142857142857,31.428571428571434
2/24/2015,RPC,1.25,1.28,1.22,1.25,0.0,15511000,19314000,1462084000,2044691000.0,3332950000.0,1.29,1.2433333333333334,1.2084615384615385,0.032820512820513015,0.030837606837606966,215342050.4,28.57142857142857,31.428571428571434
2/25/2015,RPC,1.24,1.28,1.22,1.23,-1.6,8392000,10435000,1148183000,2034853000.0,3316107000.0,1.2760000000000002,1.2483333333333333,1.2103846153846154,0.033675213675213644,0.03315527065527082,166823379.0,28.57142857142857,30.0
2/26/2015,RPC,1.24,1.25,1.19,1.2,-2.44,14236001,17198000,216309000,2039797000.0,3318354000.0,1.248,1.2508333333333332,1.211153846153846,0.03268518518518526,0.03294586894586913,33304119.0,28.57142857142857,28.571428571428566
2/27/2015,RPC,1.22,1.28,1.19,1.26,5.0,28339556,35268000,125722000,2061527000.0,3344368000.0,1.238,1.255,1.2146153846153847,0.03779202279202254,0.03360968660968666,20217311.6,35.71428571428572,30.0
3/2/2015,RPC,1.26,1.29,1.23,1.25,-0.79,17410825,21884000,104099000,2012696000.0,3333626000.0,1.238,1.2591666666666665,1.218076923076923,0.03731481481481458,0.03485754985754981,16777876.4,35.71428571428572,31.428571428571434
3/3/2015,RPC,1.24,1.25,1.2,1.21,-3.2,13745808,16758000,101543000,1990143000.0,2473908000.0,1.23,1.2541666666666667,1.2207692307692306,0.02740028490028501,0.03377350427350421,16424838.0,28.57142857142857,31.428571428571434
3/5/2015,RPC,1.2,1.24,1.2,1.22,0.83,10076800,12258000,103366000,1838327000.0,2397137000.0,1.228,1.2500000000000002,1.2242307692307692,0.021467236467236583,0.0313319088319088,16761798.0,35.71428571428572,32.85714285714286
3/6/2015,RPC,1.24,1.28,1.22,1.26,3.28,19996200,25152000,111320000,1701217000.0,2402723000.0,1.2399999999999998,1.2566666666666666,1.2276923076923076,0.027094017094017042,0.03021367521367515,17913837.8,35.71428571428572,34.28571428571429
3/9/2015,RPC,1.26,1.28,1.23,1.25,-0.79,6313550,7863000,83915000,1608900000.0,2388469000.0,1.238,1.2525000000000002,1.231153846153846,0.019565527065527277,0.026568376068376098,13508636.6,35.71428571428572,34.28571428571429
3/10/2015,RPC,1.25,1.25,1.21,1.21,-3.2,6302900,7712000,69743000,1292276000.0,2373970000.0,1.23,1.241666666666667,1.2326923076923075,0.005783475783476044,0.02026210826210839,11287051.6,35.71428571428572,34.28571428571429
3/11/2015,RPC,1.23,1.23,1.21,1.23,1.65,5630610,6871000,59856000,350075000.0,2370395000.0,1.234,1.235,1.2330769230769232,0.0013817663817665693,0.015058404558404704,9664012.0,35.71428571428572,35.71428571428572
3/12/2015,RPC,1.23,1.25,1.21,1.23,0.0,6655530,8092000,55690000,232312000.0,2368738000.0,1.236,1.2333333333333334,1.2338461538461538,-0.0007407407407407085,0.010616809116809244,8979758.0,28.57142857142857,34.28571428571429
3/13/2015,RPC,1.24,1.24,1.21,1.22,-0.81,2169901,2646000,33184000,191451000.0,2358183000.0,1.228,1.2308333333333334,1.2342307692307695,-0.004009971509971733,0.00439601139601149,5414498.2,28.57142857142857,32.857142857142854
3/16/2015,RPC,1.22,1.24,1.17,1.18,-3.28,13523600,16080000,41401000,188217000.0,2357085000.0,1.214,1.2266666666666668,1.2334615384615388,-0.010014245014245082,-0.0015199430199429819,6856508.2,28.57142857142857,31.428571428571434
3/17/2015,RPC,1.17,1.19,1.13,1.13,-4.24,11100703,12854000,46543000,190636000.0,2362267000.0,1.198,1.2208333333333334,1.2307692307692308,-0.016445868945868858,-0.005965811965811962,7816068.8,28.57142857142857,30.0
3/18/2015,RPC,1.12,1.17,1.12,1.16,2.65,5998600,6843000,46515000,180281000.0,2355454000.0,1.184,1.2125000000000001,1.2303846153846154,-0.020747863247863263,-0.010391737891737928,7889666.8,35.71428571428572,30.0
3/19/2015,RPC,1.18,1.18,1.15,1.16,0.0,2895300,3350000,41773000,148363000.0,2352691000.0,1.17,1.205,1.23,-0.02673789173789176,-0.01559116809116814,7137620.8,35.71428571428572,31.428571428571434
3/20/2015,RPC,1.15,1.17,1.12,1.14,-1.72,7377600,8388000,47515000,134867000.0,2356372000.0,1.154,1.1991666666666667,1.2273076923076922,-0.030776353276352753,-0.020944444444444342,8179160.6,28.57142857142857,31.428571428571434
3/23/2015,RPC,1.15,1.15,1.12,1.13,-0.88,5337356,6034000,37469000,124143000.0,2343901000.0,1.144,1.1916666666666667,1.2246153846153847,-0.03542735042735057,-0.026027065527065442,6541911.8,28.57142857142857,31.428571428571434
3/24/2015,RPC,1.12,1.13,1.09,1.1,-2.65,8602600,9462000,34077000,121347000.0,2345809000.0,1.138,1.1783333333333332,1.218076923076923,-0.04304843304843331,-0.03134757834757833,6042291.2,28.57142857142857,31.428571428571434
3/25/2015,RPC,1.13,1.13,1.08,1.11,0.91,4799550,5326000,32560000,101521000.0,2338763000.0,1.128,1.1666666666666665,1.2119230769230769,-0.046424501424501496,-0.036482905982905975,5802481.2,28.57142857142857,30.0
3/26/2015,RPC,1.1,1.14,1.1,1.11,0.0,6350800,7098000,36308000,100756000.0,2292263000.0,1.1179999999999999,1.158333333333333,1.209230769230769,-0.05098290598290611,-0.04133190883190885,6493581.2,21.42857142857143,27.142857142857146
3/27/2015,RPC,1.11,1.12,1.09,1.1,-0.9,2322500,2552000,30472000,95596000.0,2274542000.0,1.11,1.1475,1.2015384615384617,-0.05382478632478649,-0.045941595441595595,5482561.2,21.42857142857143,25.71428571428571
3/30/2015,RPC,1.11,1.11,1.09,1.11,0.91,2315900,2558000,26996000,91283000.0,2264846000.0,1.106,1.1374999999999997,1.1926923076923077,-0.05329772079772077,-0.04951566951566964,4878270.0,28.57142857142857,25.71428571428571
4/1/2015,RPC,1.12,1.15,1.12,1.14,1.79,4271900,4848000,22382000,88039000.0,2256156000.0,1.114,1.1308333333333331,1.1861538461538461,-0.05049145299145308,-0.05100427350427359,4012130.0,28.57142857142857,25.71428571428571
4/2/2015,RPC,1.15,1.17,1.14,1.17,2.63,5246700,6089000,23145000,91482000.0,2191530000.0,1.126,1.1300000000000001,1.183076923076923,-0.04595441595441563,-0.05091025641025641,4101560.0,35.71428571428572,27.142857142857146
4/3/2015,RPC,1.17,1.18,1.15,1.17,0.0,3787900,4406000,20453000,79808000.0,2156625000.0,1.138,1.1333333333333333,1.1800000000000002,-0.040284900284900615,-0.048770655270655314,3588980.0,35.71428571428572,30.0
4/7/2015,RPC,1.19,1.23,1.18,1.18,0.85,22959600,27649000,45550000,94603000.0,2020200000.0,1.154,1.135,1.1780769230769232,-0.03629629629629627,-0.04526495726495727,7716400.0,42.857142857142854,34.28571428571429
4/8/2015,RPC,1.2,1.2,1.17,1.17,-0.85,7210400,8539000,51531000,96299000.0,1866477000.0,1.166,1.1358333333333333,1.1769230769230772,-0.035320512820513184,-0.04166951566951575,8695300.0,42.857142857142854,37.142857142857146
4/9/2015,RPC,1.18,1.2,1.16,1.17,0.0,2854350,3346000,50029000,96295000.0,1769643000.0,1.172,1.1383333333333334,1.1734615384615386,-0.030000000000000027,-0.037571225071225144,8411790.0,35.71428571428572,38.57142857142858
4/10/2015,RPC,1.17,1.17,1.14,1.15,-1.71,4622401,5342000,49282000,93249000.0,1450649000.0,1.168,1.14,1.1696153846153847,-0.02662393162393184,-0.03370512820512839,8286930.2,35.71428571428572,38.57142857142858
4/16/2015,RPC,1.17,1.23,1.17,1.19,3.48,22401009,26830000,71706000,114045000.0,528407000.0,1.172,1.1475,1.168846153846154,-0.016374643874643935,-0.02892307692307705,12009552.0,42.857142857142854,40.00000000000001
4/17/2015,RPC,1.19,1.21,1.17,1.18,-0.84,8258119,9814000,53871000,114397000.0,412366000.0,1.172,1.153333333333333,1.1673076923076926,-0.010811965811966306,-0.02382621082621106,9069255.8,42.857142857142854,40.00000000000001
4/20/2015,RPC,1.18,1.27,1.18,1.27,7.63,53330500,65746000,111078000,174817000.0,434605000.0,1.1919999999999997,1.1666666666666665,1.167692307692308,0.007293447293446942,-0.015303418803419034,18293275.8,50.0,41.42857142857143
4/21/2015,RPC,1.26,1.29,1.21,1.22,-3.94,56808700,71598000,179330000,239317000.0,486889000.0,1.2019999999999997,1.1766666666666665,1.1665384615384615,0.012834757834757626,-0.006736467236467503,29084145.8,42.857142857142854,42.85714285714286
4/22/2015,RPC,1.22,1.23,1.19,1.19,-2.46,15268194,18436000,192424000,255201000.0,494890000.0,1.2100000000000002,1.1833333333333331,1.1657692307692307,0.016794871794871824,0.0019472934472932301,31213304.4,42.857142857142854,44.28571428571429
4/23/2015,RPC,1.2,1.23,1.17,1.19,0.0,17393600,20848000,186442000,273491000.0,498540000.0,1.2099999999999997,1.1874999999999998,1.1642307692307694,0.02174501424501396,0.00957122507122481,30211822.6,42.857142857142854,44.28571428571429
4/24/2015,RPC,1.2,1.2,1.17,1.18,-0.84,4779700,5653000,182281000,274296000.0,468925000.0,1.21,1.1883333333333332,1.1623076923076923,0.023433048433048276,0.016420227920227726,29516138.8,35.71428571428572,42.85714285714286
4/27/2015,RPC,1.18,1.21,1.17,1.17,-0.85,5692400,6735000,123270000,274942000.0,453776000.0,1.19,1.1883333333333332,1.1603846153846153,0.024415954415954122,0.01984472934472916,19988518.8,28.57142857142857,38.57142857142857
4/28/2015,RPC,1.19,1.19,1.13,1.14,-2.56,13129056,15078000,66750000,285614000.0,452096000.0,1.174,1.1849999999999998,1.1588461538461539,0.02062678062678036,0.021403133903133708,11252590.0,21.42857142857143,34.28571428571429
4/29/2015,RPC,1.15,1.18,1.14,1.17,2.63,4274500,4938000,53252000,262903000.0,444776000.0,1.17,1.1849999999999998,1.1603846153846153,0.021595441595441356,0.022363247863247615,9053851.2,28.57142857142857,31.428571428571434
4/30/2015,RPC,1.16,1.19,1.16,1.16,-0.85,5634900,6584000,38988000,260948000.0,426208000.0,1.164,1.1841666666666666,1.1603846153846156,0.020092592592592107,0.022032763532763244,6702111.2,21.42857142857143,27.142857142857146
