Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
11/10/2017,RSP,7.5,8.15,7.2,8.05,38.79,437565191,3407679710,3407679710,3407679710.0,3407679710.0,8.05,,,,,437565191.0,,
11/13/2017,RSP,8.1,8.65,7.9,8.4,4.35,204840789,1695881560,5103561270,5103561270.0,5103561270.0,8.225000000000001,,,,,321202990.0,,
11/14/2017,RSP,8.4,8.45,8.0,8.0,-4.76,65399945,537890050,5641451320,5641451320.0,5641451320.0,8.15,,,,,235935308.33333334,,
11/16/2017,RSP,7.15,7.25,6.9,6.9,-1.43,24077500,169625950,5811077270,5811077270.0,5811077270.0,7.8375,,,,,182970856.25,,
11/17/2017,RSP,6.95,7.05,6.55,6.85,-0.72,23185892,157885870,5968963140,5968963140.0,5968963140.0,7.640000000000001,,,,,151013863.4,,
11/20/2017,RSP,6.9,7.2,6.9,7.1,3.65,12702000,89680980,2650964410,6058644120.0,6058644120.0,7.45,,,,,66041225.2,,
11/21/2017,RSP,7.1,7.1,6.8,6.8,-4.23,7026200,48638490,1003721340,6107282610.0,6107282610.0,7.13,,,,,26478307.4,,
11/22/2017,RSP,6.8,6.85,6.45,6.5,-4.41,9003903,59695310,525526600,6166977920.0,6166977920.0,6.830000000000001,,,,,15199099.0,,
11/23/2017,RSP,6.5,6.65,6.15,6.15,-5.38,11892893,75893570,431794220,6242871490.0,6242871490.0,6.68,,,,,12762177.6,,
11/24/2017,RSP,6.2,6.25,6.0,6.05,-1.63,9391813,57245920,331154270,6300117410.0,6300117410.0,6.519999999999999,,,,,10003361.8,,
11/27/2017,RSP,6.05,6.25,6.0,6.05,0.0,8963500,54862500,296335790,6354979910.0,6354979910.0,6.3100000000000005,,,,,9255661.8,,
11/28/2017,RSP,6.1,6.4,6.1,6.25,3.31,15383261,96256250,343953550,6451236160.0,6451236160.0,6.2,6.925,,,,10927074.0,,
11/29/2017,RSP,6.35,6.55,6.25,6.5,4.0,13905600,89275020,373533260,6540511180.0,6540511180.0,6.2,6.795833333333333,,,,11907413.4,,
11/30/2017,RSP,6.45,6.45,6.1,6.15,-5.38,7883000,49095100,346734790,3181926570.0,6589606280.0,6.2,6.608333333333333,,,,11105434.8,35.71428571428572,35.71428571428572
12/1/2017,RSP,6.25,6.35,6.15,6.2,0.81,4816300,30183500,319672370,1516228510.0,6619789780.0,6.23,6.458333333333335,,,,10190332.2,35.71428571428572,35.71428571428572
12/4/2017,RSP,6.2,6.25,5.75,5.8,-6.45,9266200,54446600,319256470,1032785060.0,6674236380.0,6.18,6.366666666666666,,,,10250872.2,28.57142857142857,33.333333333333336
12/6/2017,RSP,5.85,5.85,5.75,5.8,0.0,3260220,18876500,241876720,882035610.0,6693112880.0,6.090000000000001,6.279166666666666,,,,7826264.0,28.57142857142857,32.142857142857146
12/7/2017,RSP,5.75,5.8,5.55,5.65,-2.59,2876611,16320400,168922100,740470140.0,6709433280.0,5.92,6.158333333333334,,,,5620466.2,28.57142857142857,31.428571428571434
12/8/2017,RSP,5.7,6.1,5.7,5.9,4.42,14168600,84191660,204018660,734980820.0,6793624940.0,5.87,6.083333333333333,,,,6877586.2,35.71428571428572,31.428571428571434
12/12/2017,RSP,5.9,5.9,5.7,5.7,-3.39,1547720,8935520,182770680,695277850.0,6802560460.0,5.77,6.016666666666667,,,,6223870.2,28.57142857142857,30.0
12/13/2017,RSP,5.7,5.85,5.65,5.75,0.88,1119701,6460080,134784160,642042620.0,6809020540.0,5.76,5.983333333333333,,,,4594570.4,35.71428571428572,31.428571428571434
12/14/2017,RSP,5.7,5.75,5.6,5.6,-2.61,1571360,8908310,124815970,575057360.0,6817928850.0,5.720000000000001,5.945833333333333,,,,4256798.4,35.71428571428572,32.85714285714286
12/15/2017,RSP,5.6,5.6,5.25,5.3,-5.36,3320700,17854490,126350060,535665930.0,6835783340.0,5.65,5.883333333333333,,,,4345616.2,35.71428571428572,34.28571428571429
12/18/2017,RSP,5.3,5.5,5.25,5.3,0.0,5844300,31451960,73610360,512255390.0,6867235300.0,5.529999999999999,5.804166666666667,,,,2680756.2,35.71428571428572,34.28571428571429
12/19/2017,RSP,5.3,5.35,4.94,4.98,-6.04,9829006,49850320,114525160,465849460.0,6917085620.0,5.386,5.677499999999999,,,,4337013.4,35.71428571428572,35.71428571428572
12/20/2017,RSP,5.0,5.05,4.78,4.82,-3.21,11682588,57076050,165141130,433650490.0,6974161670.0,5.2,5.566666666666667,6.251923076923077,-0.6940598290598281,-0.6940598290598281,6449590.8,28.57142857142857,34.28571428571429
12/21/2017,RSP,4.78,5.0,4.72,4.9,1.66,28089100,137672990,293905810,522228380.0,7111834660.0,5.06,5.458333333333332,6.130769230769231,-0.6671652421652441,-0.6806125356125361,11753138.8,28.57142857142857,32.857142857142854
