Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,SAMTEL,22.6,23.6,22.6,23.6,3.96,4487700,104084000,242573000,499905000.0,1260476000.0,23.6,,,,,4487700.0,,
1/6/2015,SAMTEL,23.4,23.9,23.1,23.8,0.85,3690600,86301000,320865000,543063000.0,1338118000.0,23.700000000000003,,,,,4089150.0,,
1/7/2015,SAMTEL,24.0,25.5,24.0,25.25,6.09,10008596,248950000,562758000,750466000.0,1573972000.0,24.21666666666667,,,,,6062298.666666667,,
1/8/2015,SAMTEL,25.5,25.75,24.8,25.5,0.99,3026201,76571000,600881000,776740000.0,1642820000.0,24.5375,,,,,5303274.25,,
1/9/2015,SAMTEL,25.25,26.0,24.9,25.5,0.0,2218601,56486000,572392000,807686000.0,1689060000.0,24.73,,,,,4686339.6,,
1/12/2015,SAMTEL,25.75,25.75,25.0,25.25,-0.98,710205,18090000,486398000,801354000.0,1701848000.0,25.06,,,,,3930840.6,,
1/13/2015,SAMTEL,25.0,25.25,24.7,25.0,-0.99,1582300,39485000,439582000,828307000.0,1737523000.0,25.3,,,,,3509180.6,,
1/14/2015,SAMTEL,24.9,25.25,24.5,24.5,-2.0,1778800,44156000,234788000,833433000.0,1774199000.0,25.15,,,,,1863221.4,,
1/15/2015,SAMTEL,24.4,24.6,24.0,24.0,-2.04,1342405,32540000,190757000,845152000.0,1798345000.0,24.85,,,,,1526462.2,,
1/16/2015,SAMTEL,24.0,24.0,23.5,23.9,-0.42,828600,19721000,153992000,856864000.0,1799531000.0,24.53,,,,,1248462.0,,
1/19/2015,SAMTEL,24.0,25.0,24.0,24.9,4.18,1361200,33467000,169369000,883274000.0,1771217000.0,24.46,,,,,1378661.0,,
1/20/2015,SAMTEL,25.25,25.25,24.8,24.8,-0.4,464901,11599000,141483000,856425000.0,1741855000.0,24.42,24.666666666666668,,,,1155181.2,,
1/21/2015,SAMTEL,24.8,24.8,24.4,24.4,-1.61,1471800,36195000,133522000,807645000.0,1761147000.0,24.4,24.733333333333334,,,,1093781.2,,
1/22/2015,SAMTEL,24.5,25.5,24.4,25.0,2.46,3480000,87381000,188363000,790942000.0,1692580000.0,24.6,24.833333333333332,,,,1521300.2,42.857142857142854,42.857142857142854
1/23/2015,SAMTEL,25.25,26.5,24.7,25.75,3.0,3323300,85429000,254071000,790070000.0,1723940000.0,24.97,24.875,,,,2020240.2,42.857142857142854,42.857142857142854
1/26/2015,SAMTEL,26.0,26.25,25.0,25.0,-2.91,2329500,59605000,280209000,600725000.0,1717465000.0,24.990000000000002,24.833333333333332,,,,2213900.2,35.71428571428572,40.476190476190474
1/27/2015,SAMTEL,25.25,26.0,25.25,25.25,1.0,1342800,34304000,302914000,558458000.0,1737644000.0,25.080000000000002,24.8125,,,,2389480.0,35.71428571428572,39.28571428571429
1/28/2015,SAMTEL,25.25,25.5,25.25,25.25,0.0,1154602,29336000,296055000,531308000.0,1706685000.0,25.25,24.8125,,,,2326040.4,28.57142857142857,37.142857142857146
1/29/2015,SAMTEL,25.25,25.5,25.0,25.25,0.0,441700,11147000,219821000,524365000.0,1662790000.0,25.3,24.833333333333332,,,,1718380.4,28.57142857142857,34.28571428571429
1/30/2015,SAMTEL,25.25,25.5,25.0,25.5,0.99,770100,19439000,153831000,504319000.0,1658532000.0,25.25,24.916666666666668,,,,1207740.4,35.71428571428572,32.85714285714286
2/2/2015,SAMTEL,25.25,25.5,25.0,25.0,-1.96,603800,15165000,109391000,475328000.0,1617105000.0,25.25,25.0,,,,862600.4,35.71428571428572,32.85714285714286
2/3/2015,SAMTEL,25.0,25.5,25.0,25.25,1.0,774000,19530000,94617000,462318000.0,1564802000.0,25.25,25.1125,,,,748840.4,42.857142857142854,34.28571428571429
2/4/2015,SAMTEL,25.25,26.75,25.25,26.75,5.94,3379801,88548000,153829000,531145000.0,1610207000.0,25.55,25.266666666666666,,,,1193880.2,50.0,38.57142857142857
2/5/2015,SAMTEL,26.75,28.25,26.25,27.75,3.74,5072103,139719000,282401000,637397000.0,1708379000.0,26.05,25.5125,,,,2119960.8,57.14285714285714,44.28571428571429
2/6/2015,SAMTEL,28.0,28.5,28.0,28.5,2.7,4313200,122069000,385031000,747867000.0,1780151000.0,26.65,25.854166666666668,,,,2828580.8,57.14285714285714,48.57142857142857
