Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,SANKO,1.23,1.4,1.23,1.4,12.9,1414600,1921000,4130000,26498000.0,65352000.0,1.4,,,,,1414600.0,,
1/6/2015,SANKO,1.47,1.48,1.4,1.41,0.71,3237200,4659000,8056000,28379000.0,66736000.0,1.4049999999999998,,,,,2325900.0,,
1/7/2015,SANKO,1.43,1.52,1.43,1.48,4.96,13279750,19607000,27521000,45362000.0,84299000.0,1.4299999999999997,,,,,5977183.333333333,,
1/8/2015,SANKO,1.52,1.52,1.47,1.48,0.0,3165400,4753000,32058000,49093000.0,88385000.0,1.4425,,,,,5274237.5,,
1/9/2015,SANKO,1.51,1.53,1.47,1.49,0.68,2740200,4112000,35052000,52221000.0,92070000.0,1.452,,,,,4767430.0,,
1/12/2015,SANKO,1.49,1.5,1.48,1.48,-0.67,1170200,1746000,34877000,52756000.0,93275000.0,1.468,,,,,4718550.0,,
1/13/2015,SANKO,1.47,1.51,1.47,1.48,0.0,1859101,2772000,32990000,53151000.0,94742000.0,1.482,,,,,4442930.2,,
1/14/2015,SANKO,1.51,1.73,1.51,1.65,11.49,67906949,112774000,126157000,164424000.0,207119000.0,1.516,,,,,15368370.0,,
1/15/2015,SANKO,1.62,1.65,1.56,1.59,-3.64,9193900,14766000,136170000,169319000.0,220267000.0,1.5379999999999998,,,,,16574070.0,,
1/16/2015,SANKO,1.59,1.59,1.53,1.54,-3.14,4007400,6215000,138273000,174801000.0,225968000.0,1.5479999999999998,,,,,16827510.0,,
1/19/2015,SANKO,1.53,1.63,1.53,1.6,3.9,7727302,12304000,148831000,186963000.0,237314000.0,1.5719999999999998,,,,,18138930.4,,
1/20/2015,SANKO,1.62,1.84,1.6,1.84,15.0,44782001,77498000,223557000,264245000.0,312532000.0,1.6440000000000001,1.5366666666666668,,,,26723510.4,,
1/21/2015,SANKO,1.92,1.98,1.71,1.72,-6.52,61440986,115578000,226361000,378705000.0,427482000.0,1.6580000000000001,1.5633333333333335,,,,25430317.8,,
1/22/2015,SANKO,1.76,1.88,1.74,1.85,7.56,20720400,37873000,249468000,414657000.0,464398000.0,1.7100000000000002,1.6000000000000003,,,,27735617.8,57.14285714285714,57.14285714285714
1/23/2015,SANKO,1.95,1.95,1.72,1.72,-7.03,15261200,28154000,271407000,438152000.0,491287000.0,1.746,1.62,,,,29986377.8,50.0,53.57142857142857
1/26/2015,SANKO,1.8,1.8,1.73,1.75,1.74,4753700,8321000,267424000,426866000.0,498511000.0,1.7759999999999998,1.6425,,,,29391657.4,50.0,52.38095238095238
1/27/2015,SANKO,1.75,1.85,1.7,1.72,-1.71,25813201,46056000,235982000,468169000.0,543171000.0,1.752,1.6616666666666664,,,,25597897.4,42.857142857142854,50.0
1/28/2015,SANKO,1.73,1.8,1.7,1.7,-1.16,7195200,12455000,132859000,476512000.0,552599000.0,1.748,1.68,,,,14748740.2,42.857142857142854,48.57142857142857
1/29/2015,SANKO,1.71,1.74,1.7,1.7,0.0,2623200,4495000,99481000,479261000.0,550761000.0,1.718,1.6983333333333333,,,,11129300.2,35.71428571428572,44.28571428571429
1/30/2015,SANKO,1.71,1.75,1.71,1.71,0.59,2364000,4074000,75401000,480563000.0,549366000.0,1.716,1.7033333333333334,,,,8549860.2,42.857142857142854,42.85714285714286
2/2/2015,SANKO,1.73,1.78,1.73,1.74,1.75,5561501,9760000,76840000,377549000.0,556139000.0,1.714,1.7158333333333333,,,,8711420.4,50.0,42.857142857142854
2/3/2015,SANKO,1.75,1.78,1.73,1.73,-0.57,5080700,8894000,39678000,371677000.0,563364000.0,1.716,1.7316666666666665,,,,4564920.2,42.857142857142854,42.85714285714286
2/4/2015,SANKO,1.74,1.75,1.68,1.68,-2.89,4618800,7907000,35130000,373369000.0,568493000.0,1.7120000000000002,1.738333333333333,,,,4049640.2,42.857142857142854,42.85714285714286
2/5/2015,SANKO,1.64,1.67,1.63,1.64,-2.38,3564400,5864000,36499000,366929000.0,571733000.0,1.7,1.7216666666666665,,,,4237880.2,42.857142857142854,44.28571428571429
2/6/2015,SANKO,1.66,1.81,1.66,1.8,9.76,18610600,32908000,65333000,322339000.0,603619000.0,1.718,1.7283333333333335,,,,7487200.2,42.857142857142854,44.28571428571429
2/9/2015,SANKO,1.76,1.87,1.76,1.77,-1.67,11992300,21748000,77321000,228509000.0,624383000.0,1.7239999999999998,1.7216666666666667,1.641153846153846,0.07840455840455851,0.07840455840455851,8773360.0,35.71428571428572,41.42857142857143
2/10/2015,SANKO,1.78,1.8,1.76,1.76,-0.56,3047701,5436000,73863000,196072000.0,628608000.0,1.73,1.7250000000000003,1.6549999999999998,0.06760683760683817,0.07300569800569834,8366760.2,35.71428571428572,40.0
2/11/2015,SANKO,1.76,1.76,1.71,1.71,-2.84,4727200,8199000,74155000,176117000.0,634430000.0,1.736,1.721666666666667,1.6665384615384615,0.05011396011396019,0.06537511870845229,8388440.2,28.57142857142857,37.142857142857146
