Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,SCG,6.5,6.5,6.3,6.3,0.0,9700,61000,106000,61347000.0,72797000.0,6.3,,,,,9700.0,,,61000.0,0.0
1/6/2015,SCG,6.3,6.3,6.3,6.3,0.0,800,5000,106000,60876000.0,72525000.0,6.3,,,,,5250.0,,,33000.0,0.0
1/7/2015,SCG,6.3,6.3,6.3,6.3,0.0,10600,67000,144000,60709000.0,71848000.0,6.3,,,,,7033.333333333332,,,44333.33333333334,0.0
1/8/2015,SCG,6.3,6.3,6.25,6.25,-0.79,10700,67000,206000,59305000.0,71769000.0,6.2875,,,,,7950.0,,,50000.0,0.0
1/9/2015,SCG,6.2,6.25,6.0,6.0,-4.0,277700,1681000,1881000,60631000.0,73104000.0,6.23,,,,,61900.0,,,376200.0,0.0
1/12/2015,SCG,6.15,6.25,6.15,6.25,4.17,251400,1559000,3379000,62158000.0,72884000.0,6.2200000000000015,,,,,110240.0,,,675800.0,0.0
1/13/2015,SCG,6.25,6.25,6.0,6.15,-1.6,135300,817000,4191000,62962000.0,73372000.0,6.19,,,,,137140.0,,,838200.0,0.0
1/14/2015,SCG,6.15,6.15,6.0,6.05,-1.63,66000,397000,4521000,43848000.0,72262000.0,6.14,,,,,148220.0,,,904200.0,0.0
1/15/2015,SCG,6.0,6.05,6.0,6.0,-0.83,16300,98000,4552000,4797000.0,72359000.0,6.09,,,,,149340.0,,,910400.0,0.0
1/16/2015,SCG,6.0,6.1,5.95,6.1,1.67,23800,143000,3014000,4935000.0,72436000.0,6.109999999999999,,,,,98560.0,,,602800.0,0.0
1/19/2015,SCG,6.1,6.1,5.95,5.95,-2.46,37000,224000,1679000,5130000.0,72596000.0,6.049999999999999,,,,,55680.0,,,335800.0,0.0
1/20/2015,SCG,6.1,6.2,6.05,6.05,1.68,78600,479000,1341000,5604000.0,72222000.0,6.029999999999999,6.1416666666666675,,,,44340.0,,,268200.0,0.0
1/21/2015,SCG,6.05,6.05,6.05,6.05,0.0,10700,65000,1009000,5663000.0,69271000.0,6.03,6.120833333333334,,,,33280.0,,,201800.0,0.0
1/22/2015,SCG,6.1,6.1,6.05,6.05,0.0,3800,23000,934000,5625000.0,68295000.0,6.040000000000001,6.1000000000000005,,,,30780.0,21.42857142857143,21.42857142857143,186800.0,0.0
1/23/2015,SCG,6.05,6.1,6.05,6.1,0.83,1200,7000,798000,5627000.0,68299000.0,6.040000000000001,6.083333333333332,,,,26260.0,28.57142857142857,25.0,159600.0,0.0
1/26/2015,SCG,6.1,6.15,6.0,6.0,-1.64,10000,61000,635000,5621000.0,68325000.0,6.05,6.062499999999999,,,,20860.0,28.57142857142857,26.190476190476193,127000.0,0.0
1/27/2015,SCG,6.05,6.05,5.95,6.05,0.83,226203,1368000,1524000,6922000.0,69626000.0,6.05,6.066666666666666,,,,50380.6,35.714285714285715,28.57142857142857,304800.0,0.0
1/28/2015,SCG,6.05,6.2,6.05,6.15,1.65,66140,407000,1866000,5648000.0,69787000.0,6.07,6.058333333333334,,,,61468.6,42.857142857142854,31.42857142857143,373200.0,0.0
1/29/2015,SCG,6.35,6.35,6.15,6.2,0.81,101200,627000,2470000,4716000.0,70252000.0,6.1,6.0625,,,,80948.6,50.0,37.142857142857146,494000.0,0.0
1/30/2015,SCG,6.2,6.25,6.1,6.15,-0.81,130500,800000,3263000,4699000.0,70945000.0,6.110000000000001,6.070833333333334,,,,106808.6,42.857142857142854,40.0,652600.0,0.0
2/2/2015,SCG,6.1,6.2,6.0,6.2,0.81,33300,201000,3403000,4503000.0,70826000.0,6.15,6.087500000000001,,,,111468.6,50.0,44.28571428571429,680600.0,0.0
2/3/2015,SCG,6.2,6.35,6.1,6.3,1.61,499100,3138000,5173000,7543000.0,73581000.0,6.2,6.104166666666668,,,,166048.0,57.14285714285714,48.57142857142857,1034600.0,0.0
2/4/2015,SCG,6.3,6.4,6.3,6.4,1.59,23500,149000,4915000,7549000.0,73254000.0,6.25,6.141666666666668,,,,157520.0,64.28571428571428,52.85714285714285,983000.0,0.0
2/5/2015,SCG,6.4,6.45,6.4,6.45,0.78,27900,179000,4467000,7504000.0,73199000.0,6.3000000000000025,6.1750000000000025,,,,142860.0,64.28571428571428,55.71428571428571,893400.0,0.0
2/6/2015,SCG,6.45,6.55,6.4,6.5,0.78,149120,967000,4634000,7992000.0,72695000.0,6.369999999999999,6.2125,,,,146584.0,71.42857142857143,61.42857142857142,926800.0,0.0
2/9/2015,SCG,6.55,6.6,6.5,6.6,1.54,15400,101000,4534000,8028000.0,72441000.0,6.45,6.258333333333333,6.188461538461538,0.09195156695156648,0.09195156695156648,143004.0,71.42857142857143,65.71428571428571,906800.0,0.0
2/10/2015,SCG,6.3,6.55,6.3,6.4,-3.03,11100,71000,1467000,8076000.0,72480000.0,6.4700000000000015,6.283333333333334,6.1923076923076925,0.09358974358974416,0.09277065527065533,45404.0,71.42857142857143,68.57142857142857,293400.0,0.0
2/11/2015,SCG,6.4,6.5,6.35,6.5,1.56,2201,14000,1332000,8083000.0,72481000.0,6.4899999999999975,6.325,6.1999999999999975,0.12970085470085468,0.10508072174738843,41144.2,78.57142857142857,71.42857142857143,266400.0,0.0
2/12/2015,SCG,6.35,6.5,6.35,6.45,-0.77,49400,316000,1469000,8338000.0,53286000.0,6.49,6.3583333333333325,6.205769230769231,0.14857549857549834,0.11595441595441593,45444.2,71.42857142857143,72.85714285714286,293800.0,0.0
2/13/2015,SCG,6.45,6.5,6.4,6.45,0.0,99901,641000,1143000,7611000.0,14778000.0,6.48,6.383333333333334,6.213461538461537,0.16260683760683836,0.1252849002849004,35600.4,71.42857142857143,72.85714285714286,228600.0,0.0
2/16/2015,SCG,6.4,6.45,6.35,6.45,0.0,14000,90000,1132000,7294000.0,14863000.0,6.45,6.404166666666668,6.230769230769233,0.16420940170940224,0.13973646723646754,35320.4,64.28571428571428,71.42857142857143,226400.0,0.0
2/17/2015,SCG,6.45,6.45,6.4,6.45,0.0,14900,96000,1157000,6763000.0,14930000.0,6.459999999999999,6.429166666666667,6.238461538461538,0.17824074074074225,0.15666666666666718,36080.4,57.14285714285714,68.57142857142857,231400.0,0.0
2/18/2015,SCG,6.35,6.5,6.35,6.4,-0.78,1800,12000,1155000,5975000.0,14937000.0,6.44,6.445833333333334,6.248076923076923,0.1794515669515686,0.16661680911680996,36000.2,50.0,62.85714285714285,231000.0,0.0
2/19/2015,SCG,6.35,6.45,6.35,6.45,0.78,19163,123000,962000,5897000.0,15054000.0,6.44,6.458333333333335,6.263461538461537,0.1797720797720821,0.1728561253561267,29952.8,57.14285714285714,60.0,192400.0,0.0
2/20/2015,SCG,6.45,6.45,6.25,6.25,-3.1,17400,111000,432000,2870000.0,15104000.0,6.4,6.445833333333334,6.273076923076923,0.144337606837607,0.16920227920228045,13452.6,50.0,55.71428571428571,86400.0,1.0
2/23/2015,SCG,6.15,6.25,6.0,6.1,-2.4,43100,263000,605000,2984000.0,15362000.0,6.33,6.416666666666668,6.273076923076923,0.1076923076923082,0.15789886039886164,19272.6,42.857142857142854,51.42857142857142,121000.0,1.0
2/24/2015,SCG,6.05,6.25,6.05,6.2,1.64,12800,78000,587000,2883000.0,15373000.0,6.28,6.391666666666668,6.282692307692307,0.08561253561253679,0.13937321937322053,18852.6,42.857142857142854,48.57142857142857,117400.0,0.0
2/25/2015,SCG,6.2,6.35,6.0,6.2,0.0,42300,259000,834000,2175000.0,15565000.0,6.2399999999999975,6.3583333333333325,6.288461538461537,0.052065527065528805,0.11389601139601258,26952.6,35.714285714285715,45.714285714285715,166800.0,1.0
2/26/2015,SCG,6.2,6.2,6.0,6.0,-3.23,24300,148000,859000,2222000.0,14032000.0,6.15,6.325,6.286538461538463,0.009686609686609948,0.07987891737891814,27980.0,28.57142857142857,40.0,171800.0,0.0
2/27/2015,SCG,6.15,6.15,6.15,6.15,2.5,11300,69000,817000,2220000.0,12542000.0,6.13,6.2958333333333325,6.290384615384616,-0.006588319088319139,0.049693732193732916,26760.0,28.57142857142857,35.714285714285715,163400.0,0.0
3/2/2015,SCG,5.95,6.3,5.95,6.2,0.81,11000,68000,622000,2274000.0,11793000.0,6.15,6.275000000000001,6.2942307692307695,-0.023789173789172224,0.02339743589743684,20340.0,35.714285714285715,34.285714285714285,124400.0,0.0
3/3/2015,SCG,6.2,6.3,6.2,6.2,0.0,32200,200000,744000,2158000.0,11596000.0,6.15,6.254166666666667,6.301923076923076,-0.048539886039884905,-0.003433048433047503,24220.0,28.57142857142857,31.428571428571434,148800.0,0.0
3/5/2015,SCG,6.1,6.15,6.1,6.15,-0.81,700,4000,489000,1521000.0,11502000.0,6.1400000000000015,6.229166666666668,6.30576923076923,-0.07724358974358836,-0.029294871794870937,15900.0,28.57142857142857,30.0,97800.0,0.0
3/6/2015,SCG,6.15,6.15,6.15,6.15,0.0,400,2000,343000,1433000.0,11361000.0,6.17,6.204166666666668,6.305769230769231,-0.09839743589743488,-0.0509116809116799,11120.0,28.57142857142857,30.0,68600.0,0.0
3/9/2015,SCG,6.15,6.2,6.15,6.2,0.81,1600,10000,284000,1347000.0,11147000.0,6.1800000000000015,6.1875,6.30576923076923,-0.10851139601139437,-0.07129629629629494,9180.0,35.714285714285715,31.428571428571434,56800.0,0.0
3/10/2015,SCG,6.2,6.2,6.1,6.1,-1.61,17600,107000,323000,1442000.0,10775000.0,6.1599999999999975,6.158333333333332,6.303846153846152,-0.13938746438746552,-0.0944159544159536,10500.0,35.714285714285715,31.428571428571434,64600.0,0.0
3/11/2015,SCG,6.0,6.15,6.0,6.15,0.82,3300,20000,143000,1339000.0,10730000.0,6.15,6.150000000000001,6.301923076923077,-0.1406695156695159,-0.1128418803418798,4720.0,42.857142857142854,34.285714285714285,28600.0,0.0
3/12/2015,SCG,6.15,6.15,6.15,6.15,0.0,4000,25000,164000,1253000.0,10732000.0,6.15,6.154166666666668,6.296153846153848,-0.1318019943019948,-0.1237535612535611,5380.0,35.714285714285715,35.714285714285715,32800.0,0.0
3/13/2015,SCG,6.15,6.25,6.1,6.1,-0.81,8200,50000,212000,1040000.0,10775000.0,6.1400000000000015,6.145833333333332,6.2846153846153845,-0.1321581196581194,-0.130505698005698,6940.0,35.714285714285715,37.142857142857146,42400.0,0.0
3/16/2015,SCG,6.1,6.15,6.1,6.15,0.82,900,6000,208000,968000.0,10720000.0,6.13,6.141666666666668,6.273076923076924,-0.1210113960113972,-0.13300569800569856,6800.0,42.857142857142854,38.571428571428584,41600.0,0.0
3/17/2015,SCG,5.0,6.05,5.0,5.95,-3.25,14000,84000,185000,793000.0,9436000.0,6.1,6.1375,6.251923076923077,-0.1209045584045585,-0.12930911680911714,6080.0,35.714285714285715,38.571428571428584,37000.0,2.0
3/18/2015,SCG,6.05,6.05,5.95,5.95,0.0,600,4000,169000,649000.0,9033000.0,6.06,6.120833333333334,6.226923076923077,-0.11185897435897374,-0.12354700854700873,5540.0,35.714285714285715,37.142857142857146,33800.0,0.0
3/19/2015,SCG,6.3,6.5,6.0,6.0,0.84,40721,257000,401000,837000.0,8663000.0,6.029999999999999,6.104166666666668,6.211538461538463,-0.10772792022792024,-0.11873219373219382,12884.2,42.857142857142854,38.571428571428584,80200.0,2.0
3/20/2015,SCG,6.0,6.25,6.0,6.25,4.17,15100,91000,442000,860000.0,7954000.0,6.0600000000000005,6.1083333333333325,6.2019230769230775,-0.07535612535612568,-0.10737179487179507,14264.2,42.857142857142854,40.00000000000001,88400.0,2.0
3/23/2015,SCG,6.1,6.1,6.1,6.1,-2.4,400,2000,438000,662000.0,7755000.0,6.05,6.104166666666668,6.188461538461539,-0.07838319088319068,-0.09884615384615376,14164.2,35.714285714285715,38.571428571428584,87600.0,0.0
3/24/2015,SCG,5.95,6.25,5.95,6.25,2.46,400,2000,356000,660000.0,4619000.0,6.109999999999999,6.1125000000000025,6.180769230769231,-0.052243589743588885,-0.08511396011395984,11444.2,42.857142857142854,40.00000000000001,71200.0,0.0
3/25/2015,SCG,6.25,6.25,6.1,6.2,-0.8,12000,74000,426000,732000.0,4544000.0,6.16,6.1125000000000025,6.171153846153848,-0.04732905982905944,-0.07220797720797698,13724.2,42.857142857142854,41.42857142857143,85200.0,0.0
3/26/2015,SCG,6.25,6.25,6.2,6.2,0.0,400,2000,171000,724000.0,4367000.0,6.2,6.120833333333334,6.161538461538463,-0.03137464387464384,-0.0569373219373217,5660.0,42.857142857142854,41.42857142857143,34200.0,0.0
3/27/2015,SCG,5.4,6.05,5.4,6.05,-2.42,6199,36000,116000,653000.0,3436000.0,6.16,6.1125,6.148076923076923,-0.03792735042735007,-0.04945156695156658,3879.8,35.714285714285715,40.00000000000001,23200.0,2.0
3/30/2015,SCG,5.95,6.05,5.95,6.0,-0.83,1200,7000,121000,640000.0,3342000.0,6.14,6.1000000000000005,6.130769230769231,-0.03646723646723693,-0.041068376068375836,4039.8,35.714285714285715,40.0,24200.0,0.0
4/1/2015,SCG,5.95,6.05,5.95,6.05,0.0,1000,6000,125000,621000.0,3277000.0,6.1,6.095833333333332,6.123076923076924,-0.028881766381767093,-0.036396011396011466,4159.8,28.57142857142857,37.142857142857146,25000.0,0.0
4/2/2015,SCG,6.0,6.05,5.95,6.05,0.0,11792,71000,122000,642000.0,3334000.0,6.07,6.0875,6.121153846153848,-0.03415242165242205,-0.033760683760683995,4118.2,28.57142857142857,34.285714285714285,24400.0,0.0
4/3/2015,SCG,6.1,6.2,6.1,6.2,2.48,300,2000,122000,638000.0,3020000.0,6.07,6.1083333333333325,6.121153846153848,-0.004558404558405726,-0.028397435897436374,4098.2,35.714285714285715,32.85714285714286,24400.0,0.0
4/7/2015,SCG,6.2,6.2,6.05,6.05,-2.42,6500,39000,125000,593000.0,2418000.0,6.07,6.116666666666666,6.115384615384617,-0.004131054131055301,-0.02163817663817742,4158.4,28.57142857142857,31.428571428571434,25000.0,2.0
4/8/2015,SCG,6.0,6.1,6.0,6.1,0.83,3300,20000,138000,609000.0,2348000.0,6.0900000000000025,6.124999999999999,6.11923076923077,0.0033475783475767074,-0.013675213675214692,4578.4,35.714285714285715,31.428571428571434,27600.0,0.0
4/9/2015,SCG,6.05,6.1,6.05,6.1,0.0,11600,70000,202000,422000.0,2322000.0,6.1,6.112499999999998,6.117307692307692,-0.005448717948719485,-0.00898860398860517,6698.4,35.714285714285715,32.85714285714286,40400.0,2.0
4/10/2015,SCG,6.1,6.1,6.1,6.1,0.0,13060900,80324000,80455000,80655000.0,82634000.0,6.110000000000001,6.1125,6.113461538461538,-0.0018874643874635664,-0.0025356125356134733,2616520.0,28.57142857142857,32.857142857142854,16091000.0,2.0
4/16/2015,SCG,6.1,6.15,6.05,6.05,-0.82,4900,30000,80483000,80683000.0,82541000.0,6.08,6.095833333333332,6.107692307692307,-0.014636752136753197,-0.004551282051282968,2617440.0,21.42857142857143,30.0,16096600.0,0.0
4/17/2015,SCG,6.4,6.4,6.1,6.15,1.65,51404,319000,80763000,81000000.0,82749000.0,6.1,6.091666666666668,6.107692307692307,-0.010185185185185295,-0.005762108262108968,2626420.8,28.57142857142857,30.0,16152600.0,0.0
4/20/2015,SCG,6.15,6.15,6.05,6.05,-1.63,62800,384000,81127000,81310000.0,82870000.0,6.09,6.079166666666668,6.103846153846152,-0.02517806267806222,-0.011467236467236751,2638320.8,21.42857142857143,27.142857142857146,16225400.0,0.0
