Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
6/7/2018,SDC-W1,0.1,0.11,0.06,0.06,0.0,33321050,2517030,2517030,2517030.0,2517030.0,0.06,,,,,33321050.0,,,2517030.0,0.0
6/8/2018,SDC-W1,0.06,0.07,0.06,0.06,0.0,5027700,302300,2819330,2819330.0,2819330.0,0.06,,,,,19174375.0,,,1409665.0,0.0
6/11/2018,SDC-W1,0.07,0.07,0.06,0.06,0.0,2787900,184310,3003640,3003640.0,3003640.0,0.06,,,,,13712216.666666664,,,1001213.3333333335,0.0
6/12/2018,SDC-W1,0.07,0.07,0.06,0.06,0.0,2694000,170230,3173870,3173870.0,3173870.0,0.06,,,,,10957662.5,,,793467.5,0.0
6/13/2018,SDC-W1,0.06,0.06,0.05,0.06,0.0,632000,37900,3211770,3211770.0,3211770.0,0.06,,,,,8892530.0,,,642354.0,0.0
6/14/2018,SDC-W1,0.06,0.06,0.05,0.06,0.0,2132225,126920,821660,3338690.0,3338690.0,0.06,,,,,2654765.0,,,164332.0,0.0
6/15/2018,SDC-W1,0.06,0.06,0.05,0.05,-16.67,505900,29350,548710,3368040.0,3368040.0,0.057999999999999996,,,,,1750405.0,,,109742.0,0.0
6/18/2018,SDC-W1,0.06,0.06,0.05,0.05,0.0,1404700,73780,438180,3441820.0,3441820.0,0.055999999999999994,,,,,1473765.0,,,87636.0,0.0
6/19/2018,SDC-W1,0.05,0.05,0.04,0.04,-20.0,2693500,130780,398730,3572600.0,3572600.0,0.05199999999999999,,,,,1473665.0,,,79746.0,0.0
6/20/2018,SDC-W1,0.05,0.05,0.05,0.05,25.0,558000,27900,388730,3600500.0,3600500.0,0.05,,,,,1458865.0,,,77746.0,0.0
6/21/2018,SDC-W1,0.05,0.05,0.05,0.05,0.0,1301500,65080,326890,3665580.0,3665580.0,0.048,,,,,1292720.0,,,65378.0,0.0
6/22/2018,SDC-W1,0.04,0.04,0.04,0.04,-20.0,449626,17990,315530,3683570.0,3683570.0,0.046,0.05333333333333334,,,,1281465.2,,,63106.0,0.0
6/27/2018,SDC-W1,0.04,0.05,0.03,0.04,-20.0,4791900,191680,209670,871610.0,3875250.0,0.044000000000000004,0.05166666666666666,,,,1958905.2,,,86686.0,0.0
6/28/2018,SDC-W1,0.03,0.03,0.03,0.03,-25.0,208000,6240,197920,707620.0,3881490.0,0.042,0.049166666666666664,,,,1461805.2,7.142857142857139,7.142857142857139,61778.0,0.0
6/29/2018,SDC-W1,0.04,0.04,0.03,0.04,33.33,1113300,44520,242440,714240.0,3926010.0,0.04,0.0475,,,,1572865.2,14.285714285714292,10.714285714285717,65102.0,0.0
7/3/2018,SDC-W1,0.05,0.05,0.04,0.05,0.0,2781950,139100,381540,697070.0,4065110.0,0.04,0.04666666666666666,,,,1868955.2,14.285714285714292,11.904761904761909,79906.0,0.0
7/4/2018,SDC-W1,0.05,0.05,0.05,0.05,0.0,25600,1280,191140,624570.0,4066390.0,0.042,0.04583333333333333,,,,1784150.0,14.285714285714292,12.500000000000005,76564.0,0.0
7/10/2018,SDC-W1,0.04,0.04,0.04,0.04,0.0,30000,1200,2480,384020.0,4067590.0,0.042,0.04416666666666666,,,,831770.0,14.285714285714292,12.857142857142858,38468.0,0.0
7/11/2018,SDC-W1,0.05,0.05,0.05,0.05,25.0,3459950,173000,174200,557020.0,4240590.0,0.046000000000000006,0.04416666666666667,,,,1482160.0,21.42857142857143,15.714285714285722,71820.0,0.0
7/12/2018,SDC-W1,0.05,0.05,0.05,0.05,0.0,200000,10000,184200,567020.0,4250590.0,0.048,0.04416666666666666,,,,1299500.0,21.42857142857143,17.142857142857142,64916.0,0.0
7/13/2018,SDC-W1,0.06,0.07,0.06,0.07,40.0,2375624,146540,330740,713560.0,4397130.0,0.052000000000000005,0.04666666666666666,,,,1218234.8,28.57142857142857,20.000000000000004,66404.0,0.0
7/16/2018,SDC-W1,0.06,0.07,0.06,0.06,-14.29,3128818,187750,518490,709630.0,4584880.0,0.054000000000000006,0.04750000000000002,,,,1838878.4,28.57142857142857,22.857142857142854,103698.0,0.0
7/17/2018,SDC-W1,0.06,0.06,0.06,0.06,0.0,1552300,93140,610430,796530.0,4678020.0,0.05800000000000001,0.04833333333333334,,,,2143338.4,28.57142857142857,25.71428571428571,122086.0,0.0
7/18/2018,SDC-W1,0.06,0.07,0.06,0.07,16.67,1528500,94510,531940,846520.0,4772530.0,0.062,0.050833333333333335,,,,1757048.4,28.57142857142857,27.142857142857146,106388.0,0.0
7/19/2018,SDC-W1,0.07,0.08,0.07,0.08,14.29,6390500,462350,984290,1308870.0,5234880.0,0.068,0.05416666666666667,,,,2995148.4,35.714285714285715,30.0,196858.0,0.0
7/20/2018,SDC-W1,0.07,0.08,0.07,0.08,0.0,753700,60290,898040,1230060.0,5295170.0,0.07,0.05833333333333333,0.054230769230769256,0.0055270655270655,0.0055270655270655,2670763.6,35.714285714285715,31.428571428571434,179608.0,0.0
7/24/2018,SDC-W1,0.08,0.08,0.06,0.07,-12.5,3218000,215460,832610,1444240.0,2993600.0,0.07200000000000001,0.06083333333333332,0.054615384615384635,0.006488603988603972,0.006007834757834736,2688600.0,35.714285714285715,32.85714285714286,185150.0,2.0
7/25/2018,SDC-W1,0.06,0.06,0.06,0.06,-14.29,1950000,117000,855100,1561240.0,2808300.0,0.07200000000000001,0.061666666666666675,0.054615384615384635,0.006396011396011377,0.006137226970560283,2768140.0,35.714285714285715,34.285714285714285,189922.0,0.0
7/26/2018,SDC-W1,0.07,0.07,0.06,0.06,0.0,174200,10450,403200,1571690.0,2634440.0,0.07,0.06250000000000001,0.054615384615384635,0.007101139601139595,0.006378205128205111,2497280.0,28.57142857142857,34.285714285714285,173110.0,0.0
8/1/2018,SDC-W1,0.06,0.06,0.06,0.06,0.0,700000,42000,384910,1439490.0,2468310.0,0.066,0.06416666666666669,0.054615384615384635,0.00851139601139602,0.006804843304843293,1359180.0,28.57142857142857,32.857142857142854,89040.0,0.0
