Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,SENA,2.94,2.96,2.94,2.94,0.0,329319,969000,12633000,74139000.0,301680000.0,2.94,,,,,329319.0,,,969000.0,0.0
1/6/2015,SENA,2.94,2.94,2.9,2.9,-1.36,1023740,2985000,9480000,60986000.0,243681000.0,2.92,,,,,676529.5,,,1977000.0,0.0
1/7/2015,SENA,2.92,2.96,2.92,2.92,0.69,499925,1469000,6782000,53333000.0,239740000.0,2.92,,,,,617661.3333333335,,,1807666.666666667,0.0
1/8/2015,SENA,2.96,3.02,2.94,2.98,2.05,1517389,4539000,10275000,43444000.0,227291000.0,2.935,,,,,842593.25,,,2490500.0,0.0
1/9/2015,SENA,3.0,3.04,3.0,3.02,1.34,489564,1477000,11439000,35959000.0,217849000.0,2.952,,,,,771987.4,,,2287800.0,0.0
1/12/2015,SENA,3.02,3.06,3.02,3.04,0.66,912491,2763000,13233000,35905000.0,214729000.0,2.972,,,,,888621.8,,,2646600.0,0.0
1/13/2015,SENA,3.06,3.14,3.04,3.12,2.63,3285787,10181000,20429000,42948000.0,220997000.0,3.0160000000000005,,,,,1341031.2,,,4085800.0,0.0
1/14/2015,SENA,3.14,3.16,3.06,3.08,-1.28,1727102,5381000,24341000,45682000.0,219991000.0,3.048,,,,,1586466.6,,,4868200.0,0.0
1/15/2015,SENA,3.08,3.2,3.08,3.12,1.3,9765056,30807000,50609000,72235000.0,241716000.0,3.076,,,,,3236000.0,,,10121800.0,0.0
1/16/2015,SENA,3.14,3.16,3.12,3.16,1.28,2549226,7993000,57125000,74090000.0,242523000.0,3.104,,,,,3647932.4,,,11425000.0,0.0
1/19/2015,SENA,3.16,3.18,3.12,3.12,-1.27,1959981,6155000,60517000,76078000.0,244546000.0,3.12,,,,,3857430.4,,,12103400.0,0.0
1/20/2015,SENA,3.1,3.24,3.1,3.2,2.56,21834096,69728000,120064000,144760000.0,308305000.0,3.136,3.0500000000000003,,,,7567092.2,,,24012800.0,0.0
1/21/2015,SENA,3.22,3.24,3.18,3.18,-0.62,4657126,14980000,129663000,159427000.0,309689000.0,3.156,3.0700000000000003,,,,8153097.0,,,25932600.0,0.0
1/22/2015,SENA,3.22,3.22,3.16,3.18,0.0,3281567,10418000,109274000,168876000.0,317988000.0,3.168,3.0933333333333337,,,,6856399.2,57.14285714285714,57.14285714285714,21854800.0,0.0
1/23/2015,SENA,3.22,3.24,3.18,3.2,0.63,2974080,9542000,110823000,175433000.0,321683000.0,3.176,3.1166666666666667,,,,6941370.0,64.28571428571428,60.71428571428571,22164600.0,0.0
1/26/2015,SENA,3.22,3.6,3.2,3.6,12.5,35081738,118316000,222984000,292280000.0,436223000.0,3.2720000000000007,3.168333333333333,,,,13565721.4,71.42857142857143,64.28571428571428,44596800.0,0.0
1/27/2015,SENA,3.58,3.58,3.42,3.48,-3.33,15956761,55901000,209157000,343642000.0,488239000.0,3.3280000000000003,3.2066666666666666,,,,12390254.4,64.28571428571428,64.28571428571428,41831400.0,0.0
1/28/2015,SENA,3.44,3.44,3.34,3.42,-1.72,10419379,35234000,229411000,377399000.0,513022000.0,3.3760000000000003,3.2383333333333333,,,,13542705.0,57.14285714285714,62.85714285714285,45882200.0,0.0
1/29/2015,SENA,3.46,3.76,3.44,3.58,4.68,41112698,149056000,368049000,523692000.0,637310000.0,3.4560000000000004,3.276666666666667,,,,21108931.2,57.14285714285714,62.85714285714285,73609800.0,0.0
1/30/2015,SENA,3.58,3.6,3.44,3.46,-3.35,8341348,29239000,387746000,542750000.0,658622000.0,3.508,3.3083333333333336,,,,22182384.8,50.0,60.0,77549200.0,0.0
2/2/2015,SENA,3.48,3.56,3.42,3.5,1.16,9887495,34634000,304064000,572003000.0,679999000.0,3.4880000000000004,3.34,,,,17143536.2,50.0,55.71428571428571,60812800.0,0.0
2/3/2015,SENA,3.52,3.52,3.46,3.48,-0.57,5765827,20093000,268256000,561289000.0,695030000.0,3.4880000000000004,3.3666666666666667,,,,15105349.4,50.0,52.85714285714285,53651200.0,0.0
2/4/2015,SENA,3.52,3.54,3.46,3.46,-0.57,5280200,18426000,251448000,571722000.0,697318000.0,3.4960000000000004,3.395,,,,14077513.6,42.857142857142854,50.0,50289600.0,0.0
