Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,SIM,3.34,3.34,3.24,3.24,-3.57,4263900,13949000,78877000,472155000.0,912507000.0,3.24,,,,,4263900.0,,
1/6/2015,SIM,3.18,3.22,3.18,3.2,-1.23,6843400,21859000,77214000,465854000.0,919771000.0,3.22,,,,,5553650.0,,
1/7/2015,SIM,3.2,3.28,3.2,3.28,2.5,4169400,13559000,77048000,464973000.0,915643000.0,3.24,,,,,5092233.333333333,,
1/8/2015,SIM,3.28,3.42,3.28,3.38,3.05,12770100,42687000,109572000,490204000.0,945686000.0,3.2750000000000004,,,,,7011700.0,,
1/9/2015,SIM,3.38,3.38,3.3,3.36,-0.59,7918605,26483000,118537000,477821000.0,961388000.0,3.2920000000000003,,,,,7193081.0,,
1/12/2015,SIM,3.34,3.36,3.32,3.34,-0.6,4920200,16386000,120974000,466658000.0,966353000.0,3.312,,,,,7324341.0,,
1/13/2015,SIM,3.32,3.42,3.3,3.42,2.4,14869260,50176000,149291000,416570000.0,1011005000.0,3.3560000000000003,,,,,8929513.0,,
1/14/2015,SIM,3.44,3.52,3.44,3.48,1.75,34516428,120151000,255883000,399433000.0,1124165000.0,3.396,,,,,14998918.6,,
1/15/2015,SIM,3.5,3.5,3.4,3.4,-2.3,13405743,46075000,259271000,416253000.0,1152313000.0,3.4,,,,,15126047.2,,
1/16/2015,SIM,3.42,3.42,3.38,3.4,0.0,3418103,11626000,244414000,404357000.0,1138776000.0,3.408,,,,,14225946.8,,
1/19/2015,SIM,3.4,3.42,3.34,3.34,-1.76,9597001,32385000,260413000,423017000.0,1141093000.0,3.408,,,,,15161307.0,,
1/20/2015,SIM,3.36,3.38,3.34,3.34,0.0,3609902,12100000,222337000,424954000.0,1145482000.0,3.3920000000000003,3.348333333333334,,,,12909435.4,,
1/21/2015,SIM,3.38,3.38,3.32,3.36,0.6,1970610,6585000,108771000,414021000.0,1143280000.0,3.368,3.358333333333333,,,,6400271.8,,
1/22/2015,SIM,3.38,3.38,3.34,3.34,-0.6,4042100,13544000,76240000,413616000.0,1149248000.0,3.3560000000000003,3.3699999999999997,,,,4527543.2,35.71428571428572,35.71428571428572
1/23/2015,SIM,3.34,3.38,3.32,3.32,-0.6,6842700,22905000,87519000,414662000.0,1157921000.0,3.34,3.373333333333333,,,,5212462.6,35.71428571428572,35.71428571428572
1/26/2015,SIM,3.34,3.36,3.3,3.3,-0.6,3586900,11896000,67030000,412999000.0,1159320000.0,3.332,3.3666666666666667,,,,4010442.4,35.71428571428572,35.71428571428572
1/27/2015,SIM,3.28,3.32,3.28,3.3,0.0,6854300,22574000,77504000,392886000.0,1108881000.0,3.3240000000000003,3.361666666666666,,,,4659322.0,28.57142857142857,33.92857142857143
1/28/2015,SIM,3.28,3.3,3.26,3.26,-1.21,3421502,11205000,82124000,377608000.0,1060467000.0,3.3040000000000007,3.354999999999999,,,,4949500.4,21.42857142857143,31.428571428571434
1/29/2015,SIM,3.26,3.38,3.26,3.34,2.45,14658601,49050000,117630000,410272000.0,1071283000.0,3.3039999999999994,3.3483333333333327,,,,7072800.6,28.57142857142857,30.0
1/30/2015,SIM,3.36,3.38,3.32,3.32,-0.6,6830100,22820000,117545000,382916000.0,1072953000.0,3.304,3.3350000000000004,,,,7070280.6,28.57142857142857,28.571428571428573
2/2/2015,SIM,3.3,3.3,3.26,3.28,-1.2,3394100,11138000,116787000,273903000.0,1052919000.0,3.3,3.3249999999999997,,,,7031720.6,21.42857142857143,25.71428571428571
2/3/2015,SIM,3.3,3.32,3.28,3.32,1.22,4064400,13423000,107636000,241251000.0,1050782000.0,3.304,3.3183333333333334,,,,6473740.6,21.42857142857143,24.285714285714285
2/4/2015,SIM,3.34,3.34,3.28,3.3,-0.6,4662000,15379000,111810000,245004000.0,1038001000.0,3.312,3.3149999999999995,,,,6721840.2,21.42857142857143,24.285714285714285
2/5/2015,SIM,3.3,3.4,3.3,3.4,3.03,12672600,42463000,105223000,255082000.0,1066024000.0,3.3239999999999994,3.32,,,,6324640.0,28.57142857142857,24.285714285714285
2/6/2015,SIM,3.48,3.48,3.42,3.46,1.76,37545401,129900000,212303000,372882000.0,1178468000.0,3.3519999999999994,3.3283333333333336,,,,12467700.2,35.71428571428572,25.714285714285715
2/9/2015,SIM,3.44,3.5,3.4,3.4,-1.73,20514800,70885000,272050000,437182000.0,1210487000.0,3.376,3.3333333333333335,3.3415384615384616,-0.002279202279202419,-0.002279202279202419,15891840.2,35.71428571428572,28.571428571428577
2/10/2015,SIM,3.42,3.42,3.36,3.36,-1.18,6235800,21064000,279691000,444702000.0,1204002000.0,3.3840000000000003,3.3366666666666664,3.346153846153846,-0.006923076923076366,-0.004601139601139392,16326120.2,28.57142857142857,30.0
2/11/2015,SIM,3.4,3.4,3.34,3.36,0.0,3171405,10657000,274969000,432454000.0,1114395000.0,3.396,3.341666666666667,3.352307692307692,-0.00839031339031271,-0.005864197530863831,16028001.2,28.57142857142857,31.428571428571434
2/12/2015,SIM,3.34,3.38,3.32,3.36,0.0,5976400,20005000,252511000,440563000.0,997112000.0,3.3879999999999995,3.3466666666666662,3.355384615384615,-0.007008547008546806,-0.006150284900284575,14688761.2,28.57142857142857,31.428571428571434
2/13/2015,SIM,3.34,3.34,3.26,3.28,-2.38,14035851,46237000,168848000,464226000.0,1014094000.0,3.3519999999999994,3.348333333333333,3.3515384615384614,-0.008418803418803744,-0.006603988603988409,9986851.2,28.57142857142857,30.0
2/16/2015,SIM,3.26,3.3,3.18,3.2,-2.44,26527659,85132000,183095000,538153000.0,1075704000.0,3.312,3.3366666666666664,3.345384615384615,-0.01897435897435873,-0.00994301994301967,11189423.0,28.57142857142857,28.571428571428566
2/17/2015,SIM,3.2,3.2,3.18,3.18,-0.62,7570500,24147000,186178000,513250000.0,1086126000.0,3.276,3.3249999999999997,3.3392307692307694,-0.024743589743589922,-0.013507122507122382,11456363.0,28.57142857142857,28.571428571428566
2/18/2015,SIM,3.18,3.2,3.16,3.2,0.63,2107205,6710000,182231000,497140000.0,1082673000.0,3.2439999999999998,3.3183333333333334,3.330769230769231,-0.02095441595441594,-0.016019943019943028,11243523.0,28.57142857142857,28.571428571428566
2/19/2015,SIM,3.2,3.26,3.18,3.2,0.0,6328300,20341000,182567000,506343000.0,1085496000.0,3.2119999999999997,3.308333333333334,3.3200000000000007,-0.019444444444444375,-0.018507122507122543,11313903.0,28.57142857142857,28.571428571428566
2/20/2015,SIM,3.2,3.22,3.18,3.22,0.62,4370600,13951000,150281000,506871000.0,1085498000.0,3.2,3.301666666666667,3.3130769230769235,-0.01707977207977196,-0.020239316239316185,9380852.8,35.71428571428572,30.0
2/23/2015,SIM,3.22,3.22,3.16,3.16,-1.86,5471400,17384000,82533000,508876000.0,1081023000.0,3.1920000000000006,3.2816666666666663,3.303846153846154,-0.03024216524216561,-0.02249287749287756,5169601.0,28.57142857142857,30.0
2/24/2015,SIM,3.16,3.18,3.1,3.1,-1.9,9398700,29360000,87746000,495773000.0,1096824000.0,3.176,3.251666666666667,3.2946153846153843,-0.051866096866096,-0.027917378917378777,5535241.0,28.57142857142857,30.0
2/25/2015,SIM,3.14,3.16,3.02,3.04,-1.94,12272250,37775000,118811000,403648000.0,1091912000.0,3.1439999999999997,3.2216666666666662,3.2830769230769232,-0.07135327635327693,-0.03799715099715097,7568250.0,21.42857142857143,28.571428571428573
2/26/2015,SIM,3.04,3.08,3.0,3.04,0.0,4870100,14789000,113259000,347552000.0,1080218000.0,3.1119999999999997,3.195,3.270769230769231,-0.08252136752136785,-0.05061253561253567,7276610.0,14.285714285714292,25.714285714285715
2/27/2015,SIM,3.06,3.06,3.0,3.02,-0.66,5140754,15594000,114902000,342082000.0,1079426000.0,3.072,3.1666666666666665,3.2584615384615385,-0.09669515669515683,-0.06653561253561265,7430640.8,14.285714285714292,21.42857142857143
3/2/2015,SIM,3.02,3.04,2.96,2.96,-1.99,7491706,22324000,119842000,353749000.0,1051574000.0,3.032,3.1333333333333333,3.2446153846153845,-0.11686609686609684,-0.0838603988603989,7834702.0,14.285714285714292,18.571428571428577
3/3/2015,SIM,3.0,3.0,2.9,2.9,-2.03,5416770,15975000,106457000,349719000.0,947398000.0,2.992,3.1016666666666666,3.2292307692307696,-0.13420227920227923,-0.10032763532763553,7038316.0,14.285714285714292,15.714285714285719
3/5/2015,SIM,2.92,2.96,2.84,2.9,0.0,5372901,15504000,84186000,318986000.0,916827000.0,2.964,3.0766666666666667,3.2138461538461547,-0.1411111111111114,-0.11427920227920244,5658446.2,14.285714285714292,14.285714285714292
3/6/2015,SIM,2.88,2.94,2.86,2.94,1.38,2585700,7502000,76899000,241356000.0,912703000.0,2.944,3.0566666666666666,3.201538461538462,-0.14344729344729368,-0.1264643874643876,5201566.2,21.42857142857143,15.714285714285719
3/9/2015,SIM,2.96,2.98,2.92,2.94,0.0,2133171,6274000,67579000,223483000.0,886592000.0,2.928,3.0349999999999997,3.186153846153846,-0.14753561253561243,-0.1366324786324787,4600049.6,21.42857142857143,17.142857142857146
3/10/2015,SIM,2.94,2.94,2.88,2.88,-2.04,3765300,10927000,56182000,227700000.0,885419000.0,2.912,3.0083333333333333,3.1692307692307695,-0.15921652421652466,-0.14510256410256428,3854768.4,21.42857142857143,18.571428571428577
3/11/2015,SIM,2.86,2.9,2.82,2.88,0.0,2863605,8201000,48408000,215560000.0,887035000.0,2.908,2.9800000000000004,3.1538461538461537,-0.16894586894586894,-0.1520512820512822,3344135.4,14.285714285714292,18.571428571428577
3/12/2015,SIM,2.9,2.9,2.86,2.88,0.0,2181801,6278000,39182000,207887000.0,879769000.0,2.904,2.956666666666667,3.136923076923077,-0.17301994301994306,-0.15843304843304856,2705915.4,14.285714285714292,18.571428571428577
