Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
5/17/2019,SINGER-W1,0.89,0.91,0.52,0.86,0.0,15678581,12659750,12659750,12659750.0,12659750.0,0.86,,,,,15678581.0,,,12659750.0,0.0
5/21/2019,SINGER-W1,0.9,1.08,0.83,1.03,19.77,14912920,14694010,27353760,27353760.0,27353760.0,0.945,,,,,15295750.5,,,13676880.0,0.0
5/22/2019,SINGER-W1,1.05,1.19,1.02,1.17,13.59,18553611,20526940,47880700,47880700.0,47880700.0,1.02,,,,,16381704.0,,,15960233.333333336,0.0
5/23/2019,SINGER-W1,1.19,1.23,1.07,1.09,-6.84,11690100,13768970,61649670,61649670.0,61649670.0,1.0375,,,,,15208803.0,,,15412417.5,0.0
5/24/2019,SINGER-W1,1.15,1.46,1.1,1.44,32.11,12406570,16050670,77700340,77700340.0,77700340.0,1.1179999999999999,,,,,14648356.4,,,15540068.0,0.0
5/27/2019,SINGER-W1,1.57,1.97,1.56,1.93,34.03,43102560,76451790,141492380,154152130.0,154152130.0,1.332,,,,,20133152.2,,,28298476.0,0.0
5/28/2019,SINGER-W1,1.89,1.93,1.6,1.75,-9.33,17252880,31059130,157857500,185211260.0,185211260.0,1.476,,,,,20601144.2,,,31571500.0,0.0
5/29/2019,SINGER-W1,1.82,1.96,1.77,1.8,2.86,25875728,48822990,186153550,234034250.0,234034250.0,1.6019999999999999,,,,,22065567.6,,,37230710.0,0.0
5/30/2019,SINGER-W1,1.82,1.85,1.64,1.72,-4.44,10178102,18032120,190416700,252066370.0,252066370.0,1.7280000000000002,,,,,21763168.0,,,38083340.0,0.0
5/31/2019,SINGER-W1,1.73,1.75,1.61,1.72,0.0,4248600,7161300,181527330,259227670.0,259227670.0,1.784,,,,,20131574.0,,,36305466.0,0.0
6/4/2019,SINGER-W1,1.73,1.77,1.63,1.69,-1.74,2054200,3470260,108545800,262697930.0,262697930.0,1.736,,,,,11921902.0,,,21709160.0,0.0
6/5/2019,SINGER-W1,1.7,1.86,1.7,1.8,6.51,4620300,8303060,85789730,271000990.0,271000990.0,1.746,1.5000000000000002,,,,9395386.0,,,17157946.0,0.0
6/10/2019,SINGER-W1,1.77,1.77,1.7,1.71,-3.39,1710100,2951950,39918690,273952940.0,273952940.0,1.7280000000000002,1.5708333333333335,,,,4562260.4,,,7983738.0,0.0
6/11/2019,SINGER-W1,1.72,1.73,1.67,1.67,-2.34,553000,929940,22816510,262223130.0,274882880.0,1.7180000000000002,1.6241666666666668,,,,2637240.0,42.857142857142854,42.857142857142854,4563302.0,0.0
6/12/2019,SINGER-W1,1.67,1.74,1.67,1.68,0.6,668600,1144090,16799300,248673210.0,276026970.0,1.7100000000000002,1.6666666666666667,,,,1921240.0,50.0,46.42857142857143,3359860.0,0.0
