Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,SIRI-W2,0.31,0.31,0.29,0.3,-3.23,48240230,14530000,60120000,1025150000.0,1025150000.0,0.3,,,,,48240230.0,,
1/6/2015,SIRI-W2,0.29,0.31,0.29,0.3,0.0,24941266,7478000,49590000,1032628000.0,1032628000.0,0.3,,,,,36590748.0,,
1/7/2015,SIRI-W2,0.31,0.32,0.3,0.31,3.33,84924155,26584000,72582000,1059212000.0,1059212000.0,0.3033333333333333,,,,,52701883.666666664,,
1/8/2015,SIRI-W2,0.32,0.33,0.31,0.31,0.0,89743858,28560000,94244000,1087772000.0,1087772000.0,0.305,,,,,61962377.25,,
1/9/2015,SIRI-W2,0.32,0.32,0.3,0.3,-3.23,72493159,22045000,99197000,431350000.0,1109817000.0,0.304,,,,,64068533.6,,
1/12/2015,SIRI-W2,0.3,0.31,0.29,0.3,0.0,40114321,12041000,96708000,343423000.0,1121858000.0,0.304,,,,,62443351.8,,
1/13/2015,SIRI-W2,0.3,0.31,0.29,0.3,0.0,33192588,9952000,99182000,252808000.0,1131810000.0,0.304,,,,,64093616.2,,
1/14/2015,SIRI-W2,0.31,0.31,0.3,0.3,0.0,11281432,3397000,75995000,191408000.0,1135207000.0,0.302,,,,,49365071.6,,
1/15/2015,SIRI-W2,0.3,0.31,0.29,0.3,0.0,21732177,6521000,53956000,176698000.0,1141728000.0,0.3,,,,,35762735.4,,
1/16/2015,SIRI-W2,0.3,0.31,0.29,0.29,-3.33,18359838,5492000,37403000,164182000.0,1147220000.0,0.298,,,,,24936071.2,,
1/19/2015,SIRI-W2,0.29,0.31,0.29,0.3,3.45,21690206,6504000,31866000,167094000.0,1153724000.0,0.298,,,,,21251248.2,,
1/20/2015,SIRI-W2,0.31,0.32,0.3,0.3,0.0,83524035,25922000,47836000,186118000.0,1179646000.0,0.298,0.3008333333333333,,,,31317537.6,,
1/21/2015,SIRI-W2,0.31,0.33,0.31,0.31,3.33,102329299,32262000,76701000,201288000.0,1211908000.0,0.3,0.30166666666666664,,,,49527111.0,,
1/22/2015,SIRI-W2,0.33,0.33,0.31,0.31,0.0,49503351,15665000,85845000,202423000.0,1227573000.0,0.302,0.3025,,,,55081345.8,21.42857142857143,21.42857142857143
1/23/2015,SIRI-W2,0.32,0.33,0.31,0.32,3.23,61229227,19534000,99887000,214479000.0,1247107000.0,0.308,0.3033333333333333,,,,63655223.6,28.57142857142857,25.0
1/26/2015,SIRI-W2,0.32,0.33,0.31,0.32,0.0,14027261,4441000,97824000,192336000.0,1251548000.0,0.312,0.30416666666666664,,,,62122634.6,28.57142857142857,26.19047619047619
1/27/2015,SIRI-W2,0.32,0.34,0.31,0.33,3.12,144810399,47775000,119677000,211551000.0,1299323000.0,0.318,0.30666666666666664,,,,74379907.4,28.57142857142857,26.785714285714285
1/28/2015,SIRI-W2,0.34,0.35,0.33,0.34,3.03,70493734,23995000,111410000,213501000.0,1323318000.0,0.324,0.31,,,,68012794.4,35.71428571428572,28.571428571428573
1/29/2015,SIRI-W2,0.34,0.35,0.33,0.33,-2.94,111661103,37640000,133385000,239100000.0,1360958000.0,0.328,0.31249999999999994,,,,80444344.8,35.71428571428572,31.428571428571434
1/30/2015,SIRI-W2,0.33,0.34,0.32,0.33,0.0,20983605,6924000,120775000,236072000.0,1367882000.0,0.33,0.315,,,,72395220.4,35.71428571428572,32.85714285714286
2/2/2015,SIRI-W2,0.33,0.33,0.31,0.32,-3.03,42115916,13501000,129835000,246176000.0,1381383000.0,0.33,0.31666666666666665,,,,78012951.4,35.71428571428572,34.28571428571429
2/3/2015,SIRI-W2,0.32,0.34,0.32,0.33,3.12,58812541,19358000,101418000,259013000.0,1400741000.0,0.33,0.32,,,,60813379.8,42.857142857142854,37.14285714285715
