Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
7/25/2017,SKY,12.6,12.6,12.3,12.4,-0.8,726423,8958230,8958230,8958230.0,8958230.0,12.4,,,,,726423.0,,
7/26/2017,SKY,12.4,12.4,12.0,12.2,-1.61,617700,7502610,16460840,16460840.0,16460840.0,12.3,,,,,672061.5,,
7/27/2017,SKY,12.1,12.3,12.0,12.3,0.82,385101,4659790,21120630,21120630.0,21120630.0,12.300000000000002,,,,,576408.0,,
7/31/2017,SKY,12.2,12.3,11.9,11.9,-3.25,1395400,16934490,38055120,38055120.0,38055120.0,12.200000000000001,,,,,781156.0,,
8/2/2017,SKY,11.6,11.8,11.5,11.7,0.0,683800,7898800,45953920,45953920.0,45953920.0,12.1,,,,,761684.8,,
8/4/2017,SKY,11.5,11.9,11.5,11.8,1.72,646900,7646530,44642220,53600450.0,53600450.0,11.979999999999999,,,,,745780.2,,
8/7/2017,SKY,11.8,11.8,11.7,11.7,-0.85,275700,3240420,40380030,56840870.0,56840870.0,11.88,,,,,677380.2,,
8/8/2017,SKY,11.9,11.9,11.6,11.7,0.0,430300,5049860,40770100,61890730.0,61890730.0,11.760000000000002,,,,,686420.0,,
8/9/2017,SKY,11.6,11.7,11.4,11.4,-2.56,711500,8232280,32067890,70123010.0,70123010.0,11.66,,,,,549640.0,,
8/10/2017,SKY,11.4,11.6,11.2,11.6,1.75,486400,5552560,29721650,75675570.0,75675570.0,11.64,,,,,510160.0,,
8/11/2017,SKY,11.6,11.7,11.5,11.5,-0.86,254500,2947000,25022120,78622570.0,78622570.0,11.58,,,,,431680.0,,
8/15/2017,SKY,11.5,11.6,11.4,11.5,0.0,342993,3944310,25726010,82566880.0,82566880.0,11.540000000000001,11.808333333333332,,,,445138.6,,
8/17/2017,SKY,11.5,11.7,11.2,11.6,0.87,982049,11287770,31963920,93854650.0,93854650.0,11.52,11.741666666666667,,,,555488.4,,
8/18/2017,SKY,11.5,12.0,11.4,11.6,0.0,471121,5517150,29248790,90413570.0,99371800.0,11.56,11.691666666666668,,,,507412.6,28.57142857142857,28.57142857142857
8/21/2017,SKY,11.5,11.9,11.4,11.9,2.59,1020772,11818500,35514730,94729460.0,111190300.0,11.620000000000001,11.658333333333333,,,,614287.0,35.71428571428572,32.142857142857146
8/22/2017,SKY,12.0,12.7,11.8,12.4,4.2,4330310,53353580,85921310,143423250.0,164543880.0,11.8,11.700000000000001,,,,1429449.0,42.857142857142854,35.714285714285715
8/23/2017,SKY,12.4,12.4,12.1,12.2,-1.61,1453000,17817020,99794020,144305780.0,182360900.0,11.940000000000001,11.741666666666665,,,,1651450.4,35.71428571428572,35.714285714285715
8/24/2017,SKY,12.2,12.2,11.8,11.8,-3.28,723180,8663480,97169730,145070460.0,191024380.0,11.979999999999999,11.741666666666667,,,,1599676.6,35.71428571428572,35.714285714285715
8/25/2017,SKY,11.8,12.0,11.8,12.0,1.69,366900,4384160,96036740,141808090.0,195408540.0,12.059999999999999,11.766666666666667,,,,1578832.4,42.857142857142854,38.57142857142858
8/28/2017,SKY,12.1,12.1,11.8,11.8,-1.67,472040,5611140,89829380,144178810.0,201019680.0,12.040000000000001,11.775,,,,1469086.0,35.71428571428572,38.57142857142858
8/29/2017,SKY,11.8,12.0,11.8,12.0,1.69,597226,7119570,43595370,146248520.0,208139250.0,11.959999999999999,11.825000000000001,,,,722469.2,42.857142857142854,38.57142857142858
8/30/2017,SKY,12.0,12.0,11.9,12.0,0.0,404500,4843270,30621620,142859510.0,212982520.0,11.92,11.858333333333334,,,,512769.2,42.857142857142854,40.00000000000001
8/31/2017,SKY,12.0,12.5,12.0,12.4,3.33,3031500,37369200,59327340,174676150.0,250351720.0,12.04,11.933333333333335,,,,974433.2,50.0,42.85714285714286
9/1/2017,SKY,12.6,13.3,12.6,13.2,6.45,5581454,72119110,127062290,243848260.0,322470830.0,12.279999999999998,12.074999999999998,,,,2017344.0,50.0,44.28571428571429
9/4/2017,SKY,13.4,13.4,13.0,13.0,-1.52,2029880,26673450,148124600,266577400.0,349144280.0,12.52,12.191666666666665,,,,2328912.0,50.0,47.142857142857146
9/5/2017,SKY,13.2,13.2,12.8,13.1,0.77,1079700,14047970,155053000,269337600.0,363192250.0,12.739999999999998,12.316666666666665,12.026923076923076,0.3307692307692296,0.3307692307692296,2425406.8,57.14285714285714,50.0
9/6/2017,SKY,13.2,13.3,12.8,13.0,-0.76,955787,12429850,162639580,276250300.0,375622100.0,12.940000000000001,12.408333333333333,12.05,0.3789886039886028,0.3548789173789162,2535664.2,50.0,51.42857142857142
9/7/2017,SKY,12.9,13.2,12.9,13.0,0.0,1147400,14974790,140245170,279406590.0,390596890.0,13.059999999999999,12.458333333333334,12.080769230769233,0.39280626780626626,0.3675213675213662,2158844.2,50.0,51.42857142857142
9/8/2017,SKY,13.0,13.1,13.0,13.0,0.0,528319,6901970,75028030,232954980.0,397498860.0,13.02,12.525,12.10769230769231,0.42428774928774615,0.3817129629629612,1148217.2,42.857142857142854,50.0
9/11/2017,SKY,13.3,13.3,13.0,13.1,0.77,657886,8644030,56998610,223781990.0,406142890.0,13.040000000000001,12.633333333333333,12.153846153846157,0.4811965811965777,0.4016096866096845,873818.4,42.857142857142854,48.57142857142857
9/12/2017,SKY,13.0,13.1,12.9,13.0,-0.76,1055222,13708190,56658830,228826700.0,419851080.0,13.02,12.716666666666667,12.203846153846154,0.49743589743589567,0.4349430199430177,868922.8,42.857142857142854,45.714285714285715
9/13/2017,SKY,13.0,13.1,13.0,13.1,0.77,381200,4976890,49205870,229419430.0,424827970.0,13.040000000000001,12.824999999999998,12.253846153846155,0.550783475783474,0.46930199430199193,754005.4,50.0,45.714285714285715
9/14/2017,SKY,13.2,13.2,13.0,13.2,0.76,411696,5388350,39619430,229196640.0,430216320.0,13.080000000000002,12.924999999999997,12.311538461538465,0.5899572649572598,0.5087321937321907,606864.6,50.0,45.71428571428571
9/15/2017,SKY,13.0,13.7,13.0,13.4,1.52,2504159,33573370,66290830,255650440.0,463789690.0,13.160000000000002,13.041666666666666,12.376923076923077,0.6440883190883167,0.5526923076923047,1002032.6,57.14285714285714,48.57142857142857
9/18/2017,SKY,13.4,13.5,13.3,13.3,-0.75,580100,7745700,65392500,258552870.0,462577160.0,13.2,13.116666666666667,12.45,0.6319088319088326,0.5828347578347557,986475.4,50.0,50.0
9/19/2017,SKY,13.3,13.4,13.2,13.2,-0.75,703289,9328720,61013030,230512390.0,464403270.0,13.24,13.116666666666665,12.511538461538462,0.5669515669515643,0.5967378917378895,916088.8,50.0,51.42857142857142
9/20/2017,SKY,13.3,14.1,13.3,14.0,6.06,4534800,62781080,118817220,221174360.0,522524560.0,13.420000000000002,13.200000000000001,12.607692307692306,0.6122507122507166,0.609031339031338,1746808.8,50.0,51.42857142857142
9/21/2017,SKY,14.1,14.4,13.9,14.1,0.71,2261696,31991020,145419890,226491930.0,537581090.0,13.6,13.283333333333331,12.707692307692307,0.5981481481481481,0.6106695156695157,2116808.8,50.0,51.42857142857142
9/22/2017,SKY,14.3,14.3,14.0,14.1,0.0,1062110,14962540,126809060,227406500.0,544644830.0,13.74,13.375,12.803846153846154,0.5866809116809133,0.599188034188035,1828399.0,50.0,50.0
9/25/2017,SKY,14.1,14.3,13.9,14.1,0.0,1119963,15805430,134868790,230782080.0,552803730.0,13.9,13.466666666666667,12.900000000000002,0.575213675213675,0.5878490028490034,1936371.6,42.857142857142854,48.57142857142857
9/26/2017,SKY,14.1,14.7,14.1,14.4,2.13,4054433,58556470,184096540,274363760.0,608119780.0,14.14,13.583333333333334,12.996153846153847,0.6088319088319079,0.5962250712250722,2606600.4,50.0,48.57142857142857
9/27/2017,SKY,14.4,14.5,14.4,14.4,0.0,815903,11776980,133092440,279238770.0,614846900.0,14.219999999999999,13.691666666666668,13.073076923076922,0.6292735042735078,0.5996296296296304,1862821.0,50.0,48.57142857142857
9/28/2017,SKY,14.5,14.5,14.2,14.2,-1.39,969700,13883840,114985260,284478580.0,620498460.0,14.24,13.791666666666664,13.150000000000002,0.6267094017093964,0.6053418803418801,1604421.8,50.0,48.57142857142857
9/29/2017,SKY,14.2,14.4,14.2,14.2,0.0,347877,4967960,104990680,275738350.0,619913860.0,14.26,13.883333333333331,13.24230769230769,0.6188034188034184,0.6117663817663811,1461575.2,42.857142857142854,47.142857142857146
10/2/2017,SKY,14.4,14.5,14.3,14.4,1.41,1070209,15466410,104651660,286227870.0,632433270.0,14.320000000000002,13.983333333333333,13.334615384615383,0.6339031339031358,0.6235042735042733,1451624.4,50.0,48.57142857142857
10/3/2017,SKY,14.6,14.8,14.5,14.7,2.08,1562471,22937810,69033000,303777330.0,651426770.0,14.379999999999999,14.091666666666667,13.446153846153841,0.6462250712250768,0.6309829059829071,953232.0,50.0,48.57142857142857
10/4/2017,SKY,14.7,14.9,14.7,14.7,0.0,855564,12634070,69890090,282838030.0,652773070.0,14.440000000000001,14.208333333333334,13.549999999999994,0.6487891737891793,0.6348860398860413,961164.2,42.857142857142854,47.142857142857146
10/5/2017,SKY,14.7,15.8,14.7,15.8,7.48,6802819,104740870,160747120,379833200.0,751996790.0,14.76,14.425000000000002,13.696153846153843,0.7845441595441649,0.6664529914529951,2127788.0,42.857142857142854,45.714285714285715
10/6/2017,SKY,15.8,16.8,15.7,15.7,-0.63,8810271,143170120,298949280,513674600.0,883348410.0,15.059999999999999,14.566666666666665,13.82307692307692,0.7789173789173809,0.6984757834757875,3820266.8,42.857142857142854,45.714285714285715
10/9/2017,SKY,16.1,16.5,15.9,16.0,1.91,2997390,48537850,332020720,499431370.0,878532680.0,15.38,14.725000000000001,13.930769230769227,0.8371082621082664,0.7391168091168137,4205703.0,50.0,45.714285714285715
