Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,SLC-W3,0.1,0.11,0.1,0.11,10.0,704000,70000,653000,3617000.0,15408000.0,0.11,,,,,704000.0,,,70000.0,0.0
1/7/2015,SLC-W3,0.1,0.1,0.1,0.1,-9.09,600000,60000,141000,3319000.0,14081000.0,0.105,,,,,652000.0,,,65000.0,0.0
1/8/2015,SLC-W3,0.1,0.1,0.1,0.1,0.0,184000,18000,156000,2859000.0,13700000.0,0.10333333333333336,,,,,496000.0,,,49333.33333333334,0.0
1/9/2015,SLC-W3,0.1,0.1,0.1,0.1,0.0,168500,17000,165000,2839000.0,13612000.0,0.1025,,,,,414125.0,,,41250.0,0.0
1/12/2015,SLC-W3,0.1,0.11,0.1,0.11,10.0,246200,25000,120000,2364000.0,13357000.0,0.10400000000000001,,,,,380540.0,,,38000.0,0.0
1/13/2015,SLC-W3,0.11,0.11,0.1,0.11,0.0,907000,99000,219000,1817000.0,13390000.0,0.10400000000000001,,,,,421140.0,,,43800.0,0.0
1/14/2015,SLC-W3,0.11,0.11,0.1,0.11,0.0,953100,96000,255000,1353000.0,13385000.0,0.106,,,,,491760.0,,,51000.0,0.0
1/15/2015,SLC-W3,0.1,0.11,0.1,0.1,-9.09,500100,50000,287000,1018000.0,13233000.0,0.106,,,,,554980.0,,,57400.0,0.0
1/16/2015,SLC-W3,0.11,0.11,0.1,0.1,0.0,1080400,108000,378000,807000.0,6705000.0,0.106,,,,,737360.0,,,75600.0,0.0
1/19/2015,SLC-W3,0.1,0.1,0.09,0.1,0.0,801503,75000,428000,629000.0,5842000.0,0.10400000000000001,,,,,848420.6,,,85600.0,0.0
1/20/2015,SLC-W3,0.09,0.1,0.09,0.1,0.0,20700,2000,331000,628000.0,5581000.0,0.102,,,,,671160.6,,,66200.0,0.0
1/21/2015,SLC-W3,0.09,0.1,0.09,0.1,0.0,400200,37000,272000,657000.0,5065000.0,0.1,0.10333333333333336,,,,560580.6,,,54400.0,0.0
1/22/2015,SLC-W3,0.09,0.1,0.09,0.09,-10.0,2670100,240000,462000,827000.0,5283000.0,0.098,0.10166666666666667,,,,994580.6,,,92400.0,0.0
1/23/2015,SLC-W3,0.09,0.1,0.09,0.1,11.11,330300,30000,384000,857000.0,5128000.0,0.098,0.10166666666666667,,,,844560.6,21.42857142857143,21.42857142857143,76800.0,0.0
1/26/2015,SLC-W3,0.09,0.09,0.08,0.09,-10.0,3720200,299000,608000,1096000.0,5221000.0,0.096,0.10083333333333334,,,,1428300.0,14.285714285714292,17.857142857142858,121600.0,0.0
1/27/2015,SLC-W3,0.09,0.09,0.08,0.09,0.0,818100,67000,673000,1145000.0,5165000.0,0.094,0.10000000000000002,,,,1587780.0,14.285714285714292,16.66666666666667,134600.0,0.0
1/28/2015,SLC-W3,0.09,0.1,0.09,0.09,0.0,4134600,380000,1016000,1508000.0,5500000.0,0.092,0.09833333333333333,,,,2334660.0,14.285714285714292,16.071428571428573,203200.0,0.0
1/29/2015,SLC-W3,0.09,0.09,0.08,0.09,0.0,1073100,93000,869000,1576000.0,5564000.0,0.092,0.09666666666666666,,,,2015260.0,14.285714285714292,15.714285714285722,173800.0,0.0
1/30/2015,SLC-W3,0.09,0.09,0.08,0.08,-11.11,77200,6000,845000,1483000.0,5558000.0,0.08800000000000001,0.09416666666666666,,,,1964640.0,7.142857142857139,12.857142857142858,169000.0,0.0
2/2/2015,SLC-W3,0.08,0.09,0.08,0.09,12.5,1474100,119000,665000,1506000.0,5537000.0,0.08800000000000001,0.09333333333333332,,,,1515420.0,14.285714285714292,12.857142857142858,133000.0,0.0
2/3/2015,SLC-W3,0.09,0.09,0.09,0.09,0.0,406500,37000,635000,1493000.0,5475000.0,0.08800000000000001,0.0925,,,,1433100.0,14.285714285714292,12.857142857142858,127000.0,0.0
2/4/2015,SLC-W3,0.09,0.09,0.08,0.08,-11.11,51000,4000,259000,1389000.0,5147000.0,0.086,0.09083333333333332,,,,616380.0,14.285714285714292,12.857142857142858,51800.0,0.0
2/5/2015,SLC-W3,0.09,0.09,0.08,0.09,12.5,55200,5000,171000,1319000.0,5126000.0,0.08600000000000001,0.08999999999999997,,,,412800.0,21.42857142857143,14.285714285714288,34200.0,0.0
2/6/2015,SLC-W3,0.09,0.09,0.09,0.09,0.0,204000,18000,183000,1335000.0,4666000.0,0.08800000000000001,0.08916666666666666,,,,438160.0,21.42857142857143,17.142857142857142,36600.0,0.0
2/9/2015,SLC-W3,0.08,0.09,0.08,0.08,-11.11,1361000,109000,173000,1407000.0,4738000.0,0.086,0.08833333333333332,,,,415540.0,21.42857142857143,18.571428571428573,34600.0,0.0
2/10/2015,SLC-W3,0.08,0.08,0.08,0.08,0.0,872800,70000,206000,1237000.0,4308000.0,0.084,0.08666666666666666,0.09500000000000004,-0.008247863247863294,-0.008247863247863294,508800.0,21.42857142857143,20.000000000000004,41200.0,0.0
2/11/2015,SLC-W3,0.08,0.08,0.07,0.08,0.0,1387500,110000,312000,1317000.0,3772000.0,0.084,0.08583333333333333,0.09384615384615387,-0.007884615384615434,-0.008066239316239364,776100.0,21.42857142857143,21.42857142857143,62400.0,2.0
2/12/2015,SLC-W3,0.08,0.08,0.07,0.07,-12.5,149300,12000,319000,1030000.0,3224000.0,0.08,0.08416666666666665,0.09269230769230773,-0.009024216524216559,-0.008385565052231762,794920.0,14.285714285714292,20.000000000000004,63800.0,0.0
2/16/2015,SLC-W3,0.07,0.07,0.07,0.07,-12.5,1655100,116000,308000,699000.0,2636000.0,0.076,0.0825,0.09153846153846157,-0.009366096866096893,-0.008630698005698045,1085140.0,14.285714285714292,18.571428571428573,83400.0,0.0
2/17/2015,SLC-W3,0.08,0.08,0.07,0.08,14.29,453300,32000,270000,638000.0,2415000.0,0.07600000000000001,0.08166666666666665,0.0907692307692308,-0.008561253561253604,-0.008616809116809156,903600.0,21.42857142857143,18.571428571428573,68000.0,0.0
2/18/2015,SLC-W3,0.08,0.08,0.07,0.07,-12.5,2900600,203000,363000,835000.0,2615000.0,0.07400000000000001,0.08083333333333331,0.08923076923076924,-0.008639601139601159,-0.00869515669515673,1309160.0,21.42857142857143,18.571428571428573,94600.0,2.0
2/19/2015,SLC-W3,0.07,0.08,0.07,0.07,0.0,1290300,90000,441000,806000.0,2697000.0,0.07200000000000001,0.07916666666666666,0.08769230769230771,-0.008625356125356145,-0.008843304843304872,1289720.0,21.42857142857143,18.571428571428573,90600.0,0.0
2/20/2015,SLC-W3,0.07,0.09,0.07,0.08,14.29,8457400,677000,1118000,1446000.0,3304000.0,0.07400000000000001,0.07833333333333334,0.08653846153846155,-0.007464387464387477,-0.008531339031339055,2951340.0,28.57142857142857,21.42857142857143,223600.0,2.0
2/23/2015,SLC-W3,0.08,0.09,0.08,0.09,12.5,1111500,89000,1091000,1531000.0,3393000.0,0.078,0.07916666666666666,0.08615384615384616,-0.005605413105413126,-0.007779202279202302,2842620.0,28.57142857142857,24.285714285714285,218200.0,0.0
2/24/2015,SLC-W3,0.08,0.08,0.08,0.08,-11.11,416800,33000,1092000,1559000.0,3366000.0,0.07800000000000001,0.07833333333333334,0.0853846153846154,-0.006396011396011425,-0.007346153846153866,2835320.0,28.57142857142857,25.71428571428571,218400.0,0.0
2/25/2015,SLC-W3,0.08,0.08,0.07,0.07,-12.5,268100,21000,910000,1562000.0,3369000.0,0.078,0.07666666666666666,0.08423076923076925,-0.007535612535612551,-0.007125356125356144,2308820.0,28.57142857142857,27.142857142857146,182000.0,0.0
2/26/2015,SLC-W3,0.07,0.07,0.07,0.07,0.0,201000,14000,834000,1467000.0,3366000.0,0.078,0.07583333333333332,0.08307692307692308,-0.007172364672364692,-0.006834757834757854,2090960.0,21.42857142857143,27.142857142857146,166800.0,0.0
2/27/2015,SLC-W3,0.07,0.07,0.07,0.07,0.0,200000,14000,171000,1411000.0,3355000.0,0.076,0.07500000000000001,0.08192307692307693,-0.0068091168091168035,-0.00670370370370372,439480.0,21.42857142857143,25.71428571428571,34200.0,0.0
3/2/2015,SLC-W3,0.07,0.08,0.07,0.08,14.29,3693200,259000,341000,1560000.0,3515000.0,0.07400000000000001,0.075,0.08153846153846156,-0.005655270655270675,-0.00671367521367523,955820.0,28.57142857142857,25.71428571428571,68200.0,2.0
3/3/2015,SLC-W3,0.07,0.07,0.06,0.07,-12.5,1104100,76000,384000,1624000.0,3495000.0,0.07200000000000001,0.07500000000000001,0.0803846153846154,-0.0053846153846153905,-0.006511396011396023,1093280.0,28.57142857142857,25.71428571428571,76800.0,0.0
3/5/2015,SLC-W3,0.07,0.07,0.06,0.07,0.0,260700,18000,381000,1642000.0,3463000.0,0.07200000000000001,0.07500000000000001,0.07961538461538463,-0.004672364672364676,-0.005938746438746448,1091800.0,28.57142857142857,25.71428571428571,76200.0,0.0
3/6/2015,SLC-W3,0.06,0.07,0.06,0.07,0.0,211000,13000,380000,1539000.0,3368000.0,0.07200000000000001,0.07416666666666667,0.07884615384615387,-0.004665242165242181,-0.005437321937321946,1093800.0,28.57142857142857,27.142857142857146,76000.0,0.0
3/9/2015,SLC-W3,0.06,0.07,0.06,0.07,0.0,1416603,93000,459000,1600000.0,3386000.0,0.07200000000000001,0.07416666666666667,0.0780769230769231,-0.003952991452991468,-0.0048660968660968786,1337120.6,28.57142857142857,28.57142857142857,91800.0,2.0
3/10/2015,SLC-W3,0.07,0.09,0.07,0.07,0.0,15505400,1213000,1413000,2610000.0,4597000.0,0.07,0.0741666666666667,0.07730769230769233,-0.0032407407407407385,-0.0043831908831908906,3699560.6,21.42857142857143,27.142857142857146,282600.0,2.0
3/11/2015,SLC-W3,0.07,0.09,0.07,0.08,14.29,13622000,1089000,2426000,3609000.0,5649000.0,0.07200000000000001,0.07416666666666669,0.07730769230769233,-0.0024430199430199584,-0.003794871794871804,6203140.6,28.57142857142857,27.142857142857146,485200.0,2.0
3/12/2015,SLC-W3,0.08,0.09,0.07,0.09,12.5,7192900,578000,2986000,3510000.0,5987000.0,0.076,0.07416666666666667,0.07730769230769233,-0.0016452991452991644,-0.003189458689458702,7589580.6,35.714285714285715,28.57142857142857,597200.0,0.0
