Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,SMG,28.0,28.0,28.0,28.0,0.0,1001,28000,816000,9175000.0,17263000.0,28.0,,,,,1001.0,,
1/6/2015,SMG,28.0,28.5,28.0,28.5,1.79,2500,70000,413000,8375000.0,17187000.0,28.25,,,,,1750.5,,
1/7/2015,SMG,28.5,29.0,28.5,29.0,1.75,3800,109000,483000,7656000.0,17278000.0,28.5,,,,,2433.6666666666665,,
1/8/2015,SMG,29.0,29.0,29.0,29.0,0.0,21200,615000,954000,6558000.0,16937000.0,28.625,,,,,7125.25,,
1/9/2015,SMG,29.0,29.25,29.0,29.25,0.86,8000,232000,1054000,2967000.0,16984000.0,28.75,,,,,7300.2,,
1/12/2015,SMG,29.0,29.25,29.0,29.25,0.0,7500,218000,1244000,3075000.0,17092000.0,29.0,,,,,8600.0,,
1/13/2015,SMG,29.0,29.25,29.0,29.25,0.0,18200,528000,1702000,3600000.0,15184000.0,29.15,,,,,11740.0,,
1/14/2015,SMG,29.5,29.5,29.0,29.25,0.0,6300,184000,1777000,3264000.0,15351000.0,29.2,,,,,12240.0,,
1/15/2015,SMG,29.0,29.25,29.0,29.25,0.0,5700,166000,1328000,2938000.0,15457000.0,29.25,,,,,9140.0,,
1/19/2015,SMG,29.0,29.0,28.75,29.0,-0.85,11900,345000,1223000,2771000.0,15427000.0,29.2,,,,,9920.0,,
1/20/2015,SMG,29.0,29.0,28.75,29.0,0.0,1300,37000,732000,2664000.0,14289000.0,29.15,,,,,8680.0,,
1/21/2015,SMG,29.0,29.0,29.0,29.0,0.0,800,23000,571000,2555000.0,13892000.0,29.1,28.979166666666668,,,,5200.0,,
1/22/2015,SMG,29.0,29.0,29.0,29.0,0.0,2001,58000,463000,2585000.0,13288000.0,29.05,29.0625,,,,4340.2,,
1/23/2015,SMG,29.0,29.0,28.75,28.75,-0.86,19452,560000,1023000,3075000.0,13696000.0,28.95,29.083333333333332,,,,7090.6,21.42857142857143,21.42857142857143
1/26/2015,SMG,28.75,29.0,28.75,28.75,0.0,16902,486000,1164000,3452000.0,14173000.0,28.9,29.0625,,,,8091.0,21.42857142857143,21.42857142857143
1/27/2015,SMG,28.75,28.75,28.75,28.75,0.0,63502,1826000,2953000,4663000.0,15718000.0,28.85,29.041666666666668,,,,20531.4,14.285714285714292,19.04761904761905
1/28/2015,SMG,28.75,28.75,28.5,28.75,0.0,12502,356000,3286000,4787000.0,15659000.0,28.8,29.0,,,,22871.8,7.142857142857139,16.071428571428573
1/29/2015,SMG,28.75,28.75,28.75,28.75,0.0,40000,1150000,4378000,5719000.0,16641000.0,28.75,28.958333333333332,,,,30471.6,7.142857142857139,14.285714285714286
1/30/2015,SMG,31.75,31.75,31.0,31.25,8.7,60600,1907000,5725000,7098000.0,18530000.0,29.25,29.125,,,,38701.2,7.142857142857139,11.428571428571427
2/2/2015,SMG,31.5,31.75,31.25,31.25,0.0,54300,1706000,6945000,8620000.0,20041000.0,29.75,29.291666666666668,,,,46180.8,7.142857142857139,8.57142857142857
2/3/2015,SMG,31.25,31.25,31.25,31.25,0.0,30800,962000,6081000,9416000.0,20713000.0,30.25,29.458333333333332,,,,39640.4,7.142857142857139,7.142857142857139
2/4/2015,SMG,31.25,31.5,31.25,31.5,0.8,6600,207000,5932000,9623000.0,20050000.0,30.8,29.666666666666668,,,,38460.0,14.285714285714292,8.57142857142857
2/5/2015,SMG,31.5,31.75,31.5,31.75,0.79,45700,1440000,6222000,10718000.0,20662000.0,31.4,29.895833333333332,,,,39600.0,21.42857142857143,11.428571428571427
2/6/2015,SMG,31.75,32.0,31.75,32.0,0.79,40054,1273000,5588000,11954000.0,20222000.0,31.55,30.145833333333332,,,,35490.8,28.57142857142857,15.714285714285714
2/9/2015,SMG,32.0,32.0,31.75,31.75,-0.78,53801,1718000,5600000,13649000.0,18117000.0,31.65,30.375,,,,35391.0,28.57142857142857,20.0
2/10/2015,SMG,30.5,31.75,30.5,31.5,-0.79,16800,523000,5161000,14114000.0,18530000.0,31.7,30.604166666666668,29.721153846153847,0.8890669515669565,0.8890669515669565,32591.0,28.57142857142857,24.285714285714285
2/11/2015,SMG,31.75,31.75,31.75,31.75,0.79,4300,137000,5091000,13691000.0,18664000.0,31.75,30.854166666666668,29.865384615384617,0.9870014245014254,0.9380341880341909,32131.0,35.71428571428572,28.571428571428573
2/12/2015,SMG,31.75,31.75,31.25,31.75,0.0,6000,190000,3841000,13395000.0,18334000.0,31.75,31.104166666666668,29.990384615384617,1.0827991452991448,0.9862891737891756,24191.0,35.71428571428572,31.428571428571434
2/13/2015,SMG,31.75,31.75,31.5,31.75,0.0,5200,164000,2732000,11733000.0,18006000.0,31.7,31.354166666666668,30.096153846153847,1.1964031339031322,1.0388176638176647,17220.2,35.71428571428572,32.85714285714286
2/16/2015,SMG,30.0,31.5,30.0,31.25,-1.57,16300,493000,1507000,11870000.0,18026000.0,31.6,31.5625,30.182692307692307,1.252670940170944,1.0815883190883206,9720.0,35.71428571428572,34.28571428571429
2/17/2015,SMG,30.75,31.25,30.75,31.25,0.0,1100,34000,1018000,10754000.0,18021000.0,31.55,31.5625,30.259615384615383,1.1814458689458718,1.1400641025641036,6580.0,35.71428571428572,35.71428571428572
2/18/2015,SMG,31.0,31.5,31.0,31.25,0.0,9300,290000,1171000,9137000.0,18167000.0,31.45,31.5625,30.33653846153846,1.1102207977207996,1.1647079772079785,7580.0,35.71428571428572,35.71428571428572
2/19/2015,SMG,31.0,31.0,31.0,31.0,-0.8,1000,31000,1012000,7462000.0,18066000.0,31.3,31.541666666666668,30.403846153846153,1.0103276353276378,1.1502136752136771,6580.0,28.57142857142857,34.28571428571429
2/20/2015,SMG,31.0,31.0,30.75,31.0,0.0,4602,142000,990000,6642000.0,18180000.0,31.15,31.5,30.471153846153847,0.9127492877492855,1.0934829059829076,6460.4,28.57142857142857,32.857142857142854
2/23/2015,SMG,31.25,31.25,31.25,31.25,0.81,6700,209000,706000,6644000.0,18319000.0,31.15,31.458333333333332,30.548076923076923,0.8262108262108256,1.0081908831908841,4540.4,35.71428571428572,32.85714285714286
2/24/2015,SMG,31.25,31.25,29.0,31.0,-0.8,7301,221000,893000,5425000.0,18431000.0,31.1,31.375,30.625,0.6645299145299148,0.9048076923076926,5780.6,28.57142857142857,31.428571428571434
2/25/2015,SMG,31.0,31.0,30.5,30.75,-0.81,10900,337000,940000,4489000.0,18153000.0,31.0,31.291666666666668,30.692307692307693,0.5117521367521327,0.7851139601139593,6100.6,21.42857142857143,28.571428571428573
2/26/2015,SMG,31.25,31.25,30.5,30.75,0.0,7200,220000,1129000,2991000.0,18141000.0,30.95,31.229166666666668,30.759615384615383,0.3965455840455867,0.6623575498575491,7340.6,14.285714285714292,25.714285714285715
2/27/2015,SMG,30.75,31.0,30.75,31.0,0.81,2300,71000,1058000,2539000.0,17994000.0,30.95,31.166666666666668,30.83653846153846,0.29237891737891886,0.5382834757834758,6880.2,21.42857142857143,24.28571428571429
3/2/2015,SMG,30.5,31.0,29.25,30.5,-1.61,16200,498000,1347000,2900000.0,17964000.0,30.8,31.0625,30.903846153846153,0.10202991452991483,0.39344729344729357,8780.2,21.42857142857143,21.42857142857143
3/3/2015,SMG,30.5,32.25,30.5,32.0,4.92,43700,1370000,2496000,4080000.0,19150000.0,31.0,31.083333333333332,31.028846153846153,0.12357549857549799,0.28525641025641024,16060.0,21.42857142857143,20.000000000000004
3/5/2015,SMG,32.25,32.25,32.0,32.0,0.0,65100,2083000,4242000,5999000.0,21067000.0,31.25,31.145833333333332,31.153846153846153,0.06071937321937071,0.19504985754985782,26900.0,21.42857142857143,20.000000000000004
3/6/2015,SMG,32.0,32.0,31.75,31.75,-0.78,2700,86000,4108000,5592000.0,21153000.0,31.45,31.1875,31.26923076923077,-0.03080484330484623,0.10957977207977124,26000.0,21.42857142857143,21.42857142857143
3/9/2015,SMG,31.75,31.75,30.5,31.0,-2.36,28801,884000,4921000,6442000.0,21692000.0,31.45,31.166666666666668,31.35576923076923,-0.1883903133903111,0.013425925925925241,31300.2,21.42857142857143,21.42857142857143
3/10/2015,SMG,30.5,31.5,30.5,31.5,1.61,4850,148000,4571000,6300000.0,21803000.0,31.65,31.208333333333332,31.365384615384617,-0.12215099715099953,-0.03141025641025763,29030.2,28.57142857142857,22.857142857142858
3/11/2015,SMG,30.25,31.0,30.25,31.0,-1.59,6500,197000,3398000,6466000.0,21977000.0,31.45,31.208333333333332,31.35576923076923,-0.1531339031339023,-0.08675213675213769,21590.2,28.57142857142857,24.285714285714285
3/12/2015,SMG,30.0,31.0,30.0,30.5,-1.61,5400,164000,1479000,6488000.0,22083000.0,31.15,31.145833333333332,31.326923076923077,-0.21919515669515732,-0.14273504273504328,9650.2,28.57142857142857,25.71428571428571
3/13/2015,SMG,30.25,30.75,30.0,30.5,0.0,34300,1031000,2424000,7310000.0,22554000.0,30.9,31.104166666666668,31.28846153846154,-0.2188390313390336,-0.18034188034188076,15970.2,28.57142857142857,27.142857142857146
3/16/2015,SMG,30.0,30.25,29.75,29.75,-2.46,26001,779000,2319000,7868000.0,22847000.0,30.65,31.020833333333332,31.21153846153846,-0.27795584045583865,-0.1982549857549863,15410.2,21.42857142857143,27.142857142857146
3/17/2015,SMG,29.75,29.75,29.5,29.75,0.0,13100,388000,2559000,7919000.0,21409000.0,30.3,30.9375,31.125,-0.26834045584045185,-0.22749287749287675,17060.2,21.42857142857143,25.71428571428571
3/18/2015,SMG,29.25,30.0,29.25,29.75,0.0,6601,196000,2558000,7895000.0,21249000.0,30.05,30.833333333333332,31.048076923076923,-0.28525641025641235,-0.25391737891737876,17080.4,21.42857142857143,24.285714285714285
3/19/2015,SMG,31.5,31.5,30.0,30.0,0.84,6100,186000,2580000,8010000.0,20285000.0,29.95,30.791666666666668,30.990384615384617,-0.24715099715099598,-0.2595085470085465,17220.4,28.57142857142857,24.285714285714285
3/20/2015,SMG,29.5,30.0,28.5,29.25,-2.5,35000,1020000,2569000,8532000.0,19398000.0,29.7,30.5625,30.89423076923077,-0.41185897435897445,-0.29811253561253465,17360.4,21.42857142857143,22.857142857142858
3/23/2015,SMG,29.0,29.5,28.5,29.25,0.0,26300,755000,2545000,7917000.0,18447000.0,29.6,30.333333333333332,30.798076923076923,-0.5167378917378969,-0.3458689458689463,17420.2,21.42857142857143,22.857142857142858
3/24/2015,SMG,28.5,29.0,28.5,28.75,-1.71,11600,331000,2488000,6165000.0,17816000.0,29.4,30.083333333333332,30.682692307692307,-0.6613247863247871,-0.42446581196581334,17120.2,14.285714285714292,21.42857142857143
3/25/2015,SMG,28.25,29.0,27.75,27.75,-3.48,21300,599000,2891000,6678000.0,18208000.0,29.0,29.8125,30.548076923076923,-0.8456196581196593,-0.5365384615384627,20060.0,14.285714285714292,20.000000000000004
3/26/2015,SMG,28.0,28.5,27.5,28.0,0.9,49700,1378000,4083000,7172000.0,18146000.0,28.6,29.520833333333332,30.423076923076923,-0.95673076923077,-0.6784544159544176,28780.0,21.42857142857143,18.571428571428577
3/27/2015,SMG,27.5,28.25,27.5,28.25,0.89,7900,218000,3281000,7242000.0,17091000.0,28.4,29.291666666666668,30.307692307692307,-1.0238603988603927,-0.8008547008547012,23360.0,28.57142857142857,20.000000000000004
3/30/2015,SMG,28.25,28.25,27.5,28.25,0.0,4805,134000,2660000,7179000.0,15507000.0,28.2,29.104166666666668,30.201923076923077,-1.0845797720797705,-0.9144230769230759,19061.0,21.42857142857143,20.000000000000004
4/1/2015,SMG,28.0,28.0,27.5,27.5,-1.79,10405,291000,2620000,7306000.0,15275000.0,27.95,28.854166666666668,30.067307692307693,-1.2313034188034209,-1.0284188034188027,18822.0,21.42857142857143,21.42857142857143
4/2/2015,SMG,27.5,27.75,27.25,27.5,0.0,15500,426000,2447000,6701000.0,15564000.0,27.9,28.666666666666668,29.923076923076923,-1.256410256410259,-1.1105769230769227,17662.0,21.42857142857143,22.857142857142858
4/3/2015,SMG,27.25,27.75,27.0,27.5,0.0,64600,1758000,2827000,7680000.0,17132000.0,27.8,28.479166666666668,29.78846153846154,-1.2904202279202295,-1.1773148148148145,20642.0,21.42857142857143,22.857142857142858
4/7/2015,SMG,27.5,27.5,27.25,27.5,0.0,8502,233000,2842000,7525000.0,17201000.0,27.65,28.291666666666668,29.66346153846154,-1.3333333333333357,-1.239209401709403,20762.4,21.42857142857143,21.42857142857143
4/8/2015,SMG,27.5,28.0,27.5,28.0,1.82,24700,679000,3387000,8008000.0,17387000.0,27.6,28.125,29.557692307692307,-1.3365384615384563,-1.2896011396011402,24741.4,28.57142857142857,22.857142857142858
4/9/2015,SMG,28.0,28.0,27.5,27.5,-1.79,7201,198000,3294000,8020000.0,17551000.0,27.6,27.979166666666668,29.423076923076923,-1.3751780626780636,-1.3183760683760688,24100.6,28.57142857142857,24.285714285714285
4/10/2015,SMG,27.5,27.5,27.5,27.5,0.0,4500,124000,2992000,7124000.0,17385000.0,27.6,27.833333333333332,29.307692307692307,-1.3917378917378933,-1.3454415954415957,21900.6,21.42857142857143,24.285714285714285
4/16/2015,SMG,27.5,27.75,27.25,27.5,0.0,19600,539000,1773000,6908000.0,17893000.0,27.6,27.729166666666668,29.134615384615383,-1.3196225071225065,-1.3512820512820511,12900.6,21.42857142857143,24.285714285714285
4/17/2015,SMG,27.5,27.5,27.0,27.25,-0.91,264701,7207000,8747000,13784000.0,24958000.0,27.55,27.6875,28.951923076923077,-1.2056623931623918,-1.3257478632478623,64140.4,21.42857142857143,24.285714285714285
4/20/2015,SMG,27.25,27.5,27.0,27.5,0.92,131600,3591000,11659000,16776000.0,28340000.0,27.45,27.645833333333332,28.78846153846154,-1.06962250712251,-1.272364672364673,85520.4,28.57142857142857,24.285714285714285
4/21/2015,SMG,27.5,27.75,27.25,27.75,0.91,5000,138000,11599000,15536000.0,28257000.0,27.5,27.604166666666668,28.66346153846154,-0.9691951566951538,-1.191168091168091,85080.2,35.71428571428572,25.714285714285715
4/22/2015,SMG,27.75,28.5,27.75,28.5,2.7,22400,627000,12102000,15945000.0,28547000.0,27.7,27.625,28.548076923076923,-0.7849002849002815,-1.0698005698005688,88660.2,35.71428571428572,28.571428571428577
4/23/2015,SMG,28.25,28.25,28.25,28.25,-0.88,200,6000,11569000,15817000.0,28333000.0,27.85,27.6875,28.442307692307693,-0.6540242165242134,-0.93668091168091,84780.2,28.57142857142857,30.0
4/24/2015,SMG,27.75,28.0,27.75,28.0,-0.88,7600,212000,4574000,15738000.0,28474000.0,28.0,27.729166666666668,28.346153846153847,-0.5496794871794854,-0.8054843304843289,33360.0,28.57142857142857,31.428571428571434
4/27/2015,SMG,28.0,28.5,28.0,28.5,1.79,5000,140000,1123000,15452000.0,28116000.0,28.2,27.8125,28.26923076923077,-0.3680555555555536,-0.6651709401709376,8040.0,35.71428571428572,32.85714285714286
4/28/2015,SMG,28.5,29.0,28.0,28.0,-1.75,64800,1863000,2848000,15557000.0,28609000.0,28.25,27.854166666666668,28.201923076923077,-0.310363247863247,-0.5334045584045561,20000.0,35.71428571428572,32.85714285714286
4/29/2015,SMG,29.5,29.5,27.75,27.75,-0.89,1900,53000,2274000,15377000.0,26579000.0,28.1,27.833333333333332,28.125,-0.2767094017094003,-0.43176638176637994,15900.0,35.71428571428572,32.85714285714286
4/30/2015,SMG,29.25,30.5,29.0,29.5,6.31,275100,8228000,10496000,22926000.0,34721000.0,28.35,28.0,28.115384615384617,0.012820512820510999,-0.29839743589743506,70880.0,42.857142857142854,35.714285714285715
5/6/2015,SMG,29.75,30.0,29.75,29.75,0.85,31101,929000,11213000,23657000.0,34766000.0,28.7,28.1875,28.10576923076923,0.200320512820511,-0.14839743589743576,75580.2,42.857142857142854,38.57142857142858
5/7/2015,SMG,30.0,30.25,30.0,30.0,0.84,32700,986000,12059000,24519000.0,35604000.0,29.0,28.395833333333332,28.134615384615383,0.3698361823361829,-0.000819088319088479,81120.2,50.0,41.42857142857143
5/8/2015,SMG,31.0,31.0,30.25,30.75,2.5,22700,696000,10892000,24676000.0,36103000.0,29.55,28.6875,28.192307692307693,0.6230413105413071,0.18586182336182233,72700.2,57.14285714285714,45.714285714285715
5/11/2015,SMG,31.0,31.25,30.0,30.75,0.0,66200,2039000,12878000,19508000.0,37978000.0,30.15,28.958333333333332,28.26923076923077,0.7809829059829028,0.39740028490028295,85560.2,57.14285714285714,50.0
5/12/2015,SMG,31.0,31.0,30.5,30.5,-0.81,20500,633000,5283000,16550000.0,37580000.0,30.35,29.1875,28.375,0.8570156695156683,0.5662393162393144,34640.2,57.14285714285714,52.857142857142854
