Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
6/9/2015,SMM-W3,0.82,0.96,0.69,0.72,0.0,56295942,47004000,47004000,47004000.0,47004000.0,0.72,,,,,56295942.0,,,47004000.0,0.0
6/10/2015,SMM-W3,0.73,0.74,0.68,0.68,-5.56,6309713,4497000,51501000,51501000.0,51501000.0,0.7,,,,,31302827.5,,,25750500.0,0.0
6/11/2015,SMM-W3,0.69,0.93,0.69,0.78,14.71,43967448,35832000,87333000,87333000.0,87333000.0,0.7266666666666666,,,,,35524367.666666664,,,29111000.0,0.0
6/12/2015,SMM-W3,0.8,1.21,0.76,0.95,21.79,147137905,151971000,239304000,239304000.0,239304000.0,0.7825,,,,,63427752.0,,,59826000.0,0.0
6/15/2015,SMM-W3,1.04,1.17,1.0,1.03,8.42,60950072,66907000,306211000,306211000.0,306211000.0,0.8320000000000001,,,,,62932216.0,,,61242200.0,0.0
6/16/2015,SMM-W3,1.03,1.1,0.91,0.94,-8.74,15915148,16212000,275419000,322423000.0,322423000.0,0.8760000000000001,,,,,54856057.2,,,55083800.0,0.0
6/17/2015,SMM-W3,0.95,1.08,0.9,1.05,11.7,22897423,23279000,294201000,345702000.0,345702000.0,0.95,,,,,58173599.2,,,58840200.0,0.0
6/18/2015,SMM-W3,1.06,1.26,1.05,1.08,2.86,108795574,127679000,386048000,473381000.0,473381000.0,1.01,,,,,71139224.4,,,77209600.0,0.0
6/19/2015,SMM-W3,1.09,1.13,0.98,1.02,-5.56,26727599,28104000,262181000,501485000.0,501485000.0,1.0239999999999998,,,,,47057163.2,,,52436200.0,0.0
6/22/2015,SMM-W3,1.05,1.05,0.98,1.01,-0.98,11878917,12036000,207310000,513521000.0,513521000.0,1.02,,,,,37242932.2,,,41462000.0,0.0
6/23/2015,SMM-W3,1.03,1.07,0.96,0.98,-2.97,24543069,25081000,216179000,538602000.0,538602000.0,1.028,,,,,38968516.4,,,43235800.0,0.0
6/24/2015,SMM-W3,0.98,1.03,0.97,0.99,1.02,11557495,11506000,204406000,550108000.0,550108000.0,1.016,0.9358333333333334,,,,36700530.8,,,40881200.0,0.0
6/25/2015,SMM-W3,0.99,1.01,0.98,0.98,-1.01,6068700,6018000,82745000,556126000.0,556126000.0,0.996,0.9575,,,,16155156.0,,,16549000.0,0.0
6/26/2015,SMM-W3,0.99,1.13,0.99,1.05,7.14,56888297,60517000,115158000,569639000.0,616643000.0,1.002,0.9883333333333334,,,,22187295.6,50.0,50.0,23031600.0,0.0
6/29/2015,SMM-W3,1.02,1.04,0.98,0.99,-5.71,15116300,15181000,118303000,580323000.0,631824000.0,0.998,1.0058333333333336,,,,22834772.2,50.0,50.0,23660600.0,0.0
6/30/2015,SMM-W3,1.0,1.02,0.97,0.98,-1.01,8509716,8459000,101681000,552950000.0,640283000.0,0.998,1.0083333333333335,,,,19628101.6,50.0,50.0,20336200.0,0.0
7/2/2015,SMM-W3,0.99,1.02,0.98,0.99,1.02,9097078,9056000,99231000,410035000.0,649339000.0,0.998,1.005,,,,19136018.2,50.0,50.0,19846200.0,0.0
7/3/2015,SMM-W3,1.0,1.0,0.92,0.93,-6.06,6948634,6642000,99855000,349770000.0,655981000.0,0.988,1.0041666666666669,,,,19312005.0,42.857142857142854,48.57142857142857,19971000.0,0.0
7/6/2015,SMM-W3,0.92,0.93,0.89,0.89,-4.3,4173069,3798000,43136000,337356000.0,659779000.0,0.956,0.9908333333333332,,,,8768959.4,35.714285714285715,45.714285714285715,8627200.0,0.0
7/7/2015,SMM-W3,0.91,0.93,0.86,0.87,-2.25,15235256,13634000,41589000,327711000.0,673413000.0,0.932,0.9733333333333332,,,,8792750.6,35.714285714285715,42.85714285714286,8317800.0,0.0
7/8/2015,SMM-W3,0.87,0.89,0.83,0.83,-4.6,7262301,6235000,39365000,206267000.0,679648000.0,0.902,0.9575,,,,8543267.6,28.57142857142857,38.571428571428584,7873000.0,0.0
7/9/2015,SMM-W3,0.84,0.88,0.83,0.86,3.61,5329400,4572000,34881000,182735000.0,684220000.0,0.8759999999999999,0.945,,,,7789732.0,28.57142857142857,34.285714285714285,6976200.0,0.0
7/10/2015,SMM-W3,0.87,0.87,0.85,0.85,-1.16,2830500,2442000,30681000,173141000.0,686662000.0,0.86,0.9341666666666666,,,,6966105.2,28.57142857142857,31.428571428571434,6136200.0,0.0
