Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
6/1/2017,SMM-W4,0.67,0.85,0.59,0.65,0.0,65391019,48133600,48133600,48133600.0,48133600.0,0.65,,,,,65391019.0,,
6/2/2017,SMM-W4,0.66,0.68,0.64,0.66,1.54,11012725,7287920,55421520,55421520.0,55421520.0,0.655,,,,,38201872.0,,
6/5/2017,SMM-W4,0.67,0.69,0.61,0.62,-6.06,15709140,10230070,65651590,65651590.0,65651590.0,0.6433333333333334,,,,,30704294.666666668,,
6/6/2017,SMM-W4,0.63,0.66,0.6,0.62,0.0,10646216,6694600,72346190,72346190.0,72346190.0,0.6375000000000001,,,,,25689775.0,,
6/7/2017,SMM-W4,0.62,0.63,0.56,0.57,-8.06,4128795,2464850,74811040,74811040.0,74811040.0,0.624,,,,,21377579.0,,
6/8/2017,SMM-W4,0.56,0.56,0.51,0.53,-7.02,4598652,2429150,29106590,77240190.0,77240190.0,0.6,,,,,9219105.6,,
6/9/2017,SMM-W4,0.54,0.54,0.51,0.52,-1.89,1164455,614450,22433120,77854640.0,77854640.0,0.572,,,,,7249451.6,,
6/12/2017,SMM-W4,0.52,0.56,0.52,0.55,5.77,4200991,2315950,14519000,80170590.0,80170590.0,0.558,,,,,4947821.8,,
6/13/2017,SMM-W4,0.56,0.62,0.56,0.58,5.45,16116198,9555670,17380070,89726260.0,89726260.0,0.55,,,,,6041818.2,,
6/14/2017,SMM-W4,0.59,0.59,0.56,0.56,-3.45,2486122,1438020,16353240,91164280.0,91164280.0,0.548,,,,,5713283.6,,
6/15/2017,SMM-W4,0.57,0.59,0.56,0.56,0.0,4388241,2507840,16431930,93672120.0,93672120.0,0.554,,,,,5671201.4,,
6/16/2017,SMM-W4,0.57,0.61,0.57,0.58,3.57,7688636,4528550,20346030,98200670.0,98200670.0,0.5660000000000001,0.5833333333333334,,,,6976037.6,,
6/19/2017,SMM-W4,0.58,0.63,0.58,0.59,1.72,12550450,7606590,25636670,105807260.0,105807260.0,0.5740000000000001,0.5783333333333335,,,,8645929.4,,
6/20/2017,SMM-W4,0.6,0.6,0.58,0.58,-1.69,2965060,1745860,17826860,59419520.0,107553120.0,0.5740000000000001,0.5716666666666668,,,,6015701.8,35.71428571428572,35.71428571428572
6/21/2017,SMM-W4,0.58,0.58,0.56,0.56,-3.45,1807552,1028600,17417440,53160200.0,108581720.0,0.5740000000000001,0.5666666666666668,,,,5879987.8,35.71428571428572,35.71428571428572
6/22/2017,SMM-W4,0.57,0.58,0.55,0.56,0.0,608635,343860,15253460,43273990.0,108925580.0,0.5740000000000001,0.5616666666666666,,,,5124066.6,28.57142857142857,33.333333333333336
6/23/2017,SMM-W4,0.58,0.58,0.55,0.56,0.0,570088,318990,11043900,36898380.0,109244570.0,0.5700000000000001,0.5608333333333335,,,,3700357.0,28.57142857142857,32.142857142857146
6/26/2017,SMM-W4,0.56,0.56,0.54,0.54,-3.57,990581,546800,3984110,34980330.0,109791370.0,0.56,0.5616666666666668,,,,1388383.2,28.57142857142857,31.428571428571434
