Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,SMPC,65.75,65.75,63.5,63.5,-2.31,4300,275000,10850000,24485000.0,74092000.0,63.5,,,,,4300.0,,,275000.0,0.0
1/6/2015,SMPC,64.0,64.0,63.75,64.0,0.79,2100,134000,7654000,18594000.0,66592000.0,63.75,,,,,3200.0,,,204500.0,0.0
1/7/2015,SMPC,65.0,65.0,64.0,64.75,1.17,63500,4077000,8381000,21319000.0,67369000.0,64.08333333333333,,,,,23300.0,,,1495333.333333333,0.0
1/8/2015,SMPC,64.75,65.0,64.25,64.25,-0.77,6700,433000,7921000,20954000.0,63757000.0,64.125,,,,,19150.0,,,1229750.0,0.0
1/9/2015,SMPC,64.5,65.0,64.5,65.0,1.17,3500,227000,5146000,18580000.0,60827000.0,64.3,,,,,16020.0,,,1029200.0,0.0
1/12/2015,SMPC,65.0,65.0,64.0,65.0,0.0,2700,174000,5045000,18130000.0,58534000.0,64.6,,,,,15700.0,,,1009000.0,0.0
1/13/2015,SMPC,65.0,65.0,64.5,64.5,-0.77,9500,616000,5527000,17852000.0,57098000.0,64.7,,,,,17180.0,,,1105400.0,0.0
1/14/2015,SMPC,65.0,65.25,64.25,64.25,-0.39,35300,2289000,3739000,19464000.0,56432000.0,64.6,,,,,11540.0,,,747800.0,0.0
1/15/2015,SMPC,64.0,65.0,64.0,64.0,-0.39,5500,352000,3658000,19152000.0,53547000.0,64.55,,,,,11300.0,,,731600.0,0.0
1/16/2015,SMPC,64.5,64.5,63.0,63.5,-0.78,38500,2445000,5876000,18267000.0,55107000.0,64.25,,,,,18300.0,,,1175200.0,0.0
1/19/2015,SMPC,63.5,64.0,63.0,63.5,0.0,54600,3455000,9157000,18372000.0,57150000.0,63.95,,,,,28680.0,,,1831400.0,0.0
