Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,SPACK,2.22,2.22,2.2,2.2,0.0,81000,179000,8208000,9304000.0,12316000.0,2.2,,,,,81000.0,,,179000.0,0.0
1/6/2015,SPACK,2.2,2.2,2.2,2.2,0.0,10000,22000,262000,8699000.0,12256000.0,2.2,,,,,45500.0,,,100500.0,0.0
1/8/2015,SPACK,2.28,2.28,2.28,2.28,0.0,500,1000,242000,8663000.0,11817000.0,2.2266666666666666,,,,,30500.0,,,67333.33333333331,0.0
1/9/2015,SPACK,2.26,2.26,2.24,2.24,-1.75,10401,23000,225000,8613000.0,11794000.0,2.23,,,,,25475.25,,,56250.0,0.0
1/12/2015,SPACK,2.22,2.24,2.2,2.2,-1.79,38100,84000,130000,8696000.0,11723000.0,2.224,,,,,28000.2,,,61800.0,0.0
1/13/2015,SPACK,2.2,2.2,2.2,2.2,0.0,11500,25000,133000,8695000.0,11010000.0,2.224,,,,,14100.2,,,31000.0,0.0
1/14/2015,SPACK,2.22,2.22,2.2,2.2,0.0,11900,26000,159000,8670000.0,11006000.0,2.224,,,,,14480.2,,,31800.0,0.0
1/15/2015,SPACK,2.2,2.22,2.2,2.22,0.91,57500,127000,285000,8516000.0,11112000.0,2.212,,,,,25880.2,,,57000.0,0.0
1/16/2015,SPACK,2.22,2.4,2.22,2.28,2.7,525200,1201000,1463000,1749000.0,11976000.0,2.22,,,,,128840.0,,,292600.0,0.0
1/19/2015,SPACK,2.28,2.3,2.24,2.3,0.88,16100,36000,1415000,1775000.0,11927000.0,2.24,,,,,124440.0,,,283000.0,0.0
1/20/2015,SPACK,2.32,2.32,2.26,2.26,-1.74,10100,23000,1413000,1787000.0,11943000.0,2.252,,,,,124160.0,,,282600.0,0.0
1/21/2015,SPACK,2.36,2.38,2.24,2.32,2.65,14200,33000,1420000,1780000.0,11946000.0,2.276,2.2416666666666667,,,,124620.0,,,284000.0,0.0
