Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,SPALI,24.1,24.3,23.9,24.1,0.0,6927346,166746000,1069489000,3929227000.0,8323670000.0,24.1,,,,,6927346.0,,
1/6/2015,SPALI,23.8,23.9,23.5,23.7,-1.66,7547692,178603000,947923000,3477111000.0,8387856000.0,23.9,,,,,7237519.0,,
1/7/2015,SPALI,23.8,23.9,23.5,23.7,0.0,12721068,301821000,1056257000,3269985000.0,8415796000.0,23.833333333333332,,,,,9065368.666666666,,
1/8/2015,SPALI,23.8,24.9,23.8,24.7,4.22,13161381,320298000,1197947000,3039301000.0,8550565000.0,24.05,,,,,10089371.75,,
1/9/2015,SPALI,24.9,25.0,24.6,24.7,0.0,5697501,141413000,1108881000,2911354000.0,8572102000.0,24.18,,,,,9210997.6,,
1/12/2015,SPALI,24.7,25.0,24.5,24.7,0.0,6714100,166174000,1108309000,2704999000.0,8524101000.0,24.3,,,,,9168348.4,,
1/13/2015,SPALI,24.7,24.9,24.5,24.6,-0.4,5741000,142095000,1071801000,2728993000.0,8482905000.0,24.48,,,,,8807010.0,,
1/14/2015,SPALI,24.5,24.8,23.8,24.0,-2.44,16656304,402488000,1172468000,2956223000.0,8801988000.0,24.54,,,,,9594057.2,,
1/15/2015,SPALI,23.9,24.1,23.4,23.7,-1.25,18104001,429093000,1281263000,3151474000.0,9125555000.0,24.34,,,,,10582581.2,,
1/16/2015,SPALI,23.6,23.8,23.5,23.7,0.0,4261100,100896000,1240746000,2952201000.0,8966342000.0,24.14,,,,,10295301.0,,
1/19/2015,SPALI,23.9,24.1,23.8,23.9,0.84,3267704,78202000,1152774000,2836916000.0,8826138000.0,23.98,,,,,9606021.8,,
1/20/2015,SPALI,24.0,24.0,23.4,23.5,-1.67,5581472,131898000,1142577000,2790206000.0,8881637000.0,23.76,24.08333333333333,,,,9574116.2,,
1/21/2015,SPALI,23.6,23.8,23.1,23.5,0.0,14909434,350302000,1090391000,2910029000.0,9043523000.0,23.66,24.03333333333333,,,,9224742.2,,
1/22/2015,SPALI,23.6,23.9,23.5,23.9,1.7,7426930,176474000,837772000,2919757000.0,8676517000.0,23.7,24.049999999999997,,,,7089328.0,21.42857142857143,21.42857142857143
1/23/2015,SPALI,24.0,24.9,24.0,24.8,3.77,18504875,453730000,1190606000,3194884000.0,8950110000.0,23.92,24.141666666666666,,,,9938083.0,28.57142857142857,25.0
1/26/2015,SPALI,24.8,24.8,24.4,24.5,-1.21,8244904,202609000,1315013000,3095672000.0,8830150000.0,24.04,24.125,,,,10933523.0,28.57142857142857,26.19047619047619
1/27/2015,SPALI,24.7,25.25,24.5,24.8,1.22,6378534,158601000,1341716000,2933975000.0,8635329000.0,24.3,24.133333333333336,,,,11092935.4,35.71428571428572,28.571428571428573
