Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,SPG,29.75,30.25,29.75,29.75,-6.3,2000,60000,212000,611000.0,3175000.0,29.75,,,,,2000.0,,,60000.0,0.0
1/6/2015,SPG,29.75,31.0,29.75,31.0,4.2,400,12000,112000,586000.0,3107000.0,30.375,,,,,1200.0,,,36000.0,0.0
1/7/2015,SPG,30.0,30.0,30.0,30.0,-3.23,800,24000,96000,606000.0,3045000.0,30.25,,,,,1066.6666666666667,,,32000.0,0.0
1/9/2015,SPG,30.0,31.0,29.5,30.5,1.67,2301,69000,165000,474000.0,3008000.0,30.3125,,,,,1375.25,,,41250.0,0.0
1/12/2015,SPG,29.75,29.75,29.75,29.75,-2.46,2200,65000,170000,536000.0,3053000.0,30.2,,,,,1540.2,,,46000.0,0.0
1/13/2015,SPG,30.0,30.0,30.0,30.0,0.84,100,3000,161000,533000.0,3030000.0,30.25,,,,,1160.2,,,34600.0,0.0
1/14/2015,SPG,30.0,30.0,29.0,29.75,-0.83,706,21000,158000,436000.0,3048000.0,30.0,,,,,1221.4,,,36400.0,0.0
1/15/2015,SPG,29.75,29.75,28.75,28.75,-3.36,1400,41000,199000,447000.0,2998000.0,29.75,,,,,1341.4,,,39800.0,0.0
1/19/2015,SPG,28.0,28.5,28.0,28.5,-0.87,2000,57000,122000,352000.0,3052000.0,29.35,,,,,1281.2,,,37400.0,0.0
1/20/2015,SPG,28.5,28.5,28.5,28.5,0.0,200,6000,125000,358000.0,3058000.0,29.1,,,,,881.2,,,25600.0,0.0
1/21/2015,SPG,28.5,28.5,27.5,28.0,-1.75,8400,231000,335000,589000.0,3262000.0,28.7,,,,,2541.2,,,71200.0,0.0
1/22/2015,SPG,27.5,27.5,27.0,27.0,-3.57,3600,98000,392000,627000.0,2986000.0,28.15,29.29166666666667,,,,3120.0,,,86600.0,0.0
1/23/2015,SPG,28.75,28.75,28.75,28.75,6.48,100,3000,395000,618000.0,2540000.0,28.15,29.20833333333333,,,,2860.0,,,79000.0,0.0
1/27/2015,SPG,28.5,29.0,28.5,29.0,0.87,1502,43000,375000,637000.0,1867000.0,28.25,29.04166666666667,,,,2760.4,35.714285714285715,35.714285714285715,76200.0,0.0
1/28/2015,SPG,28.75,28.75,28.75,28.75,-0.86,2000,58000,202000,626000.0,1367000.0,28.3,28.9375,,,,3120.4,35.714285714285715,35.714285714285715,86600.0,0.0
2/2/2015,SPG,27.75,27.75,27.75,27.75,-3.48,200,6000,107000,543000.0,1348000.0,28.25,28.70833333333333,,,,1480.4,28.57142857142857,33.333333333333336,41600.0,0.0
2/4/2015,SPG,29.0,29.0,29.0,29.0,4.5,800,23000,29000,525000.0,1334000.0,28.65,28.64583333333333,,,,920.4,35.714285714285715,33.92857142857143,26600.0,0.0
2/6/2015,SPG,28.75,28.75,28.75,28.75,-0.86,500,14000,43000,476000.0,1153000.0,28.65,28.54166666666667,,,,1000.4,28.57142857142857,32.857142857142854,28800.0,0.0
2/9/2015,SPG,27.0,29.0,27.0,29.0,0.87,1600,44000,81000,289000.0,1187000.0,28.65,28.47916666666667,,,,1020.0,35.714285714285715,32.85714285714286,29000.0,0.0
2/11/2015,SPG,29.0,29.0,29.0,29.0,0.0,300,9000,67000,197000.0,1187000.0,28.7,28.5,,,,680.0,28.57142857142857,31.428571428571434,19200.0,0.0
2/16/2015,SPG,28.0,29.0,28.0,29.0,0.0,700,20000,29000,116000.0,947000.0,28.95,28.54166666666667,,,,780.0,28.57142857142857,31.428571428571434,22000.0,0.0
2/17/2015,SPG,29.5,32.0,29.5,29.75,2.59,6800,208000,237000,324000.0,1115000.0,29.1,28.64583333333333,,,,1980.0,35.714285714285715,31.428571428571434,59000.0,0.0
2/18/2015,SPG,28.25,30.0,28.25,30.0,0.84,500,14000,242000,338000.0,1129000.0,29.35,28.8125,,,,1980.0,42.857142857142854,34.285714285714285,59000.0,0.0
2/19/2015,SPG,30.75,30.75,30.75,30.75,2.5,200,6000,248000,338000.0,1135000.0,29.7,29.125,,,,1700.0,50.0,37.142857142857146,51400.0,0.0
2/20/2015,SPG,30.0,31.0,29.0,30.0,-2.44,1200,36000,284000,374000.0,1111000.0,29.9,29.22916666666667,,,,1880.0,50.0,41.42857142857143,56800.0,0.0
2/23/2015,SPG,29.0,29.75,29.0,29.75,-0.83,300,9000,273000,360000.0,1108000.0,30.05,29.29166666666667,29.259615384615394,0.06623931623932222,0.06623931623932222,1800.0,50.0,45.714285714285715,54600.0,0.0
2/24/2015,SPG,29.75,29.75,29.75,29.75,0.0,100,3000,68000,363000.0,1087000.0,30.05,29.375,29.259615384615394,0.13675213675213982,0.10149572649573102,460.0,42.857142857142854,47.14285714285714,13600.0,0.0
2/26/2015,SPG,29.25,29.5,29.25,29.5,-0.84,601,18000,66000,323000.0,1036000.0,29.95,29.52083333333333,29.20192307692308,0.2936253561253537,0.1655389363722719,480.2,35.714285714285715,45.714285714285715,14400.0,0.0
2/27/2015,SPG,30.0,30.0,30.0,30.0,1.69,100,3000,33000,326000.0,974000.0,29.8,29.60416666666667,29.20192307692308,0.4040242165242205,0.22516025641025905,460.2,42.857142857142854,44.28571428571429,13800.0,0.0
3/2/2015,SPG,28.25,29.75,28.25,29.75,-0.83,400,12000,36000,329000.0,983000.0,29.75,29.6875,29.17307692307693,0.4813034188034173,0.2763888888888907,300.2,42.857142857142854,42.85714285714286,9000.0,0.0
3/5/2015,SPG,31.0,31.0,31.0,31.0,4.2,100,3000,36000,332000.0,924000.0,30.0,29.85416666666667,29.22115384615385,0.6775284900284895,0.39864672364672415,260.2,42.857142857142854,41.42857142857143,7800.0,0.0
3/6/2015,SPG,30.5,32.0,30.5,32.0,3.23,1300,40000,58000,352000.0,964000.0,30.45,30.10416666666667,29.29807692307693,0.8976139601139614,0.5508190883190884,500.2,50.0,42.85714285714286,15200.0,0.0
3/9/2015,SPG,29.75,29.75,29.5,29.5,-7.81,700,21000,76000,165000.0,928000.0,30.45,30.14583333333333,29.288461538461537,0.7423433048433026,0.6405626780626783,520.0,42.857142857142854,44.28571428571429,15800.0,0.0
3/10/2015,SPG,30.0,30.0,29.5,29.5,0.0,302,9000,73000,160000.0,931000.0,30.35,30.125,29.31730769230769,0.6980056980056943,0.6993589743589731,560.4,42.857142857142854,44.28571428571429,17000.0,0.0
3/11/2015,SPG,29.5,31.0,29.0,31.0,5.08,1701,50000,123000,204000.0,750000.0,30.6,30.20833333333333,29.413461538461537,0.7991452991452945,0.7629273504273485,820.6,50.0,45.714285714285715,24600.0,0.0
3/12/2015,SPG,29.0,29.0,29.0,29.0,-6.45,100,3000,123000,171000.0,655000.0,30.2,30.0625,29.43269230769231,0.4983974358974344,0.7271011396011374,820.6,42.857142857142854,45.714285714285715,24600.0,0.0
3/13/2015,SPG,28.5,28.5,28.0,28.0,-3.45,1104,31000,114000,193000.0,683000.0,29.4,29.89583333333333,29.43269230769231,0.2775997150997149,0.6030982905982881,781.4,35.714285714285715,42.85714285714286,22800.0,0.0
3/16/2015,SPG,28.0,28.0,28.0,28.0,0.0,100,3000,96000,193000.0,686000.0,29.1,29.75,29.47115384615385,0.11858974358974805,0.4783475783475773,661.4,28.57142857142857,40.0,19200.0,0.0
3/17/2015,SPG,29.0,29.0,29.0,29.0,3.57,101,3000,90000,196000.0,646000.0,29.0,29.6875,29.48076923076923,0.13657407407407265,0.3660612535612529,621.2,35.714285714285715,38.571428571428584,18000.0,0.0
3/20/2015,SPG,26.25,29.0,26.25,29.0,0.0,500,14000,20000,177000.0,602000.0,28.6,29.64583333333333,29.48076923076923,0.10131766381766384,0.22649572649572675,381.0,35.714285714285715,35.714285714285715,10800.0,0.0
3/27/2015,SPG,29.0,29.0,29.0,29.0,0.0,200,6000,6000,110000.0,565000.0,28.6,29.5625,29.490384615384606,0.02190170940171044,0.13119658119658198,401.0,35.714285714285715,34.285714285714285,11400.0,0.0
4/3/2015,SPG,37.5,37.5,28.0,28.0,-3.45,30400,980000,986000,1003000.0,1492000.0,28.6,29.41666666666667,29.5,-0.1901709401709404,0.03764245014245091,6260.2,35.714285714285715,34.285714285714285,201200.0,0.0
4/7/2015,SPG,26.75,26.75,21.2,24.3,-13.21,18000,432000,1412000,1432000.0,1924000.0,27.86000000000001,28.85833333333333,29.31923076923077,-0.7903846153846104,-0.14415242165242076,9840.2,28.57142857142857,34.285714285714285,287000.0,0.0
4/8/2015,SPG,24.7,26.0,24.4,25.25,3.91,3100,77000,1489000,1509000.0,1981000.0,27.11000000000001,28.29583333333333,29.18461538461539,-1.0659188034188034,-0.384650997150996,10440.0,35.714285714285715,34.285714285714285,301800.0,0.0
4/16/2015,SPG,25.0,25.0,25.0,25.0,-0.99,1700,42000,551000,1537000.0,1795000.0,26.31,27.92083333333333,29.03076923076923,-1.2607193732193736,-0.6570584045584035,10680.0,28.57142857142857,32.857142857142854,307400.0,0.0
4/17/2015,SPG,25.0,25.0,25.0,25.0,0.0,900,22000,141000,1559000.0,1781000.0,25.51,27.54583333333333,28.876923076923074,-1.435576923076919,-0.9485541310541292,10820.0,21.42857142857143,30.0,310600.0,0.0
4/20/2015,SPG,27.0,30.0,25.5,25.5,2.0,109500,3276000,3340000,4835000.0,5048000.0,25.01,27.0875,28.74230769230769,-1.6588675213675153,-1.2422934472934444,26640.0,28.57142857142857,28.57142857142857,769800.0,0.0
4/21/2015,SPG,28.25,28.5,26.0,27.5,7.84,3200,88000,3428000,4923000.0,5133000.0,25.65,26.9625,28.65576923076923,-1.52496438746439,-1.3892094017094003,23680.0,35.714285714285715,30.0,701000.0,0.0
4/23/2015,SPG,25.5,25.5,25.5,25.5,-7.27,2000,51000,3437000,4968000.0,5166000.0,25.7,26.754166666666666,28.482692307692307,-1.7005341880341869,-1.516132478632477,23460.0,28.57142857142857,28.57142857142857,695800.0,0.0
4/24/2015,SPG,25.5,25.5,25.0,25.0,-1.96,1100,28000,3443000,4996000.0,5191000.0,25.7,26.504166666666666,28.261538461538464,-1.747186609686608,-1.6134259259259238,23340.0,28.57142857142857,28.57142857142857,693000.0,0.0
4/27/2015,SPG,25.0,25.0,25.0,25.0,0.0,1200,30000,197000,5026000.0,5209000.0,25.7,26.17083333333333,28.06923076923077,-1.851175213675212,-1.6965455840455823,23400.0,28.57142857142857,30.0,694600.0,0.0
4/29/2015,SPG,24.8,24.8,24.8,24.8,-0.8,500,12000,121000,3626000.0,5218000.0,25.56,25.820833333333336,27.87884615384615,-1.9870014245014147,-1.7621723646723624,1600.0,28.57142857142857,30.0,41800.0,0.0
4/30/2015,SPG,24.8,24.8,24.8,24.8,0.0,100,2000,72000,3551000.0,5180000.0,25.02,25.47083333333333,27.68846153846153,-2.106873219373213,-1.878554131054127,980.0,21.42857142857143,27.142857142857146,24600.0,0.0
5/6/2015,SPG,24.7,27.0,24.7,27.0,8.87,9000,242000,286000,3793000.0,5401000.0,25.32,25.38750000000001,27.592307692307692,-1.912856125356118,-1.9210185185185131,2380.0,28.57142857142857,27.142857142857146,62800.0,2.0
5/13/2015,SPG,26.75,26.75,26.75,26.75,-0.93,100,3000,3000,368000.0,5308000.0,25.67,25.59166666666667,27.467307692307692,-1.6443019943019868,-1.900441595441589,2180.0,28.57142857142857,27.142857142857146,57800.0,0.0
5/14/2015,SPG,26.75,26.75,26.75,26.75,0.0,6500,174000,177000,542000.0,5479000.0,26.02,25.71666666666667,27.35192307692307,-1.4316951566951488,-1.8165455840455764,3240.0,28.57142857142857,27.142857142857146,86600.0,2.0
5/15/2015,SPG,26.75,26.75,26.75,26.75,0.0,100,3000,180000,494000.0,5482000.0,26.410000000000004,25.8625,27.18846153846153,-1.1569444444444343,-1.6505341880341802,3160.0,28.57142857142857,27.142857142857146,84800.0,0.0
5/20/2015,SPG,26.75,26.75,26.75,26.75,0.0,100,3000,180000,439000.0,5471000.0,26.8,26.008333333333336,26.986538461538448,-0.8465811965811838,-1.3984757834757744,3160.0,21.42857142857143,27.142857142857146,85000.0,0.0
5/26/2015,SPG,26.5,26.75,26.5,26.75,0.0,600,16000,19000,199000.0,5481000.0,26.75,26.1125,26.88076923076923,-0.6605056980056929,-1.1480056980056894,1480.0,21.42857142857143,25.71428571428571,39800.0,0.0
5/28/2015,SPG,25.0,26.0,25.0,26.0,-2.8,1200,31000,47000,230000.0,5512000.0,26.6,25.9875,26.74615384615385,-0.7014601139601169,-0.9594373219373152,1700.0,21.42857142857143,24.285714285714285,45400.0,0.0
6/2/2015,SPG,25.0,25.0,25.0,25.0,-3.85,1000,25000,72000,252000.0,4557000.0,26.25,25.945833333333336,26.515384615384626,-0.6028133903133899,-0.7936609686609636,600.0,14.285714285714292,21.42857142857143,15600.0,2.0
6/3/2015,SPG,24.0,24.0,24.0,24.0,-4.0,300,7000,63000,85000.0,4132000.0,25.7,25.8625,26.323076923076925,-0.5750356125356113,-0.6772792022791989,640.0,7.142857142857139,17.142857142857142,16400.0,0.0
6/11/2015,SPG,26.0,26.0,26.0,26.0,8.33,101,3000,3000,82000.0,718000.0,25.55,25.945833333333336,26.24615384615385,-0.27375356125356376,-0.5627136752136751,640.2,14.285714285714292,15.714285714285715,16400.0,0.0
6/12/2015,SPG,25.0,25.0,25.0,25.0,-3.85,600,15000,18000,97000.0,645000.0,25.2,25.9625,26.13076923076924,-0.2325854700854748,-0.4771296296296314,640.2,14.285714285714292,14.285714285714288,16200.0,0.0
6/15/2015,SPG,24.5,24.5,24.5,24.5,-2.0,400,10000,28000,91000.0,655000.0,24.9,25.9375,25.95769230769231,-0.13336894586894846,-0.3635113960113977,480.2,14.285714285714292,12.857142857142858,12000.0,0.0
6/16/2015,SPG,26.0,26.0,26.0,26.0,6.12,100,3000,31000,94000.0,607000.0,25.1,25.85416666666667,25.842307692307696,0.022613960113957887,-0.2384259259259281,300.2,21.42857142857143,14.285714285714288,7600.0,0.0
7/2/2015,SPG,25.0,25.0,25.0,25.0,-3.85,100,2000,2000,15000.0,292000.0,25.3,25.70833333333333,25.688461538461546,-0.038105413105416375,-0.1310398860398891,260.2,21.42857142857143,17.142857142857142,6600.0,0.0
7/6/2015,SPG,25.0,25.0,25.0,25.0,0.0,500,12000,14000,14000.0,127000.0,25.1,25.5625,25.573076923076925,-0.05466524216524249,-0.08722222222222484,340.0,14.285714285714292,17.142857142857142,8400.0,2.0
7/13/2015,SPG,29.25,29.25,29.25,29.25,17.0,100,3000,3000,17000.0,127000.0,25.95,25.77083333333333,25.763461538461538,0.2843660968660941,0.016168091168088948,240.0,21.42857142857143,18.571428571428573,6000.0,0.0
7/22/2015,SPG,22.7,22.7,22.7,22.7,-22.39,100,2000,2000,17000.0,50000.0,25.59,25.43333333333333,25.665384615384607,-0.4329059829059858,-0.043739316239318524,180.0,21.42857142857143,20.000000000000004,4400.0,0.0
7/27/2015,SPG,23.2,23.2,23.1,23.1,1.76,1400,32000,34000,37000.0,82000.0,25.01,25.129166666666666,25.592307692307696,-0.5907051282051299,-0.16640313390313607,440.0,28.57142857142857,21.42857142857143,10200.0,0.0
8/4/2015,SPG,21.3,21.9,21.2,21.9,-5.19,3700,79000,79000,113000.0,133000.0,24.390000000000004,24.7875,25.473076923076924,-0.8651353276353326,-0.3318091168091193,1160.0,28.57142857142857,22.857142857142854,25600.0,0.0
8/5/2015,SPG,21.9,21.9,21.9,21.9,0.0,100,2000,81000,115000.0,132000.0,23.770000000000003,24.529166666666665,25.334615384615393,-0.9555199430199472,-0.5119800569800603,1080.0,28.57142857142857,25.71428571428571,23600.0,0.0
8/7/2015,SPG,25.25,25.25,22.0,22.0,0.46,2900,67000,148000,182000.0,199000.0,22.32,24.3625,25.12307692307693,-0.8926994301994321,-0.7473931623931656,1640.0,35.714285714285715,28.57142857142857,36400.0,0.0
8/10/2015,SPG,23.2,23.3,23.0,23.0,4.55,400,9000,157000,191000.0,208000.0,22.38000000000001,24.1125,25.02692307692308,-0.9354344729344746,-0.8478988603988633,1700.0,42.857142857142854,32.857142857142854,37800.0,0.0
8/11/2015,SPG,23.0,23.1,22.9,22.9,-0.43,800,18000,96000,207000.0,226000.0,22.34,23.9375,24.94615384615385,-1.0167022792022813,-0.9330982905982936,1580.0,42.857142857142854,35.714285714285715,35000.0,0.0
8/13/2015,SPG,22.7,22.7,22.7,22.7,-0.87,100,2000,96000,209000.0,228000.0,22.500000000000004,23.7875,24.857692307692307,-1.0776709401709432,-0.9756054131054156,860.0,35.714285714285715,37.142857142857146,19600.0,0.0
8/14/2015,SPG,27.0,27.0,26.0,26.0,14.54,1400,37000,133000,246000.0,265000.0,23.32,23.787500000000005,24.903846153846153,-0.8571581196581164,-0.9559330484330496,1120.0,42.857142857142854,40.00000000000001,26600.0,2.0
8/17/2015,SPG,24.0,24.0,24.0,24.0,-7.69,200,5000,71000,219000.0,270000.0,23.72,23.70416666666667,24.87307692307692,-1.0587250712250622,-0.9891381766381756,580.0,42.857142857142854,41.42857142857143,14200.0,0.0
