Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,SPWPF,9.35,9.35,9.35,9.35,0.54,156400,1462000,3977000,16017000.0,23989000.0,9.35,,,,,156400.0,,,1462000.0,0.0
1/7/2015,SPWPF,9.35,9.35,9.35,9.35,0.0,110000,1028000,4582000,14083000.0,24786000.0,9.35,,,,,133200.0,,,1245000.0,0.0
1/9/2015,SPWPF,9.4,9.4,9.35,9.35,0.0,310000,2911000,5401000,15065000.0,27202000.0,9.35,,,,,192133.33333333328,,,1800333.333333333,0.0
1/12/2015,SPWPF,9.4,9.45,9.4,9.45,1.07,16000,151000,4090000,8778000.0,27241000.0,9.375,,,,,148100.0,,,1388000.0,0.0
1/14/2015,SPWPF,9.4,9.4,9.4,9.4,-0.53,20000,188000,3250000,8450000.0,27114000.0,9.38,,,,,122480.0,,,1148000.0,0.0
1/15/2015,SPWPF,9.4,9.4,9.4,9.4,0.0,10000,94000,3344000,8349000.0,26728000.0,9.39,,,,,93200.0,,,874400.0,0.0
1/16/2015,SPWPF,9.4,9.4,9.4,9.4,0.0,5000,47000,480000,8240000.0,25417000.0,9.4,,,,,72200.0,,,678200.0,0.0
1/19/2015,SPWPF,9.4,9.4,9.4,9.4,0.0,50300,473000,802000,8446000.0,25859000.0,9.41,,,,,20260.0,,,190600.0,0.0
1/20/2015,SPWPF,9.45,9.45,9.4,9.4,0.0,125000,1176000,1978000,9576000.0,27015000.0,9.4,,,,,42060.0,,,395600.0,0.0
1/21/2015,SPWPF,9.4,9.4,9.4,9.4,0.0,179500,1687000,3477000,9217000.0,28417000.0,9.4,,,,,73960.0,,,695400.0,0.0
1/22/2015,SPWPF,9.45,9.5,9.4,9.4,0.0,226900,2143000,5526000,9898000.0,29830000.0,9.4,,,,,117340.0,,,1105200.0,0.0
1/23/2015,SPWPF,9.45,9.75,9.45,9.75,3.72,226700,2147000,7626000,12045000.0,31548000.0,9.47,9.420833333333336,,,,161680.0,,,1525200.0,0.0
1/26/2015,SPWPF,9.6,9.6,9.45,9.45,-3.08,139902,1327000,8480000,12344000.0,32811000.0,9.48,9.429166666666667,,,,179600.4,,,1696000.0,0.0
