Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
12/26/2017,SSTRT,7.25,7.25,7.0,7.0,-0.28,431900,3080140,3080140,3080140.0,3080140.0,7.0,,,,,431900.0,,,3080140.0,0.0
12/27/2017,SSTRT,7.15,7.15,7.05,7.1,1.43,12200,86660,3166800,3166800.0,3166800.0,7.05,,,,,222050.0,,,1583400.0,0.0
12/28/2017,SSTRT,7.1,7.1,7.05,7.1,0.0,101600,720200,3887000,3887000.0,3887000.0,7.066666666666666,,,,,181900.0,,,1295666.666666667,0.0
12/29/2017,SSTRT,7.1,7.15,7.1,7.1,0.0,105001,745520,4632520,4632520.0,4632520.0,7.0749999999999975,,,,,162675.25,,,1158130.0,0.0
1/3/2018,SSTRT,7.1,7.15,7.05,7.05,-0.7,213700,1508710,6141230,6141230.0,6141230.0,7.0699999999999985,,,,,172880.2,,,1228246.0,0.0
1/4/2018,SSTRT,7.05,7.05,7.0,7.05,0.0,55400,388820,3449910,6530050.0,6530050.0,7.08,,,,,97580.2,,,689982.0,0.0
1/5/2018,SSTRT,7.0,7.05,7.0,7.0,-0.71,219200,1534400,4897650,8064450.0,8064450.0,7.06,,,,,138980.2,,,979530.0,0.0
1/8/2018,SSTRT,7.0,7.0,7.0,7.0,0.0,87200,610400,4787850,8674850.0,8674850.0,7.040000000000001,,,,,136100.2,,,957570.0,0.0
1/9/2018,SSTRT,7.0,7.05,7.0,7.05,0.71,26800,188200,4230530,8863050.0,8863050.0,7.029999999999999,,,,,120460.0,,,846106.0,0.0
1/10/2018,SSTRT,7.05,7.05,7.05,7.05,0.0,4200,29610,2751430,8892660.0,8892660.0,7.029999999999999,,,,,78560.0,,,550286.0,0.0
1/12/2018,SSTRT,7.05,7.05,7.0,7.0,0.0,54500,381510,2744120,9274170.0,9274170.0,7.0200000000000005,,,,,78380.0,,,548824.0,0.0
1/15/2018,SSTRT,7.0,7.0,7.0,7.0,0.0,137700,963900,2173620,10238070.0,10238070.0,7.0200000000000005,7.041666666666665,,,,62080.0,,,434724.0,0.0
1/16/2018,SSTRT,7.0,7.0,7.0,7.0,0.0,5000,35000,1598220,10273070.0,10273070.0,7.0200000000000005,7.041666666666668,,,,45640.0,,,319644.0,0.0
1/17/2018,SSTRT,7.0,7.05,7.0,7.0,0.0,86000,602400,2012420,7795330.0,10875470.0,7.01,7.033333333333332,,,,57480.0,14.285714285714292,14.285714285714292,402484.0,0.0
1/18/2018,SSTRT,7.0,7.0,6.95,6.95,-0.71,83000,578260,2561070,8286930.0,11453730.0,6.99,7.020833333333332,,,,73240.0,14.285714285714292,14.285714285714292,512214.0,0.0
1/19/2018,SSTRT,7.0,7.0,7.0,7.0,0.72,5500,38500,2218060,7605230.0,11492230.0,6.99,7.0124999999999975,,,,63440.0,14.285714285714292,14.285714285714292,443612.0,0.0
1/22/2018,SSTRT,7.0,7.0,7.0,7.0,0.0,2300,16100,1270260,6875810.0,11508330.0,6.99,7.008333333333333,,,,36360.0,14.285714285714292,14.285714285714292,254052.0,0.0
1/23/2018,SSTRT,7.0,7.0,6.95,6.95,-0.71,20200,141390,1376650,5508490.0,11649720.0,6.98,7.000000000000001,,,,39400.0,14.285714285714292,14.285714285714292,275330.0,0.0
1/24/2018,SSTRT,7.0,7.0,7.0,7.0,0.72,10200,71400,845650,5191070.0,11721120.0,6.98,7.000000000000001,,,,24240.0,21.42857142857143,15.714285714285722,169130.0,0.0
1/25/2018,SSTRT,6.95,6.95,6.95,6.95,-0.71,21200,147340,414730,3804010.0,11868460.0,6.98,6.995833333333334,,,,11880.0,21.42857142857143,17.142857142857142,82946.0,0.0
1/26/2018,SSTRT,6.95,6.95,6.9,6.95,0.0,45000,311000,687230,3504610.0,12179460.0,6.9700000000000015,6.9875000000000025,,,,19780.0,21.42857142857143,18.571428571428573,137446.0,0.0
1/30/2018,SSTRT,6.95,6.95,6.9,6.9,-0.72,10000,69300,599040,3356100.0,12248760.0,6.95,6.975000000000001,,,,21320.0,21.42857142857143,20.000000000000004,148086.0,0.0
1/31/2018,SSTRT,7.0,7.0,7.0,7.0,1.45,10200,71400,599040,3045990.0,12320160.0,6.959999999999999,6.975000000000001,,,,19320.0,21.42857142857143,21.42857142857143,134088.0,0.0
2/2/2018,SSTRT,7.0,7.0,7.0,7.0,0.0,5000,35000,175700,2082090.0,12355160.0,6.959999999999999,6.975000000000001,,,,18280.0,21.42857142857143,21.42857142857143,126808.0,0.0
2/7/2018,SSTRT,7.0,7.0,6.95,6.95,-0.71,6600,46040,81040,908970.0,12401200.0,6.960000000000001,6.970833333333334,,,,15360.0,21.42857142857143,21.42857142857143,106548.0,0.0
2/8/2018,SSTRT,6.95,6.95,6.95,6.95,0.0,4000,27800,108840,920670.0,12429000.0,6.959999999999999,6.966666666666668,7.003846153846152,-0.03575498575498326,-0.03575498575498326,7160.0,21.42857142857143,21.42857142857143,49908.0,0.0
2/13/2018,SSTRT,6.95,6.95,6.95,6.95,0.0,200,1390,75230,561930.0,12430390.0,6.9700000000000015,6.966666666666668,7.001923076923076,-0.03397435897435752,-0.03486467236467039,5200.0,21.42857142857143,21.42857142857143,36326.0,0.0
2/14/2018,SSTRT,6.95,7.0,6.9,7.0,0.72,5200,35900,65090,286830.0,12466290.0,6.969999999999999,6.966666666666668,6.998076923076923,-0.026424501424499702,-0.03205128205128016,4200.0,28.57142857142857,22.857142857142854,29226.0,2.0
2/15/2018,SSTRT,6.95,7.0,6.95,7.0,0.0,8100,56700,93990,343530.0,9442850.0,6.9700000000000015,6.966666666666668,6.994230769230768,-0.02286324786324645,-0.02975427350427173,4820.0,28.57142857142857,24.285714285714285,33566.0,2.0
2/16/2018,SSTRT,7.0,7.0,7.0,7.0,0.0,200,1400,95390,275630.0,9357590.0,6.98,6.970833333333334,6.990384615384612,-0.015776353276351074,-0.026958689458687603,3540.0,21.42857142857143,24.285714285714285,24638.0,0.0
2/19/2018,SSTRT,6.95,6.95,6.95,6.95,-0.71,8000,55600,150990,259830.0,8692990.0,6.98,6.966666666666668,6.98653846153846,-0.019729344729343627,-0.02375356125355968,4340.0,21.42857142857143,24.285714285714285,30198.0,2.0
2/20/2018,SSTRT,6.95,6.95,6.95,6.95,0.0,27000,187650,337250,447480.0,8135120.0,6.98,6.966666666666669,6.982692307692307,-0.016168091168090367,-0.020192307692306243,9700.0,21.42857142857143,24.285714285714285,67450.0,2.0
2/21/2018,SSTRT,6.95,6.95,6.9,6.9,-0.72,12200,84290,385640,496770.0,6710700.0,6.959999999999999,6.962500000000001,6.9788461538461535,-0.020121082621081143,-0.01893162393162253,11100.0,14.285714285714292,21.42857142857143,77128.0,0.0
2/22/2018,SSTRT,6.9,6.9,6.9,6.9,0.0,23200,160080,489020,656850.0,6481960.0,6.94,6.962500000000001,6.975,-0.01655982905982789,-0.017670940170938818,14120.0,14.285714285714292,18.571428571428573,97804.0,2.0
2/23/2018,SSTRT,6.9,6.9,6.9,6.9,0.0,10000,69000,556620,725850.0,5016560.0,6.92,6.954166666666668,6.96923076923077,-0.018269230769230482,-0.0181695156695147,16080.0,14.285714285714292,17.142857142857142,111324.0,0.0
2/26/2018,SSTRT,6.9,6.9,6.9,6.9,0.0,22100,152490,653510,832300.0,4558650.0,6.9099999999999975,6.945833333333336,6.963461538461537,-0.019978632478631297,-0.01821937321937224,18900.0,14.285714285714292,15.714285714285722,130702.0,0.0
2/28/2018,SSTRT,6.9,6.9,6.9,6.9,0.0,53900,371910,753480,1176410.0,4712750.0,6.9,6.941666666666667,6.959615384615384,-0.019943019943020168,-0.0189743589743582,24280.0,7.142857142857139,12.857142857142858,167554.0,0.0
3/2/2018,SSTRT,6.9,6.95,6.9,6.95,0.72,6000,41450,634850,1217860.0,4372690.0,6.910000000000001,6.941666666666667,6.957692307692309,-0.014173789173789862,-0.01778490028489994,23040.0,14.285714285714292,12.857142857142858,158986.0,0.0
3/5/2018,SSTRT,6.9,6.95,6.85,6.95,0.0,23900,163880,729730,1380350.0,3572670.0,6.92,6.941666666666666,6.955769230769231,-0.012393162393163236,-0.01695156695156701,23180.0,14.285714285714292,12.857142857142858,159746.0,2.0
3/6/2018,SSTRT,6.95,6.95,6.95,6.95,0.0,4000,27800,605040,1372250.0,3565470.0,6.93,6.9375,6.953846153846152,-0.014138176638177846,-0.016125356125356486,21980.0,14.285714285714292,12.857142857142858,151506.0,0.0
3/7/2018,SSTRT,6.95,6.95,6.95,6.95,0.0,200,1390,606430,1316940.0,2964460.0,6.94,6.933333333333334,6.953846153846152,-0.0176638176638173,-0.015662393162393685,17600.0,14.285714285714292,12.857142857142858,121286.0,0.0
3/8/2018,SSTRT,6.95,6.95,6.95,6.95,0.0,1400,9730,244250,1325270.0,2395930.0,6.95,6.929166666666667,6.951923076923076,-0.019408831908831026,-0.015555555555555857,7100.0,7.142857142857139,12.857142857142858,48850.0,0.0
3/9/2018,SSTRT,6.95,6.95,6.9,6.9,-0.72,82000,567650,770450,1837320.0,2925080.0,6.94,6.9250000000000025,6.948076923076923,-0.0233618233618218,-0.017393162393162243,22300.0,7.142857142857139,11.428571428571427,154090.0,0.0
3/13/2018,SSTRT,6.6,6.85,6.6,6.7,-3.6,185100,1241220,1847790,2890890.0,4150200.0,6.8900000000000015,6.904166666666669,6.938461538461538,-0.04804131054130778,-0.024522792022791152,54540.0,7.142857142857139,10.0,369558.0,0.0
3/14/2018,SSTRT,6.7,6.7,6.7,6.7,0.0,12400,83080,1903070,2889680.0,4091890.0,6.8400000000000025,6.887500000000002,6.9269230769230745,-0.0514601139601103,-0.031987179487177636,56220.0,7.142857142857139,8.571428571428571,380614.0,0.0
3/15/2018,SSTRT,6.7,6.8,6.7,6.8,1.49,21100,141500,2043180,2871100.0,4161990.0,6.81,6.879166666666667,6.921153846153848,-0.0451923076923082,-0.03749287749287582,60400.0,14.285714285714292,8.571428571428571,408636.0,0.0
3/20/2018,SSTRT,6.8,6.8,6.8,6.8,0.0,200,1360,225940,2650970.0,3705010.0,6.779999999999999,6.870833333333334,6.915384615384616,-0.0469017094017099,-0.0429914529914516,60160.0,14.285714285714292,10.0,406962.0,0.0
3/21/2018,SSTRT,6.8,6.8,6.8,6.8,0.0,4200,28560,171420,2307620.0,3664270.0,6.76,6.8625000000000025,6.911538461538464,-0.05039173789174002,-0.04839743589743524,44600.0,14.285714285714292,11.428571428571427,299144.0,0.0
3/22/2018,SSTRT,6.8,6.8,6.7,6.7,-1.47,6000,40350,70270,2306520.0,3633220.0,6.7600000000000025,6.845833333333334,6.900000000000001,-0.061787749287749875,-0.05114672364672367,8780.0,14.285714285714292,12.857142857142858,58970.0,0.0
3/26/2018,SSTRT,6.7,6.7,6.7,6.7,0.0,2200,14740,85010,2129580.0,3612960.0,6.76,6.825,6.88846153846154,-0.06873219373219452,-0.054601139601140505,6740.0,14.285714285714292,14.285714285714292,45302.0,0.0
3/27/2018,SSTRT,6.7,6.8,6.7,6.8,1.49,34400,230520,314170,2358710.0,3843480.0,6.76,6.8125,6.8826923076923086,-0.065990028490031,-0.058760683760685065,9400.0,21.42857142857143,15.714285714285722,63106.0,0.0
3/28/2018,SSTRT,6.8,6.8,6.7,6.7,-1.47,1300,8760,294370,2357740.0,3852240.0,6.74,6.791666666666668,6.873076923076924,-0.08269230769230873,-0.06591880341880482,9620.0,14.285714285714292,15.714285714285722,64586.0,0.0
3/29/2018,SSTRT,6.7,6.75,6.65,6.75,0.75,46600,310780,564800,2100870.0,4116980.0,6.73,6.775,6.865384615384617,-0.0856837606837626,-0.07297720797720934,18100.0,21.42857142857143,17.142857142857142,121030.0,0.0
3/30/2018,SSTRT,6.7,6.75,6.7,6.7,-0.74,24400,164460,729260,1024110.0,4253640.0,6.73,6.754166666666666,6.8538461538461535,-0.09661680911680914,-0.07994301994302119,21780.0,21.42857142857143,18.571428571428573,145852.0,0.0
4/2/2018,SSTRT,6.75,6.75,6.75,6.75,0.75,40000,270000,984520,1211030.0,4523640.0,6.74,6.741666666666667,6.8442307692307685,-0.09430199430199336,-0.08505698005698098,29340.0,28.57142857142857,21.42857142857143,196904.0,0.0
4/4/2018,SSTRT,6.7,6.7,6.65,6.7,0.0,34100,228100,982100,1297630.0,4751740.0,6.7200000000000015,6.741666666666667,6.832692307692307,-0.08760683760683641,-0.08938034188034205,29280.0,28.57142857142857,22.857142857142854,196420.0,2.0
4/5/2018,SSTRT,6.7,6.75,6.7,6.75,0.75,30500,204420,1177760,1502050.0,4954770.0,6.73,6.745833333333334,6.8249999999999975,-0.07297008547008499,-0.0874358974358973,35120.0,35.714285714285715,27.142857142857146,235552.0,0.0
4/9/2018,SSTRT,6.65,6.7,6.65,6.7,-0.74,18200,121640,988620,1623690.0,5040510.0,6.7200000000000015,6.7375000000000025,6.815384615384616,-0.07510683760683713,-0.0853205128205122,29440.0,35.714285714285715,30.0,197724.0,0.0
4/10/2018,SSTRT,6.7,6.7,6.7,6.7,0.0,5000,33500,857660,1655830.0,5017310.0,6.7200000000000015,6.729166666666668,6.807692307692308,-0.07503561253561042,-0.08100427350427246,25560.0,35.714285714285715,32.85714285714286,171532.0,0.0
4/11/2018,SSTRT,6.7,6.7,6.65,6.7,0.0,19600,130620,718280,1757890.0,5146530.0,6.709999999999999,6.720833333333334,6.799999999999998,-0.0749643874643855,-0.07713675213675089,21480.0,28.57142857142857,32.857142857142854,143656.0,0.0
4/12/2018,SSTRT,6.7,6.7,6.7,6.7,0.0,20100,134670,624850,1852210.0,5225600.0,6.709999999999999,6.720833333333334,6.7923076923076895,-0.06784188034187721,-0.07318376068375905,18680.0,28.57142857142857,32.857142857142854,124970.0,2.0
4/18/2018,SSTRT,6.7,6.7,6.7,6.7,0.0,200,1340,300130,1838810.0,4955000.0,6.7,6.720833333333335,6.784615384615383,-0.06071937321936983,-0.07073361823361601,12620.0,28.57142857142857,31.428571428571434,84354.0,0.0
4/20/2018,SSTRT,6.65,6.7,6.65,6.7,0.0,20100,133670,269680,1733200.0,4859590.0,6.7,6.712500000000001,6.776923076923075,-0.0606481481481449,-0.06784188034187758,13000.0,28.57142857142857,30.0,86760.0,2.0
4/23/2018,SSTRT,6.7,6.7,6.45,6.7,0.0,89000,587560,722570,2009980.0,5294660.0,6.7,6.712500000000001,6.76730769230769,-0.05174501424501088,-0.06318376068375768,29800.0,28.57142857142857,28.57142857142857,197572.0,2.0
4/24/2018,SSTRT,6.6,6.7,6.5,6.6,-1.49,111800,730600,1453170,2576120.0,6025260.0,6.68,6.7,6.753846153846152,-0.057834757834755564,-0.059757834757831675,48240.0,21.42857142857143,27.142857142857146,317568.0,2.0
4/25/2018,SSTRT,6.6,6.6,6.45,6.6,0.0,95500,616400,2068230,2922520.0,6269750.0,6.660000000000001,6.691666666666666,6.740384615384612,-0.05242165242165076,-0.056673789173786376,63320.0,21.42857142857143,25.71428571428571,413914.0,2.0
4/27/2018,SSTRT,6.55,6.55,6.55,6.55,-0.76,5000,32750,1967310,2522750.0,6097170.0,6.63,6.675,6.724999999999999,-0.05626780626780459,-0.055783475783473334,64280.0,14.285714285714292,22.857142857142854,420196.0,0.0
4/30/2018,SSTRT,6.6,6.6,6.6,6.6,0.76,29100,192060,1571810,2593170.0,6261430.0,6.609999999999999,6.666666666666668,6.711538461538463,-0.046866096866096114,-0.05302706552706358,66080.0,21.42857142857143,21.42857142857143,431874.0,0.0
5/2/2018,SSTRT,6.65,6.65,6.55,6.55,-0.76,20400,133640,974850,2693310.0,6393680.0,6.58,6.65,6.698076923076924,-0.052492877492878336,-0.05317663817663707,52360.0,14.285714285714292,18.571428571428573,341090.0,0.0
5/3/2018,SSTRT,6.55,6.55,6.5,6.55,0.0,40600,264500,622950,2827190.0,6648450.0,6.57,6.6374999999999975,6.6923076923076925,-0.057727920227922176,-0.053155270655270384,38120.0,14.285714285714292,17.142857142857142,247870.0,0.0
5/7/2018,SSTRT,6.5,6.55,6.45,6.55,0.0,59100,382600,972800,3075120.0,5222180.0,6.56,6.625,6.686538461538462,-0.06296296296296422,-0.05526353276353309,30840.0,7.142857142857139,14.285714285714288,201110.0,0.0
5/8/2018,SSTRT,6.5,6.55,6.45,6.55,0.0,3100,20100,800840,3093880.0,5159200.0,6.56,6.6125,6.67692307692308,-0.0646367521367548,-0.05693732193732313,30460.0,7.142857142857139,12.857142857142858,198580.0,0.0
5/9/2018,SSTRT,6.45,6.45,6.45,6.45,-1.53,3300,21280,688480,3115160.0,5038980.0,6.529999999999999,6.591666666666666,6.663461538461541,-0.07777777777778105,-0.06311965811966011,25300.0,7.142857142857139,10.0,164424.0,0.0
5/10/2018,SSTRT,6.45,6.5,6.45,6.45,0.0,45200,291550,715530,3273040.0,5330530.0,6.51,6.570833333333333,6.650000000000001,-0.0829415954415973,-0.0692094017094039,30260.0,7.142857142857139,8.571428571428571,196006.0,0.0
5/11/2018,SSTRT,6.45,6.5,6.45,6.5,0.78,21000,136150,851680,2821630.0,5466680.0,6.5,6.554166666666666,6.642307692307693,-0.08593304843305027,-0.07485042735042953,26340.0,14.285714285714292,8.571428571428571,170336.0,0.0
5/14/2018,SSTRT,6.55,6.55,6.45,6.45,-0.77,3100,20000,489080,2111030.0,5485320.0,6.48,6.533333333333332,6.632692307692308,-0.09864672364672432,-0.08198717948718155,15140.0,14.285714285714292,10.0,97816.0,0.0
5/15/2018,SSTRT,6.5,6.5,6.45,6.5,0.78,55100,357080,826060,1851710.0,5813840.0,6.469999999999999,6.525,6.6211538461538435,-0.0910256410256407,-0.08726495726495873,25540.0,21.42857142857143,12.857142857142858,165212.0,0.0
5/16/2018,SSTRT,6.45,6.45,6.4,6.4,-1.54,55800,358640,1163420,2210350.0,6132130.0,6.459999999999999,6.508333333333334,6.609615384615383,-0.10242165242165058,-0.09219373219373264,36040.0,21.42857142857143,15.714285714285715,232684.0,0.0
5/17/2018,SSTRT,6.4,6.4,6.35,6.4,0.0,68000,435120,1306990,2612720.0,6567250.0,6.45,6.495833333333335,6.596153846153845,-0.10053418803418612,-0.0957122507122504,40600.0,21.42857142857143,18.571428571428573,261398.0,0.0
5/18/2018,SSTRT,6.4,6.4,6.4,6.4,0.0,1001,6410,1177250,2427070.0,6558920.0,6.43,6.479166666666668,6.584615384615384,-0.10395299145299043,-0.09931623931623842,36600.2,21.42857142857143,20.000000000000004,235450.0,0.0
5/21/2018,SSTRT,6.5,6.5,6.5,6.5,1.56,100,650,1157900,2294080.0,6329050.0,6.44,6.4750000000000005,6.5749999999999975,-0.0905982905982894,-0.09770655270655144,36000.2,28.57142857142857,22.857142857142854,231580.0,0.0
5/22/2018,SSTRT,6.45,6.45,6.4,6.4,-1.54,15600,99850,900670,2129430.0,6420140.0,6.42,6.462500000000001,6.563461538461539,-0.0984686609686598,-0.09919515669515526,28100.2,21.42857142857143,22.857142857142854,180134.0,0.0
5/23/2018,SSTRT,6.4,6.4,6.35,6.35,-0.78,10000,63510,605540,2192940.0,6172870.0,6.410000000000001,6.445833333333333,6.548076923076924,-0.1023148148148154,-0.09917378917378823,18940.2,21.42857142857143,22.857142857142854,121108.0,0.0
5/25/2018,SSTRT,6.45,6.45,6.35,6.4,0.79,1900,12120,182540,1822460.0,6020530.0,6.4099999999999975,6.433333333333333,6.536538461538463,-0.0982193732193739,-0.0987108262108258,5720.2,28.57142857142857,24.285714285714285,36508.0,0.0
5/28/2018,SSTRT,6.4,7.05,6.35,7.05,10.16,2000,12840,188970,1815200.0,5763370.0,6.539999999999999,6.4833333333333325,6.5500000000000025,-0.01652421652421765,-0.08122507122507124,5920.0,35.714285714285715,27.142857142857146,37794.0,0.0
