Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,Money5
7/22/2019,STARK,2.6,2.62,2.46,2.56,0.79,3703200,9424030,9424030,9424030.0,9424030.0,9424030.0
7/23/2019,STARK,2.5,2.54,2.36,2.42,-5.47,2407900,5842800,15266830,15266830.0,15266830.0,7633415.0
7/24/2019,STARK,2.38,2.48,2.3,2.48,2.48,2688655,6494190,21761020,21761020.0,21761020.0,7253673.333333333
7/25/2019,STARK,2.54,2.72,2.54,2.72,9.68,10721560,28534280,50295300,50295300.0,50295300.0,12573825.0
7/26/2019,STARK,2.7,2.8,2.5,2.58,-5.15,7256405,18924030,69219330,69219330.0,69219330.0,13843866.0
7/30/2019,STARK,2.54,2.54,2.32,2.5,-3.1,3775489,9181810,68977110,78401140.0,78401140.0,13795422.0
7/31/2019,STARK,2.42,2.5,2.42,2.5,0.0,1115600,2764270,65898580,81165410.0,81165410.0,13179716.0
8/1/2019,STARK,2.5,2.52,2.42,2.44,-2.4,1931600,4739410,64143800,85904820.0,85904820.0,12828760.0
8/2/2019,STARK,2.44,2.44,2.32,2.4,-1.64,1832643,4342080,39951600,90246900.0,90246900.0,7990320.0
8/5/2019,STARK,2.4,2.4,2.34,2.38,-0.83,959600,2283290,23310860,92530190.0,92530190.0,4662172.0
8/6/2019,STARK,2.38,2.38,2.32,2.38,0.0,1334800,3125240,17254290,95655430.0,95655430.0,3450858.0
8/7/2019,STARK,2.38,2.38,2.28,2.3,-3.36,2250100,5186970,19676990,100842400.0,100842400.0,3935398.0
8/8/2019,STARK,2.36,2.36,2.24,2.28,-0.87,1426300,3233560,18171140,104075960.0,104075960.0,3634228.0
8/9/2019,STARK,2.28,2.3,2.24,2.26,-0.88,790010,1785550,15614610,96437480.0,105861510.0,3122922.0
8/13/2019,STARK,2.28,2.28,2.26,2.28,0.88,287900,654520,13985840,91249200.0,106516030.0,2797168.0
8/14/2019,STARK,2.32,2.32,2.26,2.3,0.88,368000,843530,11704130,85598540.0,107359560.0,2340826.0
