Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,STEC,23.4,23.6,23.0,23.0,-1.29,3696577,85753000,443439000,3001201000.0,7589337000.0,23.0,,,,,3696577.0,,
1/6/2015,STEC,23.0,23.5,22.8,23.1,0.43,4588778,106134000,411496000,2590672000.0,7643662000.0,23.05,,,,,4142677.5,,
1/7/2015,STEC,23.2,24.1,23.1,24.0,3.9,8586843,203449000,508162000,2210963000.0,7534407000.0,23.366666666666664,,,,,5624066.0,,
1/8/2015,STEC,24.2,25.0,24.1,24.9,3.75,9755287,240474000,706006000,2141081000.0,7624141000.0,23.75,,,,,6656871.25,,
1/9/2015,STEC,24.9,25.0,24.5,24.7,-0.8,4837844,119558000,755368000,1747060000.0,7654733000.0,23.94,,,,,6293065.8,,
1/12/2015,STEC,24.7,24.7,24.2,24.2,-2.02,8707577,211926000,881541000,1676447000.0,7631534000.0,24.18,,,,,7295265.8,,
1/13/2015,STEC,24.1,24.6,24.1,24.5,1.24,6020814,147023000,922430000,1671371000.0,7598148000.0,24.46,,,,,7581673.0,,
1/14/2015,STEC,24.6,24.8,24.1,24.1,-1.63,6092518,148512000,867493000,1668100000.0,7703015000.0,24.48,,,,,7082808.0,,
1/15/2015,STEC,24.3,24.6,24.2,24.6,2.07,5128732,125295000,752314000,1745810000.0,7620901000.0,24.419999999999998,,,,,6157497.0,,
1/16/2015,STEC,24.5,24.6,24.3,24.6,0.0,4101988,100586000,733342000,1708319000.0,7364438000.0,24.4,,,,,6010325.8,,
1/19/2015,STEC,24.7,24.7,24.2,24.5,-0.41,4587696,112208000,633624000,1713744000.0,7314224000.0,24.46,,,,,5186349.6,,
1/20/2015,STEC,24.6,24.6,24.0,24.2,-1.22,5735092,138950000,625551000,1810064000.0,7254674000.0,24.400000000000002,24.2,,,,5129205.2,,
1/21/2015,STEC,24.3,24.4,24.0,24.3,0.41,12419927,300697000,777736000,2040565000.0,7155723000.0,24.44,24.308333333333334,,,,6394687.0,,
1/22/2015,STEC,24.6,25.75,24.6,25.25,3.91,37988536,955444000,1607885000,2910256000.0,7912862000.0,24.57,24.487499999999997,,,,12966647.8,50.0,50.0
1/23/2015,STEC,26.0,26.0,25.25,25.25,0.0,14680495,375922000,1883221000,3180044000.0,8090127000.0,24.7,24.59166666666667,,,,15082349.2,50.0,50.0
1/26/2015,STEC,25.25,25.5,25.0,25.25,0.0,5222091,131830000,1902843000,3108425000.0,8063114000.0,24.85,24.620833333333334,,,,15209228.2,42.857142857142854,47.61904761904762
1/27/2015,STEC,25.5,26.5,25.25,26.25,3.96,20831776,541868000,2305761000,3409819000.0,8494723000.0,25.259999999999998,24.75,,,,18228565.0,42.857142857142854,46.42857142857143
1/28/2015,STEC,26.25,26.75,25.5,26.25,0.0,12621646,329772000,2334836000,3620033000.0,8777837000.0,25.65,24.920833333333334,,,,18268908.8,35.71428571428572,44.28571428571429
1/29/2015,STEC,26.0,26.25,25.5,25.75,-1.9,9045443,233151000,1612543000,3641258000.0,8850353000.0,25.75,25.025000000000002,,,,12480290.2,35.71428571428572,41.42857142857143
1/30/2015,STEC,26.0,26.25,25.5,26.25,1.94,21557090,558623000,1795244000,4052858000.0,8848041000.0,25.95,25.204166666666666,,,,13855609.2,42.857142857142854,40.00000000000001
2/2/2015,STEC,26.0,26.0,25.5,25.75,-1.9,8246585,213312000,1876726000,4117658000.0,8586103000.0,26.05,25.3,,,,14460508.0,35.71428571428572,38.57142857142858
2/3/2015,STEC,26.0,26.0,25.5,25.75,0.0,13737528,354630000,1689488000,4346993000.0,8650565000.0,25.95,25.395833333333332,,,,13041658.4,35.71428571428572,37.14285714285715
2/4/2015,STEC,26.0,26.0,25.0,25.25,-1.94,12923062,329992000,1689708000,4576399000.0,8463894000.0,25.75,25.458333333333332,,,,13101941.6,28.57142857142857,35.71428571428572
2/5/2015,STEC,25.25,25.5,24.9,25.25,0.0,13050107,327507000,1784064000,4791698000.0,8208243000.0,25.65,25.545833333333334,,,,13902874.4,28.57142857142857,34.28571428571429
2/6/2015,STEC,25.25,25.5,25.0,25.25,0.0,7516387,189770000,1415211000,4842518000.0,8087657000.0,25.45,25.625,,,,11094733.8,28.57142857142857,31.428571428571434
2/9/2015,STEC,25.25,25.5,24.8,24.8,-1.78,7695781,192351000,1394250000,4734172000.0,7766429000.0,25.259999999999998,25.587500000000002,24.884615384615383,0.5879985754985775,0.5879985754985775,10984573.0,28.57142857142857,30.0
2/10/2015,STEC,25.0,25.25,24.8,25.0,0.81,6060593,151097000,1190717000,3929825000.0,7634987000.0,25.11,25.566666666666666,24.96153846153846,0.5150997150997156,0.5515491452991466,9449186.0,28.57142857142857,28.571428571428566
2/11/2015,STEC,25.25,25.25,24.9,25.25,1.0,5632425,141373000,1002098000,3695276000.0,7624261000.0,25.11,25.566666666666666,25.044230769230765,0.4584757834757873,0.5205246913580268,7991058.6,28.57142857142857,28.571428571428566
2/12/2015,STEC,25.25,25.25,24.8,24.9,-1.39,9067290,226072000,900663000,3789518000.0,7698550000.0,25.04,25.454166666666666,25.07884615384615,0.30331196581196807,0.4662215099715121,7194495.2,28.57142857142857,28.571428571428566
2/13/2015,STEC,25.0,26.0,25.0,26.0,4.42,22707737,578996000,1289889000,3826646000.0,8229961000.0,25.189999999999998,25.433333333333334,25.121153846153845,0.3342592592592588,0.43982905982906145,10232765.2,35.71428571428572,30.0
2/16/2015,STEC,26.0,26.25,25.25,25.5,-1.92,10800316,276822000,1374360000,3773696000.0,8368706000.0,25.330000000000002,25.412500000000005,25.151923076923076,0.24825498575498983,0.3718803418803439,10853672.2,28.57142857142857,30.0
2/17/2015,STEC,25.5,25.5,24.9,25.0,-1.96,9785386,246100000,1469363000,3786645000.0,8508023000.0,25.330000000000002,25.308333333333337,25.182692307692307,0.0917378917378997,0.28720797720798075,11598630.8,28.57142857142857,30.0
2/18/2015,STEC,25.0,25.5,25.0,25.25,1.0,2068716,52189000,1380179000,3280211000.0,8517582000.0,25.330000000000002,25.26666666666667,25.21153846153846,0.04971509971510102,0.20545584045584347,10885889.0,35.71428571428572,31.428571428571434
2/19/2015,STEC,25.25,25.5,25.0,25.25,0.0,2025914,51081000,1205188000,3117980000.0,8498467000.0,25.4,25.225000000000005,25.25576923076923,-0.026495726495721073,0.13949430199430565,9477613.8,28.57142857142857,31.428571428571434
2/20/2015,STEC,25.25,25.5,25.0,25.25,0.0,2829479,71390000,697582000,2834740000.0,8484104000.0,25.25,25.224999999999998,25.28076923076923,-0.04964387464388054,0.0627136752136778,5501962.2,28.57142857142857,30.0
2/23/2015,STEC,25.25,25.5,24.8,24.9,-1.39,4935650,123617000,544377000,2628365000.0,8501587000.0,25.130000000000003,25.19583333333333,25.292307692307695,-0.11292735042735558,-0.009522792022791294,4329029.0,28.57142857142857,30.0
2/24/2015,STEC,24.9,25.25,24.8,24.9,0.0,8913358,222392000,520669000,2523250000.0,8520530000.0,25.110000000000003,25.16666666666666,25.307692307692307,-0.151851851851859,-0.058240740740743036,4154623.4,28.57142857142857,30.0
