Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D
7/1/2019,STHAI,0.01,0.03,0.01,0.01,0.0,417636280,6686810,6686810,6686810.0,6686810.0
7/2/2019,STHAI,0.02,0.02,0.01,0.02,100.0,252125434,4793180,11479990,11479990.0,11479990.0
7/3/2019,STHAI,0.03,0.03,0.02,0.03,50.0,471974382,14149130,25629120,25629120.0,25629120.0
7/4/2019,STHAI,0.03,0.04,0.02,0.02,-33.33,97467998,2897310,28526430,28526430.0,28526430.0
7/5/2019,STHAI,0.02,0.03,0.02,0.03,50.0,24001372,581980,29108410,29108410.0,29108410.0
7/8/2019,STHAI,0.02,0.03,0.02,0.02,-33.33,414588201,8291800,30713400,37400210.0,37400210.0
7/9/2019,STHAI,0.02,0.02,0.01,0.01,-50.0,202476000,3801810,29722030,41202020.0,41202020.0
7/10/2019,STHAI,0.01,0.02,0.01,0.01,0.0,31847519,394770,15967670,41596790.0,41596790.0
7/11/2019,STHAI,0.01,0.02,0.01,0.01,0.0,64121000,677110,13747470,42273900.0,42273900.0
7/12/2019,STHAI,0.02,0.02,0.01,0.01,0.0,588257700,5999500,19164990,48273400.0,48273400.0
7/15/2019,STHAI,0.01,0.01,0.01,0.01,0.0,1058727400,10587270,21460460,58860670.0,58860670.0
7/17/2019,STHAI,0.01,0.02,0.01,0.01,0.0,110256208,1113940,18772590,59974610.0,59974610.0
7/18/2019,STHAI,0.02,0.02,0.01,0.02,100.0,2745500,50460,18428280,60025070.0,60025070.0
7/19/2019,STHAI,0.01,0.02,0.01,0.01,-50.0,19656800,197370,17948540,53535630.0,60222440.0
7/22/2019,STHAI,0.01,0.02,0.01,0.01,0.0,46489700,465420,12414460,49207870.0,60687860.0
7/23/2019,STHAI,0.01,0.02,0.01,0.02,100.0,97912000,1026320,2853510,36085060.0,61714180.0
7/24/2019,STHAI,0.01,0.02,0.01,0.01,-50.0,8205200,82360,1821930,33270110.0,61796540.0
7/25/2019,STHAI,0.01,0.02,0.01,0.01,0.0,47577000,476270,2247740,33164400.0,62272810.0
7/26/2019,STHAI,0.01,0.02,0.01,0.01,0.0,177226000,1772460,3822830,26645060.0,64045270.0
7/30/2019,STHAI,0.01,0.02,0.01,0.01,0.0,298104137,2985760,6343170,25829010.0,67031030.0
7/31/2019,STHAI,0.01,0.02,0.01,0.01,0.0,566680723,5770540,11087390,31204780.0,72801570.0
