Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
9/22/2017,SUPER-W4,0.3,0.31,0.26,0.28,0.0,922062074,262204790,262204790,262204790.0,262204790.0,0.28,,,,,922062074.0,,
9/25/2017,SUPER-W4,0.29,0.35,0.28,0.35,25.0,798446689,253309170,515513960,515513960.0,515513960.0,0.315,,,,,860254381.5,,
9/26/2017,SUPER-W4,0.35,0.39,0.35,0.39,11.43,496114898,185844180,701358140,701358140.0,701358140.0,0.34,,,,,738874553.6666666,,
9/27/2017,SUPER-W4,0.4,0.45,0.38,0.44,12.82,483758281,200207470,901565610,901565610.0,901565610.0,0.365,,,,,675095485.5,,
9/28/2017,SUPER-W4,0.46,0.48,0.43,0.44,0.0,410671498,185452130,1087017740,1087017740.0,1087017740.0,0.38,,,,,622210688.0,,
9/29/2017,SUPER-W4,0.45,0.45,0.39,0.41,-6.82,266916965,111455960,936268910,1198473700.0,1198473700.0,0.40599999999999997,,,,,491181666.2,,
10/2/2017,SUPER-W4,0.4,0.42,0.36,0.37,-9.76,153153112,59237470,742197210,1257711170.0,1257711170.0,0.41,,,,,362122950.8,,
10/3/2017,SUPER-W4,0.38,0.4,0.38,0.4,8.11,67164922,25981080,582334110,1283692250.0,1283692250.0,0.41200000000000003,,,,,276332955.6,,
10/4/2017,SUPER-W4,0.41,0.42,0.39,0.39,-2.5,107147596,43374570,425501210,1327066820.0,1327066820.0,0.402,,,,,201010818.6,,
10/5/2017,SUPER-W4,0.4,0.43,0.4,0.42,7.69,132519480,54901960,294951040,1381968780.0,1381968780.0,0.398,,,,,145380415.0,,
10/6/2017,SUPER-W4,0.42,0.43,0.41,0.42,0.0,88882738,37325030,220820110,1419293810.0,1419293810.0,0.4,,,,,109773569.6,,
10/9/2017,SUPER-W4,0.43,0.43,0.39,0.4,-4.76,68387097,27565890,189148530,1446859700.0,1446859700.0,0.40599999999999997,0.39250000000000007,,,,92820366.6,,
10/10/2017,SUPER-W4,0.41,0.42,0.39,0.4,0.0,49203627,19919860,183087310,1466779560.0,1466779560.0,0.40599999999999997,0.4025000000000001,,,,89228107.6,,
10/11/2017,SUPER-W4,0.4,0.43,0.4,0.42,5.0,105021166,43712490,183425230,1248287260.0,1510492050.0,0.41200000000000003,0.4083333333333334,,,,88802821.6,42.857142857142854,42.857142857142854
10/12/2017,SUPER-W4,0.43,0.43,0.41,0.41,-2.38,124185007,51974180,180497450,1046952270.0,1562466230.0,0.41000000000000003,0.41,,,,87135927.0,42.857142857142854,42.857142857142854
10/16/2017,SUPER-W4,0.41,0.42,0.4,0.41,0.0,21561580,8840540,152012960,869948630.0,1571306770.0,0.40800000000000003,0.40750000000000003,,,,73671695.4,35.71428571428572,40.476190476190474
10/17/2017,SUPER-W4,0.41,0.42,0.4,0.41,0.0,35684190,14584580,139031650,684325740.0,1585891350.0,0.41,0.405,,,,67131114.0,28.57142857142857,37.5
10/18/2017,SUPER-W4,0.41,0.41,0.4,0.4,-2.44,16133024,6528940,125640730,505402550.0,1592420290.0,0.41,0.40416666666666673,,,,60516993.4,21.42857142857143,34.28571428571429
10/19/2017,SUPER-W4,0.4,0.41,0.39,0.39,-2.5,30168274,11908330,93836570,405854920.0,1604328620.0,0.404,0.4058333333333333,,,,45546415.0,21.42857142857143,30.0
10/20/2017,SUPER-W4,0.39,0.41,0.39,0.4,2.56,26571582,10561960,52424350,357179410.0,1614890580.0,0.40199999999999997,0.4058333333333333,,,,26023730.0,28.57142857142857,27.142857142857146
10/24/2017,SUPER-W4,0.4,0.42,0.4,0.4,0.0,30190284,12294950,55878760,343493280.0,1627185530.0,0.4,0.40666666666666673,,,,27749470.8,28.57142857142857,25.71428571428571
10/25/2017,SUPER-W4,0.4,0.42,0.39,0.41,2.5,38993279,15815350,57109530,315934060.0,1643000880.0,0.39999999999999997,0.40583333333333343,,,,28411288.6,28.57142857142857,25.71428571428571
