Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,SUTHA,7.25,7.3,7.25,7.25,-0.68,82600,601000,19079000,56469000.0,301943000.0,7.25,,,,,82600.0,,,601000.0,0.0
1/6/2015,SUTHA,7.2,7.35,7.2,7.2,-0.69,300400,2173000,8013000,42416000.0,292174000.0,7.225,,,,,191500.0,,,1387000.0,0.0
1/7/2015,SUTHA,7.3,7.35,7.2,7.3,1.39,180000,1307000,5609000,38699000.0,284028000.0,7.25,,,,,187666.66666666663,,,1360333.333333333,0.0
1/8/2015,SUTHA,7.3,7.5,7.3,7.4,1.37,228800,1701000,6662000,36057000.0,281425000.0,7.2875,,,,,197950.0,,,1445500.0,0.0
1/9/2015,SUTHA,7.5,7.75,7.4,7.5,1.35,1316800,9946000,15728000,42733000.0,271348000.0,7.33,,,,,421720.0,,,3145600.0,0.0
1/12/2015,SUTHA,7.4,7.5,7.4,7.4,-1.33,332300,2474000,17601000,43251000.0,267263000.0,7.3599999999999985,,,,,471660.0,,,3520200.0,0.0
1/13/2015,SUTHA,7.5,7.5,7.3,7.3,-1.35,450915,3333000,18761000,44886000.0,266685000.0,7.38,,,,,501763.0,,,3752200.0,0.0
1/14/2015,SUTHA,7.35,7.8,7.35,7.45,2.05,3200801,24391000,41845000,66559000.0,282721000.0,7.410000000000001,,,,,1105923.2,,,8369000.0,0.0
1/15/2015,SUTHA,7.5,8.05,7.45,7.95,6.71,5666200,44860000,85004000,109264000.0,323482000.0,7.52,,,,,2193403.2,,,17000800.0,0.0
1/16/2015,SUTHA,7.95,8.4,7.9,8.3,4.4,5102201,41786000,116844000,137811000.0,362310000.0,7.68,,,,,2950483.4,,,23368800.0,0.0
1/19/2015,SUTHA,8.35,8.55,8.3,8.45,1.81,2897500,24466000,138836000,158566000.0,371142000.0,7.8900000000000015,,,,,3463523.4,,,27767200.0,0.0
1/20/2015,SUTHA,8.45,8.65,8.35,8.45,0.0,3509200,29794000,165297000,187712000.0,390851000.0,8.120000000000001,7.6625,,,,4075180.4,,,33059400.0,0.0
1/21/2015,SUTHA,8.6,8.6,8.4,8.45,0.0,590800,5011000,145917000,191843000.0,306723000.0,8.319999999999999,7.7625,,,,3553180.2,,,29183400.0,0.0
1/22/2015,SUTHA,8.4,8.65,8.4,8.55,1.18,1785200,15263000,116320000,206505000.0,308139000.0,8.440000000000001,7.875000000000001,,,,2776980.2,57.14285714285714,57.14285714285714,23264000.0,0.0
1/23/2015,SUTHA,8.6,8.85,8.55,8.6,0.58,2007100,17372000,91906000,221704000.0,315866000.0,8.5,7.9833333333333325,,,,2157960.0,64.28571428571428,60.71428571428571,18381200.0,0.0
1/26/2015,SUTHA,8.65,8.9,8.6,8.75,1.74,3633201,31894000,99334000,252291000.0,339971000.0,8.559999999999999,8.095833333333333,,,,2305100.2,71.42857142857143,64.28571428571428,19866800.0,0.0
1/27/2015,SUTHA,8.8,8.85,8.7,8.7,-0.57,617102,5416000,74956000,256006000.0,340770000.0,8.61,8.195833333333333,,,,1726680.6,64.28571428571428,64.28571428571428,14991200.0,0.0
1/28/2015,SUTHA,8.8,8.8,8.55,8.6,-1.15,668000,5774000,75719000,251834000.0,337244000.0,8.639999999999999,8.295833333333333,,,,1742120.6,57.14285714285714,62.85714285714285,15143800.0,0.0
1/29/2015,SUTHA,8.6,8.7,8.55,8.55,-0.58,508101,4380000,64836000,253740000.0,338153000.0,8.64,8.4,,,,1486700.8,50.0,61.42857142857142,12967200.0,0.0
1/30/2015,SUTHA,8.6,8.65,8.5,8.5,-0.58,465800,3981000,51445000,254388000.0,339521000.0,8.62,8.487499999999999,,,,1178440.8,50.0,58.57142857142858,10289000.0,0.0
2/2/2015,SUTHA,8.5,8.5,8.4,8.45,-0.59,222400,1878000,21429000,231875000.0,335079000.0,8.559999999999999,8.529166666666667,,,,496280.6,50.0,54.28571428571429,4285800.0,0.0
2/3/2015,SUTHA,8.5,8.5,8.3,8.35,-1.18,381301,3217000,19230000,190232000.0,336886000.0,8.489999999999998,8.533333333333333,,,,449120.4,42.857142857142854,50.0,3846000.0,0.0
2/4/2015,SUTHA,8.35,8.4,8.15,8.2,-1.8,445700,3682000,17138000,152128000.0,324342000.0,8.41,8.512500000000001,,,,404660.4,35.714285714285715,45.714285714285715,3427600.0,0.0
2/5/2015,SUTHA,8.2,8.2,8.1,8.2,0.0,233201,1899000,14657000,129561000.0,321217000.0,8.34,8.491666666666667,,,,349680.4,28.57142857142857,41.42857142857143,2931400.0,0.0
2/6/2015,SUTHA,8.25,8.4,8.1,8.3,1.22,500201,4111000,14787000,103878000.0,320985000.0,8.3,8.479166666666666,,,,356560.6,28.57142857142857,37.142857142857146,2957400.0,0.0
2/9/2015,SUTHA,8.35,8.4,8.2,8.2,-1.2,495700,4101000,17010000,102968000.0,321816000.0,8.25,8.450000000000001,8.090384615384616,0.3130341880341909,0.3130341880341909,411220.6,28.57142857142857,32.857142857142854,3402000.0,0.0
2/10/2015,SUTHA,8.15,8.2,8.1,8.15,-0.61,343100,2796000,16589000,90501000.0,322656000.0,8.209999999999999,8.4125,8.124999999999998,0.2452635327635342,0.2791488603988625,403580.4,28.57142857142857,30.0,3317800.0,0.0
2/11/2015,SUTHA,8.15,8.2,8.1,8.1,-0.61,178000,1449000,14356000,74578000.0,322407000.0,8.190000000000001,8.358333333333333,8.159615384615384,0.1633903133903143,0.2405626780626798,350040.4,21.42857142857143,27.142857142857146,2871200.0,0.0
2/12/2015,SUTHA,8.2,8.2,8.1,8.15,0.62,228100,1860000,14317000,44544000.0,321549000.0,8.18,8.3125,8.192307692307693,0.09832621082620996,0.20500356125356234,349020.2,21.42857142857143,25.71428571428571,2863400.0,0.0
2/13/2015,SUTHA,8.2,8.3,8.15,8.3,1.84,655900,5410000,15616000,44538000.0,324804000.0,8.180000000000001,8.2875,8.226923076923075,0.0570868945868952,0.1754202279202289,380160.0,21.42857142857143,24.285714285714285,3123200.0,0.0
2/16/2015,SUTHA,8.35,8.7,8.3,8.55,3.01,2249600,19234000,30749000,57998000.0,330799000.0,8.25,8.2875,8.267307692307693,0.039636752136750886,0.1207407407407409,730940.0,28.57142857142857,24.285714285714285,6149800.0,0.0
2/17/2015,SUTHA,8.55,8.6,8.3,8.3,-2.92,603000,5123000,33076000,58741000.0,332211000.0,8.280000000000001,8.270833333333334,8.301923076923076,-0.026460113960114384,0.06639601139601119,782920.0,28.57142857142857,24.285714285714285,6615200.0,0.0
2/18/2015,SUTHA,8.5,8.55,8.3,8.3,0.0,529000,4475000,36102000,59235000.0,336038000.0,8.320000000000002,8.258333333333333,8.340384615384616,-0.07264957264957418,0.019188034188033498,853120.0,28.57142857142857,25.71428571428571,7220400.0,0.0
2/19/2015,SUTHA,8.3,8.4,8.2,8.2,-1.2,552301,4571000,38813000,61928000.0,339729000.0,8.330000000000002,8.245833333333332,8.36923076923077,-0.11791310541310553,-0.0240598290598296,917960.2,28.57142857142857,27.142857142857146,7762600.0,0.0
2/20/2015,SUTHA,8.25,8.35,8.15,8.15,-0.61,414800,3419000,36822000,62130000.0,342547000.0,8.3,8.241666666666667,8.37692307692308,-0.13254985754985782,-0.0619871794871802,869740.2,28.57142857142857,28.57142857142857,7364400.0,0.0
2/23/2015,SUTHA,8.35,8.35,8.05,8.05,-1.23,786800,6398000,23986000,64846000.0,346772000.0,8.2,8.229166666666666,8.367307692307692,-0.14220085470085664,-0.0983547008547017,577180.2,28.57142857142857,28.57142857142857,4797200.0,0.0
2/24/2015,SUTHA,8.05,8.2,8.05,8.15,1.24,305502,2475000,21338000,65422000.0,347940000.0,8.17,8.216666666666667,8.355769230769234,-0.13411680911681145,-0.11988603988604113,517680.6,35.714285714285715,30.0,4267600.0,0.0
2/25/2015,SUTHA,8.1,8.1,7.85,7.9,-3.07,1143300,9097000,25960000,70408000.0,355336000.0,8.09,8.191666666666668,8.334615384615388,-0.1556267806267808,-0.13648148148148245,640540.6,35.714285714285715,31.428571428571434,5192000.0,0.0
2/26/2015,SUTHA,7.95,7.95,7.8,7.85,-0.63,611601,4830000,26219000,71137000.0,350220000.0,8.02,8.166666666666668,8.311538461538463,-0.15940170940170972,-0.1447792022792033,652400.6,28.57142857142857,31.428571428571434,5243800.0,0.0
2/27/2015,SUTHA,7.8,7.9,7.8,7.8,-0.64,429001,3355000,26155000,71696000.0,351101000.0,7.95,8.141666666666667,8.282692307692312,-0.15783475783476142,-0.14983618233618398,655240.8,28.57142857142857,31.428571428571434,5231000.0,0.0
3/2/2015,SUTHA,7.8,7.85,7.7,7.7,-1.28,900500,7016000,26773000,77263000.0,354784000.0,7.88,8.104166666666668,8.248076923076924,-0.1654914529914535,-0.1544943019943034,677980.8,28.57142857142857,31.428571428571434,5354600.0,0.0
3/3/2015,SUTHA,7.75,7.8,7.45,7.45,-3.25,745300,5673000,29971000,81076000.0,336066000.0,7.74,8.033333333333333,8.198076923076924,-0.1990740740740744,-0.16748575498575596,765940.4,28.57142857142857,30.0,5994200.0,0.0
3/5/2015,SUTHA,7.5,7.7,7.5,7.55,1.34,126200,956000,21830000,76622000.0,292162000.0,7.669999999999999,7.9499999999999975,8.153846153846152,-0.2206552706552696,-0.18049145299145367,562520.4,28.57142857142857,28.57142857142857,4366000.0,0.0
3/6/2015,SUTHA,7.65,7.8,7.6,7.7,1.99,161500,1245000,18245000,58633000.0,251621000.0,7.6400000000000015,7.900000000000001,8.11923076923077,-0.21894586894586696,-0.1924002849002852,472500.2,28.57142857142857,28.57142857142857,3649000.0,0.0
3/9/2015,SUTHA,7.9,7.9,7.6,7.65,-0.65,768100,5901000,20791000,59411000.0,233056000.0,7.6099999999999985,7.845833333333334,8.084615384615386,-0.2367165242165248,-0.20817663817663784,540320.0,21.42857142857143,27.142857142857146,4158200.0,0.0
3/10/2015,SUTHA,7.65,7.75,7.65,7.65,0.0,508313,3907000,17682000,58843000.0,207169000.0,7.6,7.800000000000002,8.051923076923076,-0.2452279202279195,-0.22412393162393104,461882.6,21.42857142857143,25.71428571428571,3536400.0,0.0
3/11/2015,SUTHA,7.55,7.55,7.45,7.45,-2.61,243700,1823000,13832000,56095000.0,203981000.0,7.6,7.741666666666667,8.013461538461538,-0.2749287749287728,-0.2392948717948707,361562.6,21.42857142857143,24.285714285714285,2766400.0,0.0
3/12/2015,SUTHA,7.55,7.55,7.45,7.45,0.0,61400,458000,13334000,53134000.0,189176000.0,7.58,7.691666666666667,7.978846153846152,-0.285185185185183,-0.2522008547008534,348602.6,21.42857142857143,22.857142857142854,2666800.0,0.0
3/13/2015,SUTHA,7.55,7.55,7.45,7.5,0.67,140100,1045000,13134000,47781000.0,172849000.0,7.540000000000001,7.6375,7.951923076923077,-0.30210113960113816,-0.2688319088319077,344322.6,28.57142857142857,22.857142857142854,2626800.0,0.0
3/16/2015,SUTHA,7.5,7.5,7.3,7.3,-2.67,511000,3764000,10997000,49070000.0,144719000.0,7.4700000000000015,7.587499999999999,7.917307692307693,-0.32831196581196664,-0.287150997150996,292902.6,28.57142857142857,24.285714285714285,2199400.0,0.0
3/17/2015,SUTHA,7.25,7.25,7.2,7.2,-1.37,255400,1843000,8933000,41816000.0,141146000.0,7.38,7.533333333333334,7.874999999999999,-0.3429487179487172,-0.3066951566951556,242320.0,21.42857142857143,24.285714285714285,1786600.0,0.0
3/18/2015,SUTHA,7.1,7.3,7.1,7.2,0.0,235501,1700000,8810000,38686000.0,137072000.0,7.33,7.483333333333332,7.836538461538463,-0.3496438746438741,-0.32163817663817584,240680.2,21.42857142857143,24.285714285714285,1762000.0,0.0
3/19/2015,SUTHA,7.45,7.9,7.4,7.9,9.72,1593306,12191000,20543000,47522000.0,144883000.0,7.42,7.500000000000001,7.826923076923077,-0.2707977207977201,-0.3187606837606832,547061.4,28.57142857142857,25.71428571428571,4108600.0,2.0
3/20/2015,SUTHA,7.75,7.8,7.6,7.65,-3.16,388601,2981000,22479000,43487000.0,143883000.0,7.45,7.5166666666666675,7.809615384615384,-0.26061253561253395,-0.3104629629629624,596761.6,28.57142857142857,25.71428571428571,4495800.0,0.0
3/23/2015,SUTHA,7.65,7.8,7.35,7.4,-3.27,158563,1182000,19897000,38996000.0,143187000.0,7.4700000000000015,7.504166666666667,7.7807692307692315,-0.26442307692307665,-0.2976851851851844,526274.2,28.57142857142857,25.71428571428571,3979400.0,0.0
3/24/2015,SUTHA,7.4,7.4,7.25,7.3,-1.35,275400,2018000,20072000,40058000.0,141988000.0,7.4899999999999975,7.470833333333335,7.742307692307692,-0.26499287749287603,-0.28209401709401616,530274.2,28.57142857142857,27.142857142857146,4014400.0,0.0
3/25/2015,SUTHA,7.3,7.55,7.3,7.3,0.0,80830,592000,18964000,39405000.0,138898000.0,7.5100000000000025,7.441666666666667,7.694230769230771,-0.2451566951566964,-0.2611965811965806,499340.0,21.42857142857143,27.142857142857146,3792800.0,0.0
3/26/2015,SUTHA,7.25,7.4,7.1,7.2,-1.37,125400,904000,7677000,34408000.0,137903000.0,7.37,7.404166666666666,7.651923076923079,-0.2456908831908855,-0.2561752136752137,205758.8,14.285714285714292,24.285714285714285,1535400.0,0.0
3/27/2015,SUTHA,7.1,7.2,6.95,6.95,-3.47,343300,2407000,7103000,32908000.0,136199000.0,7.229999999999999,7.3625,7.6,-0.2528133903133911,-0.25461538461538513,196698.6,14.285714285714292,21.42857142857143,1420600.0,2.0
3/30/2015,SUTHA,7.05,7.1,7.0,7.0,0.72,258200,1815000,7736000,32900000.0,133913000.0,7.15,7.325,7.553846153846155,-0.2378205128205133,-0.2492948717948725,216626.0,21.42857142857143,20.000000000000004,1547200.0,2.0
4/1/2015,SUTHA,7.05,7.2,7.05,7.15,2.14,109500,781000,6499000,33223000.0,131898000.0,7.12,7.295833333333332,7.515384615384617,-0.21492165242165304,-0.23928062678062784,183446.0,28.57142857142857,20.000000000000004,1299800.0,0.0
4/2/2015,SUTHA,7.2,7.25,7.2,7.25,1.4,67800,491000,6398000,32669000.0,130940000.0,7.109999999999999,7.291666666666668,7.484615384615386,-0.18198005698005731,-0.2266452991453001,180840.0,35.714285714285715,22.857142857142854,1279600.0,0.0
4/3/2015,SUTHA,7.25,7.4,7.2,7.3,0.69,107100,782000,6276000,29687000.0,129862000.0,7.13,7.3000000000000025,7.451923076923077,-0.1406695156695168,-0.20564102564102632,177180.0,35.714285714285715,27.142857142857146,1255200.0,0.0
4/7/2015,SUTHA,7.3,7.4,7.3,7.3,0.0,23900,175000,4044000,28019000.0,124627000.0,7.2,7.308333333333334,7.428846153846155,-0.1122507122507148,-0.17752849002849108,113300.0,35.714285714285715,31.428571428571434,808800.0,0.0
4/8/2015,SUTHA,7.3,7.3,7.1,7.25,-0.68,149500,1074000,3303000,27393000.0,106467000.0,7.25,7.254166666666666,7.405769230769232,-0.1407051282051297,-0.15810541310541434,91560.0,35.714285714285715,34.285714285714285,660600.0,2.0
4/9/2015,SUTHA,7.2,7.3,7.2,7.2,-0.69,103500,747000,3269000,15949000.0,102091000.0,7.2600000000000025,7.216666666666666,7.382692307692308,-0.15505698005698054,-0.14613247863247986,90360.0,35.714285714285715,35.714285714285715,653800.0,0.0
4/10/2015,SUTHA,7.15,7.25,7.15,7.25,0.69,143600,1040000,3818000,14008000.0,98656000.0,7.26,7.204166666666668,7.365384615384617,-0.14561965811966004,-0.1388603988604004,105520.0,35.714285714285715,35.714285714285715,763600.0,0.0
4/16/2015,SUTHA,7.2,7.3,7.2,7.3,0.69,126100,915000,3951000,13741000.0,95000000.0,7.26,7.2041666666666675,7.3596153846153864,-0.1362891737891765,-0.1379843304843323,109320.0,42.857142857142854,37.142857142857146,790200.0,2.0
4/17/2015,SUTHA,7.3,7.3,7.3,7.3,0.0,48500,354000,4130000,12077000.0,91935000.0,7.26,7.2041666666666675,7.350000000000002,-0.12738603988604247,-0.14101139601139784,114240.0,42.857142857142854,38.571428571428584,826000.0,0.0
4/20/2015,SUTHA,7.3,7.4,7.25,7.25,-0.68,23300,170000,3226000,11655000.0,85707000.0,7.26,7.208333333333332,7.3326923076923105,-0.11182336182336527,-0.13523504273504494,89000.0,42.857142857142854,40.00000000000001,645200.0,0.0
4/21/2015,SUTHA,7.3,7.35,7.25,7.25,0.0,126200,921000,3400000,11672000.0,84153000.0,7.27,7.233333333333332,7.3173076923076925,-0.07642450142450398,-0.11950854700854965,93540.0,42.857142857142854,41.42857142857143,680000.0,2.0
4/22/2015,SUTHA,7.4,7.4,7.3,7.3,0.69,89200,656000,3016000,9921000.0,75712000.0,7.2799999999999985,7.258333333333333,7.303846153846155,-0.0388176638176656,-0.09814814814815076,82660.0,50.0,44.28571428571429,603200.0,2.0
4/23/2015,SUTHA,7.3,8.1,7.3,7.9,8.22,5965320,47163000,49264000,55269000.0,118045000.0,7.4,7.320833333333334,7.321153846153848,0.045904558404557434,-0.06170940170940398,1250504.0,57.14285714285714,47.14285714285714,9852800.0,2.0
4/24/2015,SUTHA,7.95,8.05,7.65,7.65,-3.16,3052400,24058000,72968000,78546000.0,138748000.0,7.4700000000000015,7.354166666666668,7.328846153846158,0.04704415954415887,-0.02682336182336371,1851284.0,50.0,48.57142857142857,14593600.0,2.0
4/27/2015,SUTHA,7.75,7.75,7.4,7.5,-1.96,792900,5977000,78775000,84032000.0,137709000.0,7.52,7.370833333333334,7.328846153846158,0.04918091168091099,0.005377492877491541,2005204.0,42.857142857142854,48.57142857142857,15755000.0,0.0
4/28/2015,SUTHA,7.65,7.65,7.45,7.45,-0.67,224900,1693000,79547000,84943000.0,133729000.0,7.56,7.383333333333334,7.334615384615384,0.050427350427351136,0.030747863247862564,2024944.0,35.714285714285715,47.14285714285714,15909400.0,0.0
4/29/2015,SUTHA,7.45,7.75,7.25,7.3,-2.01,1416400,10635000,89526000,95403000.0,143408000.0,7.56,7.3874999999999975,7.33846153846154,0.03842592592592453,0.04619658119658058,2290384.0,28.57142857142857,42.857142857142854,17905200.0,0.0
4/30/2015,SUTHA,7.3,7.55,7.3,7.5,2.74,333200,2480000,44843000,96809000.0,144643000.0,7.480000000000001,7.412499999999999,7.35,0.06485042735042601,0.04998575498575431,1163960.0,35.714285714285715,38.571428571428584,8968600.0,0.0
5/6/2015,SUTHA,7.6,7.6,7.35,7.35,-2.0,453500,3369000,24154000,99431000.0,142111000.0,7.42,7.420833333333332,7.328846153846152,0.07952279202278945,0.056481481481480425,644180.0,35.714285714285715,35.714285714285715,4830800.0,0.0
5/7/2015,SUTHA,7.3,7.35,7.2,7.2,-2.04,423600,3064000,21241000,101455000.0,141268000.0,7.360000000000001,7.4125,7.311538461538461,0.07653133903134003,0.06195156695156623,570320.0,35.714285714285715,34.285714285714285,4248200.0,0.0
5/8/2015,SUTHA,7.15,7.25,7.15,7.15,-0.69,320600,2309000,21857000,102849000.0,141754000.0,7.3,7.399999999999999,7.301923076923076,0.07086894586894488,0.06603988603988498,589460.0,28.57142857142857,32.857142857142854,4371400.0,0.0
5/11/2015,SUTHA,7.2,7.3,7.15,7.15,0.0,113000,812000,12034000,103307000.0,142108000.0,7.27,7.3916666666666675,7.296153846153848,0.06915954415954673,0.07218660968660942,328780.0,21.42857142857143,31.428571428571434,2406800.0,0.0
5/12/2015,SUTHA,7.2,7.25,7.15,7.25,1.4,218500,1566000,11120000,104703000.0,142629000.0,7.2200000000000015,7.3916666666666675,7.2942307692307695,0.07891737891737982,0.07500000000000018,305840.0,28.57142857142857,30.0,2224000.0,0.0
5/13/2015,SUTHA,7.25,7.25,7.15,7.2,-0.69,413100,2962000,10713000,106744000.0,141827000.0,7.19,7.383333333333334,7.2942307692307695,0.0678774928774919,0.07267094017094068,297760.0,28.57142857142857,28.57142857142857,2142600.0,0.0
5/14/2015,SUTHA,7.15,7.2,7.15,7.2,0.0,124500,891000,8540000,106979000.0,140875000.0,7.19,7.325000000000002,7.303846153846152,0.00961538461538769,0.0592877492877502,237940.0,28.57142857142857,27.142857142857146,1708000.0,0.0
5/15/2015,SUTHA,7.15,7.2,7.15,7.15,-0.69,289300,2070000,8301000,61886000.0,141245000.0,7.19,7.283333333333334,7.309615384615384,-0.03497150997150912,0.03811965811965942,231680.0,21.42857142857143,25.71428571428571,1660200.0,0.0
