Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,SVH,300.0,300.0,300.0,300.0,-0.66,200,60000,1461000,5251000.0,18045000.0,300.0,,,,,200.0,,
1/6/2015,SVH,304.0,304.0,300.0,300.0,0.0,1199,360000,1666000,5225000.0,18030000.0,300.0,,,,,699.5,,
1/7/2015,SVH,300.0,304.0,298.0,300.0,0.0,2412,724000,1751000,5180000.0,15091000.0,300.0,,,,,1270.3333333333333,,
1/8/2015,SVH,300.0,300.0,299.0,300.0,0.0,3230,969000,2598000,4227000.0,15962000.0,300.0,,,,,1760.25,,
1/9/2015,SVH,299.0,299.0,298.0,298.0,-0.67,2000,597000,2710000,4762000.0,16429000.0,299.6,,,,,1808.2,,
1/12/2015,SVH,298.0,301.0,298.0,299.0,0.34,2100,628000,3278000,5390000.0,14014000.0,299.4,,,,,2188.2,,
1/14/2015,SVH,299.0,301.0,299.0,300.0,0.33,1600,479000,2673000,5528000.0,13032000.0,299.4,,,,,2268.4,,
1/15/2015,SVH,299.0,300.0,299.0,300.0,0.0,300,90000,1794000,5308000.0,12993000.0,299.4,,,,,1846.0,,
1/20/2015,SVH,303.0,303.0,303.0,303.0,1.0,100,30000,599000,4422000.0,11779000.0,300.0,,,,,1220.0,,
1/21/2015,SVH,299.0,299.0,295.0,299.0,-1.32,850,249000,369000,4186000.0,12028000.0,300.2,,,,,990.0,,
1/22/2015,SVH,298.0,298.0,298.0,298.0,-0.33,100,30000,309000,4156000.0,11610000.0,300.0,,,,,590.0,,
1/23/2015,SVH,300.0,301.0,298.0,300.0,0.67,1600,481000,790000,4277000.0,11965000.0,300.0,299.75,,,,590.0,,
1/27/2015,SVH,300.0,300.0,299.0,300.0,0.0,1402,421000,1181000,3005000.0,12004000.0,300.0,299.75,,,,810.4,,
1/29/2015,SVH,301.0,305.0,301.0,305.0,1.67,2500,758000,1660000,2538000.0,12242000.0,300.4,300.1666666666667,,,,1290.4,35.71428571428572,35.71428571428572
1/30/2015,SVH,304.0,304.0,304.0,304.0,-0.33,1600,486000,1665000,3024000.0,12633000.0,301.4,300.5,,,,1440.4,35.71428571428572,35.71428571428572
