Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,SYMC,13.9,13.9,13.8,13.8,-1.43,24800,343000,2827000,20925000.0,125501000.0,13.8,,,,,24800.0,,
1/6/2015,SYMC,13.8,14.0,13.8,14.0,1.45,23600,330000,1686000,15710000.0,114145000.0,13.9,,,,,24200.0,,
1/7/2015,SYMC,14.0,14.1,14.0,14.0,0.0,75600,1059000,2639000,14338000.0,111279000.0,13.933333333333332,,,,,41333.333333333336,,
1/8/2015,SYMC,14.2,14.2,14.0,14.1,0.71,40600,573000,2899000,12568000.0,107187000.0,13.975,,,,,41150.0,,
1/9/2015,SYMC,14.3,14.5,14.3,14.5,2.84,71300,1026000,3331000,11709000.0,106962000.0,14.080000000000002,,,,,47180.0,,
1/12/2015,SYMC,14.5,15.1,14.4,15.0,3.45,151800,2261000,5249000,12660000.0,103740000.0,14.319999999999999,,,,,72580.0,,
1/13/2015,SYMC,15.0,15.0,14.8,15.0,0.0,56600,848000,5767000,11611000.0,98964000.0,14.52,,,,,79180.0,,
1/14/2015,SYMC,15.0,15.0,14.8,14.8,-1.33,45400,677000,5385000,10236000.0,96581000.0,14.680000000000001,,,,,73140.0,,
1/15/2015,SYMC,14.7,14.9,14.6,14.9,0.68,65900,971000,5783000,10572000.0,93437000.0,14.84,,,,,78200.0,,
1/16/2015,SYMC,15.1,15.2,14.8,14.8,-0.67,273100,4095000,8852000,13196000.0,93054000.0,14.9,,,,,118560.0,,
1/19/2015,SYMC,15.2,15.2,15.0,15.0,1.35,71501,1079000,7670000,14169000.0,91350000.0,14.9,,,,,102500.2,,
1/20/2015,SYMC,15.0,15.1,14.8,15.0,0.0,19700,295000,7117000,14151000.0,81314000.0,14.9,14.575000000000001,,,,95120.2,,
1/21/2015,SYMC,15.0,15.1,14.9,15.1,0.67,16800,253000,6693000,13810000.0,74907000.0,14.959999999999999,14.683333333333332,,,,89400.2,,
1/22/2015,SYMC,15.2,15.3,14.8,15.0,-0.66,94800,1430000,7152000,14897000.0,71650000.0,14.98,14.766666666666666,,,,95180.2,50.0,50.0
1/23/2015,SYMC,15.2,15.2,14.9,14.9,-0.67,122500,1831000,4888000,16398000.0,69919000.0,15.0,14.841666666666669,,,,65060.2,50.0,50.0
1/26/2015,SYMC,15.0,15.0,14.7,14.8,-0.67,37201,552000,4361000,15891000.0,69990000.0,14.959999999999999,14.9,,,,58200.2,42.857142857142854,47.61904761904762
1/27/2015,SYMC,14.9,15.0,14.8,14.9,0.68,122100,1822000,5888000,17140000.0,68206000.0,14.940000000000001,14.933333333333335,,,,78680.2,50.0,48.214285714285715
1/28/2015,SYMC,15.0,15.0,14.8,14.9,0.0,122902,1826000,7461000,17940000.0,55208000.0,14.9,14.925000000000002,,,,99900.6,42.857142857142854,47.142857142857146
1/29/2015,SYMC,14.9,15.0,14.8,14.8,-0.67,72600,1081000,7112000,16760000.0,54337000.0,14.86,14.908333333333337,,,,95460.6,35.71428571428572,44.28571428571429
1/30/2015,SYMC,15.0,15.1,14.8,14.9,0.68,139500,2078000,7359000,17990000.0,53607000.0,14.860000000000003,14.91666666666667,,,,98860.6,35.71428571428572,41.42857142857143
2/2/2015,SYMC,14.8,14.9,14.7,14.8,-0.67,23020,340000,7147000,17653000.0,52258000.0,14.86,14.908333333333337,,,,96024.4,35.71428571428572,40.00000000000001
2/3/2015,SYMC,14.7,14.9,14.5,14.7,-0.68,57307,845000,6170000,17527000.0,46197000.0,14.820000000000002,14.9,,,,83065.8,35.71428571428572,37.14285714285715
2/4/2015,SYMC,14.7,15.0,14.6,14.8,0.68,209112,3094000,7438000,16526000.0,43746000.0,14.8,14.883333333333335,,,,100307.8,35.71428571428572,35.71428571428572
2/5/2015,SYMC,14.8,14.9,14.6,14.7,-0.68,147100,2168000,8525000,17615000.0,43483000.0,14.780000000000001,14.858333333333334,,,,115207.8,35.71428571428572,35.71428571428572
2/6/2015,SYMC,14.6,14.8,14.6,14.7,0.0,185100,2711000,9158000,20031000.0,43851000.0,14.74,14.824999999999998,,,,124327.8,28.57142857142857,34.28571428571429
