Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,TC,4.0,4.04,3.96,4.0,0.0,237500,950000,1356000,5767000.0,40234000.0,4.0,,,,,237500.0,,,950000.0,0.0
1/6/2015,TC,4.0,4.0,3.98,3.98,-0.5,86200,344000,1611000,5545000.0,39701000.0,3.99,,,,,161850.0,,,647000.0,0.0
1/7/2015,TC,4.12,4.12,4.12,4.12,3.52,600,2000,1571000,4902000.0,38974000.0,4.033333333333334,,,,,108100.0,,,432000.0,0.0
1/8/2015,TC,4.1,4.22,4.1,4.22,2.43,41600,171000,1653000,4169000.0,28393000.0,4.08,,,,,91475.0,,,366750.0,0.0
1/9/2015,TC,4.08,4.16,4.06,4.16,-1.42,20701,84000,1551000,3687000.0,22152000.0,4.096,,,,,77320.2,,,310200.0,0.0
1/12/2015,TC,4.22,4.24,4.2,4.24,1.92,44400,187000,788000,3377000.0,20889000.0,4.144,,,,,38700.2,,,157600.0,0.0
1/13/2015,TC,4.12,4.24,4.12,4.24,0.0,15400,65000,509000,2437000.0,18242000.0,4.1960000000000015,,,,,24540.2,,,101800.0,0.0
1/14/2015,TC,4.18,4.22,4.14,4.22,-0.47,10300,43000,550000,2401000.0,17253000.0,4.215999999999998,,,,,26480.2,,,110000.0,0.0
1/15/2015,TC,4.3,4.3,4.18,4.26,0.95,54700,229000,608000,2481000.0,16005000.0,4.223999999999998,,,,,29100.2,,,121600.0,0.0
1/16/2015,TC,4.18,4.3,4.1,4.1,-3.76,73800,305000,829000,2697000.0,14734000.0,4.2120000000000015,,,,,39720.0,,,165800.0,0.0
1/19/2015,TC,4.24,4.24,4.04,4.2,2.44,35400,143000,785000,2798000.0,13361000.0,4.204,,,,,37920.0,,,157000.0,0.0
1/20/2015,TC,4.2,4.2,4.18,4.2,0.0,3700,15000,735000,2724000.0,12028000.0,4.1960000000000015,4.161666666666667,,,,35580.0,,,147000.0,0.0
1/21/2015,TC,4.2,4.44,4.18,4.34,3.33,154100,655000,1347000,3193000.0,11850000.0,4.22,4.19,,,,64340.0,,,269400.0,0.0
1/22/2015,TC,4.38,4.44,4.2,4.38,0.92,290100,1235000,2353000,3478000.0,12795000.0,4.244,4.2233333333333345,,,,111420.0,50.0,50.0,470600.0,0.0
1/23/2015,TC,4.24,4.38,4.24,4.38,0.0,22064,95000,2143000,3229000.0,12522000.0,4.3,4.245000000000001,,,,101072.8,50.0,50.0,428600.0,0.0
1/26/2015,TC,4.42,4.42,4.26,4.38,0.0,43001,187000,2187000,3414000.0,12339000.0,4.335999999999999,4.258333333333334,,,,102593.0,50.0,50.0,437400.0,0.0
