Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/6/2015,TF,165.0,165.5,165.0,165.0,-1.79,2700,446000,931000,5706000.0,18770000.0,165.0,,,,,2700.0,,,446000.0,0.0
1/7/2015,TF,165.0,167.0,165.0,165.0,0.0,2600,429000,926000,4978000.0,18534000.0,165.0,,,,,2650.0,,,437500.0,0.0
1/8/2015,TF,165.0,165.0,165.0,165.0,0.0,1600,264000,1190000,4632000.0,14037000.0,165.0,,,,,2300.0,,,379666.66666666674,0.0
1/9/2015,TF,165.0,166.0,165.0,166.0,0.61,1100,182000,1321000,4543000.0,13607000.0,165.25,,,,,2000.0,,,330250.0,0.0
1/12/2015,TF,166.0,167.0,165.0,167.0,0.6,2600,430000,1751000,4114000.0,13111000.0,165.6,,,,,2120.0,,,350200.0,0.0
1/13/2015,TF,166.5,166.5,163.0,166.5,-0.3,1703,279000,1584000,3772000.0,13104000.0,165.9,,,,,1920.6,,,316800.0,0.0
1/14/2015,TF,164.5,165.0,163.0,163.0,-2.1,6900,1131000,2286000,4265000.0,14093000.0,165.5,,,,,2780.6,,,457200.0,0.0
1/15/2015,TF,165.0,165.0,165.0,165.0,1.23,100,16000,2038000,4063000.0,13912000.0,165.5,,,,,2480.6,,,407600.0,0.0
1/16/2015,TF,165.0,165.0,163.0,163.0,-1.21,2200,360000,2216000,4022000.0,14075000.0,164.9,,,,,2700.6,,,443200.0,0.0
1/19/2015,TF,163.5,163.5,163.5,163.5,0.31,1800,294000,2080000,3882000.0,14333000.0,164.2,,,,,2540.6,,,416000.0,0.0
1/20/2015,TF,165.0,165.0,165.0,165.0,0.92,400,66000,1867000,3948000.0,14399000.0,163.9,,,,,2280.0,,,373400.0,0.0
1/21/2015,TF,165.0,165.5,165.0,165.5,0.3,306,51000,787000,3948000.0,14450000.0,164.4,164.95833333333334,,,,961.2,,,157400.0,0.0
1/22/2015,TF,165.5,165.5,165.0,165.0,-0.3,900,149000,920000,4097000.0,14119000.0,164.4,164.95833333333334,,,,1121.2,,,184000.0,0.0
1/23/2015,TF,165.0,165.0,165.0,165.0,0.0,1000,165000,725000,3816000.0,13756000.0,164.8,164.95833333333334,,,,881.2,42.857142857142854,42.857142857142854,145000.0,0.0
1/26/2015,TF,164.5,164.5,164.0,164.0,-0.61,1401,230000,661000,3617000.0,13898000.0,164.9,164.875,,,,801.4,42.857142857142854,42.857142857142854,132200.0,0.0
1/27/2015,TF,166.5,166.5,166.5,166.5,1.52,102,17000,612000,3370000.0,13757000.0,165.2,164.91666666666666,,,,741.8,50.0,45.23809523809525,122400.0,0.0
1/28/2015,TF,,,,,0.0,43,7000,568000,3195000.0,13729000.0,165.125,164.72727272727272,,,,689.2,50.0,46.42857142857143,113600.0,0.0
1/29/2015,TF,165.0,165.0,164.0,164.0,-1.5,2100,345000,764000,3110000.0,13618000.0,164.875,164.5,,,,929.2,42.857142857142854,45.714285714285715,152800.0,0.0
1/30/2015,TF,165.0,165.0,164.5,164.5,0.3,600,99000,698000,2930000.0,13316000.0,164.75,164.63636363636363,,,,849.2,42.857142857142854,45.714285714285715,139600.0,0.0
2/2/2015,TF,164.5,164.5,164.5,164.5,0.0,200,33000,501000,1832000.0,12153000.0,164.875,164.5909090909091,,,,609.0,42.857142857142854,45.714285714285715,100200.0,0.0
2/3/2015,TF,163.5,163.5,160.0,162.0,-1.52,2600,423000,907000,2239000.0,12559000.0,163.75,164.5,,,,1108.6,42.857142857142854,44.28571428571429,181400.0,0.0
2/4/2015,TF,164.0,164.0,162.0,162.0,0.0,1823,296000,1196000,2175000.0,10972000.0,163.4,164.36363636363637,,,,1464.6,35.714285714285715,41.42857142857143,239200.0,0.0
2/5/2015,TF,164.0,164.0,164.0,164.0,1.23,101,17000,868000,1898000.0,9832000.0,163.4,164.27272727272728,,,,1064.8,42.857142857142854,41.42857142857143,173600.0,0.0
2/6/2015,TF,165.0,165.0,165.0,165.0,0.61,200,33000,802000,1865000.0,9255000.0,163.5,164.22727272727272,,,,984.8,42.857142857142854,41.42857142857143,160400.0,0.0
2/9/2015,TF,165.0,165.0,163.0,163.0,-1.21,4000,655000,1424000,2469000.0,9639000.0,163.2,164.04545454545453,,,,1744.8,35.714285714285715,40.00000000000001,284800.0,0.0
2/10/2015,TF,163.5,165.0,162.0,165.0,1.23,2200,358000,1359000,2678000.0,9138000.0,163.8,164.04545454545453,164.56,-0.4002849002849303,-0.4002849002849303,1664.8,35.714285714285715,38.571428571428584,271800.0,0.0
2/11/2015,TF,164.5,164.5,162.0,162.0,-1.82,2300,375000,1438000,2888000.0,8892000.0,163.8,163.86363636363637,164.44,-0.6823361823361722,-0.5413105413105512,1760.2,35.714285714285715,38.571428571428584,287600.0,0.0
2/12/2015,TF,163.0,163.0,163.0,163.0,0.62,800,130000,1551000,2788000.0,8384000.0,163.6,163.54545454545453,164.36,-0.7977207977208423,-0.6267806267806483,1900.0,42.857142857142854,38.571428571428584,310200.0,0.0
2/13/2015,TF,162.0,162.0,162.0,162.0,-0.61,2100,340000,1858000,3111000.0,8506000.0,163.0,163.41666666666666,164.24,-0.8753561253561202,-0.6889245014245162,2280.0,42.857142857142854,38.571428571428584,371600.0,0.0
2/16/2015,TF,162.0,162.0,162.0,162.0,0.0,1601,259000,1462000,3363000.0,8364000.0,162.8,163.25,164.08,-0.8682336182336314,-0.7247863247863393,1800.2,35.714285714285715,38.571428571428584,292400.0,0.0
2/17/2015,TF,164.0,164.0,164.0,164.0,1.23,200,33000,1137000,3051000.0,7963000.0,162.6,163.20833333333334,163.96,-0.6328347578347575,-0.7712962962963047,1400.2,42.857142857142854,40.00000000000001,227400.0,0.0
