Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,TFI,1.33,1.36,1.33,1.36,2.26,975000,1319000,10874000,57008000.0,744870000.0,1.36,,,,,975000.0,,,1319000.0,0.0
1/6/2015,TFI,1.36,1.42,1.34,1.42,4.41,2703400,3760000,13186000,49197000.0,746022000.0,1.39,,,,,1839200.0,,,2539500.0,0.0
1/7/2015,TFI,1.44,1.45,1.4,1.44,1.41,4821700,6864000,13297000,50012000.0,751397000.0,1.406666666666667,,,,,2833366.666666666,,,3981000.0,0.0
1/8/2015,TFI,1.46,1.46,1.39,1.42,-1.39,5736700,8061000,20458000,54567000.0,758560000.0,1.41,,,,,3559200.0,,,5001000.0,0.0
1/9/2015,TFI,1.41,1.44,1.39,1.4,-1.41,8910300,12535000,32539000,61255000.0,769553000.0,1.4080000000000001,,,,,4629420.0,,,6507800.0,0.0
1/12/2015,TFI,1.4,1.46,1.39,1.46,4.29,5766700,8234000,39454000,62801000.0,773798000.0,1.4280000000000002,,,,,5587760.0,,,7890800.0,0.0
1/13/2015,TFI,1.47,1.59,1.46,1.56,6.85,18754101,28856000,64550000,87844000.0,801527000.0,1.456,,,,,8797900.2,,,12910000.0,0.0
1/14/2015,TFI,1.56,1.57,1.5,1.51,-3.21,6852900,10523000,68209000,93789000.0,811486000.0,1.47,,,,,9204140.2,,,13641800.0,0.0
1/15/2015,TFI,1.53,1.56,1.51,1.56,3.31,3205200,4924000,65072000,94631000.0,811510000.0,1.4980000000000002,,,,,8697840.2,,,13014400.0,0.0
1/16/2015,TFI,1.57,1.71,1.54,1.68,7.69,20729200,34167000,86704000,127350000.0,840092000.0,1.5539999999999998,,,,,11061620.2,,,17340800.0,0.0
1/19/2015,TFI,1.67,1.69,1.62,1.69,0.6,7771000,12912000,91382000,133509000.0,850577000.0,1.6,,,,,11462480.2,,,18276400.0,0.0
1/20/2015,TFI,1.7,1.7,1.66,1.68,-0.59,4582135,7709000,70235000,140318000.0,855608000.0,1.624,1.515,,,,8628087.0,,,14047000.0,0.0
1/21/2015,TFI,1.69,1.73,1.67,1.7,1.19,6816100,11616000,71328000,151480000.0,866070000.0,1.6619999999999997,1.5433333333333332,,,,8620727.0,,,14265600.0,0.0
1/22/2015,TFI,1.72,1.73,1.7,1.71,0.59,4924849,8428000,74832000,158589000.0,873532000.0,1.6920000000000002,1.5675,,,,8964656.8,71.42857142857143,71.42857142857143,14966400.0,0.0
1/23/2015,TFI,1.71,1.84,1.71,1.84,7.6,32534437,58221000,98886000,213050000.0,930189000.0,1.7240000000000002,1.600833333333333,,,,11325704.2,71.42857142857143,71.42857142857143,19777200.0,0.0
1/26/2015,TFI,1.98,2.16,1.86,1.88,2.17,172198128,350451000,436425000,556637000.0,1279186000.0,1.7619999999999998,1.6391666666666664,,,,44211129.8,71.42857142857143,71.42857142857143,87285000.0,0.0
1/27/2015,TFI,1.89,1.93,1.78,1.78,-5.32,21705563,40457000,469173000,589033000.0,1319031000.0,1.7819999999999998,1.6708333333333332,,,,47635815.4,64.28571428571428,69.64285714285714,93834600.0,0.0
1/28/2015,TFI,1.76,1.83,1.74,1.76,-1.12,14153177,25276000,482833000,601774000.0,1343106000.0,1.794,1.6958333333333335,,,,49103230.8,64.28571428571428,68.57142857142857,96566600.0,0.0
1/29/2015,TFI,1.78,1.88,1.76,1.78,1.14,18878681,34325000,508730000,627865000.0,1307555000.0,1.808,1.7141666666666666,,,,51893997.2,71.42857142857143,68.57142857142857,101746000.0,0.0
1/30/2015,TFI,1.8,1.85,1.68,1.69,-5.06,11942800,21037000,471546000,620046000.0,1286549000.0,1.778,1.7291666666666667,,,,47775669.8,64.28571428571428,67.14285714285714,94309200.0,0.0
2/2/2015,TFI,1.6,1.68,1.59,1.61,-4.73,3524800,5684000,126779000,615207000.0,819802000.0,1.7239999999999998,1.7333333333333334,,,,14041004.2,57.14285714285714,64.28571428571429,25355800.0,0.0
2/3/2015,TFI,1.56,1.61,1.54,1.61,0.0,3596900,5662000,91984000,615945000.0,756710000.0,1.6900000000000002,1.7274999999999998,,,,10419271.6,57.14285714285714,62.85714285714285,18396800.0,0.0
2/4/2015,TFI,1.6,1.63,1.6,1.61,0.0,2413000,3893000,70601000,585671000.0,749032000.0,1.66,1.7208333333333332,,,,8071236.2,50.0,60.0,14120200.0,0.0
2/5/2015,TFI,1.63,1.69,1.62,1.69,4.97,3786001,6296000,42572000,579055000.0,749279000.0,1.642,1.721666666666667,,,,5052700.2,50.0,55.71428571428571,8514400.0,0.0
2/6/2015,TFI,1.7,1.74,1.69,1.72,1.78,3616900,6210000,27745000,577556000.0,751983000.0,1.6480000000000001,1.7233333333333334,,,,3387520.2,50.0,52.85714285714285,5549000.0,0.0
2/9/2015,TFI,1.72,1.73,1.58,1.62,-5.81,5813002,9432000,31493000,575372000.0,755568000.0,1.65,1.715833333333333,1.6223076923076918,0.0789529914529914,0.0789529914529914,3845160.6,50.0,51.42857142857142,6298600.0,0.0
2/10/2015,TFI,1.61,1.67,1.6,1.63,0.62,2878600,4721000,30552000,571665000.0,753601000.0,1.654,1.6983333333333333,1.632692307692308,0.05532763532763485,0.06714031339031312,3701500.6,50.0,50.0,6110400.0,0.0
2/11/2015,TFI,1.65,1.67,1.6,1.63,0.0,2877600,4697000,31356000,518141000.0,754485000.0,1.658,1.6774999999999995,1.640769230769231,0.030220797720797117,0.05483380816714112,3794420.6,42.857142857142854,48.57142857142857,6271200.0,0.0
2/12/2015,TFI,1.63,1.66,1.61,1.64,0.61,2187415,3561000,28621000,171251000.0,753468000.0,1.6480000000000001,1.6658333333333333,1.6484615384615384,0.01402421652421637,0.04463141025640993,3474703.4,42.857142857142854,47.14285714285714,5724200.0,0.0
2/13/2015,TFI,1.63,1.64,1.61,1.62,-1.22,2904000,4718000,27129000,135512000.0,754104000.0,1.6280000000000001,1.6541666666666668,1.6561538461538463,-0.004565527065527153,0.034792022792022516,3332123.4,35.714285714285715,44.28571428571429,5425800.0,0.0
2/16/2015,TFI,1.62,1.73,1.61,1.68,3.7,3944909,6597000,24294000,116833000.0,759253000.0,1.64,1.6458333333333333,1.6669230769230767,-0.01680199430199436,0.015641025641025364,2958504.8,42.857142857142854,42.85714285714286,4858800.0,1.0
2/17/2015,TFI,1.68,1.69,1.65,1.65,-1.79,2135100,3560000,23133000,86068000.0,756060000.0,1.6439999999999997,1.6424999999999998,1.6742307692307692,-0.028782051282051583,-0.0011809116809119225,2809804.8,42.857142857142854,41.42857142857143,4626600.0,0.0
2/18/2015,TFI,1.68,1.68,1.64,1.68,1.82,855691,1421000,19857000,66452000.0,756581000.0,1.654,1.6483333333333332,1.6788461538461539,-0.02572649572649577,-0.012370370370370498,2405423.0,42.857142857142854,41.42857142857143,3971400.0,0.0
2/19/2015,TFI,1.69,1.69,1.65,1.67,-0.6,647600,1076000,17372000,61844000.0,757203000.0,1.6599999999999997,1.653333333333333,1.685,-0.027991452991453114,-0.0207735042735044,2097460.0,42.857142857142854,41.42857142857143,3474400.0,0.0
2/20/2015,TFI,1.66,1.69,1.65,1.67,0.0,1002800,1677000,14331000,57859000.0,757561000.0,1.67,1.658333333333334,1.6892307692307689,-0.027678062678062387,-0.025396011396011442,1717220.0,42.857142857142854,42.857142857142854,2866200.0,0.0
2/23/2015,TFI,1.69,1.7,1.67,1.69,1.2,1870000,3149000,10883000,57115000.0,756950000.0,1.672,1.6583333333333334,1.6896153846153843,-0.026438746438746108,-0.0273233618233618,1302238.2,50.0,44.28571428571429,2176600.0,0.0
2/24/2015,TFI,1.71,1.71,1.67,1.67,-1.18,3840545,6493000,13816000,57312000.0,756579000.0,1.6759999999999995,1.6541666666666668,1.6888461538461537,-0.03084757834757812,-0.0277364672364671,1643327.2,50.0,45.71428571428571,2763200.0,1.0
2/25/2015,TFI,1.69,1.7,1.66,1.67,0.0,1271965,2140000,14535000,53242000.0,750658000.0,1.6740000000000002,1.6583333333333332,1.6884615384615391,-0.02696581196581227,-0.0279843304843304,1726582.0,42.857142857142854,45.714285714285715,2907000.0,0.0
2/26/2015,TFI,1.67,1.69,1.61,1.66,-0.6,1810700,2991000,16450000,46801000.0,741114000.0,1.672,1.6608333333333332,1.6869230769230767,-0.024223646723647185,-0.027230769230769208,1959202.0,35.714285714285715,44.28571428571429,3290000.0,0.0
2/27/2015,TFI,1.63,1.67,1.56,1.61,-3.01,5724212,9187000,23960000,51267000.0,742067000.0,1.6599999999999997,1.659166666666667,1.6830769230769231,-0.02606125356125344,-0.026907407407407425,2903484.4,35.714285714285715,42.85714285714286,4792000.0,0.0
3/2/2015,TFI,1.57,1.59,1.45,1.53,-4.97,7669400,11658000,32469000,58228000.0,724869000.0,1.6280000000000001,1.6499999999999997,1.671153846153846,-0.02915954415954425,-0.02745156695156705,4063364.4,28.57142857142857,38.571428571428584,6493800.0,0.0
3/3/2015,TFI,1.5,1.54,1.5,1.51,-1.31,1929438,2934000,28910000,57601000.0,717280000.0,1.596,1.6408333333333334,1.6569230769230765,-0.025334757834757585,-0.026349002849002944,3681143.0,28.57142857142857,34.285714285714285,5782000.0,0.0
3/5/2015,TFI,1.47,1.51,1.47,1.5,-0.66,739600,1104000,27874000,53987000.0,713460000.0,1.5619999999999998,1.6258333333333337,1.646153846153846,-0.02885327635327628,-0.02672649572649575,3574670.0,21.42857142857143,30.0,5574800.0,0.0
3/6/2015,TFI,1.48,1.58,1.48,1.57,4.67,2147500,3325000,28208000,50715000.0,682618000.0,1.544,1.6191666666666666,1.6388461538461538,-0.022143874643874902,-0.02631054131054129,3642030.0,28.57142857142857,28.57142857142857,5641600.0,0.0
3/9/2015,TFI,1.55,1.66,1.55,1.66,5.73,2383400,3860000,22881000,51015000.0,673566000.0,1.554,1.6175,1.634230769230769,-0.012101139601139456,-0.02351851851851849,2973867.6,28.57142857142857,27.142857142857146,4576200.0,0.0
3/10/2015,TFI,1.63,1.69,1.62,1.63,-1.81,2371301,3915000,15138000,53509000.0,669772000.0,1.574,1.6141666666666663,1.6319230769230768,-0.015178062678062654,-0.020722222222222177,1914247.8,28.57142857142857,27.142857142857146,3027600.0,2.0
3/11/2015,TFI,1.6,1.66,1.6,1.66,1.84,1275500,2085000,14289000,54518000.0,660241000.0,1.604,1.613333333333333,1.6338461538461535,-0.015270655270655187,-0.018709401709401698,1783460.2,28.57142857142857,27.142857142857146,2857800.0,0.0
3/12/2015,TFI,1.64,1.72,1.64,1.71,3.01,2493000,4200000,17385000,57041000.0,656013000.0,1.646,1.6150000000000002,1.6376923076923076,-0.013433048433048269,-0.015625356125356094,2134140.2,35.714285714285715,30.0,3477000.0,2.0
3/13/2015,TFI,1.69,1.71,1.64,1.66,-2.92,4250000,7133000,21193000,61025000.0,604925000.0,1.6640000000000001,1.6141666666666667,1.6396153846153847,-0.019907407407407485,-0.015178062678062609,2554640.2,35.714285714285715,31.428571428571434,4238600.0,0.0
3/16/2015,TFI,1.66,1.7,1.5,1.52,-8.43,5308200,8468000,25801000,63000000.0,262942000.0,1.636,1.6016666666666666,1.633076923076923,-0.03559829059829078,-0.019877492877492874,3139600.2,28.57142857142857,31.428571428571434,5160200.0,0.0
3/17/2015,TFI,1.54,1.6,1.5,1.51,-0.66,3893300,5963000,27849000,66823000.0,228448000.0,1.612,1.5891666666666668,1.625,-0.03949430199430149,-0.02474074074074064,3444000.0,28.57142857142857,31.428571428571434,5569800.0,0.0
3/18/2015,TFI,1.51,1.52,1.48,1.5,-0.66,2480800,3708000,29472000,67540000.0,206880000.0,1.58,1.58,1.620384615384615,-0.043774928774928716,-0.03044159544159535,3685060.0,28.57142857142857,31.428571428571434,5894400.0,0.0
