Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
7/8/2015,TH-W2,1.26,1.37,1.12,1.15,0.0,117352550,143886000,143886000,143886000.0,143886000.0,1.15,,,,,117352550.0,,,143886000.0,0.0
7/9/2015,TH-W2,1.17,1.19,1.11,1.11,-3.48,45250487,52145000,196031000,196031000.0,196031000.0,1.13,,,,,81301518.5,,,98015500.0,0.0
7/10/2015,TH-W2,1.14,1.17,1.04,1.07,-3.6,25127275,28237000,224268000,224268000.0,224268000.0,1.11,,,,,62576770.66666666,,,74756000.0,0.0
7/13/2015,TH-W2,1.08,1.1,1.0,1.02,-4.67,13863636,14595000,238863000,238863000.0,238863000.0,1.0875,,,,,50398487.0,,,59715750.0,0.0
7/14/2015,TH-W2,1.02,1.08,0.96,0.97,-4.9,17589592,17852000,256715000,256715000.0,256715000.0,1.0639999999999998,,,,,43836708.0,,,51343000.0,0.0
7/15/2015,TH-W2,0.98,0.99,0.92,0.94,-3.09,17182817,16430000,129259000,273145000.0,273145000.0,1.0219999999999998,,,,,23802761.4,,,25851800.0,0.0
7/16/2015,TH-W2,0.94,0.94,0.9,0.9,-4.26,6088168,5611000,82725000,278756000.0,278756000.0,0.98,,,,,15970297.6,,,16545000.0,0.0
7/17/2015,TH-W2,0.91,0.96,0.89,0.91,1.11,9715274,9032000,63520000,287788000.0,287788000.0,0.9479999999999998,,,,,12887897.4,,,12704000.0,0.0
7/20/2015,TH-W2,0.92,0.92,0.83,0.83,-8.79,4123627,3552000,52477000,291340000.0,291340000.0,0.91,,,,,10939895.6,,,10495400.0,0.0
7/21/2015,TH-W2,0.83,0.83,0.71,0.71,-14.46,5753731,4392000,39017000,295732000.0,295732000.0,0.858,,,,,8572723.4,,,7803400.0,0.0
7/22/2015,TH-W2,0.72,0.75,0.7,0.75,5.63,4332299,3173000,25760000,298905000.0,298905000.0,0.82,,,,,6002619.8,,,5152000.0,0.0
7/23/2015,TH-W2,0.77,0.8,0.74,0.76,1.33,5122933,3950000,24099000,302855000.0,302855000.0,0.792,0.9266666666666666,,,,5809572.8,,,4819800.0,0.0
7/24/2015,TH-W2,0.76,0.77,0.71,0.75,-1.32,6404234,4750000,19817000,307605000.0,307605000.0,0.76,0.8933333333333334,,,,5147364.8,,,3963400.0,0.0
7/27/2015,TH-W2,0.76,0.8,0.74,0.75,0.0,7815276,6010000,22275000,169729000.0,313615000.0,0.7440000000000001,0.8633333333333333,,,,5885694.6,21.42857142857143,21.42857142857143,4455000.0,0.0
7/28/2015,TH-W2,0.75,0.76,0.68,0.68,-9.33,3436066,2455000,20338000,120039000.0,316070000.0,0.738,0.8308333333333332,,,,5422161.6,21.42857142857143,21.42857142857143,4067600.0,0.0
7/29/2015,TH-W2,0.69,0.7,0.61,0.63,-7.35,2322065,1519000,18684000,93321000.0,317589000.0,0.7140000000000001,0.7983333333333333,,,,5020114.8,21.42857142857143,21.42857142857143,3736800.0,0.0
7/31/2015,TH-W2,0.65,0.68,0.64,0.64,1.59,2354410,1546000,16280000,80272000.0,319135000.0,0.6900000000000001,0.7708333333333334,,,,4466410.2,28.57142857142857,23.214285714285715,3256000.0,0.0
8/3/2015,TH-W2,0.65,0.66,0.64,0.64,0.0,1614271,1041000,12571000,63461000.0,320176000.0,0.6679999999999999,0.7458333333333332,,,,3508417.6,28.57142857142857,24.285714285714285,2514200.0,0.0
8/4/2015,TH-W2,0.65,0.72,0.65,0.69,7.81,6533414,4452000,11013000,51483000.0,324628000.0,0.6559999999999999,0.7283333333333332,,,,3252045.2,35.714285714285715,27.142857142857146,2202600.0,0.0
8/5/2015,TH-W2,0.7,0.76,0.69,0.71,2.9,17565849,12730000,21288000,58602000.0,337358000.0,0.662,0.7116666666666666,,,,6078001.8,42.857142857142854,31.42857142857143,4257600.0,0.0
8/6/2015,TH-W2,0.73,0.8,0.72,0.77,8.45,43090669,33273000,53042000,82843000.0,370631000.0,0.69,0.7066666666666666,,,,14231722.6,50.0,37.142857142857146,10608400.0,0.0
8/7/2015,TH-W2,0.8,0.81,0.75,0.75,-2.6,30303799,23701000,75197000,102992000.0,394332000.0,0.7120000000000001,0.71,,,,19821600.4,42.857142857142854,40.0,15039400.0,0.0
8/10/2015,TH-W2,0.75,0.79,0.72,0.72,-4.0,10289044,7755000,81911000,106355000.0,402087000.0,0.728,0.7075,,,,21556555.0,42.857142857142854,42.85714285714286,16382200.0,0.0
8/11/2015,TH-W2,0.71,0.71,0.59,0.6,-16.67,9174000,5970000,83429000,109152000.0,408057000.0,0.7100000000000001,0.6941666666666667,,,,22084672.2,42.857142857142854,44.28571428571429,16685800.0,0.0
8/13/2015,TH-W2,0.56,0.62,0.55,0.57,-5.0,5649692,3338000,74037000,108540000.0,411395000.0,0.682,0.6791666666666666,,,,19701440.8,35.714285714285715,42.85714285714286,14807400.0,0.0
8/14/2015,TH-W2,0.57,0.61,0.52,0.52,-8.77,11126066,6265000,47029000,110055000.0,417660000.0,0.6319999999999999,0.66,0.7899999999999999,-0.1315384615384615,-0.1315384615384615,13308520.2,28.57142857142857,38.57142857142857,9405800.0,0.0
8/17/2015,TH-W2,0.53,0.54,0.49,0.5,-3.85,2964968,1525000,24853000,105570000.0,419185000.0,0.5820000000000001,0.645,0.765,-0.1226780626780628,-0.12710826210826215,7840754.0,28.57142857142857,35.714285714285715,4970600.0,0.0
8/18/2015,TH-W2,0.46,0.48,0.45,0.45,-10.0,4481919,2066000,19164000,105181000.0,421251000.0,0.528,0.63,0.7396153846153847,-0.11585470085470086,-0.12335707502374173,6679329.0,28.57142857142857,32.857142857142854,3832800.0,0.0
8/19/2015,TH-W2,0.46,0.53,0.46,0.49,8.89,17394604,8793000,21987000,112455000.0,430044000.0,0.506,0.6175,0.7173076923076922,-0.10258547008546992,-0.11816417378917375,8323449.8,35.714285714285715,31.428571428571434,4397400.0,2.0
8/20/2015,TH-W2,0.49,0.6,0.49,0.55,12.24,36279959,20042000,38691000,130951000.0,450086000.0,0.502,0.61,0.6992307692307692,-0.08740740740740738,-0.1120128205128205,14449503.2,42.857142857142854,32.857142857142854,7738200.0,2.0
8/21/2015,TH-W2,0.54,0.59,0.53,0.55,0.0,15489796,8719000,41145000,138629000.0,458805000.0,0.508,0.5983333333333334,0.683076923076923,-0.08232193732193728,-0.10216951566951564,15322249.2,35.714285714285715,34.285714285714285,8229000.0,2.0
8/24/2015,TH-W2,0.52,0.53,0.46,0.46,-16.36,5303000,2662000,42282000,136839000.0,461467000.0,0.5,0.5775,0.6646153846153845,-0.09003561253561243,-0.09564102564102556,15789855.6,35.714285714285715,35.714285714285715,8456400.0,0.0
8/25/2015,TH-W2,0.48,0.5,0.41,0.43,-6.52,6277566,2740000,42956000,126849000.0,464207000.0,0.4960000000000001,0.5491666666666666,0.6465384615384615,-0.0996652421652422,-0.09240313390313384,16148985.0,28.57142857142857,35.714285714285715,8591200.0,0.0
8/26/2015,TH-W2,0.44,0.48,0.43,0.44,2.33,3638999,1650000,35813000,95226000.0,465857000.0,0.486,0.5233333333333333,0.6284615384615384,-0.103988603988604,-0.09268376068376064,13397864.0,28.57142857142857,34.285714285714285,7162600.0,0.0
8/27/2015,TH-W2,0.46,0.49,0.45,0.47,6.82,5630833,2660000,18431000,74185000.0,324631000.0,0.4699999999999999,0.5025,0.6146153846153847,-0.10640313390313404,-0.096482905982906,7268038.8,28.57142857142857,31.428571428571434,3686200.0,0.0
8/28/2015,TH-W2,0.48,0.54,0.47,0.49,4.26,10460720,5315000,15027000,71745000.0,277801000.0,0.458,0.4933333333333334,0.6061538461538463,-0.10472934472934486,-0.10096438746438753,6262223.6,35.714285714285715,31.428571428571434,3005400.0,0.0
8/31/2015,TH-W2,0.5,0.52,0.5,0.51,4.08,3764633,1938000,14303000,67713000.0,251502000.0,0.46799999999999997,0.4883333333333333,0.596923076923077,-0.09881766381766394,-0.1027207977207978,5954550.2,42.857142857142854,32.857142857142854,2860600.0,0.0
9/1/2015,TH-W2,0.51,0.55,0.51,0.55,7.84,13589731,7256000,18819000,71631000.0,244163000.0,0.4920000000000001,0.4908333333333333,0.5888461538461539,-0.08603276353276368,-0.0999943019943021,7416983.2,50.0,37.142857142857146,3763800.0,2.0
9/2/2015,TH-W2,0.55,0.55,0.53,0.53,-3.64,5094499,2747000,19916000,68113000.0,229058000.0,0.51,0.4933333333333334,0.5803846153846154,-0.0776780626780626,-0.09473219373219384,7708083.2,50.0,41.42857142857143,3983200.0,0.0
9/3/2015,TH-W2,0.54,0.55,0.53,0.53,0.0,2386445,1277000,18533000,67865000.0,213905000.0,0.522,0.5000000000000001,0.571923076923077,-0.06420227920227918,-0.08629202279202285,7059205.6,50.0,45.714285714285715,3706600.0,0.0
9/4/2015,TH-W2,0.54,0.54,0.49,0.49,-7.55,4035666,2036000,15254000,67835000.0,210330000.0,0.522,0.5000000000000001,0.5646153846153846,-0.06062678062678056,-0.07747150997150999,5774194.8,50.0,48.57142857142857,3050800.0,0.0
