Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,TH,2.24,2.24,2.18,2.22,-0.89,2217201,4895000,77759000,168670000.0,1473298000.0,2.22,,,,,2217201.0,,
1/6/2015,TH,2.22,2.24,2.12,2.22,0.0,4775800,10479000,20090000,162232000.0,1476581000.0,2.22,,,,,3496500.5,,
1/7/2015,TH,2.22,2.34,2.14,2.24,0.9,13159200,29554000,46649000,179489000.0,1493861000.0,2.226666666666667,,,,,6717400.333333333,,
1/8/2015,TH,2.24,2.28,2.18,2.24,0.0,5648400,12676000,58660000,178544000.0,1415089000.0,2.2300000000000004,,,,,6450150.25,,
1/9/2015,TH,2.24,2.28,2.22,2.26,0.89,4985101,11182000,68786000,176721000.0,1260929000.0,2.236,,,,,6157140.4,,
1/12/2015,TH,2.28,2.28,2.22,2.24,-0.88,5819000,13107000,76998000,177189000.0,1242302000.0,2.24,,,,,6877500.2,,
1/13/2015,TH,2.26,2.36,2.24,2.34,4.46,18165020,41870000,108389000,201342000.0,1267546000.0,2.2640000000000002,,,,,9555344.2,,
1/14/2015,TH,2.36,2.36,2.28,2.36,0.85,14517509,33739000,112574000,233509000.0,1271320000.0,2.288,,,,,9827006.0,,
1/15/2015,TH,2.36,2.46,2.34,2.4,1.69,26884542,64920000,164818000,295286000.0,1304504000.0,2.32,,,,,14074234.4,,
1/16/2015,TH,2.38,2.48,2.36,2.44,1.67,18674500,45456000,199092000,272594000.0,1248645000.0,2.356,,,,,16812114.2,,
1/19/2015,TH,2.48,2.48,2.4,2.42,-0.82,11157900,27303000,213288000,296902000.0,1202716000.0,2.392,,,,,17879894.2,,
1/20/2015,TH,2.46,2.56,2.42,2.56,5.79,25617900,64418000,235836000,360655000.0,1239406000.0,2.436,2.3283333333333336,,,,19370470.2,,
1/21/2015,TH,2.6,2.62,2.5,2.56,0.0,11651000,29832000,231929000,389431000.0,1258629000.0,2.476,2.356666666666667,,,,18797168.4,,
1/22/2015,TH,2.58,2.6,2.48,2.52,-1.56,9244600,23407000,190416000,407943000.0,1217580000.0,2.5,2.3816666666666664,,,,15269180.0,50.0,50.0
1/23/2015,TH,2.54,2.64,2.5,2.62,3.97,29700400,76734000,221694000,474198000.0,1232197000.0,2.536,2.4133333333333336,,,,17474360.0,57.14285714285714,53.57142857142857
1/26/2015,TH,2.66,2.7,2.36,2.4,-8.4,52894401,134483000,328874000,579127000.0,1343592000.0,2.5320000000000005,2.4266666666666663,,,,25821660.2,57.14285714285714,54.76190476190476
1/27/2015,TH,2.38,2.42,2.32,2.38,-0.83,15311702,36280000,300736000,602731000.0,1354008000.0,2.496,2.436666666666666,,,,23760420.6,50.0,53.57142857142857
1/28/2015,TH,2.36,2.4,2.32,2.4,0.84,8132300,19201000,290105000,610750000.0,1001760000.0,2.4640000000000004,2.4499999999999997,,,,23056680.6,57.14285714285714,54.28571428571429
1/29/2015,TH,2.44,2.46,2.38,2.44,1.67,7196601,17471000,284169000,615114000.0,950035000.0,2.4479999999999995,2.4583333333333335,,,,22647080.8,57.14285714285714,55.71428571428571
1/30/2015,TH,2.48,2.48,2.4,2.4,-1.64,3568700,8660000,216095000,581904000.0,920880000.0,2.404,2.4616666666666664,,,,17420740.8,57.14285714285714,55.71428571428571
2/2/2015,TH,2.42,2.42,2.36,2.4,0.0,3408700,8128000,89740000,556293000.0,898464000.0,2.404,2.4616666666666664,,,,7523600.6,50.0,54.28571428571429
2/3/2015,TH,2.4,2.48,2.4,2.44,1.67,3125800,7574000,61034000,498947000.0,885144000.0,2.416,2.4616666666666664,,,,5086420.2,50.0,54.28571428571429
2/4/2015,TH,2.46,2.46,2.38,2.38,-2.46,6554700,15809000,57642000,469300000.0,884036000.0,2.412,2.4583333333333335,,,,4770900.2,42.857142857142854,51.42857142857142
2/5/2015,TH,2.4,2.42,2.38,2.38,0.0,2168201,5191000,45362000,447188000.0,876930000.0,2.4,2.443333333333333,,,,3765220.2,35.71428571428572,47.142857142857146
2/6/2015,TH,2.4,2.42,2.36,2.42,1.68,5042300,12035000,48737000,394805000.0,875344000.0,2.404,2.4316666666666666,,,,4059940.2,42.857142857142854,44.28571428571429
2/9/2015,TH,2.44,2.74,2.42,2.58,6.61,60137845,158017000,198626000,522990000.0,1020356000.0,2.4400000000000004,2.436666666666666,2.3946153846153844,0.050370370370369955,0.050370370370369955,15405769.2,42.857142857142854,42.85714285714286
2/10/2015,TH,2.6,2.8,2.58,2.8,8.53,77276400,211499000,402551000,711082000.0,1219216000.0,2.5119999999999996,2.4516666666666667,2.416923076923077,0.05995726495726528,0.055163817663817616,30235889.2,50.0,42.85714285714286
2/11/2015,TH,2.82,2.86,2.68,2.72,-2.86,34722201,96248000,482990000,730596000.0,1297747000.0,2.58,2.478333333333333,2.4361538461538457,0.05833333333333357,0.0562203228869896,35869389.4,50.0,44.28571428571429
2/12/2015,TH,2.7,2.88,2.7,2.82,3.68,58841180,166112000,643911000,762225000.0,1462287000.0,2.668,2.5149999999999997,2.4584615384615383,0.07668091168091218,0.061335470085470245,47203985.2,50.0,47.142857142857146
