Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,THIP,129.0,129.5,129.0,129.0,0.0,1900,245000,297000,5771000.0,28100000.0,129.0,,,,,1900.0,,
1/6/2015,THIP,128.0,128.0,127.5,127.5,-1.16,7000,895000,1192000,5327000.0,28952000.0,128.25,,,,,4450.0,,
1/7/2015,THIP,131.0,131.0,131.0,131.0,2.75,600,79000,1245000,4938000.0,26207000.0,129.16666666666666,,,,,3166.6666666666665,,
1/8/2015,THIP,130.0,131.0,130.0,131.0,0.0,3800,496000,1715000,5331000.0,26542000.0,129.625,,,,,3325.0,,
1/9/2015,THIP,131.5,131.5,131.5,131.5,0.38,1501,197000,1912000,5387000.0,25789000.0,130.0,,,,,2960.2,,
1/15/2015,THIP,129.5,129.5,129.5,129.5,-1.52,300,39000,236000,2003000.0,25380000.0,130.1,,,,,2640.2,,
1/16/2015,THIP,131.5,131.5,129.0,130.0,0.39,9500,1230000,1269000,3233000.0,23265000.0,130.6,,,,,3140.2,,
1/19/2015,THIP,129.0,130.0,129.0,130.0,0.0,3700,478000,1747000,3685000.0,22007000.0,130.4,,,,,3760.2,,
1/20/2015,THIP,131.0,132.5,131.0,132.5,1.92,1700,224000,1971000,3883000.0,21867000.0,130.7,,,,,3340.2,,
1/21/2015,THIP,133.0,133.0,133.0,133.0,0.38,14000,1862000,3833000,5745000.0,23716000.0,131.0,,,,,5840.0,,
1/22/2015,THIP,132.0,133.0,130.5,132.0,-0.75,6700,878000,4672000,6378000.0,24326000.0,131.5,,,,,7120.0,,
1/23/2015,THIP,132.5,132.5,129.0,130.0,-1.52,16570,2170000,5612000,7653000.0,26416000.0,131.5,130.58333333333334,,,,8534.0,,
1/26/2015,THIP,132.0,132.0,131.0,131.0,0.77,17200,2265000,7399000,9839000.0,26818000.0,131.7,130.75,,,,11234.0,,
1/27/2015,THIP,132.0,132.0,130.5,131.5,0.38,3902,512000,7687000,9855000.0,27169000.0,131.5,131.08333333333334,,,,11674.4,50.0,50.0
1/28/2015,THIP,130.5,131.0,130.0,131.0,-0.38,5400,704000,6529000,10362000.0,22184000.0,131.1,131.08333333333334,,,,9954.4,50.0,50.0
1/29/2015,THIP,132.0,132.5,132.0,132.5,1.15,700,92000,5743000,10454000.0,21157000.0,131.2,131.20833333333334,,,,8754.4,57.14285714285714,52.38095238095238
1/30/2015,THIP,132.0,132.5,131.5,131.5,-0.75,4100,542000,4115000,10996000.0,21435000.0,131.5,131.20833333333334,,,,6260.4,50.0,51.785714285714285
2/2/2015,THIP,131.5,131.5,131.5,131.5,0.0,200,26000,1876000,11022000.0,20276000.0,131.6,131.375,,,,2860.4,50.0,51.42857142857142
2/3/2015,THIP,131.5,132.0,131.0,131.5,0.0,6300,829000,2193000,11812000.0,19289000.0,131.6,131.5,,,,3340.0,42.857142857142854,50.0
2/4/2015,THIP,131.5,131.5,131.5,131.5,0.0,300,39000,1528000,10621000.0,17989000.0,131.7,131.625,,,,2320.0,42.857142857142854,48.57142857142857
2/5/2015,THIP,131.0,131.0,130.0,130.0,-1.14,6100,795000,2231000,10938000.0,18316000.0,131.2,131.41666666666666,,,,3400.0,35.71428571428572,44.28571428571429
2/6/2015,THIP,134.0,134.0,130.0,130.0,0.0,1200,156000,1845000,10870000.0,18369000.0,130.9,131.16666666666666,,,,2820.0,35.71428571428572,41.42857142857143
2/9/2015,THIP,129.0,130.0,129.0,130.0,0.0,1400,181000,2000000,9189000.0,18409000.0,130.6,131.0,,,,3060.0,28.57142857142857,37.142857142857146
2/10/2015,THIP,129.5,129.5,129.0,129.0,-0.77,4600,595000,1766000,8906000.0,18888000.0,130.1,130.91666666666666,,,,2720.0,21.42857142857143,32.85714285714287
2/11/2015,THIP,129.0,129.0,129.0,129.0,0.0,500,64000,1791000,6800000.0,18809000.0,129.6,130.75,,,,2760.0,21.42857142857143,28.571428571428577
2/13/2015,THIP,129.5,129.5,129.5,129.5,0.39,504,65000,905000,4088000.0,15710000.0,129.5,130.58333333333334,130.6346153846154,-0.13390313390311803,-0.13390313390311803,1640.8,28.57142857142857,27.142857142857146
2/16/2015,THIP,134.0,134.0,130.0,130.0,0.39,2800,369000,1093000,3753000.0,16079000.0,129.5,130.5,130.67307692307693,-0.20014245014246512,-0.16702279202279158,1960.8,28.57142857142857,25.71428571428571
2/17/2015,THIP,132.0,142.0,132.0,140.0,7.69,12600,1722000,2220000,5383000.0,17775000.0,131.5,131.125,131.15384615384616,0.6812678062677833,0.11574074074073337,4200.8,28.57142857142857,25.71428571428571
2/18/2015,THIP,144.0,145.0,140.0,141.0,0.71,7500,1070000,3226000,5911000.0,18819000.0,133.9,131.91666666666666,131.53846153846155,1.074786324786288,0.35550213675212206,4780.8,35.71428571428572,28.571428571428573
2/19/2015,THIP,141.0,141.5,139.5,139.5,-1.06,3108,438000,3664000,6323000.0,19257000.0,136.0,132.58333333333334,131.8653846153846,1.2165242165242205,0.5277065527065418,5302.4,28.57142857142857,30.0
2/20/2015,THIP,139.5,139.5,138.5,138.5,-0.72,300,42000,3641000,5536000.0,19054000.0,137.8,133.16666666666666,132.1346153846154,1.3810541310541282,0.830698005697991,5261.6,28.57142857142857,30.0
