Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,TIES-W2,1.27,1.27,1.17,1.18,-8.53,6501000,7865000,95965000,1086814000.0,7598437000.0,1.18,,,,,6501000.0,,,7865000.0,0.0
1/6/2015,TIES-W2,1.02,1.11,0.94,0.99,-16.1,15863201,16012000,94882000,1079027000.0,7522554000.0,1.085,,,,,11182100.5,,,11938500.0,0.0
1/7/2015,TIES-W2,1.02,1.48,1.02,1.33,34.34,65531700,88238000,134654000,1142989000.0,7106845000.0,1.1666666666666667,,,,,29298633.66666667,,,37371666.66666666,0.0
1/8/2015,TIES-W2,1.3,1.5,1.3,1.4,5.26,23584600,33044000,157868000,872408000.0,6640827000.0,1.225,,,,,27870125.25,,,36289750.0,0.0
1/9/2015,TIES-W2,1.43,1.44,1.3,1.32,-5.71,9900101,13288000,158447000,449237000.0,6310424000.0,1.2440000000000002,,,,,24276120.4,,,31689400.0,0.0
1/12/2015,TIES-W2,1.33,1.4,1.3,1.33,0.76,8917800,12018000,162600000,344128000.0,6159022000.0,1.274,,,,,24759480.4,,,32520000.0,0.0
1/13/2015,TIES-W2,1.32,1.37,1.29,1.31,-1.5,6635501,8781000,155369000,334358000.0,5973371000.0,1.338,,,,,22913940.4,,,31073800.0,0.0
1/14/2015,TIES-W2,1.3,1.32,1.2,1.22,-6.87,5213600,6590000,73721000,281028000.0,4934939000.0,1.3159999999999998,,,,,10850320.4,,,14744200.0,0.0
1/15/2015,TIES-W2,1.22,1.29,1.16,1.19,-2.46,4454300,5461000,46138000,279397000.0,4450155000.0,1.2740000000000002,,,,,7024260.4,,,9227600.0,0.0
1/16/2015,TIES-W2,1.19,1.22,1.13,1.16,-2.52,3678640,4253000,37103000,266555000.0,4302535000.0,1.2420000000000002,,,,,5779968.2,,,7420600.0,0.0
1/19/2015,TIES-W2,1.15,1.28,1.1,1.2,3.45,11895200,14338000,39423000,232427000.0,3798657000.0,1.216,,,,,6375448.2,,,7884600.0,0.0
1/20/2015,TIES-W2,1.2,1.2,1.12,1.15,-4.17,1989703,2306000,32948000,224903000.0,2223489000.0,1.1840000000000002,1.231666666666667,,,,5446288.6,,,6589600.0,0.0
1/21/2015,TIES-W2,1.14,1.22,1.12,1.14,-0.87,4498302,5242000,31600000,217436000.0,1969951000.0,1.1679999999999997,1.2283333333333333,,,,5303229.0,,,6320000.0,0.0
1/22/2015,TIES-W2,1.15,1.18,1.12,1.12,-1.75,3327400,3818000,29957000,213389000.0,1767182000.0,1.154,1.2391666666666667,,,,5077849.0,28.57142857142857,28.57142857142857,5991400.0,0.0
1/23/2015,TIES-W2,1.12,1.15,1.07,1.09,-2.68,3574600,4009000,29713000,201386000.0,1581622000.0,1.14,1.2191666666666665,,,,5057041.0,28.57142857142857,28.57142857142857,5942600.0,0.0
1/26/2015,TIES-W2,1.03,1.07,0.98,0.98,-10.09,7244901,7282000,22657000,120430000.0,1546183000.0,1.096,1.1841666666666668,,,,4126981.2,28.57142857142857,28.57142857142857,4531400.0,0.0
1/27/2015,TIES-W2,0.94,0.99,0.6,0.71,-27.55,20635800,15797000,36148000,103183000.0,1529442000.0,1.008,1.1333333333333335,,,,7856200.6,21.42857142857143,26.785714285714285,7229600.0,0.0
1/28/2015,TIES-W2,0.68,0.7,0.49,0.54,-23.94,24808100,13439000,44345000,103334000.0,1489878000.0,0.8879999999999999,1.0675,,,,11918160.2,14.285714285714292,24.285714285714285,8869000.0,0.0
1/29/2015,TIES-W2,0.51,1.21,0.51,1.21,124.07,221520665,223433000,263960000,314749000.0,1673600000.0,0.906,1.0591666666666668,,,,55556813.2,21.42857142857143,22.857142857142854,52792000.0,0.0
1/30/2015,TIES-W2,1.31,1.44,1.07,1.33,9.92,219949561,288846000,548797000,594814000.0,1893644000.0,0.954,1.0683333333333331,,,,98831805.4,21.42857142857143,21.42857142857143,109759400.0,0.0
2/2/2015,TIES-W2,1.31,1.48,1.23,1.31,-1.5,162218901,222791000,764306000,811015000.0,2095527000.0,1.02,1.0783333333333334,,,,129826605.4,21.42857142857143,20.000000000000004,152861200.0,0.0
2/3/2015,TIES-W2,1.35,1.38,1.08,1.17,-10.69,42784804,53616000,802125000,859170000.0,2129416000.0,1.112,1.0791666666666668,,,,134256406.2,21.42857142857143,20.000000000000004,160425000.0,0.0
2/4/2015,TIES-W2,1.18,1.21,0.9,0.91,-22.22,55169250,56419000,845105000,911336000.0,2162036000.0,1.186,1.055,,,,140328636.2,21.42857142857143,21.42857142857143,169021000.0,0.0
2/5/2015,TIES-W2,0.91,1.21,0.91,1.04,14.29,90876001,100384000,722056000,997382000.0,2238144000.0,1.152,1.0458333333333334,,,,114199703.4,28.57142857142857,22.857142857142854,144411200.0,0.0
2/6/2015,TIES-W2,1.14,1.2,1.02,1.03,-0.96,31451000,34183000,467393000,1029259000.0,1968702000.0,1.092,1.0366666666666666,,,,76499991.2,21.42857142857143,22.857142857142854,93478600.0,0.0
2/9/2015,TIES-W2,1.0,1.04,0.9,0.91,-11.65,18964200,18214000,262816000,1042231000.0,1550457000.0,1.012,1.0191666666666666,1.1257692307692309,-0.10741452991453017,-0.10741452991453017,47849051.0,21.42857142857143,22.857142857142854,52563200.0,0.0
2/10/2015,TIES-W2,0.92,0.99,0.91,0.94,3.3,8658100,8109000,217309000,1046522000.0,1441439000.0,0.966,1.0066666666666666,1.1165384615384617,-0.10705128205128224,-0.1072329059829062,41023710.2,28.57142857142857,24.285714285714285,43461800.0,0.0
2/11/2015,TIES-W2,0.95,0.95,0.89,0.92,-2.13,6058100,5511000,166401000,1048024000.0,1428399000.0,0.9680000000000002,1.0016666666666665,1.1138461538461542,-0.11038461538461553,-0.10828347578347597,31201480.2,28.57142857142857,25.71428571428571,33280200.0,0.0
2/12/2015,TIES-W2,0.93,0.95,0.89,0.92,0.0,2713900,2481000,68498000,1043223000.0,1370960000.0,0.944,1.0191666666666668,1.0980769230769232,-0.08097578347578338,-0.10145655270655282,13569060.0,28.57142857142857,25.71428571428571,13699600.0,0.0
2/13/2015,TIES-W2,0.91,0.91,0.88,0.9,-2.17,4461200,3988000,38303000,1031414000.0,1367856000.0,0.9179999999999999,1.0491666666666666,1.0788461538461538,-0.03938034188034202,-0.08904131054131066,8171100.0,28.57142857142857,27.142857142857146,7660600.0,0.0
2/16/2015,TIES-W2,0.88,0.88,0.83,0.87,-3.33,4607800,3928000,24017000,1021903000.0,1354689000.0,0.91,1.0208333333333333,1.0615384615384615,-0.04972222222222245,-0.07750284900284912,5299820.0,28.57142857142857,28.57142857142857,4803400.0,0.0
2/17/2015,TIES-W2,0.87,0.87,0.8,0.8,-8.05,3069800,2508000,18416000,800978000.0,1308731000.0,0.882,0.9766666666666668,1.0411538461538463,-0.07380341880341912,-0.0708532763532765,4182160.0,28.57142857142857,28.57142857142857,3683200.0,0.0
2/18/2015,TIES-W2,0.85,1.1,0.78,1.06,32.5,44321800,45333000,58238000,557465000.0,1344234000.0,0.91,0.9558333333333334,1.0315384615384615,-0.06178774928774921,-0.061133903133903225,11834900.0,28.57142857142857,28.57142857142857,11647600.0,0.0
2/19/2015,TIES-W2,1.0,1.03,0.87,0.91,-14.15,13814800,13045000,68802000,347719000.0,1344570000.0,0.908,0.9341666666666668,1.0196153846153846,-0.08104700854700853,-0.06114814814814825,14055080.0,21.42857142857143,27.142857142857146,13760400.0,0.0
2/20/2015,TIES-W2,0.91,0.92,0.85,0.86,-5.49,6344100,5502000,70316000,299605000.0,1342207000.0,0.9,0.9300000000000002,1.0069230769230773,-0.07680911680911695,-0.06863390313390325,14431660.0,21.42857142857143,25.71428571428571,14063200.0,0.0
2/23/2015,TIES-W2,0.87,0.91,0.84,0.85,-1.16,4234900,3676000,70064000,246862000.0,1329871000.0,0.8959999999999999,0.9141666666666666,0.9950000000000002,-0.07996438746438783,-0.07468233618233633,14357080.0,21.42857142857143,24.285714285714285,14012800.0,0.0
