Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
10/24/2018,TIGER,3.84,3.88,3.5,3.68,0.82,103012762,387662760,387662760,387662760.0,387662760.0,3.68,,,,,103012762.0,,
10/25/2018,TIGER,3.64,3.68,3.58,3.68,0.0,8356954,30344690,418007450,418007450.0,418007450.0,3.68,,,,,55684858.0,,
10/29/2018,TIGER,3.7,3.78,3.62,3.62,-2.16,16353600,60865280,478872730,478872730.0,478872730.0,3.66,,,,,42574438.666666664,,
10/30/2018,TIGER,3.64,3.66,3.6,3.6,-0.55,2731604,9878470,488751200,488751200.0,488751200.0,3.645,,,,,32613730.0,,
10/31/2018,TIGER,3.62,3.64,3.56,3.6,0.0,2574306,9271450,498022650,498022650.0,498022650.0,3.636,,,,,26605845.2,,
11/1/2018,TIGER,3.62,3.62,3.58,3.6,0.0,2200025,7900590,118260480,505923240.0,505923240.0,3.62,,,,,6443297.8,,
11/2/2018,TIGER,3.6,3.64,3.58,3.58,-0.56,3958203,14267250,102183040,520190490.0,520190490.0,3.6,,,,,5563547.6,,
11/5/2018,TIGER,3.6,3.62,3.58,3.58,0.0,932701,3348070,44665830,523538560.0,523538560.0,3.592,,,,,2479367.8,,
11/6/2018,TIGER,3.64,3.74,3.64,3.66,2.23,9210950,33979410,68766770,557517970.0,557517970.0,3.6040000000000005,,,,,3775237.0,,
11/7/2018,TIGER,3.68,3.68,3.58,3.62,-1.09,2080300,7557470,67052790,565075440.0,565075440.0,3.6079999999999997,,,,,3676435.8,,
11/8/2018,TIGER,3.62,3.64,3.6,3.62,0.0,351018,1267710,60419910,566343150.0,566343150.0,3.6120000000000005,,,,,3306634.4,,
11/9/2018,TIGER,3.58,3.64,3.58,3.6,-0.55,485800,1746300,47898960,568089450.0,568089450.0,3.6160000000000005,3.619999999999999,,,,2612153.8,,
11/12/2018,TIGER,3.6,3.68,3.58,3.68,2.22,624400,2264290,46815180,570353740.0,570353740.0,3.636,3.6199999999999997,,,,2550493.6,,
11/13/2018,TIGER,3.6,3.68,3.6,3.68,0.0,2501000,9123820,21959590,191814800.0,579477560.0,3.6399999999999997,3.6199999999999997,,,,1208503.6,21.42857142857143,21.42857142857143
11/14/2018,TIGER,3.66,3.66,3.6,3.6,-2.17,749900,2706230,17108350,164176340.0,582183790.0,3.636,3.6183333333333336,,,,942423.6,14.285714285714292,17.85714285714286
11/15/2018,TIGER,3.6,3.6,3.5,3.5,-2.78,1369600,4881370,20722010,108192430.0,587065160.0,3.6120000000000005,3.6100000000000008,,,,1146140.0,14.285714285714292,16.66666666666667
