Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,TMD,16.9,17.1,16.7,17.1,1.79,16100,269000,970000,2582000.0,7348000.0,17.1,,,,,16100.0,,,269000.0,0.0
1/6/2015,TMD,17.0,17.0,16.6,16.9,-1.17,13300,221000,956000,2362000.0,7104000.0,17.0,,,,,14700.0,,,245000.0,0.0
1/7/2015,TMD,16.8,17.0,16.8,16.8,-0.59,10700,180000,795000,2165000.0,6834000.0,16.933333333333334,,,,,13366.666666666664,,,223333.3333333333,0.0
1/8/2015,TMD,17.3,17.3,16.9,17.0,1.19,10900,184000,952000,2229000.0,6945000.0,16.95,,,,,12750.0,,,213500.0,0.0
1/9/2015,TMD,17.0,17.2,16.8,17.2,1.18,22101,374000,1228000,2164000.0,7203000.0,17.0,,,,,14620.2,,,245600.0,0.0
1/12/2015,TMD,16.7,17.2,16.7,17.0,-1.16,12400,211000,1170000,2372000.0,7275000.0,16.98,,,,,13880.2,,,234000.0,0.0
1/13/2015,TMD,17.3,17.3,17.0,17.3,1.76,3100,53000,1002000,2281000.0,7279000.0,17.06,,,,,11840.2,,,200400.0,0.0
1/14/2015,TMD,17.3,17.3,17.0,17.2,-0.58,5708,97000,919000,2368000.0,7278000.0,17.14,,,,,10841.8,,,183800.0,0.0
1/15/2015,TMD,17.0,17.2,17.0,17.2,0.0,6000,102000,837000,2392000.0,6838000.0,17.18,,,,,9861.8,,,167400.0,0.0
1/16/2015,TMD,17.2,17.2,17.0,17.1,-0.58,2200,38000,501000,2195000.0,6846000.0,17.160000000000004,,,,,5881.6,,,100200.0,0.0
1/19/2015,TMD,17.0,17.3,17.0,17.3,1.17,17600,302000,592000,2156000.0,7097000.0,17.220000000000002,,,,,6921.6,,,118400.0,0.0
1/20/2015,TMD,17.3,17.5,17.3,17.5,1.16,13100,229000,768000,2358000.0,6879000.0,17.259999999999998,17.133333333333333,,,,8921.6,,,153600.0,0.0
1/22/2015,TMD,17.5,17.5,17.3,17.5,0.0,25300,442000,1011000,2433000.0,7076000.0,17.32,17.166666666666668,,,,12840.0,,,222600.0,0.0
1/23/2015,TMD,17.6,17.6,17.2,17.5,0.0,24000,414000,1387000,2626000.0,7446000.0,17.380000000000006,17.21666666666667,,,,16440.0,42.857142857142854,42.857142857142854,285000.0,0.0
1/26/2015,TMD,17.1,17.4,16.6,16.8,-4.0,90500,1527000,2612000,3973000.0,8952000.0,17.32,17.21666666666667,,,,34100.0,35.714285714285715,39.285714285714285,582800.0,0.0
1/27/2015,TMD,16.8,17.7,16.8,17.6,4.76,25103,435000,2818000,4224000.0,8995000.0,17.380000000000006,17.26666666666667,,,,35600.6,42.857142857142854,40.476190476190474,609400.0,0.0
