Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,TMI,1.87,1.87,1.82,1.84,0.55,305900,564000,2491000,16247000.0,281361000.0,1.84,,,,,305900.0,,
1/6/2015,TMI,1.84,1.84,1.82,1.84,0.0,278200,510000,1960000,13438000.0,269507000.0,1.84,,,,,292050.0,,
1/7/2015,TMI,1.86,1.91,1.83,1.88,2.17,539800,1014000,2676000,11737000.0,267398000.0,1.8533333333333335,,,,,374633.3333333333,,
1/8/2015,TMI,1.9,1.93,1.89,1.91,1.6,629700,1199000,3682000,12002000.0,265195000.0,1.8675000000000002,,,,,438400.0,,
1/9/2015,TMI,1.93,2.06,1.92,2.04,6.81,5022441,10156000,13443000,20134000.0,273153000.0,1.9020000000000004,,,,,1355208.2,,
1/12/2015,TMI,2.08,2.1,2.02,2.06,0.98,2353015,4861000,17740000,23659000.0,250834000.0,1.9460000000000002,,,,,1764631.2,,
1/13/2015,TMI,2.06,2.16,2.06,2.12,2.91,4742200,10027000,27257000,31776000.0,254225000.0,2.0020000000000002,,,,,2657431.2,,
1/14/2015,TMI,2.12,2.18,2.08,2.1,-0.94,8119600,17425000,43668000,48664000.0,270074000.0,2.046,,,,,4173391.2,,
1/15/2015,TMI,2.16,2.16,2.1,2.1,0.0,1736000,3700000,46169000,51383000.0,267341000.0,2.084,,,,,4394651.2,,
1/16/2015,TMI,2.1,2.14,2.1,2.14,1.9,1283000,2734000,38747000,53076000.0,203027000.0,2.104,,,,,3646763.0,,
1/19/2015,TMI,2.16,2.16,2.06,2.1,-1.87,418200,878000,34764000,53656000.0,180894000.0,2.112,,,,,3259800.0,,
1/20/2015,TMI,2.1,2.1,2.04,2.04,-2.86,1508700,3107000,27844000,56570000.0,177763000.0,2.096,2.0141666666666667,,,,2613100.0,,
1/21/2015,TMI,2.06,2.06,2.0,2.0,-1.96,386400,784000,11203000,56959000.0,159583000.0,2.0759999999999996,2.0275000000000003,,,,1066460.0,,
1/22/2015,TMI,2.0,2.06,2.0,2.02,1.0,298500,607000,8110000,57002000.0,148251000.0,2.06,2.0425,,,,778960.0,57.14285714285714,57.14285714285714
1/23/2015,TMI,2.02,2.08,2.0,2.0,-0.99,834800,1698000,7074000,58190000.0,147348000.0,2.032,2.0524999999999998,,,,689320.0,50.0,53.57142857142857
1/26/2015,TMI,2.0,2.06,2.0,2.04,2.0,278400,560000,6756000,57736000.0,108010000.0,2.0200000000000005,2.063333333333333,,,,661360.0,57.14285714285714,54.76190476190476
1/27/2015,TMI,2.04,2.04,1.99,2.02,-0.98,410901,827000,4476000,57364000.0,92671000.0,2.0159999999999996,2.0616666666666665,,,,441800.2,50.0,53.57142857142857
1/28/2015,TMI,2.02,2.04,2.0,2.02,0.0,287400,579000,4271000,47787000.0,87870000.0,2.02,2.058333333333333,,,,422000.2,42.857142857142854,51.42857142857142
1/29/2015,TMI,2.02,2.02,2.0,2.0,-0.99,350900,705000,4369000,43631000.0,85034000.0,2.016,2.0483333333333333,,,,432480.2,35.71428571428572,47.142857142857146
1/30/2015,TMI,2.0,2.02,2.0,2.0,0.0,202500,406000,3077000,34010000.0,82564000.0,2.016,2.0399999999999996,,,,306020.2,28.57142857142857,42.857142857142854
2/2/2015,TMI,2.0,2.04,1.98,2.02,1.0,428000,859000,3376000,17444000.0,80311000.0,2.0119999999999996,2.033333333333333,,,,335940.2,28.57142857142857,37.142857142857146
2/3/2015,TMI,2.02,2.26,2.0,2.2,8.91,15384501,33946000,36495000,47690000.0,112829000.0,2.0479999999999996,2.038333333333333,,,,3330660.2,35.71428571428572,34.28571428571429
2/4/2015,TMI,2.22,2.3,2.1,2.14,-2.73,26357101,58102000,94018000,103058000.0,167612000.0,2.072,2.0416666666666665,,,,8544600.4,35.71428571428572,32.85714285714286
2/5/2015,TMI,2.12,2.2,2.08,2.2,2.8,9513101,20502000,113815000,122682000.0,185399000.0,2.1119999999999997,2.0549999999999997,,,,10377040.6,35.71428571428572,32.85714285714286
2/6/2015,TMI,2.28,2.42,2.18,2.2,0.0,57182778,132975000,246384000,252550000.0,317440000.0,2.152,2.0716666666666668,,,,21773096.2,35.71428571428572,34.28571428571429
2/9/2015,TMI,2.22,2.26,2.12,2.14,-2.73,9419801,20689000,266214000,272455000.0,336105000.0,2.176,2.0816666666666666,2.045000000000001,0.03860398860398773,0.03860398860398773,23571456.4,35.71428571428572,35.71428571428572
2/10/2015,TMI,2.14,2.22,2.14,2.16,0.93,3727800,8055000,240323000,279903000.0,342824000.0,2.168,2.095,2.057307692307693,0.040085470085469144,0.039344729344728435,21240116.2,42.857142857142854,37.14285714285715
2/11/2015,TMI,2.16,2.24,2.12,2.16,0.0,6245401,13645000,195866000,291850000.0,354559000.0,2.172,2.105,2.069615384615385,0.0371509971509969,0.03861348528015126,17217776.2,35.71428571428572,37.14285714285715
2/12/2015,TMI,2.18,2.24,2.16,2.2,1.85,5426000,11953000,187317000,303243000.0,365975000.0,2.1719999999999997,2.1199999999999997,2.0819230769230774,0.04163817663817593,0.039369658119657425,16400356.0,42.857142857142854,38.57142857142858
2/13/2015,TMI,2.24,2.28,2.2,2.2,0.0,9000300,20087000,74429000,322503000.0,385081000.0,2.1719999999999997,2.135,2.0930769230769237,0.04400284900284834,0.04029629629629561,6763860.4,35.71428571428572,38.57142857142858
2/16/2015,TMI,2.2,2.22,2.16,2.18,-0.91,2334702,5101000,58841000,327025000.0,389141000.0,2.18,2.15,2.098461538461539,0.050113960113959966,0.04259829059829005,5346840.6,35.71428571428572,38.57142857142858
2/17/2015,TMI,2.18,2.2,2.1,2.1,-3.67,2938001,6250000,57036000,332570000.0,395093000.0,2.168,2.1583333333333337,2.1000000000000005,0.049358974358974184,0.044452991452991066,5188880.8,35.71428571428572,37.14285714285715
2/18/2015,TMI,2.06,2.12,2.04,2.12,0.95,1111700,2312000,45703000,334476000.0,397212000.0,2.16,2.166666666666667,2.1,0.058005698005698214,0.048623931623931325,4162140.6,42.857142857142854,38.57142857142858
2/19/2015,TMI,2.14,2.2,2.12,2.14,0.94,1606701,3470000,37220000,337087000.0,400287000.0,2.1480000000000006,2.1616666666666666,2.101538461538462,0.05394586894586828,0.0510854700854698,3398280.8,50.0,40.00000000000001
2/20/2015,TMI,2.14,2.14,2.1,2.1,-1.87,1550090,3283000,20416000,306424000.0,403006000.0,2.128,2.1583333333333337,2.1015384615384614,0.047934472934473504,0.05187179487179483,1908238.8,42.857142857142854,41.42857142857143
2/23/2015,TMI,2.16,2.16,2.12,2.12,0.95,1903803,4078000,19393000,252400000.0,406574000.0,2.1160000000000005,2.151666666666667,2.1007692307692305,0.04460113960113965,0.05076923076923077,1822059.0,42.857142857142854,42.85714285714286
2/24/2015,TMI,2.16,2.16,2.12,2.12,0.0,710100,1518000,14661000,233416000.0,407078000.0,2.12,2.145,2.1015384615384614,0.038247863247863556,0.04854700854700864,1376478.8,42.857142857142854,44.28571428571429
2/25/2015,TMI,2.14,2.2,2.1,2.12,0.0,1897100,4065000,16414000,104506000.0,409944000.0,2.12,2.143333333333334,2.1046153846153843,0.033988603988604815,0.04374358974358996,1533558.8,35.71428571428572,42.85714285714286
2/26/2015,TMI,2.12,2.12,2.04,2.08,-1.89,1441300,3005000,15949000,86822000.0,402793000.0,2.108,2.136666666666667,2.1076923076923078,0.022307692307692584,0.03741595441595482,1500478.6,35.71428571428572,40.0
2/27/2015,TMI,2.08,2.1,2.06,2.1,0.96,218501,456000,13122000,79223000.0,398388000.0,2.108,2.1316666666666673,2.1107692307692307,0.016823361823362415,0.031193732193732605,1234160.8,42.857142857142854,40.00000000000001
3/2/2015,TMI,2.14,2.14,2.08,2.1,0.0,464801,969000,10013000,66547000.0,389330000.0,2.104,2.1233333333333335,2.1146153846153846,0.006210826210826692,0.023515669515670013,946360.4,35.71428571428572,38.57142857142858
3/3/2015,TMI,2.08,2.18,2.04,2.04,-2.86,2573101,5406000,13901000,60000000.0,377311000.0,2.088,2.1100000000000008,2.114615384615384,-0.009857549857548609,0.01389458689458758,1318960.6,35.71428571428572,37.14285714285715
3/5/2015,TMI,2.02,2.06,2.0,2.0,-1.96,1060201,2144000,11980000,42057000.0,375755000.0,2.064,2.0950000000000006,2.1138461538461537,-0.025028490028489614,0.0020911680911686937,1151580.8,28.57142857142857,35.71428571428572
3/6/2015,TMI,2.0,2.12,2.0,2.06,3.0,1385600,2864000,11839000,39820000.0,375885000.0,2.06,2.091666666666667,2.115384615384615,-0.0244871794871786,-0.007267806267805543,1140440.8,35.71428571428572,35.71428571428572
3/9/2015,TMI,2.04,2.1,2.04,2.06,0.0,365400,757000,12140000,34327000.0,375764000.0,2.0520000000000005,2.0866666666666664,2.1176923076923075,-0.030854700854700656,-0.01680341880341816,1169820.6,35.71428571428572,34.28571428571429
3/10/2015,TMI,2.08,2.08,2.02,2.06,0.0,538500,1104000,12275000,33119000.0,373761000.0,2.044,2.0799999999999996,2.12,-0.03863247863247876,-0.025772079772079248,1184560.4,35.71428571428572,34.28571428571429
3/11/2015,TMI,2.04,2.06,2.0,2.06,0.0,444000,907000,7776000,30556000.0,373884000.0,2.0480000000000005,2.076666666666666,2.121538461538462,-0.04287749287749332,-0.03237606837606819,758740.2,28.57142857142857,32.857142857142854
3/12/2015,TMI,2.06,2.08,2.04,2.06,0.0,48500,100000,5732000,27373000.0,373377000.0,2.06,2.071666666666666,2.1161538461538467,-0.042122507122508424,-0.03579487179487195,556400.0,21.42857142857143,31.428571428571434
3/13/2015,TMI,2.06,2.1,2.04,2.04,-0.97,356700,735000,3603000,24030000.0,372414000.0,2.056,2.065,2.112307692307693,-0.045797720797721375,-0.04005698005698051,350620.0,21.42857142857143,28.571428571428577
3/16/2015,TMI,2.04,2.04,2.02,2.04,0.0,759801,1535000,4381000,24047000.0,373389000.0,2.0519999999999996,2.058333333333333,2.106153846153847,-0.045740740740741526,-0.04303418803418868,429500.2,14.285714285714292,24.28571428571429
3/17/2015,TMI,2.0,2.02,2.0,2.0,-1.96,560100,1123000,4400000,21105000.0,373685000.0,2.04,2.0516666666666663,2.0984615384615393,-0.04745014245014323,-0.044797720797721576,433820.2,14.285714285714292,20.000000000000004
3/18/2015,TMI,2.0,2.12,2.0,2.02,1.0,1219900,2497000,5990000,20597000.0,375603000.0,2.032,2.045,2.0938461538461546,-0.04722222222222294,-0.0456666666666675,589000.2,21.42857142857143,18.571428571428577
3/19/2015,TMI,2.04,2.08,2.04,2.04,0.99,443600,912000,6802000,21053000.0,375810000.0,2.028,2.04,2.08923076923077,-0.04558404558404616,-0.04635897435897505,668020.2,28.57142857142857,20.000000000000004
3/20/2015,TMI,2.06,2.22,2.06,2.18,6.86,24902087,54129000,60196000,74213000.0,429533000.0,2.056,2.0516666666666667,2.0900000000000007,-0.025256410256410344,-0.04225071225071284,5577097.6,28.57142857142857,21.42857142857143
3/23/2015,TMI,2.12,2.22,2.08,2.08,-4.59,10697801,22947000,81608000,91754000.0,451621000.0,2.064,2.058333333333333,2.0853846153846156,-0.0233190883190888,-0.03776638176638229,7564697.6,28.57142857142857,24.285714285714285
3/24/2015,TMI,2.14,2.14,1.98,2.0,-3.85,4216200,8541000,89026000,98151000.0,426216000.0,2.064,2.0533333333333332,2.077692307692308,-0.02680911680911713,-0.03363817663817707,8295917.6,28.57142857142857,27.142857142857146
3/25/2015,TMI,2.0,2.04,1.99,2.0,0.0,1868000,3742000,90271000,99029000.0,371856000.0,2.06,2.0483333333333333,2.0707692307692307,-0.02462962962962978,-0.029119658119658443,8425537.6,28.57142857142857,28.571428571428566
3/26/2015,TMI,2.0,2.04,2.0,2.0,0.0,1863900,3755000,93114000,102027000.0,355109000.0,2.052,2.043333333333333,2.066923076923077,-0.025299145299145565,-0.025062678062678322,8709597.6,21.42857142857143,27.142857142857146
3/27/2015,TMI,2.0,2.04,1.95,1.95,-2.5,1161500,2313000,41298000,103236000.0,224447000.0,2.006,2.0341666666666667,2.0603846153846153,-0.03099002849002863,-0.026209401709401982,3961480.2,21.42857142857143,25.71428571428571
3/30/2015,TMI,1.93,1.97,1.93,1.94,-0.51,551700,1074000,19425000,103403000.0,204832000.0,1.9780000000000002,2.0241666666666664,2.0526923076923076,-0.03312678062678076,-0.02817094017094037,1932260.0,21.42857142857143,24.285714285714285
4/1/2015,TMI,1.92,1.95,1.91,1.95,1.56,519400,1002000,11886000,104305000.0,197779000.0,1.968,2.0166666666666666,2.0469230769230764,-0.03333333333333277,-0.0294757834757835,1192900.0,28.57142857142857,24.285714285714285
4/2/2015,TMI,1.95,1.98,1.93,1.94,-0.51,909600,1777000,9921000,105347000.0,185911000.0,1.9560000000000002,2.0083333333333333,2.0399999999999996,-0.034772079772079856,-0.03150427350427352,1001220.0,28.57142857142857,24.285714285714285
4/3/2015,TMI,1.97,1.98,1.94,1.95,0.52,593500,1159000,7325000,104971000.0,175117000.0,1.9459999999999997,2.004166666666667,2.0334615384615384,-0.03144586894586876,-0.03273361823361816,747140.0,35.71428571428572,27.142857142857146
