Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,TMILL,3.32,3.36,3.32,3.36,0.0,10600,35000,682000,4141000.0,19422000.0,3.36,,,,,10600.0,,,35000.0,0.0
1/6/2015,TMILL,3.3,3.36,3.3,3.36,0.0,2300,8000,407000,3396000.0,18145000.0,3.36,,,,,6450.0,,,21500.0,0.0
1/7/2015,TMILL,3.3,3.38,3.3,3.38,0.6,65400,219000,495000,3232000.0,18219000.0,3.3666666666666667,,,,,26100.0,,,87333.33333333331,0.0
1/8/2015,TMILL,3.38,3.4,3.34,3.4,0.59,18891,63000,525000,3087000.0,17973000.0,3.375,,,,,24297.75,,,81250.0,0.0
1/9/2015,TMILL,3.34,3.34,3.28,3.34,-1.76,430600,1417000,1742000,3686000.0,18930000.0,3.3680000000000003,,,,,105558.2,,,348400.0,0.0
1/12/2015,TMILL,3.36,3.38,3.32,3.36,0.6,38700,130000,1837000,3775000.0,18387000.0,3.3680000000000003,,,,,111178.2,,,367400.0,0.0
1/13/2015,TMILL,3.38,3.44,3.38,3.44,2.38,52300,179000,2008000,3691000.0,18303000.0,3.3839999999999995,,,,,121178.2,,,401600.0,0.0
1/14/2015,TMILL,3.48,3.48,3.38,3.44,0.0,89500,304000,2093000,3501000.0,17998000.0,3.3960000000000004,,,,,125998.2,,,418600.0,0.0
1/15/2015,TMILL,3.34,3.42,3.34,3.42,-0.58,118500,400000,2430000,3402000.0,16753000.0,3.4,,,,,145920.0,,,486000.0,0.0
1/16/2015,TMILL,3.4,3.4,3.36,3.38,-1.17,163306,553000,1566000,3672000.0,15164000.0,3.408,,,,,92461.2,,,313200.0,0.0
1/19/2015,TMILL,3.34,3.38,3.34,3.36,-0.59,173800,585000,2021000,4126000.0,15412000.0,3.408,,,,,119481.2,,,404200.0,0.0
1/20/2015,TMILL,3.4,3.4,3.38,3.38,0.6,117900,399000,2241000,4492000.0,14627000.0,3.3959999999999995,3.385,,,,132601.2,,,448200.0,0.0
1/21/2015,TMILL,3.4,3.4,3.4,3.4,0.59,23000,78000,2015000,4370000.0,14615000.0,3.3879999999999995,3.3883333333333336,,,,119301.2,,,403000.0,0.0
1/22/2015,TMILL,3.34,3.44,3.34,3.42,0.59,73500,247000,1862000,4582000.0,14670000.0,3.3880000000000003,3.393333333333333,,,,110301.2,50.0,50.0,372400.0,0.0
1/23/2015,TMILL,3.4,3.44,3.38,3.44,0.58,139500,472000,1781000,5046000.0,14673000.0,3.4,3.398333333333333,,,,105540.0,57.14285714285714,53.57142857142857,356200.0,0.0
1/26/2015,TMILL,3.4,3.4,3.38,3.38,-1.74,63600,216000,1412000,5043000.0,14848000.0,3.404,3.3966666666666665,,,,83500.0,57.14285714285714,54.76190476190475,282400.0,0.0
