Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
11/18/2015,TNP,1.81,1.97,1.78,1.8,2.86,849630986,1610483000,1610483000,1610483000.0,1610483000.0,1.8,,,,,849630986.0,,
11/19/2015,TNP,1.83,1.84,1.57,1.58,-12.22,168797837,292713000,1903196000,1903196000.0,1903196000.0,1.69,,,,,509214411.5,,
11/20/2015,TNP,1.6,1.66,1.58,1.62,2.53,80755108,131165000,2034361000,2034361000.0,2034361000.0,1.6666666666666667,,,,,366394643.6666667,,
11/23/2015,TNP,1.6,1.63,1.5,1.5,-7.41,24369017,37875000,2072236000,2072236000.0,2072236000.0,1.625,,,,,280888237.0,,
11/24/2015,TNP,1.52,1.57,1.48,1.48,-1.33,32700018,49767000,2122003000,2122003000.0,2122003000.0,1.596,,,,,231250593.2,,
11/25/2015,TNP,1.52,1.55,1.49,1.55,4.73,36435508,55606000,567126000,2177609000.0,2177609000.0,1.5459999999999998,,,,,68611497.6,,
11/26/2015,TNP,1.58,1.6,1.52,1.55,0.0,28316193,44265000,318678000,2221874000.0,2221874000.0,1.5399999999999998,,,,,40515168.8,,
11/27/2015,TNP,1.55,1.61,1.55,1.6,3.23,34802205,55261000,242774000,2277135000.0,2277135000.0,1.536,,,,,31324588.2,,
11/30/2015,TNP,1.59,1.62,1.58,1.6,0.0,25935500,41549510,246448510,2318684510.0,2318684510.0,1.5559999999999998,,,,,31637884.8,,
12/1/2015,TNP,1.61,1.63,1.56,1.58,-1.25,18860122,30031330,226712840,2348715840.0,2348715840.0,1.576,,,,,28869905.6,,
12/2/2015,TNP,1.57,1.58,1.52,1.52,-3.8,12678600,19513200,190620040,2368229040.0,2368229040.0,1.5699999999999998,,,,,24118524.0,,
12/3/2015,TNP,1.52,1.55,1.44,1.46,-3.95,10692700,15900860,162255900,2384129900.0,2384129900.0,1.552,1.5700000000000003,,,,20593825.4,,
12/4/2015,TNP,1.44,1.53,1.43,1.5,2.74,39053305,58562840,165557740,2442692740.0,2442692740.0,1.532,1.545,,,,21444045.4,,
12/8/2015,TNP,1.49,1.51,1.43,1.43,-4.67,27662740,40679720,164687950,872889460.0,2483372460.0,1.498,1.5324999999999998,,,,21789493.4,35.71428571428572,35.71428571428572
12/9/2015,TNP,1.44,1.45,1.32,1.33,-6.99,11066400,15203600,149860220,595380060.0,2498576060.0,1.448,1.5083333333333335,,,,20230749.0,28.57142857142857,32.142857142857146
12/11/2015,TNP,1.34,1.34,1.24,1.24,-6.77,9188680,11740110,142087130,475955170.0,2510316170.0,1.392,1.4866666666666666,,,,19532765.0,28.57142857142857,30.952380952380953
12/14/2015,TNP,1.21,1.21,1.13,1.14,-8.06,10243500,11920690,138106960,450000860.0,2522236860.0,1.3279999999999998,1.4583333333333333,,,,19442925.0,21.42857142857143,28.571428571428573
